name,nationality,birth_date,field,genre
Jules Chéret,French,1836/5/31,Graphic Design||Painting||Printmaking,Illustration
Ralph Albert Blakelock,American,1847/10/15,Painting,Landscape
Mierle Laderman Ukeles,,1905/4/22,Others,
Liam Gillick,English,1964/1/1,Conceptual,
Adrian Margaret Smith Piper,American,1948/9/20,Conceptual||Theory,
Rachel Whiteread,English,1963/4/20,Sculpture,
Joaquín Torres-García,Uruguayan||Spanish,1874/7/28,Literature||Painting||Sculpture,
Marcel Mari?n,Belgian,1920/4/29,Collage||Film||Literature||Photography,Surrealist
"Charles Thomas ""Chuck"" Close",American,1940/7/5,Painting||Photography,Portrait
Marina Abramovi?,Serbian,1946/11/30,Performance,
Paul Thek,American,1933/11/2,Installation||Painting||Performance||Sculpture,
Sir John Lavery,Irish,1856/3/20,Painting,Portrait
Ludwig Johann Passini,Austrian,1832/7/9,Painting||Printmaking,Genre||Narrative||Portrait
Diego Rivera,Mexican,1886/12/8,Painting,Architecture
Ilya Kabakov,Russian||American,1933/9/30,Drawing||Installation||Others||Painting,
Ettore Tito,Italian,1859/12/17,Drawing||Painting||Sculpture,Landscape||Mythological||Symbolic
Norval Morrisseau,Canadian,1931/3/14,Painting,
George Frederic Watts,English,1817/2/23,Painting||Sculpture,Allegorical||Landscape
Henri-Edmond Cross,French,1856/5/20,Painting||Printmaking,Landscape||Portrait||Still Life
Damien Steven Hirst,English,1965/6/7,Painting||Professional||Sculpture,
Lewis Wickes Hine,American,1874/9/26,Photography||Professional,Narrative
Hubertine Heijermans,Swiss,1936/1/8,Painting||Printmaking,Figurative
Lygia Clark,Brazilian,1920/10/23,Installation||Painting||Professional||Sculpture,
Barbara Chase-Riboud,American,1939/6/26,Literature||Sculpture||Visual,
Arthur Lismer,English-Canadian,1885/6/27,Education||Painting,Landscape
Pierre Emmanuel Damoye,French,1847/2/20,Painting,Landscape
Rebecca Horn,German,1944/3/24,Film||Installation||Others||Performance||Sculpture,
Ignacy Aleksander Gierymski,Polish,1850/1/30,Painting,Landscape||Social Realism
James Browning Wyeth,American,1946/7/6,Painting,
Arne Quinze,Belgian,1971/12/15,Drawing||Painting||Sculpture,Social Realism
Sheila Hicks,American,,Painting||Sculpture||Textile Art,
Rirkrit Tiravanija,Thai,1905/5/14,Installation,Avant Garde Experimental
Edward Mitchell Bannister,Canadian-American,,Painting,Genre||Landscape||Mythological||Portrait||Religious
Alice Neel,American,1900/1/28,Painting,Portrait
Mikalojus Konstantinas ?iurlionis,Lithuanian,1875/9/22,Literature||Music||Painting,Abstract||Literature
Donald K. Sultan,American,1905/5/4,Painting||Printmaking||Sculpture,Still Life
Delesio Antonio Berni,Argentine,1905/5/14,Painting,Abstract||Figurative
Charles Garabed Atamian,Ottoman||French||Armenian,1872/9/18,Painting,Landscape||Portrait
?tefan Luchian,Romanian,1868/2/1,Painting,Landscape||Still Life
Julio Le Parc,Argentinean,1928/9/23,Painting||Printmaking,
Diane Arbus,American,1923/3/14,Photography,
Edvard Munch,Norwegian,1863/12/12,Painting||Printmaking,
Odd Nerdrum,Norwegian,1944/4/8,Painting,Allegorical||Portrait||Still Life
Billy Childish,British,1959/12/1,Film||Literature||Music||Painting||Photography||Social,Music||Other||Pop Art
Gyula Kosice,Argentinean||Slovak,1924/4/26,Conceptual||Literature||Sculpture,Abstract
Susan Rothenberg,American,1905/4/28,Drawing||Painting||Printmaking,Abstract||Figurative
Joy St Clair Hester,Australian,1920/8/31,Drawing||Painting,Portrait
Lee Ufan,Korean,1905/4/19,Painting||Sculpture,Abstract
Alfio Giuffrida,Italian,1953/1/28,Graphic Design||Installation||Painting||Sculpture,
"Ervand ""Kochar"" Kocharyan",Armenian,1899/7/15,Conceptual||Sculpture,
John Milton Cage Jr.,American,1912/9/5,Music||Performance,
Mathias Goeritz || Werner Mathias Goeritz Brunner,Mexican || German,1915/4/4,Painting||Sculpture,
Nathan Oliveira,American,1928/12/19,Painting||Printmaking||Sculpture,Abstract||Figurative
Oskar Kokoschka,Austrian,1886/3/1,Literature||Painting||Performance,Landscape||Portrait
Brice Marden,American,1938/10/15,Drawing||Painting,Abstract
Abbas Kiarostami,Iranian,1940/6/22,Film||Graphic Design||Illustration||Literature||Painting||Photography,Fantasy||Narrative
Chen Yifei,Chineses,1946/4/12,Film||Painting,Landscape||Portrait
Howard Arkley,Australian,1951/5/5,Painting,Architecture||Environmental
Donald Judd,American,1928/6/3,Painting||Sculpture,Abstract
Robert L. Williams,American,1943/3/2,Graphic Design||Painting,Fantasy
Jonathan Eastman Johnson,American,1824/7/29,Painting,Genre||Portrait
Al Held,American,1928/10/12,Painting,Abstract
Niki de Saint Phalle,French,1930/10/29,Film||Painting||Sculpture,Cultural and Regional Themes||Sculpture
Bahia Shehab,,1977/1/1,Education||Graphic Design||Others||Social,Cultural and Regional Themes||Political||Social Realism
Ludwig Mies van der Rohe,German-American,1886/3/27,Architecture,
Lawrence Weiner,American,1942/2/10,Digital Art||Film||Graphic Design||Installation||Performance||Sculpture||Social,
Noma Bar,Israeli,1973/1/1,Digital Art||Graphic Design||Illustration||Others||Sculpture,
John Register,American,1905/4/22,Drawing||Painting,Abstract
Luigi Serafini,Italian,1949/8/4,Architecture||Ceramics||Graphic Design||Others,
Bahman Mohassess,Iranians,1931/3/1,Painting||Performance||Sculpture||Translation,
Brett Whiteley,Australian,1939/4/7,Painting,
Ethel Léontine Gabain,French-English,1883/3/26,Graphic Design||Painting||Printmaking,Portrait
Clyfford Still,American,1904/11/30,Painting,Landscape||Portrait
Barbara Kruger,American,1945/1/26,Collage,
Pierre Molinier,French,1900/4/13,Others||Painting||Photography,Erotic||Landscape
Adolf Richard Fleischmann,Germany,1892/3/18,Painting,Abstract
Grace Thurston Arnold Albee,American,1890/7/28,Printmaking,
Joan Mitchell,American,1925/2/12,Painting||Printmaking,Landscape
Gotthard Graubner,German,1930/6/13,Painting,
Nam June Paik,American||South Korean,1932/7/20,Digital Art||Music,
Jacob M?cznik,Polish || French,1905/12/4,Painting,Other
Emil Schumacher,German,1912/8/29,Painting,
Wilhelm Sasnal,Polish,1972/12/29,Film||Illustration||Painting||Photography,Contemporary||Landscape||Other||Portrait
Paul Delvaux,Belgian,1897/9/23,Painting,Landscape||Nude
Antonio López García,Spanish,1936/1/6,Painting||Sculpture,Other||Surrealist
Philip Pearlstein,American,1924/5/24,Painting,Figurative||Landscape||Portrait
Francesca Stern Woodman,American,1958/4/3,Photography,Illustration
Mark Lancaster,English,1938/5/14,Graphic Design||Painting,
Luchita Hurtado,Venezuelan||American,1920/10/28,Painting,
Nobuo Sekine,Japanese,1905/4/25,Sculpture,
Grace Cossington Smith,Australian,1892/4/20,Painting,Architecture||Landscape||Still Life
Hélio Oiticica,Brazilian,1937/7/26,Film||Literature||Painting||Performance||Sculpture||Visual,Environmental
"Jacqueline ""Jackie"" Winsor",American||Canadian,1941/10/20,Sculpture,Abstract||Political
Vladimir Grigoryevich Tretchikoff,Russian,1913/12/26,Illustration||Painting,Portrait||Still Life
Jimmie Durham,American,1940/7/10,Literature||Sculpture,
Tr?n V?n C?n,Vietnamese,1910/8/13,Painting,Architecture||Illustration||Other
Billy Apple,New Zealander,1935/12/31,Painting||Sculpture,
George Milwa Mnyaluza Pemba,South African,1912/4/2,Literature||Painting,Landscape||Portrait
Callum Innes,British,1905/5/15,Painting,
Jeanne Hébuterne,French,1898/4/6,Drawing,
Charuvi Agrawal,Indian,1983/6/20,Digital Art||Film||Painting||Sculpture||Visual,
Nikos Hadjikyriakos-Ghikas,Greek,1906/2/26,Education||Literature||Painting||Printmaking||Sculpture,Abstract||Landscape
Kishio Suga,Japanese,1905/4/27,Installation||Sculpture,
Elmer Nelson Bischoff,American,1916/7/9,Visual,Abstract||Figurative
Francis Bacon,British||Irish,1909/10/28,Painting,Figurative
Pierre Soulages,French,1919/12/24,Painting||Printmaking||Sculpture,
Ashley Bickerton,Barbadian||American,1905/5/12,MixedMedia,
Joseph Kosuth,American,1945/1/31,Literature||Others,Conceptual
Mary Blair,American,1911/10/21,Digital Art||Graphic Design||Others,
Martha Rosler,American,1905/4/26,Digital Art||Installation||Literature||Performance||Photography||Sculpture,Illustration
Walter Frederick Osborne,Irish,1859/6/17,Painting,Landscape||Narrative||Portrait
On Kawara,American||Japanese,1933/1/2,Painting,
Hirohiko Araki,Japanese,1960/6/7,Film,
Tea Jorjadze,German||Georgian,1905/5/24,Digital Art||Drawing||Installation||Music||Others||Painting||Performance||Sculpture,
Richard Paul Lohse,Swiss,1902/9/13,Graphic Design||Painting,Abstract||Still Life
Paul Jenkins,American,1923/7/12,Painting,Abstract
Shadi Ghadirian,Iranian,1905/5/27,Photography,Portrait
Albert Namatjira,Australian,1902/7/28,Painting,Landscape
Gy?rgy Kepes,Hungarian||American,1906/10/4,Education||Graphic Design||Painting||Photography||Theory,
Benny Andrews,American,1930/11/13,Collage||Painting||Printmaking,
Ralph Fasanella,American,1914/9/2,Painting,
Helene Schjerfbeck,Finnish,1862/7/10,Painting,Landscape||Other||Portrait||Still Life
Robert Indiana,American,1928/9/13,Graphic Design||Painting||Sculpture,
Yayoi Kusama,Japanese,1929/3/22,Fashion||Film||Installation||Literature||Painting||Performance||Sculpture,Abstract||Avant Garde Experimental||Conceptual||Political||Surrealist
Malcolm Morley,English,1931/6/7,Painting,Illustration||Other
Jennifer Losch Bartlett,American,1941/3/14,Painting||Printmaking,Abstract||Figurative
Konrad Zuse,German,1910/6/22,Professional||Science,
Ron Gorchov,American,1930/4/5,Painting||Sculpture,Abstract
Vito Acconci,American,1940/1/24,Architecture||Digital Art||Graphic Design||Installation||Performance||Sculpture,
Wifredo Lam,Cuban,1902/12/8,Ceramics||Painting||Printmaking||Sculpture,
Erich Heckel,German,1883/7/31,Painting||Printmaking,
Robert Mangold,American,1937/10/12,Painting,
Gerhard von Graevenitz,German,1934/9/19,Conceptual,
Richard Prince,American,1949/8/6,Painting||Photography,
Mel Bochner,American,1905/4/23,Education||Painting||Printmaking||Sculpture,Conceptual||Other
Fred Williams,Australian,1927/1/23,Painting||Printmaking,Landscape
Otto Muehl,Austrian,1925/6/16,Performance||Sculpture,
Nabil Kanso,American,1905/4/29,Painting,Contemporary||History||Literature
José Sobral de Almada Negreiros,Portuguese,1893/4/7,Decorative||Graphic Design||Literature||Mosaic||Others||Painting||Performance||Printmaking,
Betty Roodish Goodwin,Canadian,1923/3/19,Installation||Painting||Printmaking||Sculpture,Narrative||Still Life
Pauline Boty,British,1938/3/6,Painting,
Richard Diebenkorn,American,1922/4/22,Painting,
Endre Rozsda,Hungarian-French,1913/11/18,Painting,Surrealist
Anthony Alfred Caro,British,1924/3/8,Sculpture,Abstract
William Balthazar Rose,British||Italian||Scottish||Jewish,1961/2/28,Painting,Figurative
Alexander Georg Rudolf Bauer,American||German,1889/2/11,Painting,Abstract||Figurative
Eduardo Luigi Paolozzi,British,1924/3/7,Collage||Sculpture,Avant Garde Experimental||Pop Art
Joan Brown,American,1938/2/19,Painting,Figurative
Yves Tanguy,French||American,1900/1/5,Painting,
John Steuart Curry,American,1897/11/14,Graphic Design||Illustration||Others||Painting,
Aydin Aghdashloo,Iranian,1940/10/30,Film||Literature||Painting,Other||Surrealist
Albert Bitran,French,,Painting||Printmaking||Sculpture,Abstract||Landscape
Lasar Segall,Brazilian||Jewish,1891/7/21,Painting||Printmaking||Sculpture,Erotic||Other||Political||War
Edna Andrade,American,1917/1/25,Painting,Abstract
Valerie Jaudon,American,1945/8/6,Painting,
Tess Jaray,British||Austrian,1937/12/31,Painting||Printmaking,
Luke Chueh,American,1973/3/7,Illustration||Painting,Portrait
Jessica Stockholder,,,Installation||Sculpture,
Walter Gay,American,1856/1/22,Painting,Architecture||Genre
Robert Doisneau,French,1912/4/14,Photography,
Maurice Boitel,French,1919/7/31,Painting,
Ali Akbar Sadeghi,Iranian,1905/4/20,Film||Graphic Design||Illustration||Painting,Illustration||Narrative||Surrealist
Rochelle Blumenfeld,American,,Graphic Design||Painting,Abstract
Paul-émile Borduas,Canadian,1905/11/1,Painting,Abstract
Wangechi Mutu,Kenyan,1972/6/22,Collage||Digital Art||Painting||Performance||Sculpture,
Kent Monkman,Canadian||Indigenous North Americans,1905/5/18,Digital Art||Film||Installation||Painting||Performance,History||Landscape
Duane Hanson,American,1925/1/17,Sculpture,Social Realism
Christo Vladimirov Javacheff,Bulgarians||French||Americans,1935/6/13,Social,
Manuel Rodríguez Lozano,Mexican,,Painting,
Jean Messagier,French,1920/7/13,Literature||Painting||Printmaking||Sculpture,Abstract||Landscape||Portrait
Miriam Schapiro,American||Canadian||Jewish,1923/11/15,Painting||Printmaking||Sculpture,Abstract||Political
Kenny Scharf,American,1905/5/11,Conceptual||Digital Art||Fashion||Painting||Performance||Sculpture,Pop Art
Lo?s Mailou Jones,American,1905/11/3,Graphic Design||Illustration||Painting,Other||Portrait
Vladimir Kush,American,1965/3/1,Painting||Sculpture,Surrealist
John Anthony Baldessari,American,1931/6/17,Digital Art||Film||Installation||Painting||Photography||Printmaking||Sculpture,
Marie Bronislava Vorobyeva-Stebelska||Marevna,Russian,1905/3/6,Painting,
Zdzis?aw Beksiński,Polish,1929/2/24,Painting||Photography||Sculpture,Abstract||Surrealist
Nasreen Mohamedi,Indian,,Drawing,
Cildo Meireles,Brazilian,1905/5/1,Installation||Sculpture,
Bruce Nauman,American,1941/12/6,Digital Art||Drawing||Others||Performance||Photography||Printmaking||Sculpture,
El Anatsui,Ghanaian||Nigerian,1905/4/27,Sculpture,Avant Garde Experimental
Jerry W. McDaniel,American,,Graphic Design||Illustration||Painting,Landscape||Other||Political||Portrait
Eva Hesse,American||Jewish||German,1936/1/11,Sculpture,
Jesús Rafael Soto,Venezuelan,1923/6/5,Painting||Sculpture,Abstract
Gianni Piacentino,Italian,1905/4/28,Painting||Sculpture,Other
Banksy,English,,Conceptual||Film,Narrative||Political
Charles Henry Alston,American,1907/11/28,Illustration||Others||Painting||Sculpture,
Prudence Heward,Canadian,1896/7/2,Painting,Figurative
Robert Rauschenberg,American,1925/10/22,Decorative||Painting||Performance||Photography||Printmaking||Sculpture,Abstract
Matthias Laurenz Gr?ff,Austrian,1984/7/19,Painting,
Lubo Kristek,Czech,1943/5/8,Painting||Performance||Sculpture,
Remedios Varo Uranga,Spanish||Mexican||Catalan,1908/12/16,Painting,Surrealist
Ellen Gallagher,American,1965/12/16,MixedMedia||Painting,Abstract||Narrative
Piero Gilardi,Italian||Swiss,1905/4/25,Visual,
Alberto Carneiro,Portuguese,1937/9/20,Sculpture,Conceptual||Environmental
Felix Gonzalez-Torres,American||Cuban,1957/11/26,Installation||Sculpture||Visual,Abstract
Winifred Nicholson,British,1893/12/21,Painting,Landscape||Still Life
Mihai Olos,Romanian,1940/2/26,Literature||Painting||Sculpture,Abstract
Xavier Prou,French,1952/11/15,Conceptual,Pop Art
Zeng Fanzhi,Chinese,1905/5/17,Painting,Abstract||Contemporary
Jules Adolphe Aimé Louis Breton,French,1827/5/1,Painting,Environmental
Peter Laszlo Peri,Hungarian,1899/6/13,Painting||Sculpture,Abstract||Figurative
George Warren Rickey,American,1907/6/6,Sculpture,
Beatriz González,Colombian,1938/11/16,Education||Painting||Professional||Sculpture||Theory,
Ansel Easton Adams,American,1902/2/20,Photography||Social,Landscape
Vija Celmins,American||Latvian,1938/10/25,Drawing||Painting||Printmaking||Sculpture,Illustration||Still Life
Robert Smithson,American,1938/1/2,Environment||Literature||Photography||Sculpture,Abstract||Environmental
Lisa Yuskavage,American,1962/5/16,Painting,Figurative||Landscape||Still Life
Vik Muniz,Brazilian,1961/1/1,Photography||Sculpture,
Pieter Willem Frederick Wenning,South African,1873/9/9,Painting||Printmaking,
Charles Wilbert White,American,1918/4/2,Others||Painting,
Theodoros Stamos,American||Greek,1922/12/31,Painting,
Matthew Barney,American,1967/3/25,Drawing||Film||Photography||Sculpture,Avant Garde Experimental
James Lesesne Wells,American,1902/11/2,Graphic Design||Painting||Sculpture,
Adolph Gottlieb,American||Jewish,1903/3/14,Painting||Printmaking||Sculpture,Abstract||Surrealist
Giuseppe Penone,Italian,1947/4/3,Drawing||Installation||Sculpture,
Franz Kline,American,1910/5/23,Painting,Landscape||Portrait
Fikret Mualla Sayg?,French||Turkish,1904/1/1,Painting,
Burhan C. Do?an?ay,Turkish,1929/9/11,Collage||Painting||Photography,Architecture
Ming Smith,American,1947/1/1,Photography,Narrative||Surrealist
Alexander Calder,American,1898/7/20,Painting||Printmaking||Sculpture,Abstract
Vladimir Victorovich Kibalchich Rusakov,Mexican,1920/6/15,Painting,
Louis Schanker,American,1903/1/1,Graphic Design||Painting,Abstract
Carlos D. Almaraz,American||Mexican,1941/10/5,Painting,
Beauford Delaney,American,1901/12/30,Painting,Abstract||Portrait
Joseph Beuys,German,1921/1/1,Graphic Design||Installation||Performance||Sculpture||Theory,
Christo Coetzee,South African,1929/3/24,Collage,
Jean Hélion,French,1904/4/21,Literature||Painting,Abstract||Figurative||Still Life
Andrzej Wróblewski,Polish,1927/6/15,Painting||Sculpture,Figurative
Simone Forti,American||Italian,1935/3/25,Literature||Performance,Avant Garde Experimental
Emilio Pettoruti,Argentine,1892/10/1,Painting,Abstract||Illustration||Other
Sheikh Rashid bin Khalifa Al Khalifa,Bahraini,1952/1/1,Painting,Abstract||Landscape
Robert Morris,American,1931/2/9,Conceptual||Installation||Literature||Performance||Sculpture,
Andreas Gursky,German,1955/1/15,Photography,Architecture||Landscape
Morton Livingston Schamberg,American,1881/10/15,Painting||Photography,Landscape||Portrait
Richard Estes,American,1932/5/14,Painting,Landscape
André Kertész,Hungarian,1894/7/2,Photography,Other
Barton Lidice Beněs,American,1942/11/16,Installation,
"Adolph Frederick ""Ad"" Reinhardt",American,1913/12/24,Painting,Abstract
Brion Gysin,Canadian,1916/1/19,Literature||Painting||Performance,Conceptual||Illustration||Narrative
Friedensreich Regentag Dunkelbunt Hundertwasser,Austrian,1928/12/15,Architecture||Others||Painting||Social,
Peter Max,American||German,1937/10/19,Painting,Fantasy
John Albert Bauer,Swedish,1882/6/4,Illustration||Painting,Landscape||Mythological||Portrait
John Stuart Ingle,American,1933/1/1,Painting,Still Life
Haroutiun Galentz,Armenian,1910/3/27,Painting,Landscape||Still Life
Walter Whall Battiss,South African,1906/1/6,Painting,Abstract
"Christopher ""Kit"" Williams",British,1946/4/28,Illustration||Painting,Figurative
Pierre Huyghe,French,1962/12/11,Film||Sculpture,
Carsten H?ller,German||Belgian,1961/9/1,Installation||Performance||Sculpture,Avant Garde Experimental||Other
Lucian Michael Freud,British,1922/12/8,Drawing||Painting,Figurative||Portrait
Mira Schendel,Brazilian,1919/6/7,Drawing||Literature||Painting||Sculpture,Avant Garde Experimental
John Dwyer McLaughlin,American,1898/5/21,Painting,Abstract
Saul Steinberg,Romanian || American,1914/6/15,Graphic Design||Illustration,
Danh V?,Vietnamese||Danish,1975/8/1,Conceptual||Installation,
Kexin Di,Chinese,,Painting,Figurative||Other
Robert Filliou,French||American,1926/1/17,Film||Sculpture,
Xu Beihong,Chinese,1895/7/19,Painting,Illustration
José Luis Cuevas,Mexican,1934/2/26,Illustration||Painting||Printmaking,
Claudio Bravo Camus,Chilean,1936/11/8,Drawing||Painting||Printmaking||Sculpture,Portrait||Still Life
Wang Guangyi,Chinese,1905/5/10,Painting,Political
Ronnie Landfield,American,1947/1/9,Painting,Abstract||Landscape
Georg Baselitz,German,1938/1/23,Graphic Design||Painting||Sculpture,Abstract||Figurative
Piero Manzoni,Italian,1933/7/13,Others,
Salvador Domingo Felipe Jacinto Dalí i Domènech,Spanish||Catalan,1904/5/11,Film||Painting||Photography||Sculpture,Avant Garde Experimental||Surrealist
Johannes Itten,Swiss,1888/11/10,Education||Graphic Design||Literature||Painting,
