institution_name,institution_type,parent_organization,leadership,institution_country,institution_city,research_diseases,research_fields,key_technologies,key_achievements,international_collaboration,funding_sources,technology_application,id
"University of California, San Francisco, General Clinical Research Center",university-affiliated,"University of California, San Francisco",Curtis Morris||Anthony Sebastian,USA,San Francisco,Essential Hypertension||Osteoporosis,clinical_research,,,,,FDA drug approval,471919
National Institute of Complementary Medicine || Western Sydney University,university-affiliated,Western Sydney University,,Australia,Penrith,Polycystic Ovary Syndrome (PCOS),clinical_research,,,,university grant || government grant,,108440
Penn Vet's New Bolton Center||The University of Queensland,university-affiliated,University of Pennsylvania||The University of Queensland,Dr. Andrew van Eps||Dr. Gary Althouse,USA||Australia,Kennett Square||Brisbane,laminitis||musculoskeletal diseases,clinical_research,digital hypothermia||cryotherapy,development and scientific validation of foot cooling for laminitis prevention and treatment,,,prevention and treatment of acute laminitis,100027
Washington Center for Women's and Children's Wellness (WCWCW),private,,,USA,Bethesda,Premenstrual Dysphoric Disorder (PMDD),clinical_research,,,,,telehealth,350021
The Feinstein Institute for Medical Research,,,"Kristina M. Deligiannidis, MD",USA,Manhasset,Postpartum Depression||Postpartum Anxiety,clinical_research,,,Cummings School of Veterinary Medicine at Tufts University||University of Massachusetts Medical School,,,283527
"Nanjing Legend Biotech.||State Key Laboratory of Medical Genomics, Shanghai Institute of Hematology, Rui Jin Hospital Affiliated to Shanghai Jiao Tong University (SJTU) School of Medicine||Department of Hematology, Myeloma & Lymphoma Center, Shanghai Chang Zheng Hospital||Department of Hematology, Renji Hospital Affiliated to Shanghai JiaoTong University School of Medicine",corporate research lab||university-affiliated,Shanghai Jiao Tong University School of Medicine,,China,Nanjing||Shanghai,multiple myeloma,oncology||clinical_research||immunology,CAR-T cell therapy,objective response in all patients||reduction of extramedullary lesions,,,treatment of relapsed/refractory multiple myeloma including extramedullary involvement,589685
Mayo Clinic,,,Zhen Wang,USA,Rochester,separation anxiety disorder||generalized anxiety disorder||social anxiety disorder,clinical_research,meta-analysis||systematic review||randomized trials,,,government grant,,116314
Papua New Guinea Institute of Medical Research (PNGIMR),public,,,Papua New Guinea,Goroka,febrile illnesses,epidemiology||clinical_research||public_health,malaria rapid diagnostic tests (mRDTs)||longitudinal surveillance||cross-sectional survey,large-scale evaluation of non-malarial febrile illness management in PNG,"Swiss Tropical and Public Health Institute||Barcelona Centre for International Health Research (CRESIB, Hospital Clínic-Universitat de Barcelona)",international grant,,298602
"Emory Saint Joseph's Hospital || Emory University School of Medicine, Division of Interventional Radiology and Image Guided Medicine",university-affiliated,Emory University,"J. David Prologo, MD",,,phantom limb pain,clinical_research || medical_imaging,cryoablation therapy || CT imaging guidance,,,,outpatient procedure for phantom limb pain,52858
Fred Hutchinson Cancer Research Center||Hutchinson Institute for Cancer Outcomes Research (HICOR)||Seattle Cancer Care Alliance,public,,"Veena Shankaran, M.D., M.S.",USA,Seattle,metastatic colorectal cancer,oncology||clinical_research||epidemiology,SEER-Medicare claims data,,"Genentech, Inc.",industry grant,,59559
Einstein||Montefiore Medical Center||The Children's Hospital at Montefiore,university-affiliated||public,,Teresa P. DiLorenzo||Rubina A. Heptulla,USA,Bronx,Type 1 Diabetes,immunology||microbiology||endocrinology||clinical_research,dendritic cell antigen presentation,discovery of HbA1c as a marker for diabetes,TrialNet,philanthropy,screening for type 1 diabetes risk using autoantibody testing,450993
University College Dublin (UCD) || Conway Institute for Biomedical and Biomolecular Research,university-affiliated,University College Dublin,Prof Oliver FitzGerald || Prof Stephen Pennington,,,psoriatic arthritis (PsA),clinical_research || immunology,,,collaboration with research centres throughout Europe and the UK || 26 European partners including 4 pharmaceutical companies,international grant || industry grant,,353378
University of Florida College of Veterinary Medicine,university-affiliated,University of Florida,,USA,,Osteoarthritis,clinical_research||regenerative_medicine,stem cell injection,,,,treatment of osteoarthritis in dog elbows,244765
University of California-Davis,,,William K. Reisen,USA,,West Nile virus,epidemiology||public_health,,,,,,154408
Haiphong University of Medicine and Pharmacy||Haiphong International Hospital,university-affiliated||private,,,Vietnam,Haiphong,Pseudomonas aeruginosa infection,clinical_research||microbiology,randomized clinical trial,,,,antibiotic therapy for Pseudomonas aeruginosa infection in COPD exacerbations,466867
"Chang Gung Memorial Hospital, Chiayi || Chang Gung University College of Medicine, Tao-Yuan || Chang Gung University of Science and Technology, Chiayi",university-affiliated,Chang Gung University,,Taiwan,Chiayi || Tao-Yuan,cystoid macular edema || cytomegalovirus retinitis,clinical_research || medical_imaging || pharmacology || virology,intravitreal methotrexate injection || oral valganciclovir || optical coherence tomography,,,,treatment of cystoid macular edema associated with cytomegalovirus retinitis,149915
Baylor College of Medicine || Texas Children__ Hospital,university-affiliated,,"James Versalovic, MD, PhD",USA,Houston,Irritable Bowel Syndrome,microbiology || clinical_research || bioinformatics || pathology,deep microbiome analysis || metagenomic and metabolic markers || microbiome-based classifier,development of a highly accurate classifier for IBS diagnosis,,,,452241
"Haartman Institute || Skin and Allergy Hospital, Helsinki University Hospital and University of Helsinki || Department of Otorhinolaryngology, Helsinki University Hospital and University of Helsinki || Health and Social Systems Research Unit, National Institute for Health and Welfare",university-affiliated || public,University of Helsinki || Helsinki University Hospital || National Institute for Health and Welfare,,Finland,Helsinki,chronic rhinosinusitis,epidemiology || clinical_research,multilevel Poisson regression models || hospital discharge register data,population-based nationwide design including all patients undergoing ESS in both public and private hospitals in Finland,,philanthropy,analysis of ESS rates and regional variation in Finland,460579
La Jolla Institute for Immunology,,,Toshiaki Kawakami,,,food allergies||anaphylaxis,immunology,,,,,,173126
Massachusetts Institute of Technology (MIT),,,Sangeeta Bhatia||Shengyong Ng,USA,,malaria,pharmacology||cell_biology,induced pluripotent stem cells (iPSCs) derived human liver cells||malaria-in-a-dish method,engineered a 'malaria-in-a-dish' method for drug and vaccine screening,,,screening potential antimalarial drugs and vaccines for liver-stage malaria,137338
"Pediatric HIV Clinic, B J Wadia Hospital for Children",public,B J Wadia Hospital for Children,,India,Mumbai,Immune reconstitution syndrome||HIV infection||giardiasis,clinical_research||immunology||virology||microbiology,,,,,,573479
National Cholesterol Education Program (NCEP)||American Heart Association,public,,,,,High Cholesterol,public_health,,,,,diet plan standard for lowering cholesterol,132519
MD Anderson Cancer Center||University of Texas in Houston,university-affiliated,University of Texas,"Harrys A. Torres, MD",USA,Houston,Hepatitis C,clinical_research||oncology||virology,serologic assay||molecular assay,first prospective study comparing different methods for hepatitis C screening in cancer patients,NCI cancer centers in the United States||cancer centers in France||cancer centers in Canada||cancer centers in Italy,industry grant||government grant,hepatitis C screening in cancer patients,163443
Institute of Digestive Disease || IDD,university-affiliated,,Professor Joseph Sung || Professor Francis Chan || Professor Henry Chan,Hong Kong,,peritonitis || digestive diseases,clinical_research || gastroenterology,,international collaborative research hub || post-graduate education in gastroenterology,Japan || Canada || Australia || New Zealand || Bangladesh || Mainland China,,,401324
Dana-Farber/Boston Children's Cancer and Blood Disorders Center||Liver Tumor Center,,,Dr. Allison O'Neill,USA,,liver cancer||hepatocellular carcinoma||hepatoblastoma,immunology||oncology||clinical_research,immunotherapy drugs||engineered T cell receptor therapy,,Eureka Therapeutics,,,516162
"The Breast Cancer Now Toby Robins Research Centre, The Institute of Cancer Research || Guy's & St Thomas' NHS Foundation Trust || Breast Cancer Now Research Unit, Guy's Hospital, King's College London || Translational Cancer Research Unit (TCRU), GZA Ziekenhuizen || GZA Hospital Sint-Augustinus || The Royal Marsden NHS Foundation Trust",university-affiliated || public,The Institute of Cancer Research || King's College London,Clare M. Isacke || A.N. Tutt,United Kingdom || Belgium,London || Antwerp,breast cancer leptomeningeal metastasis,oncology || clinical_research || genomics,ultra-low-pass whole genome sequencing (ulpWGS) || droplet digital PCR (ddPCR),proof-of-concept for ulpWGS-assessed CSF ctDNA monitoring in BCLM as a potential biomarker to improve current diagnostics and evaluation of treatment response and failure,"collaboration between The Institute of Cancer Research, King's College London, Guy's & St Thomas' NHS Foundation Trust, GZA Ziekenhuizen, GZA Hospital Sint-Augustinus, The Royal Marsden NHS Foundation Trust",government grant || philanthropy || international grant,CSF ctDNA measurement for diagnosis and therapeutic monitoring in breast cancer leptomeningeal metastasis,39625
Flushing Hospital Medical Center||New York Institute of Technology College of Osteopathic Medicine,university-affiliated,,Sangeetha Kolluri||Karan Lal||Robert Chang||Nageswara Mandava,USA,Flushing||Old Westbury,Parathyroid carcinoma,oncology||clinical_research||pathology,ultrasound||sestamibi scan||histopathological examination,,,,surgical excision of parathyroid mass||intraoperative PTH measurement,670870
Cincinnati VA Medical Center,public||university-affiliated,University of Cincinnati,,USA,Cincinnati,Post-Traumatic Stress Disorder (PTSD)||Traumatic Brain Injury (TBI),clinical_research||neuroscience,,,,government grant,PTSD Residential Programs for Men & Women||PTSD/TBI Residential Program,521086
Waco VA Medical Center,public,,,USA,Waco,Legionnaires' Disease,clinical_research||epidemiology,water sampling||urine test,,,,water system disinfection||patient screening,34913
Crystal Touch clinic,,,,,,Bell's palsy||facial synkinesis,,Neuro-Proprioceptive facial Rehabilitation||Synkinetic Correlation,Demonstrated reversibility of facial synkinesis after Bell's palsy,9th World Congress for Neuro-Rehabilitation||International Congress on NeuroRehabilitation and Neural Repair||8th World Congress for NeuroRehabilitation||XXI World Congress of Neurology,,Treatment of Bell's palsy complications||Assessment and prognosis for recovery,389776
London School of Hygiene & Tropical Medicine||CureME||UK ME/CFS Biobank (UKMEB),university-affiliated,,,UK,London,Myalgic Encephalomyelitis||Chronic Fatigue Syndrome,clinical_research||immunology||genetics||virology||epidemiology,biobank||blood sample collection||clinical assessment,first ME/CFS biobank in Europe||systematic collection from house- or bed-bound patients||enabled global research,Action for ME||The ME Association||ME Research UK||studies in Valencia (Spain)||São Paulo (Brazil)||Oxford (UK),philanthropy||international grant||government grant,blood sample and data release for global research||home visits for sample collection,373955
Crucell N.V.,private||corporate research lab,,,Netherlands,Leiden,rabies,immunology||virology||clinical_research,PER.C6® technology||MAbstract® technology,FDA Fast Track designation for rabies monoclonal antibody cocktail,DSM Biologics,,post-exposure prophylaxis of rabies,205699
Woolcock Institute of Medical Research,not-for-profit charity,,,Australia,,Gut Microbiome Imbalance||lung cancer,clinical_research||microbiology||oncology,microbiome testing,first study to show adverse interaction between antibiotics and standard chemotherapy,,,microbiome testing for cancer patients,559382
"Medical Imaging Center || Medical Imaging Department, Raymond Poincaré Hospital || Medical Imaging Department, François Baclesse Center",,,Alexis Lacout || Robert Carlier || Pierre-Yves Marcy,France,Aurillac || Garches || Caen,seronegative spondyloarthropathy,medical_imaging,CT || MRI || digital tomosynthesis || PET scan,,,,early-stage diagnosis of sacroiliitis || prognostic tool for spondyloarthropathy,663681
LynFit,,,,,,hormonal imbalance,others,nutritional supplements||protein shakes,,,,weight loss support for hormonal imbalance,612109
,,,,,,Heart Murmur,pathology||clinical_research,echocardiography,,,,diagnosis of heart valve disease,55997
Baylor College of Medicine || Michael E. DeBakey VA Medical Center,university-affiliated || public,,Gretchen E. Diehl,United States,Houston,Crohn's disease || inflammatory bowel disease || colorectal cancer,immunology || microbiology || clinical_research,mouse model of cigarette smoke exposure || DSS induced-colitis model || flow cytometry || qRT-PCR || Luminex assay,demonstrated Th17 cell-neutrophil axis in cigarette smoke-induced intestinal inflammation,,government grant,,582141
Hospital de Clínicas de Porto Alegre||Universidade Federal do Rio Grande do Sul||Universidade de Cruz Alta,university-affiliated,Universidade Federal do Rio Grande do Sul,Simone Regina Posser||Leila Beltrami Moreira||Carine Cristina Callegaro||Marina Beltrami-Moreira,Brazil,Porto Alegre||Cruz Alta,hypertension||congestive heart failure,clinical_research||cardiology,inspiratory muscle training,,,other,,679426
Fraunhofer Institute for Interfacial Engineering and Biotechnology IGB,,,Dr. Anke Burger-Kentischer,Germany,Stuttgart,Cold Sores,virology||cell_biology,3D herpes infection model||neuronal cell line integration||PCR analysis,Developed 3D herpes infection model simulating virus dormancy and reactivation,,,Drug testing for herpes and shingles||study of infection mechanisms,596243
JSS Hospital Mysuru,,,,,Mysuru,Secondary Peritonitis,clinical_research||microbiology,bacterial culture and sensitivity testing,,,,,658179
St. Louis Clinical Trials,private,,"Daniel Gruener, MD",USA,St. Louis,Schizophrenia||Major Depressive Disorder||Bipolar Mania||Alzheimer's disease||Addiction||Pain Management||Opioid Induced Constipation,clinical_research,,,,,,243714
Medical Research Council,,,,,,Osteonecrosis||multiple myeloma,,,,,,,665728
The Vascular Institute of Michigan,,,"Mohmmed Margni MD, FACS, RPVI",USA,Flint,Peripheral Arterial Disease (PAD),clinical_research,Angiogram||IVUS||pedal access,leaders in pedal access||leaders in limb salvage and preservation,,,free PAD screening||individualized patient care,521436
Allegiance Health || Centers for Disease Control and Prevention,,,,USA,Jackson,Poison Oak Rash,,,,,,,116244
Lake Erie Research Institute,,,"Phyllis Kuhn, MS, PhD",USA,,restless legs syndrome,clinical_research,adjustable foot wrap,clinical trial showing RLS device more effective than standard pharmaceutical treatment,,,nonpharmaceutical treatment for restless legs syndrome,244475
AdventHealth DeLand,private,,,USA,DeLand,sleep apnea||narcolepsy||restless legs syndrome (RLS),clinical_research,sleep study||CPAP||BiPap,The sleep center in DeLand is accredited by The Joint Commission on Accreditation of Hospitals,,,,280277
D&P Medical Group,private,,,USA,Pittsburgh,Diabetic Peripheral Neuropathy,clinical_research||others,compounded pharmaceutical application,,,,treatment of Diabetic Peripheral Neuropathy,312090
Herbert Irving Comprehensive Cancer Center at Columbia University Medical Center||NewYork-Presbyterian Hospital,university-affiliated||public,Columbia University Medical Center||Columbia University College of Physicians and Surgeons,Dr. James McKiernan,USA,New York City,bladder cancer,oncology||clinical_research,,National Cancer Institute (NCI)-designated comprehensive cancer center,,government grant,second line medical option for bladder cancer unresponsive to standard therapy,181225
"Health Sciences University Derince Training and Research Hospital Clinic of General Surgery || Dicle University School of Medicine, Department of General Surgery || Ali Osman Sönmez Oncology Hospital Clinic of General Surgery || Bursa Yüksek İhtisas Training and Research Hospital",public || university-affiliated,Health Sciences University || Dicle University,Mehmet Tolga Kafadar,Turkey,Kocaeli || Diyarbakır || Bursa,cholelithiasis,clinical_research,laparoscopic cholecystectomy,,,self funded,preoperative oral carbohydrate solution for laparoscopic cholecystectomy,51442
Case Western Reserve University School of Medicine,university-affiliated,Case Western Reserve University,,USA,Cleveland,shingles,clinical_research||virology,,,,,,411728
Armauer Hansen Research Institute || AHRI,,,Abraham Aseffa Aseffa || Ahmed Bedru Omer,Ethiopia,Butajira,Meningococcal Meningitis,clinical_research || epidemiology || immunology,Mencevax ACW polysaccharide vaccine || serological antibody measurement (SBA titres) || ELISA Men A IgG,Safety of a trivalent meningococcal ACW135 vaccine among young children in Ethiopia,,,immunization with Mencevax ACW polysaccharide vaccine in rural Ethiopian communities,227388
Emory University sleep research team||Emory University||University of Wisconsin,university-affiliated,Emory University||University of Wisconsin,David Rye||Lynn Marie Trotti||Andy Jenkins||David Plante,USA,Atlanta||Madison,idiopathic hypersomnia||Narcolepsy Type 2||Kleine-Levin-Syndrome||myotonic dystrophy,neuroscience||clinical_research||biochemistry||genomics||pharmacology,MSLT||EEG||FDG-PET||fMRI||Diffusion Tensor Imaging||proteomics||metabolomics||genetic analysis,development of Hypersomnia Severity Index||collection of large biorepository of samples,Emory University sleep research team and collaborators,government grant||philanthropy,clinical trials of Pentylenetetrazol (PTZ)||use of flumazenil in treatment-resistant hypersomnia,275283
"Department of Gastroenterology, SMS Medical College",university-affiliated,SMS Medical College,Shekhar Puri||Mukesh Jain||Kumar Shwetanshu Narayan||Sudhakar Pandey||Sandeep Nijhawan,India,Jaipur,Helicobacter pylori infection||liver cirrhosis||portal hypertensive gastropathy,clinical_research||microbiology,upper gastrointestinal endoscopy||rapid urease testing,,,,,103032
Ege University School of Nursing,university-affiliated,,,Turkey,İzmir,Gastroesophageal Reflux Disease (GERD),clinical_research,Reflux Disease Questionnaire (RDQ),Validation of the Reflux Disease Questionnaire for Turkish population,,,,643851
South Tees Hospitals NHS Foundation Trust,public,NHS England,George Antunes||Rehan Mustafa,UK,Middlesbrough,Long COVID,clinical_research||public_health,,,,government grant,physical and psychological assessments||medical therapies||rehabilitation services,556312
"Department of Urology, Charlotte Maxeke Johannesburg Hospital, University of the Witwatersrand || Department of Urology, University of the Witwatersrand",university-affiliated,University of the Witwatersrand,,South Africa,Johannesburg,Benign Prostatic Hyperplasia (BPH),clinical_research || epidemiology,transrectal ultrasound (TRUS),,,self funded,,373598
"The Public Service Platform for Industrialization Development Technology of Marine Biological Medicine and Product of State Oceanic Administration, Fujian Normal University || Center of Engineering Technology Research for Microalgae Germplasm Improvement of Fujian, Southern Institute of Oceanography, Fujian Normal University || Biotechnology Institute, Fujian Academy of Agricultural Sciences",university-affiliated || public,Fujian Normal University || Fujian Academy of Agricultural Sciences,,China,Fuzhou,Vibrio vulnificus Infection,immunology || microbiology || clinical_research,CpG oligodeoxynucleotides immunomodulation || zebrafish infection model || gene expression analysis,Demonstrated protective effect of CpG-ODN 2007 against Vibrio vulnificus infection in zebrafish,,,Immunomodulator for controlling bacterial disease in fish,466062
CRPS Institute,,,,,,Complex Regional Pain Syndrome (CRPS),,Ketamine infusions,,,,,395828
Ben-Gurion University of the Negev (BGU) || Cannabis Clinical Research Institute || Soroka Cannabis Clinical Research Institute,,,Victor Novack,Israel,,cancer || Parkinson's disease || Crohn's disease || post-traumatic stress disorder || ulcerative colitis || multiple sclerosis,clinical_research,,,,,,303784
University of Colorado Cancer Center||Rocky Mountain Cancer Center,university-affiliated||private,University of Colorado School of Medicine,"Paul Bunn, MD||Robert Jotte, MD, PhD",USA,Denver,Advanced Non-Small Cell Lung Cancer (NSCLC),oncology||clinical_research,biomarker tumor testing||HDAC inhibitors||EGFR inhibitors||combination therapy (entinostat and erlotinib),identification of E-cadherin as a targetable cancer marker||improved survival in NSCLC patients with high E-cadherin expression,Syndax Pharmaceuticals,government grant||industry grant,combination therapy for NSCLC patients with elevated E-cadherin,210088
Sanford-Burnham Medical Research Institute||Stanford University School of Medicine,,,Dr. Pilar Ruiz-Lozano,USA,La Jolla||Stanford,Heart Failure,clinical_research,Mouse knockout models,Discovery of new heart failure trigger,,,,482710
Mashhad University of Medical Sciences,university-affiliated,,,Iran,Mashhad,Premenstrual Syndrome,clinical_research||others,cognitive-behavioral group therapy||nutritional strategies based on traditional medicine,,,,reduced symptoms of depression and physical symptoms in PMS,674137
Institut Pasteur,,,,,,Leptospirosis,microbiology||epidemiology,leptospiral identification methods||gene amplification,identification of several virulence factors in Leptospira,FAO/WHO Collaborating Center for Epidemiology of Leptospirosis,,,449754
Desert Springs Hospital,,,"Arjun Gururaj, MD, FACC||Chris Loftus",USA,,Irregular Heart Rhythm||Atrial Fibrillation,clinical_research,non-fluoroscopic catheter ablation||ultrasound guidance||3D mapping,first non-fluoroscopic AFib ablation filmed in the U.S.,,,non-fluoroscopic catheter ablation for AFib patients,343387
Walter and Eliza Hall Institute of Medical Research,public,,David Vaux || Suzanne Cory || Jerry Adams || David Huang || Andrew Roberts || Julian Clark,Australia,Melbourne,chronic lymphocytic leukemia,oncology,BH3-mimetic drug || Bcl-2 inhibition,discovery of Bcl-2 role in leukemia cell survival || development of ABT-199,Abbott || Genentech || Cancer Trials Australia,,clinical trial for CLL,92851
Naval Medical Research Center||Uniformed Services University of the Health Sciences||Aplix Research Inc,public||university-affiliated||private,Uniformed Services University of the Health Sciences,,USA,Silver Spring||Gaithersburg,Bartonellosis,microbiology||clinical_research||molecular_biology,quantitative PCR||genome sequence analysis,developed a highly sensitive qPCR assay for Bartonella bacilliformis,,government grant,detection of Bartonella bacilliformis in clinical and vector samples,557506
Yale Center for Reproductive Biology,university-affiliated,Yale University,"Hugh S. Taylor, MD",USA,New Haven,endometriosis,clinical_research,,,,,,443870
"South West Sydney Limb Preservation and Wound Research Academic Unit || High-Risk Foot Service, Liverpool Hospital || Medical and Podiatry School, University of Pisa || Institute for Wound Research, University of Florida || Monash Institute for Health and Clinical Education, Monash University || Austin Repatriation Hospital",university-affiliated || public,Western Sydney University || University of Pisa || University of Florida || Monash University,Matthew (Director of Research) || Professor Alberto Piaggesi || Professor Greg Schultz || Associate Professor Geoff Sussman || Nikki Frescos,Australia || Italy || USA,Sydney || Pisa || Gainesville,diabetic foot || diabetes related foot wounds || lower limb complications of diabetes || diabetic foot infections,clinical_research || microbiology || pathology,molecular techniques || microscopy techniques,member of the International Working Group for the Diabetic Foot (IWGDF) diabetic foot infection guidelines working group || founder of the Association of Diabetic Foot Surgeons (ADFS) || scientific responsible and organiser of the Italian and the International residential course on the management on lower limb complications of diabetes,International Working Group for the Diabetic Foot (IWGDF) || European Wound Management Association (EWMA),,,237337
Relevium||NUIG||HiTech Health,,,Dr. Alison Liddy,Ireland,Galway,osteoarthritis of the knee,,hydrogel-based painkiller,preclinical testing of Hydrobloc,,government grant,pain relief and joint lubrication for six months,387831
Chaim Sheba Medical Center,public,,Arnon Nagler,Israel,Ramat Gan,Acute Graft versus Host Disease,immunology||oncology,,,,,,459457
Imperial College Healthcare NHS trust || Imperial College London || St Mary's hospital || Imperial Weight Centre || Imperial Centre for Patient Safety and Service Quality (CPSSQ),public || university-affiliated,Imperial College London,Mr Krishna Moorthy,UK,London,hiatus hernia || gastro-oesophageal reflux disease || oesophageal achalasia || cancers of the stomach || cancers of the oesophagus || obesity,clinical_research || surgery,laparoscopic surgery || single incision surgery || simulation for surgical training,development of the WHO surgical checklist,,,surgical skills training programmes || patient safety training,475424
VUmc||VU Medical Center,university-affiliated,,Prof. Dr. Guus van Dongen,Netherlands,Amsterdam,head and neck cancer,oncology||medical_imaging,immuno-PET||TKI-PET||photoimmunodetection||radiolabeled monoclonal antibodies||Zirconium-89 labeling,more than 20 antibody conjugates into first-in-man studies,University Medical Center Groningen||St. Radboud Medical Center Nijmegen||University Hospitals Brussels||University Hospitals Antwerp||EATRIS,,first-in-man studies of antibody conjugates,293152
Centre de Recherches Médicales de Lambaréné (CERMEL),,,Dr. Ghyslain Mombo-Ngoma,Gabon,Lambaréné,malaria||HIV/AIDS||filariasis||schistosomiasis||onchocerciasis,epidemiology||clinical_research||public_health,,,ISGlobal||Medical University of Vienna||BNITM Hamburg||AMC Amsterdam||University of Tübingen||Novartis||Merck||CISM Manhiça||MMV,international grant,clinical trials for malaria control||treatment regimens for filarial diseases including onchocerciasis,677986
"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico || CSL Behring",,,Elena Santagostino,Italy || USA,Milan || King of Prussia,Hemophilia B,clinical_research,recombinant coagulation factor IX with recombinant albumin (rIX-FP),prolonged dosing intervals of up to 14 days with rIX-FP for routine prophylaxis,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico || CSL Behring",,routine prophylaxis in previously-treated people with hemophilia B,21790
Revlon/UCLA Breast Center,university-affiliated,UCLA,,USA,Los Angeles,Advanced Breast Cancer,oncology||clinical_research,chemotherapy,,,,neoadjuvant treatment,51178
"Division of Otorhinolaryngology, Department of Surgery, Queen Mary Hospital, University of Hong Kong Medical Center",university-affiliated,University of Hong Kong Medical Center,Lawrence C.K. Chow||Y. Hui||Dennis K.K. Au,China,Hong Kong,Neurosarcoidosis,clinical_research||pathology,audiogram||transient evoked otoacoustic emissions (TEOAEs)||distortion product otoacoustic emissions (DPOAEs)||auditory brainstem response (ABR)||magnetic resonance imaging (MRI)||serologic testing||histopathology,,,,diagnosis of sarcoid-induced hearing loss,181651
Johns Hopkins' Stiff Person Syndrome Center,public||university-affiliated,Johns Hopkins Medicine,,USA,,Stiff Person Syndrome,clinical_research||neuroscience,clinical database||whole body FDG-PET/CT||neurophysiological studies (EMG),maintains a huge database of clinical findings and outcomes,,,,529557
Microbiome Research Centre||MRC,university-affiliated,UNSW Sydney,Professor Emad El-Omar||Professor Michael Grimm||Professor Georgina Hold,Australia,Sydney,inflammatory bowel disease||gastrointestinal cancer||Helicobacter pylori infection,microbiology||immunology||bioinformatics||clinical_research,bioinformatics algorithms||multi-omic technologies,Crohn__ and Colitis Australia scholarship,Fulbright Scholarship||Harvard School of Public Health,,IBD clinic that uses biologic therapy,223208
Emory University,university-affiliated,Emory University,,USA,Atlanta,vestibular neuritis||Meniere's disease||benign paroxysmal positional vertigo (BPPV)||dizziness||vertigo||balance disorders,neuroscience||clinical_research,,,,,,651189
Massachusetts Institute of Technology (MIT),university-affiliated,,,USA,,Lyme disease,clinical_research||medical_imaging,RightEye vision system||eye tracking technology,,RightEye,,,462795
