,disease_name,disease_type,pathogenesis,etiology,diagnostic_methods,common_symptoms,complications,affected_organs,treatments,drugs,prognosis,sequelae,epidemiology,risk_factors,preventive_measures,diagnosis_challenges,treatment_challenges,quality_of_life_impact,id
10,Opioid-Induced Constipation,iatrogenic,iatrogenic,opioid use,clinical_evaluation,"difficult defecation||painful defecation||incomplete bowel-emptying||decreased frequency of emptying||hard, lumpy stools||straining",abdominal pain||pain aggravation,bowels||gastrointestinal tract,lifestyle_modification||oral_medication||dietary_intervention,osmotic laxatives||tricyclic antidepressants||amitriptyline||nortriptyline,variable,,27% of constipated patients relate constipation to medications||approximately 30% of patients with constipation are on opioid treatments for chronic pain||about 34% may develop constipation after starting opioids,opioid use||chronic pain condition,lifestyle_modification||health_education||dietary_management,difficult to define onset after opioid initiation||lack of prior symptom inquiry,failure of first and second line laxative treatment||need for specialist medications,quality_of_life_decline||work_disability||absenteeism,61
11,Rocky Mountain Spotted Fever||RMSF,infectious||inflammatory||vascular,infectious_bacterial||inflammatory||vascular,Rickettsia rickettsii infection||tick-borne,laboratory_test||imaging,rash||fever||hyponatremia,encephalitis,skin||blood vessels||brain||cerebral white matter,oral_medication,doxycycline,high_mortality||full_recovery,,most common rickettsial disease in United States||age-related annual incidence 0.5-3 per million||reported in almost every state||higher rates in Native Americans||highest rates in Oklahoma||annual incidence 277.2 per million in Southern plains||annual incidence 104.6 per million in East||annual incidence 49.4 per million in Southwest,infection||environmental_exposure||other,,low sensitivity in early illness||delays in recognizing rash in darker-skinned individuals,higher risk of death with antibiotics other than doxycycline,,135
12,Acute Graft-Versus-Host Disease,iatrogenic||inflammatory,iatrogenic||inflammatory,bone marrow transplantation,,abdominal pain||hair loss||hepatitis||lung disorders||digestive tract disorders,,abdomen||liver||lung||digestive tract||skin,injection,Prochymal,high_mortality,,"3,500 to 4,000 children worldwide; up to 80% mortality",,,,,,74
13,Pyoderma gangrenosum,inflammatory,inflammatory,,,pain||ulceration,,skin,oral_medication,prednisolone||ciclosporin,,,,,,,,quality_of_life_decline,1769
14,Herpes Simplex Virus Infection||cold sores||genital herpes,infectious||genetic,infectious_viral||genetic_mutation,herpes simplex virus infection||genetic predisposition,,cold sores,dementia,facial skin||genital area,,,,,about 70 percent of the U.S. population,genetic_predisposition,vaccination,,,quality_of_life_decline,83
15,Asthma,autoimmune||allergic,autoimmune||allergic,allergic reaction||hypersensitivity||vitamin D deficiency,,wheezing||chest tightness||shortness of breath||coughing,,respiratory system,oral_medication||inhaler||dietary_intervention,Calcort||salbutamol||theophylline||vitamin D,,,mostly occurs during childhood,smoking||obesity||vitamin D deficiency,dietary_intervention,,,,1635
16,Legionnaires' Disease,infectious,infectious_bacterial,"Legionella bacteria in water systems such as poorly maintained air-conditioners, residential hot water systems and swimming pools",clinical_evaluation,fever||gastrointestinal issues||chest pain||shortness of breath||confusion,pneumonia,lungs,oral_medication,antibiotics,full_recovery||low_mortality,,"more common in older adults, smokers, alcoholics, people with cancer, diabetes, chronic respiratory or kidney disease, or weakened immune systems",age||smoking||alcohol_consumption||cancer||diabetes||chronic_disease||immunosuppression,environmental_control,,,,94
17,Cystic Fibrosis,genetic,genetic_mutation,,,,,lungs||pancreas,,,,,,,,,,,1361
18,Antibiotic-associated diarrhea,iatrogenic||infectious,iatrogenic,antibiotic use,,loose bowel motion||diarrhea,dehydration,gastrointestinal tract||intestine,dietary_intervention,probiotics,,,,,dietary_intervention,,,,103
19,Hemophilia B,genetic,genetic_mutation,lack of functional factor IX (FIX),,chronic pain||acute pain||bleeding||joint bleeds||mobility problems||pain/discomfort||anxiety||depression,arthritis||anxiety||depression||high blood pressure||gingivitis,joints||gums,injection,recombinant factor IX||Alprolix,chronic_condition||quality_of_life_impairment,chronic pain||mobility impairment,more common in males||median age 47,,,,high rates of chronic pain||high analgesia use||need for multidisciplinary care,mobility_impairment||chronic_pain||anxiety||depression||self_care_difficulty||quality_of_life_decline,106
20,Attention-Deficit Hyperactivity Disorder,psychiatric,,,clinical_evaluation,behavioral issues||developmental delay||learning disabilities||mood disorder||irritability,adverse educational outcomes||repeating a grade||special education services||expulsion||suspension,central nervous system,oral_medication||psychotherapy||lifestyle_modification,Ritalin||Adderall||Prozac||Strattera||antipsychotic drugs||antidepressants,chronic_condition||quality_of_life_impairment||variable,,8–10% of children in southeastern Virginia medicated for ADHD in mid-1990s||17% of white boys medicated in school for ADHD||63% of children young for their grade medicated for ADHD in one district||9% of students received ADHD medication in school||17% of all students in grades two through five had ADHD by parent report||33% of white boys (grades 2–5) purported to have ADHD||CDC: 11% of American children currently diagnosed with ADHD||CDC: 14% will receive a diagnosis of ADHD before age 15–17||CDC: nearly 20% of American boys diagnosed with ADHD by 15–17 years||ADHD is the most prevalent mental health diagnosis among children 3–17 years of age,gender||age||other,,nonspecific symptoms||disease mimics,overdiagnosis||overtreatment||polypharmacy||side effects||drug abuse||diversion||poor long-term efficacy,quality_of_life_decline||educational impairment||emotional_distress,109
21,Microcytic Anemia,genetic||congenital||nutritional||inflammatory||toxic||others,genetic_mutation||nutritional_deficiency||inflammatory||toxic||other,thalassemia||iron deficiency||chronic disease||lead poisoning||sideroblastic anemia,laboratory_test,pale skin||pale color inside the eyelids||pale color under the nails||weakness||tiredness||irritability||shortness of breath||rapid heart rate||pica,organ damage||death,red blood cells||bone marrow||critical organs,oral_medication||injection||surgery||dietary_intervention||others,iron supplements||antibiotics||hormones,full_recovery||partial_recovery||chronic_condition||variable,,8-44 percent in older men,genetic_predisposition||age||gender||chronic_disease||environmental_exposure||exposure_to_toxins||unhealthy_diet,dietary_management,asymptomatic||nonspecific symptoms,,fatigue,110
22,Birth Control Heart Attack,vascular||iatrogenic,vascular||iatrogenic,use of drospirenone/ethinyl estradiol birth control pills,clinical_evaluation||laboratory_test||imaging,chest pain||chest pressure||chest squeezing||arm pain||jaw pain||neck pain||stomach pain||fatigue,stroke||life-threatening clots in legs||life-threatening clots in lungs||arrhythmia||loss of heart function||death,heart||arteries||legs||lungs,surgery||drug_therapy||lifestyle_modification||others,insulin||glucose||calcium,high_mortality||quality_of_life_impairment||variable,,"women taking drospirenone/ethinyl estradiol birth control pills are two-to-three times more likely to develop blood clots than women taking birth control pills that do not contain this hormone combination||women as young as 35 who took Yaz, Beyaz, Yasmin, and similar drugs had elevated rates of myocardial infarction, or heart attack",age||drug_use,stop taking potentially harmful drugs,,,,116
23,Urinary Tract Infection,infectious||inflammatory,infectious_bacterial||inflammatory,bacterial exposure||injury,laboratory_test,inability to urinate||straining while trying to urinate||cloudy urine||bloody urine||excessive licking of the genital area||back pain||vomiting,,urinary tract,oral_medication,antibiotics,,,,,,,drug resistance,,132
24,Prostate Cancer,neoplastic,neoplastic,,laboratory_test||screening||clinical_evaluation||imaging,urinary_obstruction||enlarged_prostate,kidney_failure||acute_kidney_injury||urinary_obstruction||metastasis_to_liver||metastasis_to_bone||metastasis_to_lung||metastasis_to_lymph_nodes,prostate||kidney||bladder||liver||bone||lung||lymph_nodes,surgery||hormone_therapy||chemotherapy,finasteride,high_mortality||progressive||quality_of_life_impairment,chronic_kidney_disease,more_common_in_males||elderly_men||second_leading_cause_of_cancer_death_in_Australian_men,age||gender,screening,nonspecific_symptoms,side_effects||renal_failure_risk,urinary_dysfunction||sexual_dysfunction||quality_of_life_decline||anxiety,134
25,Gastroesophageal Reflux Disease||GERD,inflammatory,inflammatory,abnormalities of the antireflux barrier (lower esophageal sphincter),clinical_evaluation||endoscopy||functional_test,heartburn||chest pain||chronic hoarseness||chronic cough||regurgitation,erosive esophagitis||Barrett's esophagus||peptic esophageal strictures,esophagus,oral_medication||lifestyle_modification||surgery,omeprazole||lansoprazole||rabeprazole||pantoprazole||esomeprazole||cimetidine||ranitidine||baclofen||loxiglumide||morphine,chronic_condition||high_recurrence_risk||quality_of_life_impairment,,most common upper gastrointestinal disorder in the Western Hemisphere,,,,drug resistance||frequent relapse||side effects||poor adherence,quality_of_life_decline,1534
26,Thoracic Outlet Syndrome,traumatic||vascular||congenital||others,vascular||traumatic||congenital||other,injury in an automobile or motorcycle accident||repetitive stress injuries from sports or employment||pregnancy||anatomical differences like having an extra rib,clinical_evaluation,muscle wasting in the hands||numbness and tingling in the arms and fingers||aches and pains in the shoulder area||arm pain and swelling||weakening grip and arm strength,permanent nerve damage,nerves||veins||shoulders||hands||arms,physical_therapy||oral_medication||surgery,naproxen||ibuprofen,chronic_condition,permanent nerve damage,rare,injury in an automobile or motorcycle accident||repetitive stress injuries from sports or employment||pregnancy||anatomical differences like having an extra rib,,nonspecific symptoms||disease mimics,,chronic_pain||work_disability,156
27,Onchocerciasis,infectious||parasitic,infectious_parasitic,Onchocerca volvulus||black fly bite,,skin itching||vision impairment,,skin||eyes,oral_medication,Ivermectin,,,,,,,,,165
28,Depression,psychiatric,,,,,suicide,,,,,,over 322.48 million worldwide||more than 14 percent of India's population||majority older adult females in India,stress||bullying victimization||childhood sexual abuse||intimate partner violence||lead exposure||unhealthy lifestyles||financial stress||job cuts||social isolation,,,,quality_of_life_decline||social_isolation,1999
29,Opioid Addiction,,,,,,,,oral_medication,Suboxone||methadone||Vivitrol||naltrexone,,,"dealers from bigger cities are plying Jamestown with heroin||the town has experienced previously unseen gun violence including drive-by shootings, as well as a spike in property crimes linked to heroin||In 2012 Jamestown formed a metropolitan drug task force focused on the heroin influx. That same year, the task force seized 119 bags of heroin. In 2013 it seized 826 bags; in 2014, it seized 5,110 bags, which equates to 18 ounces; in 2015, it seized 31.6 ounces. In 2016 police confiscated 1,100 bags, though locals say the drug was as prevalent as ever.",occupational_exposure||chronic_pain||injury,,,poor_access||regulation||insurance_coverage||addiction_to_treatment_drugs,,670
30,Ear Infections,infectious||inflammatory,infectious_bacterial||infectious_viral||inflammatory,bacterial infection||viral infection,,pain||fussiness||reduced appetite||picking at ears,,ears,oral_medication||lifestyle_modification||others,antibiotics||pain medication||garlic mullein oil,high_recurrence_risk||full_recovery,,reoccurring in toddlers,,,,frequent relapse||symptom masking,emotional_distress||quality_of_life_decline,195
31,Lyme Disease,infectious,infectious_bacterial,,,,,,oral_medication,antibiotics,full_recovery||chronic_condition,,"300,000 Americans infected annually||up to 30,000 do not recover after treatment",,,,,quality_of_life_decline,1709
32,Opiate Dependency,psychiatric||toxic,toxic,substance abuse||heroin||prescription pain killers,,dependence,lost productivity||family problems||crime,,oral_medication||others,methadone,variable,,"permeated every generation, strata of society, and culture",chronic pain||surgery||sickle-cell||cancer,health_education||early_detection,,painful withdrawals||not very successful,loss of self esteem||loss of jobs||loss of families||loss of lives||social outcasts||criminals,214
33,Duchenne muscular dystrophy,genetic||degenerative,genetic_mutation||degenerative,genetic mutation,,muscle degeneration||muscle weakness||difficulty in walking||difficulty in breathing,heart damage||death in 20s or 30s,muscles||heart,injection||oral_medication,eteplirsen,high_mortality||progressive||quality_of_life_impairment,,nearly half of patients with DMD could benefit from new treatment||about 13 per cent of DMD patients eligible for eteplirsen,,,,limited applicability of current drugs||cost||regulatory hurdles,mobility_impairment||quality_of_life_decline,216
34,Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),iatrogenic||vascular,iatrogenic||vascular,AstraZeneca Covid-19 vaccine,clinical_evaluation||imaging,neck pain||headaches||bruising,stroke||catastrophic brain bleeds||cerebral blood clots||cerebral infarction,brain,,,high_mortality||disability,,"438 cases in UK, 79 deaths (as of 23 February 2022)",vaccination,,,,,217
35,Allergic Reactions,allergic,allergic,,,sneezing||runny nose||itchy eyes||skin rashes||redness of the eyes,,,oral_medication,acrivastine,,,,,,,,,221
36,Poison Oak Rash,allergic||toxic,allergic||toxic,exposure to urushiol from poison oak,,itch||blisters||rash,,skin,oral_medication||others,Itch-X||Zanfel||Caladryl||Diprolene AF||Prednisone||Deltasone,,,,environmental_exposure,,,side effects||scarring,,225
37,Postpartum Depression and Anxiety,psychiatric,,,,excessive worry||fear||extreme sleep deprivation||difficulty sleeping||anger||frustration,,,psychotherapy,,,,1 out of 6 women experience a perinatal mood disorder or strong feelings of depression and/or anxiety within a year of the birth of their child,,,,,emotional_distress||stigma||social_isolation||quality_of_life_decline,226
38,Acute Appendicitis,inflammatory,,,clinical_evaluation||imaging,abdominal pain||palpable mass||obstruction||distension,,appendix,surgery,,,,less than 10% negative appendectomy in men||up to 20% negative appendectomy in women,,,imaging_limitations||operator_dependence,,,230
39,Influenza,infectious||inflammatory,infectious_viral||inflammatory,viral infection,clinical_evaluation,fever||difficulty breathing||vomiting||dehydration||dry lips||sunken eyes||listless||not eating,,respiratory system,vaccination||oral_medication,acetaminophen||ibuprofen,,,infects adults and children||flu season in North Texas||contagious as early as one day before symptoms develop – and up to five to seven days after,age||infection,vaccination,,,,232
40,Diabetes Mellitus,metabolic||endocrine,metabolic_disorder||endocrine_disorder,lack of insulin production||insulin resistance,laboratory_test,polyuria||polydipsia||weight loss||increased appetite||decreased appetite||cloudy eyes||chronic infections||recurring infections,metabolic starvation,pancreas||kidney||eye||skin||heart,injection||laboratory_test||dietary_intervention||lifestyle_modification,insulin||prednisone,chronic_condition||quality_of_life_impairment||life_threatening,,more common in female dogs||diagnosed in dogs age 7-10 years||diagnosed in cats age 6 years and older,obesity||hyperadrenocorticism||hyperthyroidism||pancreatitis||heart disease||kidney disease||urinary tract infections||skin infections||long-term use of corticosteroids,,,management complex,quality_of_life_decline,1954
41,Irritable Bowel Syndrome,idiopathic||inflammatory||psychiatric||others,idiopathic||inflammatory||other,unknown||gastrointestinal infection||stress||anger||microbial imbalance||endocannabinoid deficiency,clinical_evaluation,nausea||abdominal pain||cramping||gas||bloating||constipation||diarrhea||weight loss||rectal bleeding,depression||anxiety||panic disorders||psychotic disorders,large intestine||small intestine||colon,oral_medication||lifestyle_modification||dietary_intervention||others,THC||CBD,chronic_condition||quality_of_life_impairment||variable,,very common||more common in females||afflicts all ages||often young adults,infection||stress||other,,,poor efficacy||serious side effects||lack of clinical evidence,quality_of_life_decline||anxiety||depression,243
42,Low Back Pain,degenerative||traumatic||inflammatory||infectious||neoplastic||idiopathic||others,degenerative||inflammatory||traumatic||infectious_bacterial||neoplastic||idiopathic||other,musculoskeletal_strain||herniated_disc||compressed_nerve_root||degenerative_disc||joint_disease||vertebral_fracture||tumor||inflammatory_condition||infection||gallbladder_disease||kidney_stone||kidney_infection||aortic_aneurysm,clinical_evaluation||imaging,lower_back_pain||tenderness||diffuse_pain||coordination_impairment||bladder_control_loss||bowel_control_loss||sleep_disturbance,muscle_weakness||nerve_compression||disability,lumbar_spine||muscles||ligaments||tendons||discs||bones||nerves,oral_medication||physical_therapy||lifestyle_modification||surgery||injection||dietary_intervention,acetaminophen||paracetamol||NSAIDs||skeletal_muscle_relaxants,full_recovery||partial_recovery||chronic_condition||disability||variable,chronic_pain||disability,40_percent_lifetime_prevalence||up_to_80_percent_in_developed_world||80_percent_of_adults_experience,age||trauma||physical_activity||other,lifestyle_modification||regular_exercise||dietary_management,nonspecific_symptoms,side_effects||addiction_risk||negative_drug_interactions,chronic_pain||mobility_impairment||sleep_disorders||work_disability,251
43,Acne,infectious||inflammatory,infectious_bacterial||inflammatory,,,,,,oral_medication||lifestyle_modification,amoxicillin||ampicillin,,,,,,,drug resistance||side effects,,1416
44,Periodontal Disease,infectious||inflammatory,infectious_bacterial||inflammatory,bacteria||genes||disease||trauma,clinical_evaluation||imaging,bleeding from the gums||bone loss||excessive tooth mobility||gum recession||exudate pus||clear fluid along or under the gumline,periodontal pockets,gums||bone,surgery||oral_medication,antibiotics,,,,,personal_hygiene,,,,263
45,Panic Disorder,psychiatric,,,,recurrent panic attacks||severe anxiety||rapid heart rate||difficulty breathing||heart races||palms get sweaty||can't breathe||lightheaded||intense fear of dying,agoraphobia||irritable bowel syndrome||asthma||migraine||atypical chest pain,,,,,,,,,,,work_disability,273
46,Trigeminal Neuralgia,idiopathic||degenerative||vascular||traumatic||infectious||neoplastic||others,idiopathic||degenerative||vascular||traumatic||infectious_viral||neoplastic||other,compression of trigeminal nerve||tumour||pressure from blood vessels||aneurysm||multiple sclerosis||nerve injury||shingles||post-herpetic neuralgia||trauma||infection||degeneration of teeth or jaw||ageing process,clinical_evaluation||imaging,"unilateral facial pain||paroxysmal pain||sudden severe pain||sharp pain||stabbing pain||burning pain||shooting pain||electric shock-like pain||pain triggered by touch, eating, washing, shaving, brushing teeth, or talking||pain intensifies over time||pain spreads to larger areas of the face||background dull aching pain||continuous pain||wincing",poor oral hygiene||weight loss||reluctance to socialise||depression||anxiety,trigeminal nerve||face,oral_medication||surgery||physical_therapy||psychotherapy||others,carbamazepine||phenytoin||lamotrigine||gabapentin||baclofen||amitriptyline||capsaicin||mexiletine||clonazepam||local anaesthetics||non-steroidal anti-inflammatory drugs||opioids,chronic_condition||progressive||remission_possible||quality_of_life_impairment||variable||unknown,,"prevalence 1 per 1,000||average age of onset 50||more common in women||incidence increases with age",age||gender||family_history||other,,nonspecific symptoms||lack of objective tests||normal physical and neurological examinations,drug side effects||treatment intolerance||insufficient evidence for many interventions||complex pain management,chronic_pain||anxiety||depression||social_isolation||quality_of_life_decline||self_care_difficulty||dietary_restriction,277
47,Irregular Heart Rhythm,vascular||iatrogenic,iatrogenic,azithromycin (Zithromax or Zmax) use,clinical_evaluation||functional_test,irregular heartbeat||shortness of breath||dizziness||fainting,death,heart,,azithromycin||Zithromax||Zmax,high_mortality,,,slower than normal heart rate||use of certain drugs prescribed to treat arrhythmias||existing QT interval prolongation,,,,,278
48,Chronic Fatigue Syndrome||myalgic encephalomyelitis,psychiatric||infectious_viral||idiopathic,psychiatric||infectious_viral||idiopathic,psychological factors||stress||viruses related to mouse leukemia viruses,clinical_evaluation,fatigue||physical functioning impairment,,,psychotherapy||physical_therapy||lifestyle_modification,antiretroviral drugs,chronic_condition||quality_of_life_impairment,,,stress,,nonspecific symptoms||variable diagnostic criteria,poor insurance coverage||treatment may worsen symptoms||exclusion of severe cases,fatigue||disability||quality_of_life_decline,288
49,Anxiety Disorders,psychiatric,,stress||substance abuse||job stress,clinical_evaluation,headache||irrational fear||nervousness||nausea||vomiting||panic attacks||fear||excessive worry||sweating,,,oral_medication||psychotherapy||lifestyle_modification||dietary_intervention||regular_exercise||relaxation_techniques||meditation,,,,An estimated population of around 20million adults in America is affected with some form of anxiety disorders.,alcohol_consumption||smoking||stress||unhealthy_diet||caffeine,lifestyle_modification||regular_exercise||dietary_management||relaxation_techniques||meditation,,side effects,quality_of_life_decline||emotional_distress,291
50,Fibromyalgia,neurological||metabolic||chronic,neurological_disorder||metabolic_disorder,Clinical Endocannabinoid Deficiency (CECD) (under study)||unknown,,chronic fatigue||joint stiffness||insomnia||overall weakness||digestive trouble||headache||anxiety||fibro fog,,nervous system||joints||digestive system,oral_medication||lifestyle_modification||others,medical marijuana||Nabilone||Lyrica||Cymbalta||Savella,chronic_condition||quality_of_life_impairment,,over five million Americans||most are women,gender,,misdiagnosis||misunderstood,current medical treatments fall far short||side effects of pharmaceutical drugs,chronic_pain||fatigue||sleep_disorders||anxiety||cognitive_impairment||quality_of_life_decline||self_care_difficulty,1206
51,Idiopathic Intracranial Hypertension,idiopathic,idiopathic,,clinical_evaluation||imaging||laboratory_test||functional_test,blurred vision||papilloedema||macular oedema||visual field abnormality,visual field defects||permanent visual loss,optic nerve||eye||nervous system,oral_medication,acetazolamide||oral corticosteroids,partial_recovery||variable,visual field defects,,,,,poor response to standard medical therapy,,1821
52,Absence Seizures,,,,,missing time||falls,,,,lamictal||keppra||topomax,,,,,,,drug not working||intolerance to medication||limited options,quality_of_life_decline||mobility_impairment,298
53,Situational Anxiety,psychiatric,other,stressful situations or events,,fast heart rate||shaky voice||shaky hands||sweating||dizziness||racing heart,,heart||nervous system||adrenal glands,oral_medication,Propranolol,,,,stress,,,,anxiety||emotional_distress,306
54,Immune Reconstitution Syndrome (IRS),infectious||inflammatory||iatrogenic,inflammatory||infectious_bacterial||infectious_viral||infectious_fungal||iatrogenic,initiation of HAART in HIV-infected patients,clinical_evaluation||laboratory_test,fever||dyspnea||abdominal pain||diarrhea||headache||weakness||lymphadenitis||subcutaneous nodules||abnormal skin lesions,significant morbidity||mortality,lymph nodes||lungs||skin||central nervous system,oral_medication||injection,acyclovir||amphotericin B||corticosteroids,variable||significant morbidity||occasional mortality,,19% incidence in HIV-infected children after HAART initiation,immunosuppression||low baseline CD4 lymphocyte count,,,,,307
55,Heart Failure,degenerative||vascular||others,degenerative||vascular||other,chronic disease||trauma||infection||drugs||poisons||electric shock||heat stroke||tumors||valve disease||left-to-right shunts,clinical_evaluation||imaging,collapse||coughing||shallow rapid breathing||swelling||weakness||weight loss||heart murmur||rapid heart rate||throbbing of the jugular veins||swelling along the surface of the abdomen,congestive heart failure,heart||lungs||abdomen||chest cavity,oral_medication||surgery,diuretics||digitalis||digoxin||ACE inhibitors||vasodilators||beta-blockers||calcium channel blockers,variable||chronic_condition,,rare in horses,,,,,,953
56,COVID-19,infectious,,,,,,,oral_medication,molnupiravir,,,,age||chronic_disease,,,,,1962
57,Stomach Cancer,neoplastic,neoplastic,"eating foods preserved by drying, smoking, salting, or pickling||smoking cigarettes",endoscopy||biopsy||imaging,vomiting blood||passing black tar-like stools||indigestion||heartburn,,stomach||nearby organs||lymph nodes,surgery||radiotherapy||chemotherapy||biological_therapy||dietary_intervention,,,,"about 24,600 new cases per year in the United States||more than 10,000 deaths per year in the United States||most frequently in people 65 years of age or older||much more common in Japan, Chile, and Iceland",age||smoking||unhealthy_diet,,nonspecific symptoms||difficult to find early,difficult to cure,dietary_restriction,315
58,Plaque Psoriasis,inflammatory,inflammatory,,clinical_evaluation||biopsy,loss of granular layer||thickened stratum corneum,hyperuricemia||low folate levels,skin||dermis,,,,,,,,diagnostic_uncertainty,,,316
59,Tuberculosis,infectious||inflammatory,infectious_bacterial||inflammatory,Mycobacterium tuberculosis infection,laboratory_test||imaging,prolonged cough||coughing up blood,,lungs,,,,,,,,disease mimics||nonspecific symptoms,,,712
60,Parasitic Infections (Tapeworm),infectious||parasitic,infectious_parasitic,tapeworm infection,,gastrointestinal disturbances||abdominal pain||nausea||vomiting||dizziness||headache||fever||hair loss,,intestinal wall,oral_medication,albendazole,,,,,,,,,326
61,Systemic Lupus Erythematosus||SLE,autoimmune||inflammatory,autoimmune||inflammatory,,clinical_evaluation,rash||fever||mouth ulcer||weight loss,disability||nerve damage,any organ||joints||small joints in hand||bones,oral_medication||injection||surgery||lifestyle_modification||dietary_intervention||physical_therapy,corticosteroid,chronic_condition||disability||quality_of_life_impairment||variable,disability||nerve damage,affects young boys and girls||can affect any age,obesity,early_detection||dietary_management||exercise||vitamin_D_supplementation,misdiagnosis||nonspecific_symptoms,high_cost||few_rheumatologists||poor_access_to_care,disability||quality_of_life_decline||financial_burden,339
62,Metastatic Colorectal Cancer||mCRC,neoplastic,,,,fatigue,,,oral_medication||chemotherapy||lifestyle_modification,regorafenib,,,,,,,,fatigue||quality_of_life_decline,344
