id,name,position,nationality,team
nba_52,Kurt Thomas  ,Frontcourt,American  , New York Knicks
nba_53,Kevin Wayne Durant,Frontcourt,American,Phoenix Suns
nba_54,Aaron Williams  ,Frontcourt,American  , Los Angeles Clippers
nba_55,Nathaniel Thomas Huffman  ,,American  ,Toronto Raptors  
nba_56,Fred Boyd  ,,American  ,New Orleans Jazz  
nba_57,William Bedford  ,Frontcourt,American  , Grand Rapids Hoops
nba_58,Steve Smith,Backcourt,American,Charlotte Bobcats
nba_59,Shawn Christopher Respert  ,,American  ,  
nba_60,Rodney Strickland  ,,American  , Houston Rockets
nba_61,Elmer H. Behnke  ,,American  ,Milwaukee Hawks  
nba_62,Lamar Brandon Stevens  ,,American  ,Memphis Grizzlies  
nba_63,Ronald Moore  ,Backcourt,American  ,Debreceni EAC  
nba_64,Erazem Lorbek  ,Frontcourt,Slovenian  , Petrol Olimpija
nba_65,"Marvin ""Mickey"" Rottner  ",Backcourt,American  , Chicago Stags
nba_66,Hamidou Diallo  ,,American  ,Capital City Go-Go  
nba_67,"Dewayne ""D. J."" White, Jr.",Frontcourt,American,Piratas de Quebradillas
nba_68,Steve Kerr  ,Frontcourt,American  ,Golden State Warriors  
nba_69,Gregory Clinton Foster  ,Frontcourt,American  ,Indiana Pacers  
nba_70,Bill Hewitt  ,Frontcourt,American  ,Los Angeles Lakers
nba_71,Joseph Xavier Forte  ,Backcourt,American  , Maccabi Tel Aviv
nba_72,Dino_Ra?a,Frontcourt,Croatian  , Split
nba_73,Mark Jeffrey Radford  ,,American  ,Seattle SuperSonics  
nba_74,Kostas Papanikolaou,Frontcourt,Greek,Olympiacos
nba_75,Garry Witts Garrett David Witts  ,,American  ,Washington Bullets  
nba_76,Jabari Dominic Walker  ,,American  ,Portland Trail Blazers  
nba_77,Devontae Cacok  ,,American  ,Virtus Bologna  
nba_78,Brandon Goodwin  ,Backcourt,American  ,Gigantes de Carolina  
nba_79,Dick Rosenthal  ,Frontcourt,American  ,Fort Wayne Pistons  
nba_80,Jamal Crawford  ,,American  , Brooklyn Nets
nba_81,Jordan Lee Crawford  ,,American  ,Sichuan Blue Whales  
nba_82,Tom Copa  ,,American  , Libertas Livorno
nba_83,Kermit Washington  ,Frontcourt,American  , Golden State Warriors
nba_84,Donyell Marshall  ,,American  ,Greensboro Swarm  
nba_85,Wayne Lavern Robinson,Frontcourt,American,Philadelphia Eagles
nba_86,Greg Fillmore Gregory Paul Fillmore  ,Frontcourt,American  ,New York Knicks  
nba_87,John Harding Lucas II  ,Frontcourt,American  ,Houston Rockets  
nba_88,Dick Surhoff  ,,American,Milwaukee Hawks  
nba_89,Garfield Smith  ,,American  ,Boston Celtics  
nba_90,Leroy Patrick Chollet  ,Backcourt,American  ,Syracuse Nationals
nba_91,Michael Carter-Williams  ,,American  ,Capitanes de Ciudad de M��xico  
nba_92,Dennis Schr?der,,German,Brooklyn Nets
nba_93,Jack Parr  ,,American  ,Cincinnati Royals  
nba_94,"Monti Davis DaMon William ""Monti"" Davis  ",Frontcourt,American  ,Dallas Mavericks  
nba_95,Eric Johnson Jones  ,,American-Spanish  ,Utah Jazz  
nba_96,Sidney Harold Tanenbaum,Backcourt,American,Baltimore Bullets
nba_97,Trayce Jackson-Davis  ,,American  ,Golden State Warriors  
nba_98,Andre Jamal Drummond,Frontcourt,American,Philadelphia 76ers
nba_99,"Chavano Rainer ""Buddy"" Hield",,Bahamian,Golden State Warriors
nba_100,D'Angelo Russell,Backcourt,American,Los Angeles Lakers
nba_101,Joel Hans Embiid,,Cameroonian-American,Philadelphia 76ers
nba_102,Paul Clifton Anthony George,,American,Philadelphia 76ers
nba_103,Kyrie Andrew Irving,,American,Dallas Mavericks
nba_104,Jayson Christopher Tatum,,American,Boston Celtics
nba_105,Caleb Martin,Frontcourt,American,Philadelphia 76ers
nba_106,Andrew Christian Wiggins,,Canadian,Golden State Warriors
nba_107,Max Berning Fiedler,,American,Philadelphia 76ers
nba_108,"Ogugua ""OG"" Anunoby Jr.",,British,New York Knicks 
nba_109,Jaylen Marselles Brown,Backcourt,American,Boston Celtics
nba_110,Victor Wembanyama,Frontcourt,French,San Antonio Spurs
nba_111,Jrue Randall Holiday  ,,American  ,Boston Celtics  
nba_112,Austin Tyler Reaves,,American,Los Angeles Lakers
nba_113,Kevin Wesley Love,,American,Miami Heat
nba_114,Giannis Sina Ugo Antetokounmpo,Frontcourt,Greek and Nigerian,Milwaukee Bucks
nba_115,Wardell Stephen Curry II  ,Backcourt,American  ,Golden State Warriors  
nba_116,Alfred Joel Horford Reynoso,Frontcourt,Dominican,Boston Celtics
nba_117,Tyler Christopher Herro,Backcourt,American,Miami Heat
nba_118,Duncan McBryde Robinson,,American,Miami Heat
nba_119,Kyle Forman Anderson,,American-Chinese,Golden State Warriors
nba_120,Cade Parker Cunningham,,American,Detroit Pistons
nba_121,LeBron Raymone James Sr.,,American,Los Angeles Lakers
nba_122,Jimmy Butler III  ,,American  ,Miami Heat  
nba_123,Kevon Grant Looney,Frontcourt,American,Golden State Warriors
nba_124,Zachary Thomas LaVine,,American,Chicago Bulls
nba_125,Jaden Edward Dhananjay Ivey,,American,Detroit Pistons
nba_126,Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers
nba_127,Michael Jeffrey Jordan,Backcourt,American,"Chicago Bulls, Washington Wizards"
nba_128,Devin Armani Booker,Backcourt,American,Phoenix Suns
nba_129,Draymond Jamal Green,Frontcourt,American,Golden State Warriors
nba_130,Zach Collins,,American,San Antonio Spurs
nba_131,Jonathan Malangu Kuminga,Frontcourt,Congolese,Golden State Warriors
nba_132,Lonzo Anderson Ball,Backcourt,American,Chicago Bulls
nba_133,Jaime Jaquez Jr.  ,,Mexican-American  ,Miami Heat  
nba_134,Ausar XLNC Thompson,,American,Detroit Pistons
nba_135,Jalen Marquis Brunson,,American,New York Knicks
nba_136,Shaquille Rashaun O'Neal,Frontcourt,American,Boston Celtics
nba_137,Kobe Bean Bryant,Backcourt,American,Los Angeles Lakers
nba_138,Christopher Emmanuel Paul,Backcourt,American,San Antonio Spurs
nba_139,Harrison Bryce Jordan Barnes,,American,San Antonio Spurs
nba_140,"Edrice Femi ""Bam"" Adebayo",,American,Miami Heat
