id,description.name,description.team,description.position
nba_73,Mark Jeffrey Radford,,
nba_74,Kostas Papanikolaou,,Frontcourt
nba_75,Garry Witts Garrett David Witts,,
nba_76,Jabari Dominic Walker,,
nba_77,Devontae Cacok,,Frontcourt
nba_78,Brandon Goodwin,,Backcourt
nba_79,Dick Rosenthal,,Frontcourt
nba_80,Jamal Crawford,,Frontcourt
nba_81,Jordan Lee Crawford,,
nba_82,Tom Copa,,
nba_83,Kermit Washington,,Frontcourt
nba_84,Donyell Marshall,,
nba_85,Wayne Lavern Robinson,,Frontcourt
nba_86,Greg Fillmore Gregory Paul Fillmore,,Frontcourt
nba_87,John Harding Lucas II,,Frontcourt
nba_88,Dick Surhoff,,
nba_89,Garfield Smith,,
nba_90,Leroy Patrick Chollet,,Backcourt
nba_91,Michael Carter-Williams,,Backcourt
nba_92,Dennis Schr?der,,Backcourt
nba_93,Jack Parr,,
nba_94,Monti Davis,,Frontcourt
nba_95,Eric Johnson Jones,,
nba_96,Sidney Harold Tanenbaum,,Backcourt
nba_97,Trayce Jackson-Davis,,Frontcourt
nba_98,Andre Jamal Drummond,,Frontcourt
nba_99,"Chavano Rainer ""Buddy"" Hield",,
nba_100,D'Angelo Russell,,Backcourt
nba_101,Joel Hans Embiid,,Frontcourt
nba_102,Paul Clifton Anthony George,,
nba_103,Kyrie Andrew Irving,,Backcourt
nba_104,Jayson Christopher Tatum,,Frontcourt
nba_105,Caleb Martin,,Frontcourt
nba_106,Andrew Christian Wiggins,,Frontcourt
nba_107,,,
nba_108,"Ogugua ""OG"" Anunoby Jr.",,Frontcourt
nba_109,Jaylen Marselles Brown,,Backcourt
nba_110,Victor Wembanyama,,Frontcourt
nba_111,Jrue Randall Holiday,,Backcourt
nba_112,Austin Tyler Reaves,,
nba_113,Kevin Wesley Love,,Frontcourt
nba_114,Giannis Sina Ugo Antetokounmpo,,Frontcourt
nba_115,Wardell Stephen Curry II,,Backcourt
nba_116,Alfred Joel Horford Reynoso,,Frontcourt
nba_117,Tyler Christopher Herro,,Backcourt
nba_118,Duncan McBryde Robinson,,Backcourt
nba_119,Kyle Anderson,,Frontcourt
nba_120,Cade Parker Cunningham,,Frontcourt
nba_121,LeBron Raymone James Sr.,,Frontcourt
nba_122,Jimmy Butler III,,Frontcourt
nba_123,Kevon Grant Looney,,Frontcourt
nba_124,Zachary Thomas LaVine,,Backcourt
nba_125,Jaden Edward Dhananjay Ivey,,
nba_126,Kyle Terrell Lowry,,Backcourt
nba_127,Michael Jeffrey Jordan,,Backcourt
nba_128,Devin Armani Booker,,Backcourt
nba_129,Draymond Jamal Green,,Frontcourt
nba_130,Zach Collins,,Frontcourt
nba_131,Jonathan Malangu Kuminga,,Frontcourt
nba_132,Lonzo Anderson Ball,,Backcourt
nba_133,Jaime Jaquez Jr.,,Frontcourt
nba_134,Ausar XLNC Thompson,,
nba_135,Jalen Marquis Brunson,,
nba_136,Shaquille Rashaun O'Neal,,Frontcourt
nba_137,Kobe Bean Bryant,,Backcourt
nba_138,Christopher Emmanuel Paul,,Backcourt
nba_139,Harrison Bryce Jordan Barnes,,Frontcourt
nba_140,"Edrice Femi ""Bam"" Adebayo",,Frontcourt
