name,team,position,nationality,draft_year,_doc_id
Chris Paul,Portland Trail Blazers,Point Guard,American,2005,139.txt
Askia Jones,,shooting guard,American-Venezuelan,,14.txt
Harrison Barnes,Golden State Warriors,Forward,American,,140.txt
Bam Adebayo,Miami Heat,Center,Nigerian-American,2017,141.txt
Carrick Felix,Cleveland Cavaliers,Shooting Guard,American,2013,15.txt
Mychel Thompson,"[{'season': '2011', 'team': 'Erie BayHawks'}, {'season': '2011-2012', 'team': 'Cleveland Cavaliers'}, {'season': '2012', 'team': 'Erie BayHawks'}, {'season': '2013', 'team': 'Sioux Falls Skyforce'}, {'season': '2013-2015', 'team': 'Santa Cruz Warriors'}, {'season': '2015', 'team': 'Pallacanestro Varese'}, {'season': '2016-2017', 'team': 'Santa Cruz Warriors'}]",Guard,American,,16.txt
Marvin Roberts,"Utah State University, Denver Rockets, Carolina Cougars, Kentucky Colonels, Virginia Squires, Los Angeles Lakers",Basketball Player,American,1971,17.txt
Kenneth 'Apple' Green,New York Knicks,Basketball,American,1981,18.txt
Gerald Madkins,"['Cleveland Cavaliers', 'Miami Heat', 'Golden State Warriors', 'Grand Rapids Hoops', 'Rockford Lightning']",,American,,19.txt
Jay Vincent,"['Dallas Mavericks', 'Washington Bullets', 'Denver Nuggets', 'San Antonio Spurs', 'Philadelphia 76ers', 'Los Angeles Lakers']",forward,American,1981,2.txt
Donald Robert Anielak,New York Knicks,,American,1954,20.txt
Phil Jackson,"Chicago Bulls, Los Angeles Lakers, New York Knicks","Point Guard, Shooting Guard",American,,21.txt
Anthony Avent,"['Atlanta Hawks', 'Milwaukee Bucks', 'Orlando Magic', 'Vancouver Grizzlies', 'Utah Jazz', 'Los Angeles Clippers', 'Phonola Caserta', 'Panathinaikos', 'PAOK BC']",,American,1991,22.txt
Drew Gordon,"['Philadelphia 76ers', 'Dallas Mavericks', 'Partizan Belgrade', 'Dinamo Sassari', 'Banvit', 'Delaware 87ers']",power forward,American,,23.txt
Jarrett Jack,"['Denver Nuggets', 'Portland Trail Blazers', 'Indiana Pacers', 'Toronto Raptors', 'New Orleans Hornets', 'Golden State Warriors', 'Cleveland Cavaliers', 'Brooklyn Nets', 'Atlanta Hawks', 'New Orleans Pelicans', 'Sioux Falls Skyforce', 'NBA G League Ignite']",Point Guard,American,2005,24.txt
Rick Hughes,"['Phoenix Suns', 'various European teams']",,American,,25.txt
Trey Burke Allen,Philadelphia 76ers,Center/Forward,American,,26.txt
Earvin Johnson,Michigan State Spartans,Point Guard,American,1979,28.txt
Stan Noszka,"['Youngstown Bears', 'Pittsburgh Ironmen', 'Boston Celtics']",,United States,,29.txt
Nikola Radičević,Cedevita Olimpija,point guard,Serbian,2015,3.txt
Isiah Thomas,Detroit Pistons,Point Guard,American,,30.txt
Jahlil Okafor,,,American,2015,32.txt
Kelvin Trent Tucker,"['New York Knicks', 'San Antonio Spurs', 'Chicago Bulls']",shooting guard,American,1982,33.txt
Dwayne Schintzius,"['San Antonio Spurs', 'Sacramento Kings', 'New Jersey Nets', 'Indiana Pacers', 'Los Angeles Clippers', 'Boston Celtics']",center,American,1990,34.txt
Miles Simon,Phoenix Suns,assistant coach,American,,35.txt
Guy Rodgers,"['Philadelphia Warriors', 'Chicago Bulls', 'Cincinnati Royals', 'Milwaukee Bucks']",Point Guard,American,1958,36.txt
Vernon Maxwell,"['Houston Rockets', 'San Antonio Spurs', 'Denver Nuggets', 'Seattle SuperSonics']",shooting guard,American,1988,37.txt
Tim Duncan,San Antonio Spurs,Center,United States,,38.txt
Walter Berry,"['Portland Trail Blazers', 'San Antonio Spurs', 'New Jersey Nets', 'Houston Rockets']",power forward,American,1986,39.txt
Fran Curran,Rochester Royals,,American,,4.txt
Tony Delk,"['Charlotte Hornets', 'Golden State Warriors', 'Sacramento Kings', 'Phoenix Suns', 'Boston Celtics', 'Dallas Mavericks', 'Atlanta Hawks', 'Detroit Pistons', 'Panathinaikos']",,American,1996,41.txt
Calvin Ramsey,"NYU Violets, St. Louis Hawks, New York Knicks, Syracuse Nationals",forward,American,1959,42.txt
Derrick Joseph Chievous,"['Houston Rockets', 'Cleveland Cavaliers']",small forward,American,1988,44.txt
Rik Smits,Indiana Pacers,Center,Dutch,1988,45.txt
Anthony Edwards,Minnesota Timberwolves,Guard,American,2020,46.txt
Harry Gallatin,"['New York Knicks', 'Detroit Pistons']",center,American,[1948],47.txt
Darnell Hillman,"['Indiana Pacers', 'New Jersey Nets', 'Denver Nuggets', 'Kansas City Kings', 'Golden State Warriors']",forward,American,1971,49.txt
Mark Price,Cleveland Cavaliers,Point Guard,American,1986,5.txt
Larry Robinson,"['New Jersey Devils', 'Los Angeles Kings', 'Montreal Canadiens', 'Los Angeles Kings', 'New Jersey Devils']",defenceman,Canadian,,50.txt
Nick Calathes,AS Monaco,Point Guard,Greek-American,,51.txt
Kurt Thomas,"['Miami Heat', 'Dallas Mavericks', 'New York Knicks', 'Phoenix Suns', 'Seattle SuperSonics', 'San Antonio Spurs', 'Milwaukee Bucks', 'Chicago Bulls', 'Portland Trail Blazers']",power forward-center,American,1995,53.txt
Kevin Durant,Oklahoma City Thunder,Forward,American,2007,54.txt
Nathaniel Thomas Huffman,"['Maccabi Tel Aviv', 'Baloncesto Fuenlabrada', 'Los Angeles Clippers', 'Idaho Stampede', 'Toronto Raptors']",,American,,56.txt
William Bedford,"['Phoenix Suns', 'Detroit Pistons', 'San Antonio Spurs']",center,American,1986,58.txt
Steve Smith,"['Miami Heat', 'Atlanta Hawks', 'Portland Trail Blazers', 'San Antonio Spurs', 'New Orleans Hornets', 'Charlotte Bobcats']",shooting guard,American,1991,59.txt
David Michineau,Bursaspor Basketbol,,French,2016,6.txt
Shawn Respert,"['Portland Trail Blazers', 'Milwaukee Bucks', 'Toronto Raptors', 'Dallas Mavericks', 'Phoenix Suns', 'Adecco Milano', 'Fillattice Imola', 'Spójnia Stargard Szczeciński']",Guard,American,1995,60.txt
Rod Strickland,"['New York Knicks', 'San Antonio Spurs', 'Portland Trail Blazers', 'Washington Bullets/Wizards', 'Miami Heat', 'Minnesota Timberwolves', 'Orlando Magic', 'Toronto Raptors', 'Houston Rockets']",Point Guard,American,1988,61.txt
Elmer Behnke,Rochester Royals,,American,1951,62.txt
Lamar Stevens,Memphis Grizzlies,,American,,63.txt
Ronald Moore,Debreceni EAC,basketball player,American,,64.txt
Erazem Lorbek,"['FC Barcelona', 'Fortitudo Bologna', 'Lottomatica Roma', 'CSKA Moscow']","['power forward', 'center']",Slovenian,2005,65.txt
Hamidou Diallo,Capital City Go-Go,,American,2018,67.txt
Dewayne 'D. J.' White,Oklahoma City Blue,power forward,American,2008,68.txt
Troy Kevin Kerr,"[{'team_name': 'Chicago Bulls', 'position': 'Point Guard', 'nationality': 'American'}, {'team_name': 'Cleveland Cavaliers', 'position': 'Point Guard', 'nationality': 'American'}]",,,1989,69.txt
Donta Hall,"['Saski Baskonia', 'Grand Rapids Drive', 'Detroit Pistons', 'Brooklyn Nets', 'NBA G League Ignite', 'Raptors 905', 'Orlando Magic', 'AS Monaco']","['basketball player', 'forward', 'forward', 'forward', 'forward', 'forward', 'forward', 'forward']",['American-born naturalized Azerbaijani'],,7.txt
Greg Foster,"['Washington Bullets', 'Atlanta Hawks', 'Milwaukee Bucks', 'Chicago Bulls', 'Minnesota Timberwolves', 'Utah Jazz', 'Seattle SuperSonics', 'Los Angeles Lakers', 'Toronto Raptors']",center–power forward,American,1990,70.txt
Bill Hewitt,"['Los Angeles Lakers', 'Detroit Pistons', 'Buffalo Braves', 'Chicago Bulls']",forward,American,,71.txt
Joseph Xavier Forte,"[{'season': '2001-2003', 'team': 'Boston Celtics'}, {'season': '2002-2003', 'team': 'Seattle SuperSonics'}, {'season': '2005', 'team': 'Asheville Altitude'}, {'season': '2005', 'team': 'Team Certified'}, {'season': '2006-2007', 'team': 'Apollon Patras'}, {'season': '2007-2008', 'team': 'Montepaschi Siena'}, {'season': '2007-2008', 'team': 'UNICS Kazan'}, {'season': '2008-2009', 'team': 'Fortitudo Bologna'}, {'season': '2008-2009', 'team': 'Snaidero Udine'}, {'season': '2010-2011', 'team': 'Nuova Pallacanestro Pavia'}, {'season': '2010-2011', 'team': 'Pistoia Basket'}, {'season': '2011-2012', 'team': 'Ironi Ashkelon'}, {'season': '2012', 'team': 'Petrochimi Bandar Imam BC'}]","['shooting guard', 'point guard']",American,2001,72.txt
Dino Rađa,"['KK Split', 'Virtus Roma', 'Boston Celtics', 'Panathinaikos', 'Zadar', 'Olympiacos', 'Cibona']",Center,Croatian,1989,73.txt
Mark Jeffrey Radford,Seattle SuperSonics,,American,1981,74.txt
Kostas Papanikolaou,"['Olympiacos', 'FC Barcelona', 'Houston Rockets', 'Denver Nuggets']",small forward,Greek,2012,75.txt
Jabari Walker,Portland Trail Blazers,,American,2022,77.txt
Devontae Cacok,Virtus Bologna,Basketball Player,American,,78.txt
Brandon Goodwin,Gigantes de Carolina,point guard,American,2018,79.txt
Erick Strickland,"['Dallas Mavericks', 'New York Knicks', 'Vancouver Grizzlies', 'Boston Celtics', 'Indiana Pacers', 'Milwaukee Bucks']",,American,1996,8.txt
Dick Rosenthal,Fort Wayne Pistons,forward,American,1954,80.txt
Jodie Meeks Crawford,"['Seattle SuperSonics', 'Denver Nuggets', 'Atlanta Hawks', 'Los Angeles Clippers', 'Phoenix Suns', 'Minnesota Timberwolves', 'Brooklyn Nets']",Point Guard / Shooting Guard,American,,81.txt
Jordan Crawford,"[{'year': 2010, 'team': 'New Jersey Nets'}, {'year': 2011, 'team': 'Atlanta Hawks'}, {'year': 2011, 'team': 'Washington Wizards'}, {'year': 2013, 'team': 'Boston Celtics'}, {'year': 2014, 'team': 'Golden State Warriors'}, {'year': 2015, 'team': 'Xinjiang Flying Tigers (Chinese Basketball Association)'}, {'year': 2015, 'team': 'Fort Wayne Mad Ants (NBA Development League)'}, {'year': 2015, 'team': 'Tianjin Ronggang'}, {'year': 2016, 'team': 'Grand Rapids Drive (NBA Development League)'}, {'year': 2017, 'team': 'New Orleans Pelicans'}, {'year': 2018, 'team': 'Ironi Nahariya (Israel)'}, {'year': 2020, 'team': 'Brose Bamberg (Germany)'}, {'year': 2020, 'team': 'Lokomotiv Kuban (Russia)'}, {'year': 2021, 'team': 'Galatasaray (Turkey)'}, {'year': 2021, 'team': 'Long Island Nets (NBA G League)'}, {'year': 2022, 'team': 'Gigantes de Carolina (Puerto Rico)'}]",Guard,American,,82.txt
Thomas James Copa,"['Maccabi Brussels', 'San Antonio Spurs', 'Houston Rockets', 'La Crosse Bobcats', 'Saski Baskonia', 'Libertas Livorno']","['forward', 'center']",American,1987,83.txt
Kermit Washington,"['Los Angeles Lakers', 'Boston Celtics', 'San Diego Clippers', 'Portland Trail Blazers', 'Golden State Warriors']",Power Forward,United States,,84.txt
Donyell Marshall,"['Minnesota Timberwolves', 'Golden State Warriors', 'Utah Jazz', 'Chicago Bulls', 'Toronto Raptors', 'Cleveland Cavaliers', 'Seattle SuperSonics (Oklahoma City)', 'Philadelphia 76ers']",Player,American,1994,85.txt
Greg Fillmore,New York Knicks,center,American,1970,87.txt
John Lucas II,Houston Rockets,Basketball Coach and Former Player,American,1976,88.txt
Dick Surhoff,"['New York Knicks', 'Milwaukee Hawks']",,American,1952,89.txt
David Lattin,Texas Western Miners,center,American,1967,9.txt
Garfield Smith,"['Boston Celtics', 'San Diego Conquistadors']",['forward'],American,1968,90.txt
Leroy Chollet,"[{'name': 'Syracuse Nationals', 'position': 'reserve guard'}, {'name': 'Utica Pros', 'position': 'player-coach'}, {'name': 'Elmira Colonels', 'position': None}]","['reserve guard', 'player-coach', None]",American,,91.txt
Michael Carter-Williams,"['Capitanes de Ciudad de México', 'Orlando Magic', 'Houston Rockets', 'Chicago Bulls', 'Charlotte Hornets', 'Milwaukee Bucks', 'Philadelphia 76ers']",Point Guard,American,2013,92.txt
Dennis Schröder,"['Houston Rockets', 'Boston Celtics', 'Toronto Raptors', 'Brooklyn Nets', 'Los Angeles Lakers']",,German,,93.txt
Jack Parr,Cincinnati Royals,Not specified in the document,American,1958,94.txt
Eric Johnson,Utah Jazz,,American-Spanish,,96.txt
Sid Tanenbaum,"['New York Knicks', 'Baltimore Bullets']",guard/forward,American,,97.txt
Trayce Jackson-Davis,Golden State Warriors,Forward/Center,American,2023,98.txt
Andre Drummond,Bulls,Center,American,2012,99.txt
