id,description.style,description.theme,description.object,description.color,description.tone,description.composition,description.image_genre
Wikiart_23,Surrealism,,Human Figure With A Building As A Head,"Earth Tones (Brown, Beige, And Muted Red)",Neutral,Vertical Composition With Central Focus,Figurative
Wikiart_24,Contemporary Realism,,Oranges,Orange,Neutral,Minimalist,Still Life
Wikiart_25,Neo-Expressionism,,"Trees, Fields",Green,Bright,"Asymmetrical, Horizontal Emphasis",Landscape
Wikiart_26,Art Informel,,,Purple,Neutral,Dynamic,
Wikiart_27,Abstract Expressionism,,Brushstrokes,Red,Neutral,Horizontal Brushstrokes,Abstract
Wikiart_28,Pop Art,,Figures In Traditional Attire,Black,Dark,Central Figure With Background Elements,Portrait
Wikiart_29,Cubism,,"Person, Bird",Blue,Dark,Asymmetrical,Portrait
Wikiart_30,street art,,text,pink,bright,centralized lettering,
Wikiart_31,Surrealism,,Mythical Creatures,Earth Tones,Warm,Circular,Abstract
Wikiart_32,Hard Edge Painting,,Concentric Ovals,Red,Bright,Symmetrical,Abstract
Wikiart_33,Hyper-Realism,,"Truck, Road",Blue,Neutral,Curved Perspective,Landscape
Wikiart_34,Expressionism,,Person In Elaborate Attire,Red,Neutral,Centralized Figure,Portrait
Wikiart_35,Conceptual Art,,Exclamation Mark Shape,Yellow,Bright,Minimalist,Still Life
Wikiart_36,Surrealism,,"Figures, Sunflower, Doors",Muted Tones,Dark,Linear Perspective,Interior Scene
Wikiart_37,Naïve Art (Primitivism),,Monsters,Yellow,Neutral,Balanced,Fantasy
Wikiart_38,,"Flowers, Faces","Flowers, Faces",Purple,Dark,Centralized,Still Life
Wikiart_39,Hard Edge Painting,,Geometric Forms,"Green, Red, Black",Neutral,"Symmetrical, Structured",Geometric
Wikiart_40,Abstract Expressionism,,,"Red, Blue, White",Bright,"Non-Representational, Fragmented",Abstract
Wikiart_41,Art Informel,,"Lines, Shapes",Blue,Bright,"Dynamic, Diagonal Lines",
Wikiart_42,Contemporary Realism,,,,,,
Wikiart_43,Figurative Expressionism,,"Trees, River",Red,Bright,Asymmetrical,Landscape
Wikiart_44,Abstract Expressionism,,Boats,Green,Neutral,Geometric Arrangement,Still Life
Wikiart_45,Conceptual Art,,"Building, Garden",Blue And Green,Bright,Symmetrical,Landscape
Wikiart_46,Abstract Expressionism,,Organic Forms,Earth Tones,Dark,Asymmetrical,Still Life
Wikiart_47,Expressionism,,Figure With A Hand Raised,Earthy Tones With Bright Blue And Red,Mixed (Bright And Dark Elements),"Centralized, Symmetrical",Portrait
Wikiart_48,,Human Figure,Human Figure,Monochrome,Neutral,Vertical Emphasis,Nude
Wikiart_49,Lyrical Abstraction,,"Trees, Sky",Blue,Dark,Balanced,Landscape
Wikiart_50,Fantastic Realism,,Mechanical Structure,Gray,Dark,Symmetrical,Sci-Fi
Wikiart_51,Surrealism,,"Building, Human Figure",Blue,Neutral,Balanced,Landscape
Wikiart_52,Abstract Expressionism,,Human Figures,Black,Dark,Asymmetrical,Figurative
Wikiart_53,Minimalism,,Thin Vertical Lines,Neutral,Light,Open Space,Installation
Wikiart_54,Post-Minimalism,,Nose,Beige,Neutral,Centralized,Sculpture
Wikiart_55,Environmental (Land) Art,,"Landfill, Bridge, Cityscape",Earth Tones,Neutral,Aerial View,Landscape
Wikiart_56,photorealism,,"popcorn machine, person",brown,warm,balanced,genre scene
Wikiart_57,Surrealism,,"Buildings, Figure",Yellow,Neutral,Geometric,Architectural
Wikiart_58,Native Art,,,"Black, White",Neutral,Non-Representational,
Wikiart_59,Pop Art,,,,,,
Wikiart_60,Surrealism,,Stylized Figures,Blue-Green,Neutral,Geometric Arrangement,Figurative
Wikiart_61,Nouveau Réalisme,,,Red,Bright,"Dense, Layered",
Wikiart_62,Metaphysical art,,"People, Buildings, Street","Muted Tones, Earthy Colors",Neutral,"Balanced, With A Focus On The Central Figures And Activity",Genre Painting
Wikiart_63,Abstract Expressionism,,Waves,Blue,Dark,Dynamic,Landscape
Wikiart_64,Neo-Expressionism,,"People, Chairs, Abstract Shapes",Dark Blue,Dark,"Dynamic, Layered",Portrait
Wikiart_65,Pop Art,,Two People In A Car,Muted,Dark,Balanced,Portrait
Wikiart_66,Outsider art,,"Mixed Media Objects (Pencils, Strings, Beads)",Multicolored,Neutral,Horizontal Arrangement,Still Life
Wikiart_67,Street Photography,,"Newspaper, Shadow",Black And White,Neutral,"Geometric, Centered",Street Photography
Wikiart_68,Impressionism,,Woman,Earth Tones,Neutral,Central Focus,Portrait
Wikiart_69,Color Field Painting,,Spirals,"Blue, Red, Yellow, Green",Bright,Repetitive Pattern,Abstract
Wikiart_70,Pop Art,,,"Red, Yellow, White",Bright,"Dynamic, Swirling Forms",
Wikiart_71,Magic Realism,,"River, Landmass",Dark Green,Dark,Asymmetrical,Landscape
Wikiart_72,Post-Impressionism,,Human Figure,"Green, Red, Brown",Neutral,Centralized Composition,Portrait
Wikiart_73,Tachisme,,"Geometric Shapes, Lines",Red,Bright,"Dynamic, Asymmetrical",Abstract
Wikiart_74,Native Art,,Stars,"Dark (With White, Red, And Yellow Accents)",Dark,Centralized With A Focus On A Large Star And Smaller Surrounding Stars,Abstract
Wikiart_75,Conceptual Art,,"Telephone, Shoes, Sign",Brown,Neutral,Central Placement,Still Life
Wikiart_76,Neo-Expressionism,,Human Face,Earth Tones,Dark,Central Focus,Portrait
Wikiart_77,Abstract Expressionism,,"Geometric Shapes, Mechanical Structures",Orange,Bright,"Asymmetrical, Complex",
Wikiart_78,Contemporary Realism,,Seated Figure With Leaves Or Antlers,Brown,Neutral,Central Placement With Surrounding Elements,Portrait
Wikiart_79,conceptual art,,buildings,black and white,neutral,grid layout,architectural
Wikiart_80,Hard Edge Painting,,Geometric Shapes,Yellow,Bright,Asymmetrical,Landscape
Wikiart_81,Abstract Expressionism,,,,,,
Wikiart_82,Academicism,,Child,Muted Tones,Soft,Centralized,Portrait
Wikiart_83,,,Woman On A Bed,Earth Tones,Dark,Centralized,Portrait
Wikiart_84,Photorealism,,"Eggs, Plastic Bag",Blue,Neutral,Centered,Still Life
Wikiart_85,Abstract Expressionism,,Geometric Shapes,Grey,Neutral,Minimalistic,Still Life
Wikiart_86,Neo-Pop Art,,Human Figure,Bright Primary Colors,Vibrant,"Bold Outlines, Flat Colors",Portrait
Wikiart_87,conceptual art,,,,,,
Wikiart_88,Neo-Expressionism,,Human Figures,Neutral Tones,Dark,Overlapping Forms,Figurative
Wikiart_89,Neo-Dada,,,,,,
Wikiart_90,Post-Painterly Abstraction,,,,,,
Wikiart_91,Spatialism,,Abstract Forms,Red,Dark,Central Focus,
Wikiart_92,Light and Space,,Light Projection,Dark With Hints Of Warm Tones,Dark,Central Focus,Installation
Wikiart_93,Minimalism,,Shapes,"Green, Purple",Neutral,Minimalist,Abstract
Wikiart_94,realism,,"mosque, people, camels",blue,neutral,centralized,architectural
Wikiart_95,Impressionism,,"Mountains, Fields, Sky",Green,Bright,Horizontal,Landscape
Wikiart_96,Abstract Art,,Geometric Shapes,Beige,Neutral,Collage,Still Life
Wikiart_97,,,Two People,Neutral,Soft,Symmetrical,Portrait
Wikiart_98,,,,White,Neutral,Dynamic,
Wikiart_99,Romanticism,,"People, Tables, Food",Dark Red,Dark,Central Focus With Depth,Historical
Wikiart_100,Pop Art,,Lips,Brown,Neutral,Asymmetrical,Still Life
Wikiart_101,Contemporary Realism,,Glass,Neutral,Bright,Centered,Still Life
Wikiart_102,Abstract Expressionism,,Geometric Shapes,Multicolored,Bright,Patterned,
Wikiart_103,impressionism,historical,soldiers,green,bright,dynamic with a focus on movement,historical
Wikiart_104,Digital Art,,"Two People, Lake, Mechanical Structure",Pastel Blues And Greens,Soft,Balanced,Landscape
Wikiart_105,surrealism,,,,,,
Wikiart_106,Expressionism,,Hand,Black And White,Neutral,Centralized,Study
Wikiart_107,Art Nouveau (Modern),,"Dancer, Man With Umbrella",Beige,Bright,Dynamic,Poster
Wikiart_108,Tonalism,,"Trees, Houses",Green,Neutral,Horizontal,Landscape
Wikiart_109,conceptual art,,billboard,black,neutral,text-centered,
Wikiart_110,Conceptual Art,,"Art Installation, Paintings","Yellow, Red, Gray",Neutral,Geometric Arrangement,Interior
Wikiart_111,Feminist Art,,Person,Red,Bright,Centralized,Portrait
Wikiart_112,Post-Minimalism,,,,,,
Wikiart_113,Abstract Art,,"Geometric Shapes, Symbols","Red, Black",Neutral,Grid-Like Arrangement,
Wikiart_114,Pop Art,,Banana,Blue,Bright,Central Focus,Still Life
Wikiart_115,photorealism,,human figure,monochrome,neutral,central,portrait
Wikiart_116,,,Two People,Monochrome,Neutral,Symmetrical,Portrait
Wikiart_117,Pop Art,,"Text, Abstract Forms",Multicolored,Bright,Dynamic,
Wikiart_118,impressionism,,people in a boat,green,bright,asymmetrical,genre
Wikiart_119,Academicism,,Woman Fetching Water,Earth Tones,Bright,Balanced,Genre Painting
Wikiart_120,muralism,,,,,,
Wikiart_121,Conceptual Art,,"Books, Partitions","Green, Brown",Neutral,Circular Arrangement,Conceptual
Wikiart_122,realism,people sitting outdoors,people,earth tones,neutral,"informal, dynamic",genre painting
Wikiart_123,Naïve Art (Primitivism),,Person Riding An Animal,Red And Blue,Bright,Central Figure,Portrait
Wikiart_124,Symbolism,,Seated Figure With Two Smaller Figures,Gold,Dark,Centralized,Portrait
Wikiart_125,Pointillism,,"Sea, Beach",Blue,Bright,Horizontal Layers,Seascape
Wikiart_126,Neo-Pop Art,,Fragmented Forms,Red,Bright,Dynamic,
Wikiart_127,Social Realism,,"People, Trees, Buildings",Sepia,Neutral,Horizontal Alignment,Landscape
Wikiart_128,Realism,,Buildings,Warm Earth Tones,Bright,Balanced,Landscape
Wikiart_129,Neo-Concretism,,Paper Constructions,Gray,Neutral,Grid Layout,Still Life
Wikiart_130,Fiber art,,Abstract Form With Red Rope,"Red, Brown",Neutral,Vertical Emphasis,Sculpture
Wikiart_131,Art Nouveau (Modern),,"Ship, Airplane",Blue,Bright,Dynamic,Seascape
Wikiart_132,impressionism,landscape,"trees, river, sky",green,bright,balanced,landscape
Wikiart_133,Conceptual Art,,Mechanical Form,Black,Neutral,Asymmetrical,Sculpture
Wikiart_134,realism,,woman with baskets,earth tones,neutral,central composition,portrait
Wikiart_135,Contemporary Realism,,"House, Trees",Earth Tones,Neutral,Central,Landscape
Wikiart_136,Contemporary,,Hanging Sculptures,Multicolor,Bright,Dynamic Balance,Installation
Wikiart_137,Minimalism,,Hanging Fibers,Gray,Neutral,Vertical Arrangement,Installation
Wikiart_138,conceptual art,,,,,,
Wikiart_139,Tonalism,,"Boat, Trees, Lake",Green,Natural,Horizontal Balance,Landscape
Wikiart_140,Expressionism,,Seated Figure,Earth Tones,Neutral,Centralized,Portrait
Wikiart_141,Symbolism,,"Boat, Pillar","Blue, Orange",Neutral,Vertical Balance,Seascape
Wikiart_142,Neo-Expressionism,,Flowers,Blue,Neutral,Asymmetrical,Still Life
Wikiart_143,Pop Art,,"Two Figures, Table, Crystal Ball",Dark,Neutral,Balanced,Genre Painting
Wikiart_144,realism,person and ocean,"person, ocean",blue,neutral,central composition,seascape
Wikiart_145,Art Nouveau (Modern),,Two Women With Flowers,Red,Warm,Dynamic And Flowing,Portrait
Wikiart_146,Kinetic Art,,Geometric Shapes,Silver,Neutral,Vertical,Sculpture
Wikiart_147,,,Human Figure,Monochrome,Dark,Central Focus,Portrait
Wikiart_148,Expressionism,,"Woman, Forest",Earth Tones,Dark,Centered,Portrait
Wikiart_149,Neo-baroque,,"Human Figure, Landscape",Dark Earth Tones,Dark,Asymmetrical,Portrait
Wikiart_150,Expressionism,,Person With Hat,Pastel Shades,Neutral,Central Focus,Portrait
Wikiart_151,Kinetic Art,,Lights And Reflections,Black And White,Dark,Geometric Symmetry,Abstract
Wikiart_152,Neo-Expressionism,,Bird-Like Shapes,Red,Warm,Asymmetrical,Abstract
Wikiart_153,Expressionism,,,,,,
Wikiart_154,minimalism,,,,,,
Wikiart_155,Conceptual Art,,Gardening Tools And Appliances,Green,Bright,Geometric Arrangement,Still Life
Wikiart_156,Cubism,,Human Figure,Red,Bright,Centralized,Figurative
Wikiart_157,Neo-Dada,,Glass Panels With Text,Brown,Neutral,"Layered, Transparent Planes",Still Life
Wikiart_158,Abstract Expressionism,,"Sculpture, Mountains",Brown,Neutral,Diagonal,Landscape
Wikiart_159,Neo-Expressionism,,Human Face,Dark Blue,Dark,Central Focus,Portrait
Wikiart_160,Expressionism,,Figure In Blue Dress,Blue,Dark,Centralized,Portrait
Wikiart_161,Color Field Painting,,Vertical Color Blocks,"Gray, Red, Yellow-Orange",Neutral,Triptych,Non-Representational
Wikiart_162,,,Trees,Neutral Tones,Calm,Linear,Landscape
Wikiart_163,Kitsch,,Nude Female Figure,Warm Tones (Browns And Reds),Warm,"Vertical, Centered Figure",Portrait
Wikiart_164,Pop Art,,House,"Yellow, Red, Blue",Bright,"Centralized, Geometric",Landscape
Wikiart_165,Minimalism,,Rectangles And Lines,"Black, Yellow, Purple, Orange, White",Bright,"Grid-Based, Symmetrical",Geometric
Wikiart_166,Lowbrow Art,,"Cars, Road",Blue,Bright,"Dynamic, Diagonal",Action
Wikiart_167,realism,human figure,portrait,brown,dark,vertical,portrait
Wikiart_168,Abstract Expressionism,,Shapes,Yellow,Bright,Dynamic Arrangement,Abstract
Wikiart_169,Nouveau Réalisme,,Lines And Textures,Dark Tones With Multicolor Drips,Dark,Vertical Lines,Abstract
Wikiart_170,street art,,,,,,
Wikiart_171,Constructivism,,,,,,
Wikiart_172,conceptual art,,text,black and white,neutral,text-centric,text-based
Wikiart_173,Neo-Pop Art,,Mouse And Elephant,Blue,Bright,Simple,Animal
Wikiart_174,American Realism,,Person In A Diner,Blue,Neutral,Balanced,Interior
Wikiart_175,Surrealism,,Fruits And Vegetables,Natural Hues,Bright,Symmetrical,Still Life
Wikiart_176,Expressionism,,Faceless Figure,Red,Dark,Central Focus,Portrait
Wikiart_177,Fauvism,,"Mirrors, Person",Blue,Dark,Asymmetrical,Interior
Wikiart_178,Neo-Romanticism,,Person In Historical Attire,Multicolored,Bright,Balanced,Portrait
Wikiart_179,Abstract Expressionism,,,Black,Dark,Minimalist,
Wikiart_180,conceptual art,,gloves,black and white,neutral,central focus with text elements,still life
Wikiart_181,Surrealism,,Seated Figure,Black And White,Dark,Centralized Composition,Portrait
Wikiart_182,Concretism,,Geometric Shapes,"Blue, Black, White, Brown, Red",Dark,Vertical And Horizontal Lines Within An Oval Frame,Geometric
Wikiart_183,Regionalism,,"Buildings, Street",Monochrome,Dark,Vertical Orientation,Cityscape
Wikiart_184,Abstract Expressionism,,Undefined Forms,Red,Neutral,Dynamic,Abstract
Wikiart_185,Color Field Painting,,,Yellow,Bright,Central Textural Focus,
Wikiart_186,Neo-Dada,,Robot-Like Figure,Green,Bright,Assemblage,Sculpture
Wikiart_187,Post-Impressionism,,"Person Seated, Sculpture",Earth Tones,Neutral,Balanced With Central Focus,Portrait
Wikiart_188,Tachisme,,"Shapes, Lines","Red, Black",Neutral,Asymmetrical,
Wikiart_189,Pop Art,,Person With A Cigarette,Dark,Neutral,Side Profile Focus,Portrait
Wikiart_190,Surrealism,,Skeletons,Earth Tones,Neutral,Symmetrical,Figurative
Wikiart_191,Surrealism,,"Bust, Dress, Flowers, Jewelry",Pastel,Neutral,Balanced,Still Life
Wikiart_192,contemporary realism,,people,,,centered,portrait
Wikiart_193,,,Nude Figure,Black And White,Neutral,Central Figure With Background Context,Portrait
Wikiart_194,Minimalism,,Grid Pattern,Green,Neutral,Grid Layout,Geometric
Wikiart_195,Surrealism,,"Feathers, Sky, Rock Formations",Blue,Neutral,Vertical Symmetry,Landscape
Wikiart_196,Post-Minimalism,,Interlocking Shapes,"Black, Green, Yellow",Neutral,Symmetrical,Abstract
Wikiart_197,Post-Impressionism,,"Hills, Fields, Trees","Earth Tones (Browns, Greens, Yellows)",Neutral,Curvilinear Composition With Layered Elements,Landscape
Wikiart_198,Minimalism,,Boxes,Yellow,Neutral,Geometric,Still Life
Wikiart_199,Post-Minimalism,,"Wooden Poles, Swirled Forms",Brown,Neutral,Geometric,Sculpture
Wikiart_200,kitsch,,person with a turban and necklace,blue and yellow,bright,centralized figure,portrait
Wikiart_201,Neo-Dada,,Various Shapes And Patterns,Multicolored,Bright,Collage,Mixed Media
Wikiart_202,Post-Impressionism,,Woman Washing Hair,Earth Tones,Neutral,Vertical Orientation,Portrait
Wikiart_203,Pop Art,,Union Jack (Flag),Red,Neutral,Geometric,Political
Wikiart_204,Social Realism,,Young Man,Earth Tones,Neutral,Centralized Figure,Portrait
Wikiart_205,Minimalism,,Geometric Shapes,"Purple, Black, White",Neutral,"Balanced, Grid-Like",Geometric
Wikiart_206,Expressionism,,Figure With A Hat,Brown,Dark,Central Focus,Portrait
Wikiart_207,Kinetic Art,,Elephant,Gold,Neutral,"Three-Dimensional, Suspended Elements",Sculpture
Wikiart_208,Cubism,,,,,,
Wikiart_209,Minimalism,,Rectangles,Black And Beige,Neutral,"Minimalist, Balanced",Still Life
Wikiart_210,Expressionism,,A Person In A Landscape,Green,Soft,Balanced,Portrait
Wikiart_211,Expressionism,,Human Figures,Red,Dark,Triptych Arrangement,Triptych
Wikiart_212,Minimalism,,,"Blue, Black",Dark,"Geometric, Linear",
Wikiart_213,Neo-Pop Art,,Human Figures And Plants,Bright And Vivid,Dynamic,Complex With A Central Focus,Figurative
Wikiart_214,Conceptual Art,,"Clocks, Text Panels",Neutral,Minimalist,Linear Arrangement,Still Life
Wikiart_215,,,"House, Girl, Rabbit",Pink,Bright,Centralized,Fantasy
Wikiart_216,Feminist Art,,Clothing Items,Neutral,Bright,Arranged Display,Installation
Wikiart_217,Impressionism,,Children In A Garden,Green,Bright,Balanced,Portrait
Wikiart_218,Conceptual Art,,Two People Sitting At A Table,Neutral,Minimalistic,"Linear, Enclosed",Installation
Wikiart_219,,,"Two Large Figures, Horses With Riders",Earth Tones,Warm,Dynamic,Fantasy
Wikiart_220,Post-Minimalism,,Geometric Shapes,Yellow,Neutral,Balanced,Abstract
Wikiart_221,Concretism,,Geometric Shapes,"Multicolor (Including Red, Blue, Green, Yellow)",Bright,Geometric Arrangement,Abstract
Wikiart_222,Abstract Expressionism,,Abstract Forms,Blue,Bright,Dynamic,
Wikiart_223,Contemporary,,Person Seated,Blue,Neutral,Central Composition,Portrait
Wikiart_224,Modernism,,"Trees, Mountain, Rocks",Green,Neutral,Balanced,Landscape
Wikiart_225,constructivism,,circles and lines,black and white,neutral,symmetrical,still life
Wikiart_226,Expressionism,,"People, Church",Earth Tones,Neutral,Balanced,Genre Painting
Wikiart_227,Outsider art,,,,,,
Wikiart_228,Expressionism,,Woman On A Chair,Pastel,Soft,Balanced,Portrait
Wikiart_229,Pop Art,,Letters,"Red, Blue, White",Bright,Grid Layout,Text Art
Wikiart_230,conceptual art,,,,,,
Wikiart_231,photorealism,,horses,green,bright,balanced,animal
Wikiart_232,,"Human Figure, Water, Plants","Human Figure, Water, Plants",Blue,Bright,"Layered, Grid",Figurative
Wikiart_233,Kitsch,,Lines And Shapes,Blue,Bright,Dynamic,Abstract
Wikiart_234,Color Field Painting,,Stacked Colored Blocks,Multicolored,Bright,Symmetrical,Sculpture
Wikiart_235,conceptual art,motion analysis,human figure performing motion,black and white,neutral,grid layout,study / motion analysis
Wikiart_236,Surrealism,,Abstracted Figures,Blue,Neutral,Asymmetrical,Figurative
Wikiart_237,Expressionism,,"Sun, Trees, Hills",Yellow,Bright,Dynamic,Landscape
Wikiart_238,Minimalism,,Shapes,Purple,Dark,Symmetrical,Abstract
Wikiart_239,Op Art,,Squares,Black And White,Neutral,Grid-Like Arrangement,Geometric
Wikiart_240,Conceptual Art,,Human Figures,"Mixed (Black And White, Color)",Neutral,Grid Layout,Portrait
Wikiart_241,Conceptual Art,,Dots,Black And White,Neutral,Geometric Arrangement,Abstract
Wikiart_242,Expressionism,,"Trees, Rocks",Green,Neutral,Vertical Emphasis,Landscape
Wikiart_243,Expressionism,,Human Figure,Red,Bright,Central Figure,Portrait
Wikiart_244,Neo-Expressionism,,People,"Dark Blue, Red, Yellow",Dark,"Centralized Figures, Dynamic",Figurative
Wikiart_245,Art Deco,,Reclining Nude Figure With A Mirror,Light Blue,Soft,Asymmetrical,Portrait
Wikiart_246,Neo-Expressionism,,Human Figure,Muted Earthy Tones,Soft,Asymmetrical,Figurative
Wikiart_247,Feminist Art,,"Cannon, Portraits, Abstract Shapes",Dark Tones With Splashes Of Red And Yellow,Dark,"Collage-Like, Layered",Mixed Media
Wikiart_248,Abstract Expressionism,,,Earth Tones,Neutral,Asymmetrical,Abstract
Wikiart_249,Surrealism,,Human Figure,Black And White,Neutral,Minimalist,Portrait
Wikiart_250,Abstract Art,,Metal Forms,Brown,Neutral,Linear,Sculpture
Wikiart_251,Cubism,,"Trees, Mountains",Green,Neutral,Geometric,Landscape
Wikiart_252,Abstract Art,,Shapes And Lines,Multicolored With Emphasis On Red And Blue,Dark,Dynamic And Asymmetrical,Abstract
Wikiart_253,Pop Art,,"Woman, Airplane, Coca-Cola Bottle Cap",Red,Bright,Collage,Advertisement
Wikiart_254,Pop Art,,"Mug, Christmas Tree",Bright Multicolor,Vibrant,Centralized,Still Life
Wikiart_255,Surrealism,,"Abstract Shapes, Nature Elements",Dark Blues And Blacks,Dark,Asymmetrical,Abstract
Wikiart_256,Regionalism,,,,,,
Wikiart_257,Neo-Expressionism,,Window,Grey,Neutral,Central Focus,Still Life
Wikiart_258,Lyrical Abstraction,,Figures And Shapes,Earth Tones With Splashes Of Red And Purple,Neutral,Dynamic And Layered,
Wikiart_259,Expressionism,,Two People,Earth Tones And Blue,Neutral,Balanced,Portrait
Wikiart_260,Op Art,,Lines And Geometric Shapes,Black On White With Some Color Accents,Neutral,"Symmetrical, Linear",Geometric
Wikiart_261,P&D (Pattern and Decoration),,Geometric Shapes,Gray,Neutral,Symmetrical,Pattern
Wikiart_262,Op Art,,Geometric Shapes,Blue,Dark,Symmetrical,Geometric
Wikiart_263,Lowbrow Art,,White Bear And Human Figure,Red And White,Neutral,Centered,Figurative
Wikiart_264,Post-Minimalism,,"Fabric, Architectural Elements",Pink,Bright,Spatial,Abstract
Wikiart_265,realism,,desk and chair,brown,neutral,balanced,interior
Wikiart_266,,Industrial,Welding Scene With Industrial Elements,Black And White,Dark,Asymmetrical,Industrial
Wikiart_267,impressionism,landscape,"bridge, river, trees",pastel hues,soft,horizontal,landscape
Wikiart_268,,,"Castle, Cliffs, Pathway",Beige,Neutral,Symmetrical,Landscape
Wikiart_269,Post-Painterly Abstraction,,Geometric Shapes,Blue And Orange,Dark,Dynamic,
Wikiart_270,abstract,,,"Black, White, Red",Neutral,Dynamic,Abstract
Wikiart_271,Feminist Art,,Human Face,Brown,Neutral,Collage,Portrait
Wikiart_272,Postcolonial art,,Group Of People With Weapons,Earth Tones,Neutral,Dynamic Group Arrangement,Historical Scene
Wikiart_273,Hyper-Realism,,Person With Book,Multicolored,Neutral,Centered Figure,Portrait
Wikiart_274,Environmental (Land) Art,,"Bridge, River, Buildings",Blue,Neutral,Horizontal Emphasis With A Central Perspective,Landscape
Wikiart_275,,Figures,"Figures, Draped Fabrics","Dark Blue, White, Earth Tones",Dark,Central Focus With Surrounding Figures,Figurative
Wikiart_276,Lyrical Abstraction,,Undefined Shapes,Red,Dark,"Dynamic, Swirling",Abstract
Wikiart_277,Feminist Art,,Circular Pattern,"Multicolored (Predominantly Yellow, Pink, Purple, And Blue)",Bright,Radial Symmetry,Abstract
Wikiart_278,Lowbrow Art,,Vodka Bottle,Green,Bright,Central Focus,Advertisement
Wikiart_279,Expressionism,,"People, Protest Signs, Symbols",Multicolored,Dynamic,Overlapping Elements,Political
Wikiart_280,,,"Pathway, Ocean, Birds",Blue,Bright,Diagonal Leading Lines,Landscape
Wikiart_281,conceptual art,,,,,,
Wikiart_282,Cubism,,Human Figure,Neutral Tones,Muted,Geometric,Portrait
Wikiart_283,Surrealism,,Towering Mushroom-Like Structures,Green,Dark,Central Perspective,Landscape
Wikiart_284,minimalism,,,,,,
Wikiart_285,Conceptual Art,,Coca-Cola Bottles,Red/White,Neutral,Trio Arrangement,Still Life
Wikiart_286,minimalism,,,,,,
Wikiart_287,Junk Art,,"Wall, Metal Pieces",Earth Tones,Neutral,Spatial Arrangement,Abstract
Wikiart_288,Pop Art,,"Clouds, Water, Land",Blue,Dark,Horizontal Layers,Landscape
Wikiart_289,Feminist Art,,Geometric Shape,Neutral,Light,"Simple, Minimal",Abstract
Wikiart_290,Op Art,,Squares And Rectangles,"Orange, Red, Green, And Black",Neutral,"Balanced, Geometric Arrangement",Abstract
Wikiart_291,Minimalism,,Circular Platform,Purple,Neutral,Centered,Still Life
Wikiart_292,Street art,,"Children, Fence, Beach","Grey, Blue, Green",Neutral,Central Focus With Juxtaposition,Landscape
Wikiart_293,Expressionism,,People,Blue,Neutral,Cubist,Portrait
Wikiart_294,Expressionism,,"Person Sitting In The Snow, With Trees And Buildings In The Background",Red,Neutral,Balanced,Portrait
Wikiart_295,Neo-Dada,,Bust On A Pedestal,Monochrome,Neutral,Centralized,Sculpture
Wikiart_296,Expressionism,,"Woman, Bird On A Plate","Predominantly Warm Colors (Pinks, Browns)",Neutral,Centralized Composition,Portrait
Wikiart_297,Conceptual Art,,"Ballerina, People, Painting Materials",Various/Multi-Colored,Bright,Central Focus With Surrounding Audience,Street Scene
