document_id,content
127.txt,"
Kyle Lowry

Kyle Terrell Lowry (born March 25, 1986) is an American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). A six-time All-Star, he was named to the All-NBA Third Team in 2016 and won an NBA championship with the Toronto Raptors in 2019, their first and only title in franchise history. He is widely regarded as one of the greatest Raptors players of all time due to his work with turning the franchise around, from the post-Vince Cart"
128.txt,"
Michael Jordan

Michael Jeffrey Jordan (born February 17, 1963), also known by his initials MJ, is an American businessman and former professional basketball player. He played 15 seasons in the National Basketball Association (NBA) between 1984 and 2003, winning six NBA championships with the Chicago Bulls. He was integral in popularizing basketball and the NBA around the world in the 1980s and 1990s, becoming a global cultural icon. His profile on the NBA website states, ""By acclamation, Micha"
129.txt,"
Devin Booker

This article is about the NBA basketball player. For the basketball player in Europe, see Devin Booker (basketball, born 1991).
Devin Armani Booker (born October 30, 1996) is an American professional basketball player for the Phoenix Suns of the National Basketball Association (NBA). He played one season of college basketball for the Kentucky Wildcats, helping lead the team to a 38–1 record and winning SEC Sixth Man of the Year. Booker was selected by the Suns in the first round o"
13.txt,"
Brandan Wright


Contents

Brandan Keith Wright (born October 5, 1987) is an American former professional basketball player. Growing up in Tennessee, Wright fast became a standout at his high school Brentwood Academy, earning three ""Mr. Basketball"" titles, a feat no player at any level had ever done in Tennessee. After leading his high school team to four consecutive state championships, Wright was eventually recruited by the University of North Carolina at Chapel Hill's basketball team. In his"
130.txt,"
Draymond Green

""Draymond"" redirects here. For the soccer player, see Draymond Washington. For a similar name, see Daymond.
Draymond Jamal Green (born March 4, 1990) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). Green, who plays primarily at the power forward position, is a four-time NBA champion, a four-time NBA All-Star, a two-time member of the All-NBA Team, and a two-time Olympic gold medalist. Considered one of the"
131.txt,"
Zach Collins

Zach Collins (born November 19, 1997) is an American professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA). He played college basketball for the Gonzaga Bulldogs. He was drafted by the Sacramento Kings with the 10th overall pick in the 2017 NBA draft and was traded to the Portland Trail Blazers on draft night. During his earlier career with the team he battled many injuries causing him to only play in 154 games in his first 4 seasons"
132.txt,"
Jonathan Kuminga

This is the latest accepted revision, reviewed on 4 September 2024.
Jonathan Malangu Kuminga (born October 6, 2002) is a Congolese professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). A consensus five-star recruit and the top small forward in the 2021 class, he chose to forgo his college eligibility and reclassify to the 2020 class to join the NBA G League Ignite. Kuminga finished his high school career at The Patrick Schoo"
133.txt,"
Lonzo Ball

This is the latest accepted revision, reviewed on 30 August 2024.
Lonzo Anderson Ball (born October 27, 1997) is an American professional basketball player for the Chicago Bulls of the National Basketball Association (NBA). A point guard, he played college basketball for one season with the UCLA Bruins, earning consensus first-team All-American honors before the Los Angeles Lakers selected him with the second overall pick of the 2017 NBA draft. He was named to the NBA All-Rookie Sec"
134.txt,"
Jaime Jaquez Jr.

Jaime Jaquez Jr. (/ˈhaɪmɛ ˈhɑːkɛz/ HY-meh HAH-kez; born February 18, 2001) is a Mexican-American professional basketball player for the Miami Heat of the National Basketball Association (NBA). He played college basketball for the UCLA Bruins of the Pac-12 Conference. Jaquez was named a consensus second-team All-American and voted the Pac-12 Player of the Year as a senior in 2023. He earned three All-Pac-12 selections, including first-team honors twice. Jaquez was also a two-ti"
135.txt,"
Ausar Thompson

Ausar XLNC Thompson (/əˈsɑːr ˈɛksələns ˈtɒmsən/ ə-SAR EK-sə-lənss TOM-sən; born January 30, 2003) is an American professional basketball player for the Detroit Pistons of the National Basketball Association (NBA). He played basketball for Pine Crest School in Fort Lauderdale, Florida, where he was rated a five-star recruit and won a state title. Thompson bypassed his senior year of high school to sign with development league Overtime Elite (OTE), where he played for two seasons."
136.txt,"
Jalen Brunson

Jalen Marquis Brunson (born August 31, 1996) is an American professional basketball player for the New York Knicks of the National Basketball Association (NBA). He was drafted with the 33rd overall selection of the 2018 NBA draft by the Dallas Mavericks and played his first four seasons in the NBA with them. He played college basketball for Villanova University, where he was the National Player of the Year as a junior and won two national championships.
Brunson participated in th"
137.txt,"
Shaquille O'Neal

""Shaquille"" and ""Shaq"" redirect here. For other uses, see Shaquille (disambiguation) and Shaq (disambiguation).
Shaquille Rashaun O'Neal (/ʃəˈkiːl/ shə-KEEL; born March 6, 1972), known commonly as Shaq (/ʃæk/ SHAK), is an American former professional basketball player who is a sports analyst on the television program Inside the NBA. He is a 7-foot-1-inch (2.16 m) and 325-pound (147 kg) center who played for six teams over his 19-year career in the National Basketball Associati"
138.txt,"
Kobe Bryant

Kobe Bean Bryant (/ˈkoʊbi/ KOH-bee; August 23, 1978 – January 26, 2020) was an American professional basketball player. A shooting guard, he spent his entire 20-year career with the Los Angeles Lakers in the National Basketball Association (NBA). Regarded as one of the greatest players in the history of basketball, Bryant won five NBA championships and was an 18-time All-Star, 15-time member of the All-NBA Team, 12-time member of the All-Defensive Team, the 2008 NBA Most Valuable P"
139.txt,"
Chris Paul

This article is about the basketball player. For the militant, see Christopher Paul. For the American football player, see Chris Paul (American football).
Christopher Emmanuel Paul (born May 6, 1985), nicknamed ""CP3"" and ""the Point God"", is an American professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA). Widely regarded as one of the greatest point guards of all time, he has won the NBA Rookie of the Year Award, an NBA All-Star Game "
14.txt,"
Askia Jones

Askia Rahman Jones (born December 3, 1971) is an American-Venezuelan retired professional basketball player, a 6'5"" (1.96 m) shooting guard.

Basketball career

A Kansas State University graduate born in Philadelphia, Pennsylvania, Jones left college as the third-leading scorer in its history. He finished his four-year college career averaging 14.8 points a game.
His scoring prowess was demonstrated on March 24, 1994, when he scored sixty-two points in only twenty-eight minutes aga"
140.txt,"
Harrison Barnes

Harrison Bryce Jordan Barnes (born May 30, 1992) is an American professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA). He played college basketball for the North Carolina Tar Heels before being selected by the Golden State Warriors in the first round of the 2012 NBA draft with the seventh overall pick. Barnes won an NBA championship with the Warriors in 2015. He also won a gold medal as a member of the 2016 U.S. Olympic team.
Barn"
141.txt,"
Bam Adebayo

Edrice Femi ""Bam"" Adebayo (/ˌɑːdəˈbaɪoʊ/ AH-də-BY-oh; born July 18, 1997) is an American professional basketball player for the Miami Heat of the National Basketball Association (NBA). He played college basketball for the Kentucky Wildcats before being selected by the Heat with the 14th overall pick in the 2017 NBA draft. He is a three-time NBA All-Star, a five-time NBA All-Defensive Team honoree, and he helped the Heat reach the NBA Finals in 2020 and 2023. He also won a gold meda"
15.txt,"
Carrick Felix

Carrick Felix (born August 17, 1990) is an American former professional basketball player. He played three years of college basketball for Arizona State before being drafted by the Cleveland Cavaliers with the 33rd overall pick in the 2013 NBA draft.

High school career

Born in Las Vegas, Nevada, Felix played high school basketball at Millennium High School in Goodyear, Arizona. During his senior season at Millennium, Felix led his team to a state championship and was named MVP "
16.txt,"
Mychel Thompson

For his father, the Bahamian sports announcer and former longtime NBA player, see Mychal Thompson. For other uses, see Michael Thompson (disambiguation).
Mychel Thompson (born June 1, 1988) is an American former professional basketball player. He played college basketball at Pepperdine University. His father, Mychal Thompson, and brother, Klay Thompson, are also basketball players.

Early life

Thompson was born on June 1, 1988, in Los Angeles, California to Mychal and Julie Th"
17.txt,"
Marv Roberts

Marvin Roberts (born January 29, 1950) is an American former basketball player.

College basketball career

Roberts, a native of Brooklyn, New York, was given a scholarship to play at Utah State University after being named to the 1967 All-Brooklyn First Team by the New York Daily News, alongside being named as an All-New York City honorable mention by the New York Post and a ""Sleeper of the Year"" of New York City from High School Basketball Illustrated (HSBI). He played with the "
18.txt,"
Ken Green (basketball, born 1959)

For other people named Ken Green, see Ken Green (disambiguation).
Kenneth ""Apple"" Green (born September 19, 1959) is an American former National Basketball Association (NBA) player for the New York Knicks. Green played for Pan American University, where he led the Broncs to the 1981 NIT tournament, the school's only Division I post-season appearance. During this season Green was an NCAA honorable mention All American.  Green was drafted with the eleventh pick "
19.txt,"
Gerald Madkins

Gerald Madkins Jr. (born April 18, 1969) is an American professional basketball executive who is a former assistant general manager for the New York Knicks  of the National Basketball Association (NBA). He is a former professional basketball player.
Born in Merced, California, Madkins attended University of California, Los Angeles (UCLA). He signed with the Cleveland Cavaliers of the NBA and played with them from 1993 to 1994, and was signed by the Miami Heat on January 21, 1998"
2.txt,"
Jay Vincent

Jay Fletcher Vincent (born June 10, 1959) is an American former professional basketball player. He played college basketball for the Michigan State Spartans. Vincent was selected 24th overall by the Dallas Mavericks in the 1981 NBA draft. He played for several NBA teams, including the Dallas Mavericks, Washington Bullets, Denver Nuggets, San Antonio Spurs, Philadelphia 76ers, and Los Angeles Lakers. Vincent also played professionally in Italy.

College

A 6'7"" forward, Vincent play"
20.txt,"
Don Anielak

Donald Robert Anielak (November 1, 1930 – November 19, 1995) was an American professional basketball player and a high school coach. He starred at Southwest Missouri State University before playing professionally for the New York Knicks in 1954.

College career

Anielak played collegiately for two seasons at Moberly Junior College before transferring to Southwest Missouri State University where he played from 1952 to 1954. He originally signed on to play with Bradley, but left the "
21.txt,"
Phil Jackson

This is the latest accepted revision, reviewed on 15 August 2024.
This article is about the basketball coach. For other people with the same name, see Philip Jackson (disambiguation).
Philip Douglas Jackson (born September 17, 1945) is an American former professional basketball player, coach, and executive. A power forward, Jackson played 12 seasons in the National Basketball Association (NBA), winning championships with the New York Knicks in 1970 and 1973. Regarded as one of the"
22.txt,"
Anthony Avent

Anthony Avent (born October 18, 1969) is an American former professional basketball player who was selected by the Atlanta Hawks in the first round (15th pick overall) of the 1991 NBA draft. Born  in Rocky Mount, North Carolina, Avent played for the Milwaukee Bucks, Orlando Magic, Vancouver Grizzlies, Utah Jazz and Los Angeles Clippers in six NBA seasons. He played collegiately at Seton Hall University where he played in the 1989 NCAA championship game. Prior to Seton Hall, Avent"
23.txt,"
Drew Gordon

Not to be confused with Drew Gooden.
Drew Edward Gordon (July 12, 1990 – May 30, 2024) was an American professional basketball player who was a power forward for the Philadelphia 76ers of the National Basketball Association (NBA). He spent most of his career playing overseas in Europe, but also played domestically in the NBA G League.
Gordon began his college basketball career with the UCLA Bruins, then transferred during his sophomore year to the New Mexico Lobos. Gordon garnered "
24.txt,"
Jarrett Jack

Fort Washington, Maryland, U.S. (Hyattsville, Maryland) (Durham, North Carolina) (Laurel, Maryland) (Worcester, Massachusetts)
Jarrett Matthew Jack (born October 28, 1983) is an American professional basketball coach and former player and an assistant coach for the Detroit Pistons of the National Basketball Association (NBA). He attended four high schools in North Carolina, Maryland and Massachusetts before playing collegiately at Georgia Tech. He was selected with the 22nd overal"
25.txt,"
Rick Hughes

Rick Hughes (born August 22, 1973) is an American former professional basketball player. He was the French League Best Scorer, in 2004 and 2011.

College career

Hughes graduated from Walnut Hills High School, in Cincinnati, Ohio, in 1991, and afterwards, he attended Thomas More College. He was a four-year standout while at TMC, during the 1992–1996 seasons. He is the only player in the now defunct conference (AMC), to have been the Rookie of the Year, a four-time Player of the Yea"
26.txt,"
Lavoy Allen

Lavoy Allen (born February 4, 1989) is an American former professional basketball player. He was selected in the second round, 50th overall pick in the 2011 NBA draft by the Philadelphia 76ers. Allen is the son of a truck driver, and did not play much basketball until eighth grade. He attended Pennsbury High School, where he was coached by Oliver Aaron. Rivals.com ranked him the 14th best center in his class, and Scout.com named him the 110th overall prospect. Allen committed to Te"
28.txt,"
Magic Johnson

For the Red Hot Chili Peppers song, see Mother's Milk (album). For the Nas song, see Magic 2.
""Earvin Johnson"" redirects here. For the NBA center, see Ervin Johnson.
Earvin ""Magic"" Johnson Jr. (born August 14, 1959) is an American businessman and former professional basketball player. Often regarded as the greatest point guard of all time, Johnson spent his entire career with the Los Angeles Lakers in the National Basketball Association (NBA). After winning a national championshi"
29.txt,"
Stan Noszka

Stanley M. Noszka (September 19, 1920 – November 15, 1991) was a member of the Pennsylvania State Senate, serving from 1967 to 1978. He was also a professional basketball player in the 1940s. Noszka played for the Youngstown Bears in the National Basketball League during 1945–46, and in the Basketball Association of America for the Pittsburgh Ironmen (1946–47) and Boston Celtics (1947–48).

BAA career statistics


Regular season


Playoffs


References


External links


Contents

"
3.txt,"
Nikola Radičević

Nikola Radičević (Serbian: Никола Радичевић; born 25 April 1994) is a Serbian professional basketball player for Cedevita Olimpija of the Adriatic League and the Slovenian Basketball League. Standing at 6 ft 5 in (1.96 m), he plays at the point guard position.

Early career

Born in Čačak, Radičević began his playing career with Belgrade-based Partizan's youth system. 

Professional career

In 2012, Radičević moved to Baloncesto Sevilla of the Spanish Liga ACB, signing with th"
30.txt,"
Isiah Thomas

For other people with similar names, see Isaiah Thomas (disambiguation).
Isiah Lord Thomas III (/aɪˈzeɪ.ə/ eye-ZAY-ə; born April 30, 1961), also known as ""Zeke"", is an American former professional basketball player and coach who is an analyst for NBA TV.  He played his entire professional career for the Detroit Pistons of the National Basketball Association (NBA). A 12-time NBA All-Star, Thomas was named to the  NBA's 50th and 75th anniversary teams, and inducted into the Naismith"
32.txt,"
Jahlil Okafor

Jahlil Obika Okafor (/ˈdʒɑː liːl/; born December 15, 1995) is a Nigerian-American professional basketball player for the Capitanes de Arecibo of the Baloncesto Superior Nacional (BSN). He played his freshman season of college basketball for the 2014–15 Duke national championship team. He was selected with the third overall pick in the 2015 NBA draft by the Philadelphia 76ers.
Okafor had been heavily recruited before high school and was at the top of the recruiting rankings for se"
33.txt,"
Trent Tucker

Kelvin Trent Tucker (born December 20, 1959) is an American former professional basketball player who played eleven seasons in the National Basketball Association (NBA).
A 6 ft 5 in (1.96 m) shooting guard, Tucker attended the University of Minnesota from 1978 to 1982, leading them to a Big Ten Conference championship in his senior year. He was then selected by the New York Knicks with the 6th overall pick of the 1982 NBA draft.  On 30 November 1982, in his NBA debut, Tucker outsc"
34.txt,"
Dwayne Schintzius

Dwayne Kenneth Schintzius (October 14, 1968 – April 15, 2012) was an American National Basketball Association (NBA) basketball player. He was born in Brandon, Florida and attended the University of Florida, where he helped lead the Florida Gators men's basketball program to its first three NCAA tournament appearances as an all-conference center. Schintzius was selected in the first round of the 1990 NBA draft (24th overall) by the San Antonio Spurs, but chronic back problems "
35.txt,"
Miles Simon

Miles Julian Simon (born November 21, 1975) is an American basketball coach and former player who recently served as an assistant coach for the Phoenix Suns of the NBA.

Early life and college career

Simon was born in Stockholm to an American father and a Norwegian mother. He played guard for the University of Arizona Wildcats men's basketball team, where he formed a formidable backcourt duo with future NBA point guard Mike Bibby. He was named the Most Outstanding Player in the 19"
36.txt,"
Guy Rodgers

Guy William Rodgers (September 1, 1935 – February 19, 2001) was an American professional basketball player born in Philadelphia. He spent twelve years (1958–1970) in the NBA, and was one of the league's best playmakers in the early to mid-1960s.  Rodgers led the NBA in assists twice, and placed second six times. Rodgers was inducted into Naismith Memorial Basketball Hall of Fame in 2014.

Amateur career

Rodgers attended Northeast High School in Philadelphia, Pennsylvania, graduati"
37.txt,"
Vernon Maxwell

This article is about the American basketball player who won two NBA championships with the Houston Rockets. For the American basketball player who won two NBA championships with the Boston Celtics, see Cedric Maxwell. For the American football player, see Vernon Maxwell (American football).
Vernon Maxwell (born September 12, 1965) is an American former professional basketball player. He was a shooting guard in the National Basketball Association (NBA) for thirteen seasons durin"
38.txt,"
Tim Duncan

This is the latest accepted revision, reviewed on 8 August 2024.
For other people named Tim Duncan, see Tim Duncan (disambiguation).
Timothy Theodore Duncan (born April 25, 1976) is an American former professional basketball player. He spent his entire 19-year career with the San Antonio Spurs in the National Basketball Association (NBA). Nicknamed ""the Big Fundamental"", he is widely regarded as the greatest power forward of all time and one of the greatest players in NBA history, a"
