company_name,registered_office,exchange_code,principal_activities,board_members,executive_profiles,revenue,net_profit_or_loss,total_Debt,total_assets,cash_reserves,net_assets,earnings_per_share,dividend_per_share,largest_shareholder,the_highest_ownership_stake,major_equity_changes,major_events,bussiness_sales,bussiness_profit,bussiness_cost,business_segments_num,business_risks,remuneration_policy,auditor,id
Benjamin Hornigold Ltd,v,ASX,Finance,Michael Glennon||Sulieman Ravell||Gary Miller,Michael Glennon||Sulieman Ravell||Gary Miller,-171254.0,-1239019,395062,7710615.0,1334877.0,7315553.0,0.0513,0.0,JP Morgan Nominees Australis PTY Limited,21.19,No,,-171254,-1239019,1067765,1.0,Credit Risk||Market Risk,Mixed,Pitcher Partners,23
"BCB Bancorp, Inc.","104-110 Avenue C, Bayonne, New Jersey 07002",NASDAQ,Finance,Robert Ballance||Judith Q. Bielan||James E. Collins||Vincent DiDomenico||Joseph Lyga||John Pulomena||James Rizzo||Spencer B. Robbins,Thomas Coughlin||Jawad Chaudhry,118615000.0,45579000,3254939000,3546193000.0,11520000.0,291254.0,2.64,0.0,,,No,M&A,118615000,45579000,55505000,1.0,Market Risk||Operational Risk||Credit Risk||Strategic Risk,Mixed,"Wolf & Company, P.C.",24
Kelly Partners Group Holdings Limited,"Level 8, 32 Walker Street, North Sydney, NSW 2060",ASX,Finance,Brett Kelly||Stephen Rouvray||Ryan Macnamee||Lawrence Cunningham||Paul Kuchta||Ada Poon,Brett Kelly||Stephen Rouvray||Ryan Macnamee||Lawrence Cunningham||Paul Kuchta||Ada Poon,67435877.0,13328745,72689792,106642496.0,2968829.0,33952704.0,0.1236,0.0585,Kelly Investments 1 PTY Ltd,50.05,No,M&A,67435877,13328745,51014567,2.0,Credit Risk||Market Risk,Mixed,William Buck Accountants & Advisors,25
Nordic American Tankers Limited,"Swan Building, 26 Victoria Street, Hamilton HM 12, Bermuda",NYSE,Transportation,Herbj rn Hansson||Jim Kelly||Jenny Chu||Alexander Hansson||Bj rn Giaever,Herbj rn Hansson||Bj rn Giaever,339340000.0,15101000,339901000,879883000.0,59583000.0,539982000.0,0.07,0.0,Hansson family,3.02,No,,339340000,41867000,297473000,1.0,Credit Risk||Market Risk||Legal/Compliance Risk||Environmental Risk||Operational Risk,Mixed||Stock Option,KPMG AS,26
Franklin Covey Co.,"2200 West Parkway Boulevard, Salt Lake City, Utah 84119-2331",NYSE,Other,Anne H. Chow||Craig Cuffie||Donald J. McNamara||Joel C. Peterson||Nancy Phillips||Derek C.M. van Bever||Robert A. Whitman||,Paul S. Walker||Stephen D. Young||Robert A. Whitman||M. Sean Covey||Jennifer C. Colosimo,262841000.0,18430000,176341000,259155000.0,60517000.0,82814000.0,1.3,0.0,Robert A. Whitman,7.6,No,M&A,262841000,23674000,239167,3.0,Market Risk||Strategic Risk||Other,Mixed||Performance-based||Stock Option,Deloitte & Touche LLP,27
Integra LifeSciences Holdings Corporation,,NASDAQ,Healthcare||Manufacturing||Technology,Jan De Witte||Jeffrey A. Mosebrook||Stuart M. Essig||Keith Bradley||Shaundra Clay||Barbara B. Hill||Renee Lo||Donald E. Morel||Raymond G. Murphy||Christian S. Schade,Jan De Witte||Jeffrey A. Mosebrook,1557666000.0,180550000,2085355000,3889758000.0,456661000.0,1804403000.0,2.18,0.0,,,No,M&A,1557666000,238920000,1318746000,2.0,Market Risk||Operational Risk||Credit Risk||Strategic Risk,Mixed||Stock Option,PricewaterhouseCoopers LLP,28
Mosaic Brands Limited,"Ground Floor, 61 Dunning Avenue Rosebery NSW 2018",MOZ,Retail,David Wilshire||Jacqueline Frank,Richard Facioni||Scott Evans,433755700.0,-8019200,40551000,239726000.0,29934100.0,-59350900.0,-0.07791,0.0,Alceon Group Pty Limited,32.24,Yes,M&A,399953400,-11268600,210064400,,Market Risk||Credit Risk,Mixed,BDO Audit Pty Ltd,29
Albany International Corp.,"216 Airport Drive, Rochester, New Hampshire 03867",NYSE,Manufacturing||Technology,,William Higgins||Stephen M. Nolan||Daniel A. Halftermeyer||Greg Harwell||Alice McCarvill||Joseph M. Gaug||Robert A. Hansen||Elisabeth Indriani,1034887000.0,95800000,439000000,1642255000.0,291776000.0,867543000.0,3.06,0.88,,,Yes,Restructuring||Litigation||Major Contract||Other,1034887000,237793000,853759000,2.0,Market Risk||Operational Risk||Strategic Risk||Legal/Compliance Risk,Mixed,KPMG LLP,30
EPI (Holdings) Limited,"Clarendon House, 2 Church Street, Hamilton HM11, Bermuda",689||HKSE,Energy||Finance,"Sue Ka Lok||Yiu Chun Kong||Chan Shui Yuen||Pun Chi Ping||Leung Pik Har, Christine||Kwong Tin Lap",Sue Ka Lok||Yiu Chun Kong||Chan Shui Yuen,5747505.0,-5961135,7316040,55271348.0,11555970.0,47991908.0,-0.001135,0.0,"Mr. Suen Cho Hung, Paul||Premier United Group Limited||Billion Expo International Limited",16.45,No,M&A,5747546,-2613138,1894971,4.0,Market Risk||Credit Risk||Operational Risk||Environmental Risk,Not Disclosed,Moore Stephens CPA Limited,31
Starvest plc,"Salisbury House, London Wall, London, EC2M 5PS",SVE,Finance,Callum N Baxter||Mark J Badros||Gemma Cryan,Mark J Badros||Gemma Cryan,66785.0,-7337195,0,8299629.0,507633.0,8247409.0,-0.1261,0.0,WB Nominees Limited,21.78,No,Other,,,305944,1.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk,Fixed,PKF Littlejohn LLP,32
Emera Incorporated,"P.O. Box 910 Halifax, Nova Scotia  B3J 2W5",TSX,Energy||Utilities||Transportation,Jackie Sheppard||Scott Balfour||James Bertram||Henry Demone||Paula Gold-Williams||Kent Harvey||Lynn Loewen||Ian Robertson||Andrea Rosen||Richard Sergel||Karen Sheriff||Jochen Tilk,Scott Balfour||Mike Barrett||Greg Blunden||Archie Collins||Peter Gregg||Karen Hutt||Bruce Marchand||Dan Muldoon||Michael Roberts||Judy Steele||Helen Wesley||Ryan Shell,7588000000.0,945000000,16318000000,39742000000.0,310000000.0,11441000000.0,3.56,2.68,,,Yes,Litigation||Leadership Change||Major Contract,7170000,1080000000,5959000000,5.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Stock Option||Performance-based,Ernst & Young LLP,33
"Bionano Genomics, Inc.","9540 Towne Centre Drive, Suite 100, San Diego, CA 92121",BNGO,Technology||Healthcare,David L. Barker||Albert A. Luderer||Yvonne Linney||Aleksandar Rajkovic||Christopher Twomey||Kristiina Vuori||Vincent Wong,R. Erik Holmlin||Christopher Stewart,27802000.0,-132596000,0,307502000.0,5091000.0,249398000.0,0.46,0.0,,,Yes,M&A,270802000,,21857000,1.0,Market Risk||Operational Risk||Strategic Risk||Legal/Compliance Risk,Stock Option,"BDO USA, LLP",34
NextNav Inc.,"1775 Tysons Blvd., 5th Floor, McLean, VA 22102",NN||NNAWW,Technology,"7 (Ganesh Pattabiraman, Gary M. Parsons, Peter D. Aquino, Neil S. Subin, Bandel L. Carano, James B. Fleming, Alan B. Howe)",4 (Ganesh Pattabiraman|| Christian D. Gates|| Sammaad R. Shams|| Gary M. Parsons),3926000.0,40116000,,123788000.0,55446000.0,100017000.0,-0.4,0.0,,,Yes,M&A,3499000,,,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Ernst & Young LLP,35
"ARCA biopharma, Inc.","10170 Church Ranch Way, Suite 100, Westminster, CO 80021",NASDAQ,Healthcare,Dr. Michael R. Bristow||Thomas A. Keuer||Christopher D. Ozeroff||C. Jeffrey Dekker||Dr. Linda Grais||Dr. Raymond L. Woosley||Mr. Robert E. Conway||Mr. Dan J. Mitchell||Dr. Anders Hove||Mr. Jacob Ma-Weaver||Mr. James Flynn,Michael R. Bristow||Thomas A. Keuer||Christopher D. Ozeroff||C. Jeffrey Dekker,,-9926000,,43085000.0,42445000.0,41673000.0,-0.69,0.0,"Funicular Funds, LP",27.8,No,Restructuring||Leadership Change,,,"Research and development: $4,749,000; General and administrative: $5,847,000",1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other,Mixed,KPMG LLP,36
Arcadia Minerals Limited,"Suite 7, 63 Shepperton Road, Victoria Park WA 6100",ASX,Mining,Jurie Hendrik Wessels||Philip Le Roux||Johan Le Roux||Michael Davy|| Andrew La,Jurie Hendrik Wessels||Philip Le Roux,9071.0,-1692533,0,8995734.0,1844342.0,8927336.0,-0.0159,0.0,SPH Kundalila (Pty) Ltd,19.08,Yes,Other,9071,-1692533,0,2.0,Market Risk||Credit Risk||Operational Risk,Performance-based||Stock Option,RSM Australia Pty Ltd,37
Elixir Energy Limited,"3B, Level 3, 60 Hindmarsh Square, Adelaide 5000, South Australia",ASX,Energy,Richard Cottee||Neil Young||Stephen Kelemen||Anna Sloboda,Neil Young||Victoria Allinson,38926.0,-1981676,66506,44125647.0,22679219.0,42093275.0,-0.22,0.0,BNP PARIBAS NOMINEES PTY LTD <IB AU NOMS RETAILCLIENT DRP>,3.35,Yes,M&A,38926,1981676,2443658,3.0,Market Risk||Credit Risk||Operational Risk||Environmental Risk,Mixed,BDO Audit Pty Ltd,38
"Rapid7, Inc.","120 Causeway St #400, Boston, MA 02114",NASDAQ,Technology,Corey Thomas||Michael Berry||Marc Brown||Judy Bruner||Ben Holzman||Christina Kosmowski||Ben Nye||Tom Schodorf||Reeny Sondhi||Tas Giakouminakis,Corey Thomas||Tim Adams||Andrew Burton||Tas Giakouminakis||Christina Lucon,685083000.0,-124717000,815948000,1358991000.0,207287000.0,-120074000.0,-2.13,,,,Yes,M&A||Litigation,689371000,470734000,214349000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Performance-based||Stock Option,KPMG LLP,39
"1-800-FLOWERS.COM, Inc.","Two Jericho Plaza, Suite 200, Jericho, NY 11753",NASDAQ,Retail,James F. McCann||Christopher G. McCann||Celia R. Brown||James A. Cannavino||Dina M. Colombo||Eugene F. DeMark||Leonard J. Elmore||Adam Hanft||Stephanie Redish Hofmann||Katherine Oliver||Larry Zarin,Christopher G. McCann||Thomas G. Hartnett||William E. Shea||Michael R. Manley||Arnold P. Leap||Steve Roberts||Jason John||Joseph Rowland||Faeth Bradley||Dinesh Popat||Andrew Deren||Abhay Patel,2207885000.0,29610000,162497000,1094891000.0,31465000.0,509409000.0,0.46,,,,Yes,M&A||Litigation,2211605000,91179000,2165784000,3.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other,Mixed,"BDO USA, LLP",40
"WEIS MARKETS, INC.","1000 S. Second Street, P. O. Box 471, Sunbury, Pennsylvania 17801-0471",NYSE,Retail,Jonathan H. Weis||Dennis G. Hatchell||Edward J. Lauth III||Gerrald B. Silverman,,4695943000.0,125196000,,1959150000.0,157997000.0,1301834000.0,4.65,1.3,Weis family,65.0,No,Other,4695943000,125196000,4538891000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other,Not Disclosed,RSM US LLP,41
"NeoGenomics, Inc.","9490 NeoGenomics Way, Fort Myers, FL 33912",NASDAQ,Healthcare,Christopher M. Smith||Lynn A. Tetrault||Bruce K. Crowther||Dr. Alison L. Hannah||Stephen M. Kanovsky||Michael A. Kelly||David B. Perez||Rachel A. Stahler,Christopher M. Smith||Jeffrey S. Sherman||Cynthia J. Dieter,509728000.0,-144250000,535392000,1740034000.0,263180000.0,998023000.0,-1.16,0.0,,,Yes,M&A||Litigation||Leadership Change||Restructuring,"Clinical Services: $418,754,000; Pharma Services: $90,974,000",509728000,321832000,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk,Mixed,Deloitte & Touche LLP,42
Downer EDI Limited,"Downer EDI Limited, Level 2, Triniti III, Triniti Business Campus, 39 Delhi Road, North Ryde NSW 2113",ASX,Transportation || Utilities || Telecommunications || Energy || Healthcare,Mark Peter Chellew || Grant Anthony Fenn || Mark James Binns || Teresa Gayle Handicott || Nicole Maree Hollows || Adelle Maree Howse || Mark John Menhinnitt || Peter Lawrence Watson,Grant A. Fenn || Michael J. Ferguson || Peter J. Tompkins,7129223640.0,98611520,883416492,4840398360.0,479109260.0,1838585840.0,0.138,0.156,HSBC CUSTODY NOMINEES (AUSTRALIA) LIMITED,35.8,Yes,Restructuring||Other,6961973312,318930416,6732377148,3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk||Other,Mixed,KPMG,43
Aptiv PLC,"5 Hanover Quay, Grand Canal Dock, Dublin, D02 VY79, Ireland",NYSE,Technology||Manufacturing,Kevin P. Clark||Paul M. Meister||Richard L. Clemmer||Nancy E. Cooper||Joseph L. (Jay) Hooley||Merit E. Janow||Sean O. Mahoney||Robert K. (Kelly) Ortberg||Colin J. Parris||Ana G. Pinczuk ,Kevin P. Clark||Joseph R. Massaro||Allan J. Brazier||Matthew Cole||Glen W. De Vos||Obed D. Louissaint||Benjamin Lyon||William T. Presley||Katherine H. Ramundo||Sophia Velastegui,17489000000.0,590000000,6491000000,21884000000.0,1531000000.0,8998000000.0,1.96,0.0,,,No,M&A||Restructuring||Litigation,17530000000,1583000000,16226000000,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk,Mixed,Ernst & Young LLP,44
"Celldex Therapeutics, Inc.","Perryville III Building, 53 Frontage Road, Suite 220, Hampton, New Jersey 08827",NASDAQ,Healthcare||Manufacturing,"Karen L. Shoos||Keith L. Brownlie||Cheryl L. Cohen||Herbert J. Conrad||Rita I. Jain||James J. Marino||Garry A. Neil||Harry H. Penner, Jr.",Anthony S. Marucci||Sam Martin,0.0,-112300000,0,,29429000.0,,,,,,No,M&A,,-112300000,,,Market Risk||Strategic Risk||Operational Risk,Mixed,PricewaterhouseCoopers LLP,45
