name,nationality,age,team
Paul Clifton Anthony George,American,35,Philadelphia 76ers
Kyrie Andrew Irving,American,33,Dallas Mavericks
Jayson Christopher Tatum,American,27,Boston Celtics
Caleb Martin,American,30,Philadelphia 76ers
Andrew Christian Wiggins,Canadian,30,Golden State Warriors
Max Berning Fiedler,American,24,Philadelphia 76ers
"Ogugua ""OG"" Anunoby Jr.",British,28,New York Knicks
Jaylen Marselles Brown,American,29,Boston Celtics
Victor Wembanyama,French,21,San Antonio Spurs
Jrue Randall Holiday,American,35,Boston Celtics
Austin Tyler Reaves,American,27,Los Angeles Lakers
Kevin Wesley Love,American,37,Miami Heat
Giannis Sina Ugo Antetokounmpo,Greek and Nigerian,31,Milwaukee Bucks
Wardell Stephen Curry II,American,37,Golden State Warriors
Alfred Joel Horford Reynoso,Dominican,39,Boston Celtics
Tyler Christopher Herro,American,25,Miami Heat
Duncan McBryde Robinson,American,31,Miami Heat
Kyle Forman Anderson,American-Chinese,33,Golden State Warriors
Cade Parker Cunningham,American,24,Detroit Pistons
LeBron Raymone James Sr.,American,40,Los Angeles Lakers
Jimmy Butler III,American,36,Miami Heat
Kevon Grant Looney,American,29,Golden State Warriors
Zachary Thomas LaVine,American,30,Chicago Bulls
Jaden Edward Dhananjay Ivey,American,23,Detroit Pistons
Kyle Terrell Lowry,American,39,Philadelphia 76ers
Michael Jeffrey Jordan,American,62,"Chicago Bulls, Washington Wizards"
Devin Armani Booker,American,28,Phoenix Suns
Draymond Jamal Green,American,35,Golden State Warriors
Zach Collins,American,28,San Antonio Spurs
Jonathan Malangu Kuminga,Congolese,23,Golden State Warriors
Lonzo Anderson Ball,American,28,Chicago Bulls
Jaime Jaquez Jr.,Mexican-American,24,Miami Heat
Ausar XLNC Thompson,American,22,Detroit Pistons
Jalen Marquis Brunson,American,29,New York Knicks
Shaquille Rashaun O'Neal,American,53,Boston Celtics
Kobe Bean Bryant,American,47,Los Angeles Lakers
Christopher Emmanuel Paul,American,40,San Antonio Spurs
Harrison Bryce Jordan Barnes,American,33,San Antonio Spurs
"Edrice Femi ""Bam"" Adebayo",American,28,Miami Heat
