name,nationality,age,team
Stan Noszka,nan,nan,Youngstown Bears||Pittsburgh Ironmen||Boston Celtics
Nikola Radičević,Serbia||,nan,Cedevita Olimpija
nan,nan,nan,nan
Daniel Edward Anderson,USA,nan,Portland Trail Blazers
Jahlil Okafor,Nigerian-American,nan,Capitanes de Arecibo
Trent Tucker,USA,nan,nan
Dwayne Schintzius,USA,nan,nan
Miles Simon,USA||Sweden,nan,Phoenix Suns
Guy William Rodgers,USA,65.0,nan
Vernon Maxwell,USA,nan,nan
nan,nan,nan,nan
Walter Berry,USA,nan,nan
Fran Curran,USA,nan,Rochester Royals
James Patrick Walsh,USA,nan,Philadelphia Warriors
Tony Delk,USA,nan,nan
Cal Ramsey,USA,nan,New York Knicks
Gene Dyker,USA,nan,Milwaukee Hawks
Derrick Chievous,USA,nan,nan
Rik Smits,Dutch,nan,Indiana Pacers
Anthony Edwards,USA,23.0,Minnesota Timberwolves
Harry Gallatin,USA,nan,New York Knicks
Jim Brasco,USA,nan,Syracuse Nationals||Milwaukee Hawks
Darnell Hillman,nan,nan,Indiana Pacers
Mark Price,USA,nan,Charlotte 49ers
Larry Robinson,Canada,nan,St. Louis Blues
Nick Calathes,Greek-American||Greece,nan,AS Monaco
Rod Derline,nan,nan,Seattle SuperSonics
Kurt Thomas,USA,nan,nan
nan,nan,nan,nan
Aaron Williams,USA,nan,Los Angeles Clippers
Nate Huffman,USA,nan,Maccabi Tel Aviv
Fred Boyd,USA,73.0,nan
William Bedford,USA,nan,nan
Steve Smith,USA,nan,nan
David Michineau,France||,nan,Bursaspor Basketbol
Shawn Christopher Respert,USA,nan,Los Angeles Lakers
Rod Strickland,USA,nan,nan
Elmer Behnke,USA,nan,Milwaukee Hawks
Lamar Stevens,USA,nan,Memphis Grizzlies
Ronald Moore,USA,nan,Debreceni EAC
Erazem Lorbek,Slovenia,nan,nan
"Marvin ""Mickey"" Rottner",USA,nan,Chicago Stags
Hamidou Diallo,USA||Guinea,nan,Capital City Go-Go
"Dewayne ""D. J."" White, Jr.",nan,nan,Oklahoma City Blue
Steve Kerr,USA,58.0,Golden State Warriors
Donta Hall,USA||Azerbaijan,nan,Saski Baskonia
Gregory Clinton Foster,USA,nan,Indiana Pacers
Bill Hewitt,USA,nan,Los Angeles Lakers||Detroit Pistons||Buffalo Braves||Chicago Bulls
Joseph Forte,USA,nan,nan
Dino Rađa,Croatia||,nan,nan
Mark Radford,USA,nan,Seattle SuperSonics
Kostas Papanikolaou,Greek||,33.0,Olympiacos
Garry Witts,USA,nan,Washington Bullets
Jabari Walker,USA,nan,Portland Trail Blazers
Devontae Cacok,USA,nan,Virtus Bologna
Brandon Goodwin,USA,nan,Gigantes de Carolina
Erick Strickland,USA,nan,nan
Dick Rosenthal,USA,91.0,Fort Wayne Pistons
Jamal Crawford,USA,nan,nan
Jordan Lee Crawford,USA,nan,Sichuan Blue Whales
Tom Copa,USA,nan,La Crosse Bobcats
Kermit Washington,USA,nan,Los Angeles Lakers (last NBA team)
Donyell Marshall,USA,nan,Greensboro Swarm
Wayne Robinson,USA,nan,Philadelphia Eagles
Greg Fillmore,USA,nan,New York Knicks
John Lucas II,USA,nan,Houston Rockets
Dick Surhoff,USA,nan,New York Knicks||Milwaukee Hawks
Dave Lattin,USA,nan,nan
Garfield Smith,USA,nan,Boston Celtics
Leroy Chollet,USA||,nan,Syracuse Nationals
Michael Carter-Williams,USA,nan,Capitanes de Ciudad de México
Dennis Schröder,Germany||,nan,Brooklyn Nets
Jack Parr,USA,nan,Cincinnati Royals
Monti Davis,USA,nan,Philadelphia 76ers
Eric Johnson,USA||Spain,nan,Utah Jazz
Sidney Harold Tanenbaum,USA,nan,New York Knicks||Baltimore Bullets
Trayce Jackson-Davis,USA,nan,Golden State Warriors
Andre Jamal Drummond,USA||Jamaica,nan,Philadelphia 76ers
