name,birth_date,nationality,age,team,position,draft_pick,draft_year,college,nba_championships,mvp_awards,olympic_gold_medals,fiba_world_cup,ID
Kevin Wayne Durant,1988/9/29,American,37,Phoenix Suns,Frontcourt,2.0,2007.0,University of Texas at Austin,2.0,1,4.0,1.0,54
Aaron Williams  ,1971/10/2,American  ,54, Los Angeles Clippers,Frontcourt,0.0,0.0,Xavier University  ,,0,,,55
William Bedford  ,1963/12/14,American  ,61, Grand Rapids Hoops,Frontcourt,6.0,1986.0,Memphis State University  ,1.0,0,0.0,0.0,58
Erazem Lorbek  ,1984/2/21,Slovenian  ,41, Petrol Olimpija,Frontcourt,2.0,2005.0,Michigan State University  ,0.0,0,0.0,0.0,65
"Dewayne ""D. J."" White, Jr.",1986/8/31,American,39,Piratas de Quebradillas,Frontcourt,29.0,2008.0,Indiana Hoosiers,0.0,0,0.0,0.0,68
Steve Kerr  ,1965/9/27,American  ,60,Golden State Warriors  ,Frontcourt,50.0,1988.0,University of Arizona  ,9.0,0,1.0,1.0,69
Gregory Clinton Foster  ,1968/10/3,American  ,57,Indiana Pacers  ,Frontcourt,35.0,1990.0,UTEP  ,1.0,0,0.0,0.0,70
Bill Hewitt  ,1944/8/8,American  ,81,Los Angeles Lakers,Frontcourt,0.0,0.0,University of Southern California  ,0.0,0,0.0,0.0,71
Dino_Ra?a,1967/4/24,Croatian  ,58, Split,Frontcourt,40.0,1989.0, ,0.0,0,0.0,1.0,73
Kostas Papanikolaou,1990/7/31,Greek,35,Olympiacos,Frontcourt,48.0,2012.0,,0.0,0,0.0,0.0,75
Dick Rosenthal  ,1933/1/20,American  ,91,Fort Wayne Pistons  ,Frontcourt,1.0,1954.0,Notre Dame  ,0.0,0,0.0,0.0,80
Kermit Washington  ,1951/9/17,American  ,74, Golden State Warriors,Frontcourt,5.0,1973.0,American University  ,0.0,0,0.0,0.0,84
Wayne Lavern Robinson,1930/1/14,American,95,Philadelphia Eagles,Frontcourt,8.0,1952.0,University of Minnesota,0.0,0,0.0,0.0,86
Greg Fillmore Gregory Paul Fillmore  ,1947/3/7,American  ,78,New York Knicks  ,Frontcourt,8.0,1970.0,Cheyney University of Pennsylvania  ,0.0,0,0.0,0.0,87
John Harding Lucas II  ,1953/10/31,American  ,72,Houston Rockets  ,Frontcourt,1.0,1976.0,University of Maryland  ,0.0,0,0.0,0.0,88
"Monti Davis DaMon William ""Monti"" Davis  ",1958/7/26,American  ,67,Dallas Mavericks  ,Frontcourt,21.0,1980.0,Tennessee State University  ,0.0,0,0.0,0.0,95
Andre Jamal Drummond,1993/8/10,American,32,Philadelphia 76ers,Frontcourt,9.0,2012.0,University of Connecticut,0.0,0,0.0,1.0,99
Caleb Martin,1995/9/28,American,30,Philadelphia 76ers,Frontcourt,0.0,2019.0,"NC State Wolfpack, Nevada Wolf Pack",0.0,0,0.0,0.0,106
Victor Wembanyama,2004/1/4,French,21,San Antonio Spurs,Frontcourt,1.0,2023.0,,0.0,0,0.0,0.0,111
Giannis Sina Ugo Antetokounmpo,1994/12/6,Greek and Nigerian,31,Milwaukee Bucks,Frontcourt,15.0,2013.0,,1.0,2,0.0,0.0,115
Alfred Joel Horford Reynoso,1986/6/3,Dominican,39,Boston Celtics,Frontcourt,3.0,2007.0,University of Florida,1.0,0,0.0,0.0,117
Kevon Grant Looney,1996/2/6,American,29,Golden State Warriors,Frontcourt,30.0,2015.0,UCLA,3.0,0,0.0,0.0,124
Draymond Jamal Green,1990/3/4,American,35,Golden State Warriors,Frontcourt,35.0,2012.0,Michigan State University,4.0,0,2.0,0.0,130
Jonathan Malangu Kuminga,2002/10/6,Congolese,23,Golden State Warriors,Frontcourt,7.0,2021.0,,1.0,0,0.0,0.0,132
Shaquille Rashaun O'Neal,1972/3/6,American,53,Boston Celtics,Frontcourt,1.0,1992.0,Louisiana State University (LSU),4.0,1,1.0,1.0,137
