name,draft_pick,college
Jordan Lee Crawford,27.0,"Indiana University, Xavier University"
Tom Copa,44.0,Marquette
Kermit Washington,5.0,American University
Donyell Marshall,4.0,University of Connecticut
Wayne Lavern Robinson,8.0,University of Minnesota
Greg Fillmore Gregory Paul Fillmore,8.0,Cheyney University of Pennsylvania
John Harding Lucas II,1.0,University of Maryland
Dick Surhoff,0.0,"Long Island, John Marshall College"
Garfield Smith,10.0,
Leroy Patrick Chollet,1.0,Loyola University New Orleans
Michael Carter-Williams,11.0,Syracuse Orange
Dennis Schr?der,17.0,
Jack Parr,10.0,Kansas State University
"Monti Davis DaMon William ""Monti"" Davis",21.0,Tennessee State University
Eric Johnson Jones,0.0,
Sidney Harold Tanenbaum,0.0,New York University
Trayce Jackson-Davis,57.0,Indiana Hoosiers
Andre Jamal Drummond,9.0,University of Connecticut
"Chavano Rainer ""Buddy"" Hield",6.0,Oklahoma Sooners
D'Angelo Russell,2.0,Ohio State
Joel Hans Embiid,3.0,University of Kansas
Paul Clifton Anthony George,10.0,Fresno State
Kyrie Andrew Irving,1.0,Duke University
Jayson Christopher Tatum,3.0,Duke University
Caleb Martin,0.0,"NC State Wolfpack, Nevada Wolf Pack"
Andrew Christian Wiggins,1.0,Kansas Jayhawks
"Ogugua ""OG"" Anunoby Jr.",23.0,Indiana University
Jaylen Marselles Brown,3.0,"University of California, Berkeley"
Victor Wembanyama,1.0,
Jrue Randall Holiday,17.0,UCLA
Austin Tyler Reaves,0.0,"Wichita State Shockers, Oklahoma Sooners"
Kevin Wesley Love,5.0,UCLA
Giannis Sina Ugo Antetokounmpo,15.0,
Wardell Stephen Curry II,7.0,Davidson
Alfred Joel Horford Reynoso,3.0,University of Florida
Tyler Christopher Herro,13.0,University of Kentucky
Duncan McBryde Robinson,0.0,"Williams College, University of Michigan"
Kyle Forman Anderson,30.0,UCLA
Cade Parker Cunningham,1.0,Oklahoma State
LeBron Raymone James Sr.,1.0,
Jimmy Butler III,30.0,Marquette University
Kevon Grant Looney,30.0,UCLA
Zachary Thomas LaVine,13.0,UCLA
Jaden Edward Dhananjay Ivey,5.0,Purdue
Kyle Terrell Lowry,24.0,Villanova Wildcats
Michael Jeffrey Jordan,3.0,University of North Carolina
Devin Armani Booker,13.0,Kentucky Wildcats
Draymond Jamal Green,35.0,Michigan State University
Zach Collins,10.0,Gonzaga Bulldogs
Jonathan Malangu Kuminga,7.0,
Lonzo Anderson Ball,2.0,UCLA
Jaime Jaquez Jr.,18.0,UCLA
Ausar XLNC Thompson,5.0,
Jalen Marquis Brunson,33.0,Villanova University
Shaquille Rashaun O'Neal,1.0,Louisiana State University (LSU)
Kobe Bean Bryant,13.0,
Christopher Emmanuel Paul,4.0,Wake Forest University
Harrison Bryce Jordan Barnes,7.0,North Carolina Tar Heels
"Edrice Femi ""Bam"" Adebayo",14.0,University of Kentucky
