court_name,judge_name,hearing_year,judgment_year,file,        judge_name,appeal_information,charges,legal_basis,verdict,plaintextjudge_name,plaintextcourt_name
 Federal Magistrate,Federal Magistrate,2009,2009,09_841.txt,,,,,,,
 Federal Magistrates Court, Bennett J, 2004, 2005,06_224.txt,,,,,,,
NAN,NAN,2006, 2006,06_740.txt,,,,,,,
NAN,NAN,2009,2009,09_1480.txt,,,,,, NAN,
NAN,NAN,2024, 2007,07_1692.txt,,,,,,,
 Supreme Court of New South Wales, Mr J Thomson, 2006, 2006,06_758.txt,,,,,,,
 Federal Court of Australia, Mr M Cashion SC,2006,2006,06_1054.txt,,,,,,,
 Federal Magistrates Court,NAN,2008,2008,08_1897.txt,,,,,,,
NAN, Lindgren J,2007,2007,07_1445.txt,,,,,,,
 Federal Court of Australia, Mr AF Fernon,2008,2008,08_55.txt,,,,,,,
 Federal Court of Australia,Siopis,2009,2009,09_484.txt,,,,,,,
 Federal Court of Australia, Lindgren J,2009,2009,09_1058.txt,,,,,,,
Federal Magistrates Court, Jagot J,2009,2009,09_902.txt,,,,,,,
 Federal Court of Australia, Justice Collier, 2006, 2006,06_1680.txt,,,,,,,
 Federal Court, Mansfield J,2008, 2005,08_907.txt,,,,,,,
Federal Court of Australia,Heerey J,2007,2007,07_411.txt,,,,,,,
 Federal Magistrates Court, DH Solomon,2005,2005,06_548.txt,,,,,,,
 Federal Magistrate, his Honour,2004, 2006,06_41.txt,,,,,,,
 Administrative Appeals Tribunal,Senior Member Allen,2007,2007,07_7.txt,,,,,,,
 Federal Court,Jacobson,2009,2009,09_1477.txt,,,,,,,
NAN,NAN, 2007,2007,07_17.txt,,,,,,,
 Federal Court of Australia,J Jacobson,2008,2008,08_130.txt,,,,,,,
 Federal Magistrates Court,NAN,2006,2007,07_702.txt,,,,,,,
Supreme Court of Western Australia,NAN,1990,2005,06_1235.txt,,,,,,,
NAN,NAN,2007,2008,08_1016.txt,,,,,,,
 New South Wales Court of Appeal, Spigelman CJ, 2006,2006,06_1369.txt,,,,,,,
 Federal Magistrates Court, His Honour,2007, 2006,08_1765.txt,,,,,,,
NAN,NAN,2007,2007,07_1383.txt,,,,,,,
FEDERAL COURT OF AUSTRALIA,CONTI J,2006,2006,06_1220.txt,,,,,,,
Supreme Court of New South Wales,NAN,2006,2009,09_632.txt,,,,,,,
 Federal Court of Australia,Jacobson, 2007,NAN,07_881.txt,,,,,,,
 Federal Court, von Doussa J, 2002, 2002,06_1620.txt,,,,,,,
 Federal Court of Australia,NAN,2009,2009,09_1205.txt,,,,,,,
 Federal Court of Australia, Mr A Collett,2006,2006,06_1147.txt,,,,,,,
 Federal Court of Australia, Sackville J,2004,2004,09_753.txt,,,,,,,
Western Australian Magistrates Court,Magistrate G N Calder,2009,2009,09_394.txt,,,,,,,
NAN,NAN,2009, 2009,09_1399.txt,,,,,,,
FEDERAL COURT OF AUSTRALIA,SACKVILLE J,2006, 2006,06_515.txt,,,,,,,
 Federal Court,Jacobson, 2008, 2005,08_783.txt,,,,,,,
Federal Magistrates Court, Honourable Justice Besanko,2005,2006,06_662.txt,,,,,,,
Western Australian Magistrates Court,GN Calder,2009,2009,09_618.txt,,,,,,,
 County Court of Victoria, Holt,2007,2007,09_1398.txt,,,,,,,
