university_name,college_category,academic_calendar,in_state_tuition_fees,out_of_state_tuition_fees,institutional_control,religious_affiliation,setting,total_undergraduate_enrollment,year_founded,rank,campus_size,college_town,file
George Mason University,,semester,"$8,684","$25,448",public,,suburban,19702,1972.0,143,806 acres,,101
College of Idaho,,other-based,"$21,050",,private,,suburban,1002,1891.0,174,50 acres,,941
Jamestown College,,semester,"$13,870",,private,,urban,1010,1884.0,41,110 acres,,173
Freed-Hardeman University,Regional Universities,semester,"$15,922",,private,,rural,1496,1869.0,39,120 acres,,92
New England College,Regional Colleges (North),semester,"$29,054",,private,,rural,1014,1946.0,31,225 acres,,342
Fairleigh Dickinson University,,semester,,,private,,suburban,8524,1942.0,57,266 acres,,72
High Point University,Regional Colleges (South),Semester-based,(empty),(empty),Private,(empty),Suburban,3277,1924.0,3,210 acres,(empty),143
Drake University,,semester,,,private,,urban,3548,1881.0,3,150 acres,Des Moines,1011
Rhode Island College,,semester,"$6,986","$16,878",public,,suburban,7883,1854.0,105,180 acres,,435
Harvey Mudd College," ",semester,,,private,,suburban,757,1955.0,18,33 acres,,136
Rensselaer Polytechnic Institute,,semester,,"$40,680",private,,urban,5659,1824.0,41,284 acres,"Troy, NY",434
Montana State University,,semester,"$6,212","$18,248",public,,urban,10840,1893.0,183,"1,780 acres",,292
"Georgia Southwestern State University ","Regional Universities (South) ","semester-based ","$5,296 ","$16,910 ","public "," ","rural ","2659 ",1906.0,"87 ","325 acres "," ",108
"Coast Guard Academy ",,"semester "," "," ","public ",,"suburban ","973 ",1931.0,"1 ","110 "," ",632
Converse College,,4-1-4-based,,,private,,urban,729,1889.0,15,70 acres,"Spartanburg, South Carolina",975
North Dakota State University,,semester,"6,661","16,077",public,,urban,11733,1890.0,191,258,,354
Hamline University,,4-1-4-based,,,private,,urban,1921,1854.0,9,60 acres,,126
Georgetown University,,semester,,,private,,urban,7433,1789.0,21,104 acres,,103
Lawrence University,,trimester-based,,,private,,urban,1495,1847.0,67,84 acres,"Appleton, Wisconsin",204
"Westmont College ",,"semester-based ",,,"private ",,"suburban ","1304 ",1937.0,"99 ","130 acres ",,842
George Washington University,,semester-based,,,private,,urban,10558,1821.0,51,43 acres,,104
Woodbury University,,semester,,,private,,suburban,1301,1884.0,68,22 acres,,894
Virginia Commonwealth University,,semester,,,,,urban,23149,1838.0,167,143 acres,,799
"Mount Vernon Nazarene University ",,4-1-4-based academic calendar,,,private institution,,"rural ","2074 ",1968.0,"26 ","401 acres ",,334
Virginia Tech,,semester,9954,26404,public,,rural,23558,1872.0,69,2600,,802
"United States Merchant Marine Academy ",,"Trimester-based ",,,"Public ",,"Suburban ","964 ",1943.0,"3 ","82 acres ",,633
Crown College,,semester-based,,,private,,rural,1061,1916.0,46,215 acres,,982
Tabor College,,4-1-4-based,"$20,630",,private,,rural,618,1908.0,40,70 acres,,574
"Pennsylvania College of Technology ",,"semester ","$12,480 ","$15,630 ","public ",,"urban ","6409 ",1941.0,"31 ","996 acres ",,402
University of South Carolina--Upstate,Regional Colleges (South),semester,"$9,317","$18,389",public,,urban,5291,1967.0,28,300 acres,,748
North Carolina Wesleyan College,,semester,,"$23,050",private,,suburban,1449,1956.0,49,200 acres,Rocky Mount,351
College of Mount St. Vincent,,semester,,,private,,urban,1555,1847.0,117,70 acres,,943
Kennesaw State University,Regional Universities (South),semester,"$5,942","$17,918",public,,suburban,20304,1963.0,69,384 acres,,185
New College of Florida,,4-1-4-based,"$4,784","$26,386",public,,suburban,825,2001.0,99,114 acres,,341
Piedmont College,,semester-based,,,private,,rural,1268,1897.0,69,300 acres,,409
Virginia Union University,,semester-based,"$14,630",,Private,,Urban,1307,1865.0,64,100 acres,,803
Southwest Minnesota State University,,semester-based,,,,,rural,6221,1963.0,104,216 acres,,506
Chestnut Hill College,Regional Universities (North),Semester-based,,,Private,,Suburban,1480,1924.0,110,75 acres,,922
Wesleyan College,,Semester-based,,,Private,,Suburban,624,1836.0,158,200 acres,,826
Touro College,,semester,,,private,,urban,8222,1971.0,97,,,616
Barnard College,,semester,,,private,,urban,2417,1889.0,26,4 acres,New York City,46
Bethel University,Regional Universities (Midwest),4-1-4-based,,,Private,,Suburban,3421,1871.0,17,247 acres,,319
St. Joseph's College,,semester,,,private,,rural,1010,1889.0,25,180 acres,,532
Shepherd University,,semester,"$5,234","$14,046",public,,rural,4102,1871.0,44,325 acres,,477
Missouri Southern State University,Regional Colleges (Midwest),semester,"$5,116","$9,406",public,,suburban,5639,1937.0,71,365 acres,,285
California State University--Fullerton,,semester,4662,15822,public,,urban,30737,1957.0,37,236 acres,,860
