name,country,region,latitude,longitude,altitude,area,file
S.R. 819,United States,,,,,,S.R._819
Route 50,United States,,,,,,New_Jersey_Route_50
"Romanian Land Forces, ","Romania, ",,,,,,Romanian_Land_Forces
The Actor's Children,United States,New York,,,,,The_Actor_'s_Children
Sarnia,Canada,Southwestern Ontario,,,,,Sarnia
"cougar, mountain lion, puma, panther, catamount",,,,,,,Cougar
Chagas disease,,,,,,,Chagas_disease
Gibraltar,,,,,,,Military_history_of_Gibraltar_during_World_War_II
Domoina,"South Africa, Swaziland, Mozambique, Madagascar",southeastern Africa,,,,,Tropical_Storm_Domoina
Slammiversary,United States,Mississippi,,,,,Slammiversary_(_2008_)
Something Borrowed,,,,,,,Something_Borrowed_(_Torchwood_)
"Sir Hugh Seymour Walpole, CBE",,,,,,,Hugh_Walpole
State Route 516,,,,,,,Washington_State_Route_516
"""True Blue""","""empty""","""empty""","""empty""","""empty""","""empty""","""empty""",True_Blue_(_Madonna_song_)
Dover Athletic Football Club,England,Kent,,,,,Dover_Athletic_F.C.
"The Tower Building of the Little Rock Arsenal, U.S. Arsenal Building, MacArthur Park, Arkansas Museum of Natural History and Antiquities, MacArthur Museum of Arkansas Military History, Little Rock Æsthetic Club",United States,Arkansas,,,,,Tower_Building_of_the_Little_Rock_Arsenal
Hugh Foliot,,,,,,,Hugh_Foliot
Old Baltimore Pike,United States,Delaware,,,,,Old_Baltimore_Pike
"Georgian scripts, Asomtavruli, Nuskhuri, Mkhedruli",,,,,,,Georgian_scripts
Tommy Lawton,England,,,,,,Tommy_Lawton
Roxas,,,,,,,Roxas_(_Kingdom_Hearts_)
The Same Old Story,,,,,,,The_Same_Old_Story
Tupolev Tu @-@ 12,Soviet Union,,,,,,Tupolev_Tu_@-@_12
"Bradley Kent ""Brad"" Stevens",,,,,,,Brad_Stevens
Tristan ,,,,,,,Tristan_(_horse_)
Allah,,,,,,,Allah
(empty),(empty),(empty),,,,(empty),Japanese_battleship_Asahi
"Mycena inclinata, clustered bonnet, oak stump bonnet cap",,,,,,,Mycena_inclinata
Sholay,India,Karnataka,,,,,Sholay
Boise National Forest,United States,Idaho,,,"9,730 feet (2,970 m)","2,203,703 acres (8,918.07 km2)",Boise_National_Forest
Croatia,,,,,,,"Croatian_independence_referendum_,_1991"
"King's Highway 36, Highway 36",Ontario,,,,,,Ontario_Highway_36
Tessa Noël,France,,,,,,Tessa_Noël
Stuart McCall,England,,,,,,Stuart_McCall
Yoko Shimomura,Japan,,,,,,Yoko_Shimomura
Amylostereum,,,,,,,Amylostereum
"Ælfric of Abingdon, Ælfric of Wessex",,,,,,,Ælfric_of_Abingdon
The Secret of Monkey Island,,,,,,,The_Secret_of_Monkey_Island
Charmbracelet,,,,,,,Charmbracelet
USS Illinois,United States,,,,,,USS_Illinois_(_BB_@-@_7_)
Clayton Edward Kershaw,,,,,,,Clayton_Kershaw
T30 Howitzer Motor Carriage (HMC),United States,,,,,,T30_Howitzer_Motor_Carriage
"Cape lobster, Homarinus capensis",South Africa,,,,,,Cape_lobster
Ghost in the Shell ,Japan,,,,,,Ghost_in_the_Shell_:_Stand_Alone_Complex_-_Solid_State_Society
Rockstar 101,,,,,,,Rockstar_101
Central Area Command,,New South Wales,,,,,Central_Area_Command_(_RAAF_)
A Month in the Country,,Yorkshire,,,,,A_Month_in_the_Country_(_film_)
Crash Boom Bang,,,,,,,Crash_Boom_Bang_!
"Invisible rail, Wallace's rail, drummer rail, Habroptila wallacii",Indonesia,North Maluku,,,,,Invisible_rail
Osbert de Bayeux,N/A,N/A,N/A,N/A,N/A,N/A,Osbert_de_Bayeux
Brandon Ricardo Minor,,,,,,,Brandon_Minor
"Homarus gammarus, European lobster, common lobster",,,,,,,Homarus_gammarus
Nazarov cyclization reaction,,,,,,,Nazarov_cyclization_reaction
Max Rufus Mosley,,,,,,,Max_Mosley
Aretusa,,,,,,,Italian_cruiser_Aretusa
Alabama Crimson Tide football team,,,,,,,2010_Alabama_Crimson_Tide_football_team
