university_name,college_category,academic_calendar,in_state_tuition_fees,out_of_state_tuition_fees,institutional_control,religious_affiliation,setting,total_undergraduate_enrollment,year_founded,rank,campus_size,college_town,file
Davis and Elkins College,,4-1-4-based,,,private,,rural,710,1904,27,170,,0997
Concordia College--Moorhead,,semester-based,,,private,,urban,"2,788",1891,137,113 acres,Moorhead,0965
University of California--Riverside,,quarter-based,"$11,022","$33,901",public,,urban,"16,996",1954,94,"1,200 acres",,0649
Wake Forest University,,semester-based,,,private,,suburban,"4,569",1834,25,340 acres,Winston-Salem,0806
University of South Alabama,,semester,"$7,180",,public,,suburban,"11,408",1963,52,"1,224 acres",,0745
Hampshire College,,4-1-4-based,,,private,,rural,"1,463",1965,119,800 acres,Amherst,0128
College of the Atlantic,,trimester-based,,,private,,rural,336,1969,131,35 acres,,0952
Tulane University,,semester,,,private,,urban,"7,210",1834,51,110 acres,,0626
Catawba College,,semester-based,,,private,,suburban,"1,324",1851,15,276 acres,,0907
Oklahoma Baptist University,Regional Colleges (West),4-1-4-based,,"$18,670",private,,urban,1714,1910,2,200 acres,,0384
California State University--Fresno,Regional Universities (West),semester,"$4,672","$15,832",public,,urban,"18,216",1911,44,327 acres,,0859
New York University,,semester,,"$38,765",private,,urban,"21,638",,33,,,0347
University of Central Arkansas,,semester,6698,11903,public,,suburban,10146,1907,47,262,,0653
St. Louis University,,semester-based,"$32,656",,private,,urban,"8,119",1818,86,235 acres,St. Louis,0537
Hollins University ,,4-1-4-based ,,,Private ,,Suburban ,796 ,1842 ,105 ,475 acres ,,0149
Hastings College,,4-1-4-based,,"$22,620",Private,,Suburban,"1,104",1882,174,109 acres,,0137
Syracuse University,,semester,,"$36,302",private,,urban,"13,736",1870,55,200 acres,Syracuse,0573
Williams College,,4-1-4-based,,,private,,rural,"2,067",1793,,450 acres,,0884
Lewis University ,,semester,,,private,,suburban,"4,079",1932,43,135 acres,,0214
Towson University,Regional Universities (North),semester-based,"$7,656","$19,114",public,,suburban,"17,148",1866,46,328 acres,,0617
Santa Fe University of Art and Design,,semester,,,private,,urban,195,1874,80,60 acres,,0467
University of North Carolina--Wilmington,Regional Universities,semester,$5154,$16036,public,,urban,11197,1947,13,661 acres,,0723
University of Kansas,,semester,"$8,732","$21,539",public,,urban,"21,066",1866,104,"1,000 acres",Lawrence,0681
Georgia Institute of Technology,,semester,"$8,716","$26,926",public,,urban,"13,515",1885,35,400 acres,,0106
Denison University,,semester,,,private,,suburban,"2,267",1831,51,850,Granville,1001
Briar Cliff University,Regional Colleges (Midwest),trimester-based,,,private,,urban,"1,079",1930,29,70 acres,,0588
St. Norbert College ,,semester ,,,private ,,suburban ,"2,113 ",1898 ,127 ,93 acres ,,0546
George Mason University,,semester,"$8,684","$25,448",public,,suburban,"19,702",1972,143,806 acres,,0101
College of Idaho,,other-based,"$21,050",,private,,suburban,1002,1891,174,50 acres,,0941
Jamestown College,,semester,"$13,870",,private,,urban,"1,010",1884,41,110 acres,,0173
Freed-Hardeman University,Regional Universities,semester,"$15,922",,private,,rural,"1,496",1869,39,120 acres,,0092
New England College,Regional Colleges (North),semester,"$29,054",,private,,rural,"1,014",1946,31,225 acres,,0342
Fairleigh Dickinson University,,semester,,,private,,suburban,"8,524",1942,57,266 acres,,0072
High Point University,Regional Colleges (South),Semester-based,(empty),(empty),Private,(empty),Suburban,"3,277",1924,3,210 acres,(empty),0143
Drake University,,semester,,,private,,urban,"3,548",1881,3,150 acres,Des Moines,1011
Rhode Island College,,semester,"$6,986","$16,878",public,,suburban,"7,883",1854,105,180 acres,,0435
Harvey Mudd College, ,semester,,,private,,suburban,757,1955,18,33 acres,,0136
Rensselaer Polytechnic Institute,,semester,,"$40,680",private,,urban,"5,659",1824,41,284 acres,"Troy, NY",0434
Montana State University,,semester,"$6,212","$18,248",public,,urban,"10,840",1893,183,"1,780 acres",,0292
Georgia Southwestern State University ,Regional Universities (South) ,semester-based ,"$5,296 ","$16,910 ",public , ,rural ,"2,659 ",1906 ,87 ,325 acres , ,0108
Coast Guard Academy ,,semester , , ,public ,,suburban ,973 ,1931 ,1 ,110 , ,0632
Converse College,,4-1-4-based,,,private,,urban,729,1889,15,70 acres,"Spartanburg, South Carolina",0975
North Dakota State University,,semester,"6,661","16,077",public,,urban,"11,733",1890,191,258,,0354
Hamline University,,4-1-4-based,,,private,,urban,"1,921",1854,9,60 acres,,0126
Georgetown University,,semester,,,private,,urban,"7,433",1789,21,104 acres,,0103
Lawrence University,,trimester-based,,,private,,urban,"1,495",1847,67,84 acres,"Appleton, Wisconsin",0204
Westmont College ,,semester-based ,,,private ,,suburban ,"1,304 ",1937 ,99 ,130 acres ,,0842
George Washington University,,semester-based,,,private,,urban,"10,558",1821,51,43 acres,,0104
Woodbury University,,semester,,,private,,suburban,"1,301",1884,68,22 acres,,0894
Virginia Commonwealth University,,semester,,,,,urban,"23,149",1838,167,143 acres,,0799
Mount Vernon Nazarene University ,,4-1-4-based academic calendar,,,private institution,,rural ,"2,074 ",1968 ,26 ,401 acres ,,0334
Virginia Tech,,semester,9954,26404,public,,rural,23558,1872,69,2600,,0802
United States Merchant Marine Academy ,,Trimester-based ,,,Public ,,Suburban ,964 ,1943 ,3 ,82 acres ,,0633
Crown College,,semester-based,,,private,,rural,"1,061",1916,46,215 acres,,0982
Tabor College,,4-1-4-based,"$20,630",,private,,rural,618,1908,40,70 acres,,0574
Pennsylvania College of Technology ,,semester ,"$12,480 ","$15,630 ",public ,,urban ,"6,409 ",1941 ,31 ,996 acres ,,0402
University of South Carolina--Upstate,Regional Colleges (South),semester,"$9,317","$18,389",public,,urban,"5,291",1967,28,300 acres,,0748
North Carolina Wesleyan College,,semester,,"$23,050",private,,suburban,"1,449",1956,49,200 acres,Rocky Mount,0351
College of Mount St. Vincent,,semester,,,private,,urban,"1,555",1847,117,70 acres,,0943
Kennesaw State University,Regional Universities (South),semester,"$5,942","$17,918",public,,suburban,"20,304",1963,69,384 acres,,0185
New College of Florida,,4-1-4-based,"$4,784","$26,386",public,,suburban,825,2001,99,114 acres,,0341
Piedmont College,,semester,,,private,,rural,"1,268",1897,69,300 acres,,0409
Virginia Union University,,Semester,"$14,630",,Private,,Urban,"1,307",1865,64,100 acres,,0803
Southwest Minnesota State University,,,,,,,,,,,,,0506
Chestnut Hill College,Regional Universities (North),Semester-based,N/A,N/A,Private,,Suburban,"1,480",1924,110,75 acres,,0922
Wesleyan College,,Semester-based,,,Private,,Suburban,624,1836,158,200 acres,,0826
Touro College,,semester,,,private,,urban,"8,222",1971,97,,,0616
Barnard College,,semester,,,private,,urban,"2,417",1889,26,4 acres,New York City,0046
Bethel University,Regional Universities (Midwest),4-1-4-based,,,Private,,Suburban,"3,421",1871,17,247 acres,,0319
St. Joseph's College,,semester,,,private,,rural,"1,010",1889,25,180 acres,,0532
Shepherd University,,semester,"$5,234","$14,046",public,,rural,"4,102",1871,44,325 acres,,0477
Missouri Southern State University,Regional Colleges (Midwest),semester,"$5,116","$9,406",public,,suburban,"5,639",1937,71,365 acres,,0285
California State University--Fullerton,,semester,4662,15822,public,,urban,30737,1957,37,236 acres,,0860
University of Tulsa,,semester,,,private,,urban,"3,084",1894,93,209 acres,Tulsa,0770
William Paterson University of New Jersey,Regional Universities (North),semester,"$10,832","$17,732",public,,suburban,"9,179",1855,93,370 acres,,0882
Felician College ,,,,,,,,,,,,,0076
University of La Verne,(empty),4-1-4-based,(empty),"$29,800",private,(empty),suburban,"1,540",1891,"National Universities, 136",38 acres,(empty),0683
Clarkson University,,semester,,,private,,rural,"2,746",1896,124,640 acres,,0929
Marist College,,semester,,,private,,suburban,"5,330",1929,10,180 acres,,0245
Bowdoin College,,semester,,,private,,suburban,"1,777",1794,6,205 acres,,0582
Curry College ,,semester-based,,,private,,suburban,"2,805",1879,29,135 acres,,0991
University of Minnesota Duluth,Regional Universities (Midwest),semester,"$11,792","$16,092",public,,urban,"10,506",1947,34,244 acres,,0701
University of the Pacific ,,semester,,,private,,urban,"3,501",1851,,175 acres ,,0768
St. Thomas Aquinas College ,,semester-based,,,private,,suburban,"1,922",1952,112,48 acres,,0551
University of Pittsburgh,,semester,"$14,154","$23,852",public,,urban,"18,031",1787,64,132 acres,Pittsburgh,0731
St. Mary's University of San Antonio,,semester,,,private,,urban,"2,372",1852,19,135 acres,San Antonio,0544
Washington and Lee University,,other-based,,,private,,rural,"1,759",1749,14,322 acres,,0815
California Polytechnic State University--San Luis Obispo,Regional Universities (West),quarter-based,"$6,498","$13,938",public,,suburban,"18,302",1901,6,"6,000 acres",San Luis Obispo,0856
"Rutgers, the State University of New Jersey--New Brunswick",,semester,"$12,582","$24,044",public,,urban,"29,095",1766,64,"1,990 acres",,0457
Xavier University of Louisiana,,semester,"$16,300",,private,,urban,"2,666",1915,22,27 acres,,0897
Gwynedd-Mercy College ,Regional Universities (North) ,semester , , ,private , ,suburban ,"2,196 ",1948 ,93 ,160 acres , ,0124
Carroll College,,semester,,,private,,urban,N/A,1909,181,63 acres,,0902
Sacramento State,Regional Universities (West),semester,"$5,194",,public,,urban,"24,388",1947,62,300 acres,Sacramento,0863
Hilbert College,,Semester,"$18,580",,Private,,Suburban,N/A,1957,47,47 acres,,0144
Pacific Lutheran University ,,4-1-4-based ,,,private,,suburban ,"3,305 ",1890 ,13 ,126 acres ,,0398
Principia College ,,quarter-based ,,,private ,,rural ,527 ,1910 ,127 ,"2,600 acres ",,0420
Buffalo State College--SUNY,,semester,"$6,007","$13,907",public,,urban,"9,822",1871,97,112 acres,,0598
University at Buffalo--SUNY,,semester,"$7,014","$14,914",public,,suburban,"19,368",1846,120,1350 acres,,0637
United States Naval Academy,,semester-based,$0,$0,public,,urban,"4,552",1845,16,330 acres,,0635
North Carolina State University--Raleigh,,semester-based,"$5,779","$18,314",public,,urban,"25,255",1887,111,"2,200 acres",Raleigh,0350
Bluefield College,,semester,,,private,,rural,738,1922,39,75 acres,,0576
Chapman University,,4-1-4-based,,,private,,suburban,"4,476",1861,8,78 acres,,0919
SUNY Fredonia,Regional Universities (North),semester,"$6,458","$14,358",public,,rural,"5,374",1826,46,266 acres,,0563
Carnegie Mellon University,,semester,,,private,,urban,"6,023",1900,23,143 acres,,0874
Florida Gulf Coast University,Regional Universities (South),semester,"$4,372","$17,052",public,,suburban,"9,713",1991,83,700 acres,,0081
Fordham University,,semester,,,private,,urban,"7,950",1841,,93,,0086
Michigan Technological University,,semester,"$12,017","$24,527",public,,rural,"5,942",1885,117,925 acres,,0269
Bates College,,other-based,,,private,,urban,"1,738",1855,21,109 acres,,0048
University of Wisconsin--Whitewater,,semester-based,"$8,340","$16,324",public,,urban,"9,730",1868,49,400 acres,,0784
Elizabeth City State University,,semester,"$3,707","$12,822",public,,rural,"3,208",1891,22,154 acres,,0055
Sweet Briar College,,semester,,,private,,rural,745,1901,101,"3,250 acres",,0572
New York Institute of Technology,,Semester,,,Private,,Suburban,"7,741",,81,225 acres,,0346
City College,Regional Universities,semester,"$4,929","$10,289",public,,urban,"12,960",1847,61,35 acres,,0986
Bard College at Simon's Rock,,semester,,,private,,rural,431,1964,20,425 acres,,0045
University of Indianapolis ,,semester-based ,,,private ,,urban ,"3,792 ",1902 ,33 ,65 acres ,,0679
Framingham State College,,semester,7065,13145,public,,suburban,3847,1839,126,50 acres,,0087
Texas A&M University--College Station,,semester,"$8,387","$22,817",public,,urban,"38,810",1876,63,"5,200 acres",College Station,0605
Austin College,,4-1-4-based,,"$27,850",Private,,Urban,"1,335",1849,81,70 acres,,0035
University of California--Irvine,,quarter,"$11,913","$34,792",public,,suburban,"22,226",1965,41,"1,475 acres",,0647
CUNY John Jay College of Criminal Justice ,,semester ,"$4,930 ","$12,780 ",public ,,urban ,"13,346 ",1965 ,121 ,,,0988
Emmanuel College GA,,semester,,,private,,rural,732,1919,64,80 acres,,0062
Campbell University,,semester,,"$22,520",private,,rural,"4,219",1887,37,850 acres,,0869
Carson-Newman College,,semester,,,private,,rural,"1,900",1851,183,90 acres,,0904
Boston College,,semester,,,private,,suburban,"9,171",1863,31,386 acres,,0580
Montana State University--Billings,,semester-based,"$5,206","$14,647",public,,urban,"4,547",1927,77,,,0293
Utica College ,,semester ,,,private ,,urban ,"2,537 ",1946 ,105 ,128 ,,0789
Bucknell University ,,Semester,,,Private,,Rural,"3,543",1846,30,445 acres,,0596
Belmont Abbey College,,semester,,,private,,suburban,"1,638",1876,39,150 acres,,0303
Corban College,,semester-based,,,private,,urban,888,1935,5,140 acres,,0977
Hendrix College,N/A,Semester,N/A ,"$29,380",Private,N/A,Suburban,"1,456",1876,81,160 acres,N/A,0142
Sewanee--University of the South,,semester-based,,,private,,rural,"1,469",1857,32,"13,000 acres",,0474
University of Maine Fort Kent,Regional Colleges (North),semester-based,"$7,163","$16,763",public,,rural,"1,126",1878,46,52 acres,,0687
Webster University ,,semester ,,,private ,,suburban ,"4,738 ",1915 ,24 ,47 acres ,,0823
University of Saint Francis,,semester,,,private,,urban,N/A,1890,81,108 acres,,0753
Winston-Salem State University,,,"$4,368","$13,354",public,,,"5,960",1892,24,98 acres,,0889
Westminster College ,,semester ,,,private ,,rural ,"1,087 ",1851 ,166 ,86 acres ,Fulton ,0839
Marietta College,,semester,,,private,,urban,"1,506",1797,2,90 acres,,0244
Baylor University,,semester,,,private,,urban,"12,149",1845,79,508 acres,Waco,0049
Pace University,,semester,,,private,,urban,"7,971",1906,170,257 acres,,0397
Central Connecticut State University,Regional Universities (North),semester,"$7,861","$16,858",public,,,"9,989",1849,99,294 acres,,0912
Northern State University,Regional Colleges (Midwest),semester,"$6,351","$7,848",public,,urban,"2,300",1901,48,72 acres,"Aberdeen, South Dakota",0358
Willamette University ,[empty] ,semester-based ,[empty] ,"$37,362 ",private ,[empty] ,urban ,"1,997 ",1842 ,[empty] ,61 acres ,,0880
Bryn Mawr College,National Liberal Arts Colleges,Semester,,,Private,,Suburban,"1,307",1885,30,135 acres,,0595
Duke University,,semester,,,private,,suburban,"6,578",1838,9,"8,709 acres",Durham,1015
Pomona College,,semester-based,,,private,,suburban,"1,550",1887,6,140 acres,Claremont,0416
Colby-Sawyer College,Regional Colleges (North),semester,,,private,,rural,N/A,1837,25,200 acres,,0937
Saint Francis University,Regional Universities,Semester,,,Private,,Rural,"1,679",1847,51,600 acres,,0523
University of Pittsburgh Bradford,Regional Colleges (North),semester-based,"$12,046","$21,846",public,,rural,"1,652",1963,31,317 acres,,0732
Bridgewater College ,,4-1-4-based,,"$25,500",Private,,Rural,"1,590",1880,187,300 acres,,0589
West Liberty University,Regional Colleges (South),semester,"$4,880","$12,750",public,,rural,"2,597",1837,49,290 acres,leave empty,0838
Millersville University of Pennsylvania,Regional Universities (North),4-1-4-based,"$7,644","$16,308",Public,(empty),rural,"7,359",1855,67,250 acres,(empty),0273
York College of Pennsylvania,,semester,,,private,,suburban,"5,281",1787,13,190 acres,,0901
Mount St. Mary College,,semester,,,private,,suburban,"2,245",1959,126,70 acres,,0331
Western Oregon University,Regional Universities (West),quarter-based,"$6,855","$18,951",public,,rural,"4,875",1856,84,157 acres,,0835
Oregon State University,,quarter-based,"$6,727","$19,651",public,,suburban,"18,067",1858,139,577 acres,,0392
Valley City State University,Regional Colleges (Midwest),semester-based,"$6,075","$13,477",public,,rural,961,1890,47,64 acres,,0791
University of Alabama--Birmingham,,semester,"$5,806","$13,198",public,,urban,"10,646",1969,151,305 acres,,0639
Southwestern College,,semester,,,private,,rural,"1,525",1885,92,85 acres,,0504
Our Lady of Holy Cross College,,semester,,,,,suburban,"1,019",1916,70,40 acres,,0395
Fisk University,,semester,,"$18,358 ",private,,urban,586,1866,122,42 acres,,0078
Florida Institute of Technology ,,semester ,- ,,private ,,urban ,"5,022 ",1958 ,159 ,130 acres ,,0082
University of Southern California,,semester-based,,,private,,urban,"16,751",1880,23,226 acres,,0749
University of Alabama--Huntsville,,semester,"$7,492","$17,986",public,,urban,"6,119",1950,179,400 acres,,0640
Widener University ,,semester,,"$33,270",private,,urban,"3,412",1821,159,108 acres,,0878
Heidelberg University,,semester,"$22,780",,private,,urban,"1,447",1850,48,115 acres,,0140
Western Michigan University,,semester,"$9,006","$20,894",public,,urban,"19,547",1903,179,"1,200 acres",Kalamazoo,0833
Mercer University,Regional Universities (South),semester,,,private,,urban,"4,531",1833,8,150 acres,,0261
University of California--Santa Cruz,,quarter-based,"$10,626","$33,505",public,,suburban,"15,259",1965,72,"2,000 acres",Santa Cruz,0652
Warner Pacific College,,semester,,,private,,urban,"1,180",1937,17,17 acres,,0809
Texas State University--San Marcos,Regional Universities,semester,"$7,838","$17,138",public,,suburban,"26,002",1899,40,455 acres,San Marcos,0608
University of South Carolina--Aiken,Regional Colleges (South),semester,"$8,406","$16,574",public,(empty),suburban,"3,202",1961,20,453 acres,(empty),0747
Bentley University,Regional Universities,semester,,,private,,suburban,"4,235",1917,4,163 acres,,0311
Bryan College,,semester,,,private,,rural,"1,100",1930,16,100 acres,,0593
Edgewood College,,semester,,,private,,urban,"1,888",1927,52,55 acres,,0053
Brigham Young University--Provo,,semester,"$4,420",,private,,urban,"30,745",1875,75,557 acres,,0591
University of Montevallo ,,semester ,"$7,590 ","$14,820 ",public ,,rural ,"2,571 ",1896 ,40 ,160 acres ,,0709
St. Cloud State University,Regional Universities (Midwest),semester,"$6,606","$13,234",public,,urban,"15,780",1869,81,100 acres,,0516
Kean University,Regional Universities (North),semester-based,"$9,446","$14,081",public,,suburban,"12,072",1855,105,186 acres,,0183
Stephen F. Austin State University,,semester,"$6,528","$14,958",public,,rural,"11,144",1923,71,430 acres,,0518
Arkansas Tech University,,semester,"$5,908","$11,008",public,,rural,"8,253",1909,87,516 acres,,0026
Abilene Christian University,,Semester-based,"$22,760",,Private,,Urban,"3,916",1906,19,208 acres,,0000
Calvin College,,4-1-4-based,N/A ,"$24,870 ",private ,N/A ,suburban ,"4,015 ",1876 ,101 ,400 acres ,N/A ,0867
St. Xavier University,,Semester-based,,,Private,,Urban,"3,084",1846,34,120 acres,,0554
Middlebury College,,4-1-4-based,,,private,,rural,"2,482",1800,4,350 acres,"Middlebury, Vermont",0270
University of Minnesota Crookston  ,Regional Colleges (Midwest)  ,semester-based  ,"$10,647  ","$10,647  ",public  ,  ,rural  ,"2,279  ",1966  ,50  ,108 acres  , ,0700
University of Arizona,,semester,"$6,845","$22,254",public,,urban,"30,346",1885,120,380 acres,Tucson,0642
Westfield State College,Regional Universities (North),semester,"$7,516","$13,596",public,,suburban,"5,043",1838,112,256 acres,,0837
St. Anselm College,,semester-based,,,private,,suburban,"1,915",1889,122,400 acres,,0513
University of Mary Washington,Regional Universities,semester,"$7,862","$19,590",public,,suburban,"4,397",1908,13,176 acres,Fredericksburg,0692
University of Evansville,,semester,,,private,,urban,"2,716",1854,10,75 acres,,0669
Baptist Bible College and Seminary ,N/A ,semester ,N/A ,"$17,340 ",private ,N/A ,suburban ,N/A ,1932 ,48 ,50 acres ,N/A ,0043
Culver Stockton College,,semester,,,private,,rural,754,1853,33,143 acres,,0983
Pfeiffer University ,Regional Universities (South),semester-based,,,private,United Methodist-related,rural,"1,069",1885,81,370 acres,,0405
St. Martin's University,Regional Universities (West),semester,,,private,,suburban,"1,359",1895,51,380 acres,,0538
Purdue University--West Lafayette,,Semester,"$9,070","$26,622",Public,,Urban,"31,145",,56,"2,468 acres",,0423
Alaska Pacific University ,,semester ,,"$26,360 ",private ,,urban ,534 ,1957 ,56 ,170 acres ,,0004
Wilkes University,,,,,,,,,,,,,0879
University of Richmond ,,semester,,,private ,,suburban ,"2,925 ",1830 ,32 ,350 acres ,,0738
University of Missouri,,semester,"$8,501","$19,592",public,,urban,"23,869",1839,94,"1,374 acres",Columbia,0705
Tougaloo College,,semester-based,"$9,710",,private,,suburban,939,1869,166,500 acres,,0615
Millikin University,,semester,,,private,,urban,"2,276",1901,144,75 acres,,0275
University of Findlay,,semester,,,private,,urban,"3,011",1882,52,387 acres,,0670
Northwestern College,,Semester-based,"$22,642",,Private,,Rural,"1,206",1882,9,100 acres,,0363
Western New England College,,semester,,,private,,suburban,"2,739",1919,67,215 acres,,0834
University of Pittsburgh Johnstown,Regional Colleges (North),semester,"$11,754","$21,314",public,,suburban,"3,057",1927,21,650 acres,,0733
University of the Southwest,,semester,,"$13,633",private,,rural,317,1962,84,142 acres,,0769
University of Michigan,,trimester-based,"$12,400","$36,163",,,urban,"26,208",,29,"3,071 acres",,0697
Northwest Christian University,,semester,,,private,,,,,,,,0362
SUNY Purchase,,semester,"$6,475","$14,375",public,,suburban,"4,077",1967,,550 acres,,0422
Houston Baptist University,,semester,,"$23,180",private,,urban,"2,333",1960,50,100 acres,,0154
University of Mary,,semester-based,"$13,088",,private,,rural,"2,137",1959,104,110 acres,,0688
Whitworth University,,4-1-4-based,,,private,,suburban,"2,450",1890,9,200 acres,,0877
Ohio Wesleyan University,National Liberal Arts Colleges,Semester,"$36,398",,Private,,Suburban,"1,893",1842,105,200 acres,,0383
East Texas Baptist University,,semester,,,private,,urban,"1,179",1912,18,200,,0051
University of Massachusetts--Dartmouth,Regional Universities (North),semester,"$10,358","$17,040",public,,suburban,"7,982",1895,81,710 acres,,0694
Thomas Aquinas College,,semester,,,private,,rural,345,1971,71,131 acres,,0611
Stevenson University,,Semester,"$22,090",,Private,,Suburban,"3,176",1947,11,150 acres,,0521
Washburn University,,semester-based,"$6,116","$13,766",public,,urban,"5,766",1865,58,160 acres,,0813
Hope College,,semester,,,private,,urban,"3,230",1866,88,120 acres,,0152
Erskine College,,4-1-4-based,"$26,475",,Private,Associate Reformed Presbyterian Church,Rural,582,1839,4,85 acres,,0068
Graceland University ,,4-1-4-based ,,,private ,,rural ,"1,522 ",1895 ,107 ,169 acres ,,0116
Oklahoma Panhandle State University,Regional Colleges (West),semester-based,"$5,142","$10,482",public,,rural,"1,266",1909,26,120 acres,,0387
Arcadia University,,Semester,,,Private,,Suburban,"2,253",1853,29,76 acres,,0023
James Madison University,,semester,"$7,860","$20,624",public,,urban,"17,281",1908,3,712 acres,,0172
Ohio Dominican University,,semester,,,private,,urban,"2,280",1911,95,78 acres,,0378
Franciscan University of Steubenville ,,semester,,,private,,suburban,"2,081",,28,242 acres,,0088
Swarthmore College,,semester,,,private,,suburban,"1,525",1864,3,399 acres,"Swarthmore, PA",0571
Maranatha Baptist Bible College,,semester-based,,,private,,urban,789,1968,71,68 acres,,0241
St. Bonaventure University,,semester,,,private,,rural,"1,967",1858,29,500 acres,,0514
Santa Clara University,,quarter-based,,,private,,urban,"5,200",1851,2,106 acres,,0466
Benedict College,,semester,,,private,,urban,N/A,1870,71,90 acres,,0307
Northwestern College,,semester-based,,,private,,suburban,"1,858",1902,15,107 acres,,0364
Southern Illinois University--Carbondale,,semester,"$10,468",,Public,,rural,"15,551",1869,183,"1,139 acres",,0494
Nebraska Wesleyan University,,semester,,,private,,urban,"1,852",1887,152,50 acres,,0339
Wheaton College,,semester-based,,,private,,suburban,"1,632",1834,59,473 acres,,0847
McDaniel College,,4-1-4-based,,"$33,280",Private,,suburban,"1,707",1867,122,160 acres,,0258
University of Wisconsin--Platteville,,semester,"$6,352 ","$13,926",public,,rural,"6,856",1866,84,820 acres,,0779
LeTourneau University,,semester,,,private,,urban,"3,098",1946,35,162 acres,,0211
University of Wisconsin,,semester,"$9,050","$24,300",public,,urban,"30,343",1848,45,935 acres,Madison,0777
Tennessee Wesleyan College,,semester,,,private,,urban,"1,070",1857,29,40 acres,,0603
Dominican University,,semester-based,,,private,,suburban,1904,1901,19,37 acres,,1008
Champlain College,,semester,,,private,,urban,"2,673",1878,17,19 acres,,0918
Benedictine College,Regional Universities (Midwest),semester,"$20,700",,private,,rural,"1,815",1859,52,120 acres,"Atchison, Kansas",0308
Northern Michigan University ,Regional Universities ,semester-based ,"$7,800 ","$12,216 ",public ,,urban ,"8,578 ",1899 ,66 ,350 acres ,"Marquette, Michigan ",0357
University of Texas--Tyler,,semester,6042,14352,public,,urban,5051,1971,71,200,,0764
Delta State University,,semester,"4,852","12,558",public,,rural,"3,115",1924,63,339,,1000
Valdosta State University ,Regional Universities (South) ,semester ,"$6,106 ","$18,082 ",public ,,urban ,"10,328 ",1906 ,69 ,172 acres ,,0790
Linfield College,,4-1-4-based,,,private,,rural,"1,677",1858,105,193 acres,"McMinnville, Oregon",0217
California Lutheran University,,semester,,,private,,suburban,"2,352",1959,18,290 acres,,0854
Wabash College ,,semester-based,,,private,,urban,883,1832,58,62,,0804
Palm Beach Atlantic University ,Regional Universities ,semester-based ,,,private ,,urban ,"2,434 ",1968 ,54 ,25 acres ,,0401
University of Pennsylvania,,semester,,,private,,urban,"9,768",1740,5,279 acres,,0730
University of Washington,,quarter,"$8,701","$25,329",public,,urban,"29,574",1861,41,703 acres,,0774
New Mexico Institute of Mining and Technology,Regional Universities (West),semester,"$4,942","$14,620",public,,rural,"1,322",1889,17,320 acres,,0344
Brandeis University,,semester,"$40,274", ,private,,suburban ,"3,317",1948,34,235 acres,,0585
