ID,name,nationality,art_movement,birth_date,death_date,age,century,zodiac,birth_country,birth_city,birth_continent,death_country,death_city,field,genre,marriage,art_institution,teaching,awards
74,Georges Mathieu,French,Lyrical Abstraction,1921/1/27,2012/6/10,91,20th-21st,Aquarius,France,Boulogne-sur-Mer,Europe,France,Boulogne-Billancourt,Painting||Theory,Abstract,,,0,0
75,Clifford Possum Tjapaltjarri,Australian,Western Desert Art Movement,1905/4/15,2002/6/21,97,20th-21st,Aries,Australia,Napperby,Oceania,Australia,Alice Springs/Stuart,Painting,,,,0,1
76,Walter Joseph De Maria,American,Conceptual art||Land art||Minimal art,1935/10/1,2013/7/25,77,20th-21st,Libra,United States,Albany,North America,United States,Los Angeles,Illustration||Others||Sculpture,,Married,"University of California, Berkeley||",0,0
77,David Robert Jones,British,Glam Rock,1947/1/8,2016/1/10,69,20th-21st,,United Kingdom,Brixton,Europe,United States,New York,Music||Performance,Music||Other||Pop Art,Remarried,,0,43
78,Hedda Sterne,Romanian||Jewish||American,Abstract Expressionism||Surrealism,1910/8/4,2011/4/8,100,20th-21st,Leo,Romania,Bucharest,Europe,United States,Manhattan,Painting,,Married,,0,0
79,Andrew Newell Wyeth,American,Regionalism,1917/7/12,2009/1/16,91,20th-21st,Cancer,United States,Chadds Ford,North America,United States,Chadds Ford,Painting,Other,Married,,0,0
80,"Bernhard ""Bernd"" Becher||Hilla Becher",German,Conceptual art||New Topographics,1905/5/12,1905/6/29,0,20th,Taurus,Germany,Siegen||Potsdam,Europe,,,Graphic Design||Painting||Photography,Film,Married,Staatliche Akademie der Bildenden Künste Stuttgart||Kunstakademie Düsseldorf,0,2
81,Karl Benjamin,American,Abstract Classicism,1925/12/29,2012/7/26,86,20th-21st,,United States,Chicago,North America,United States,Claremont,Painting,Abstract,Married,Northwestern University||Claremont Graduate University,1,0
82,John Angus Chamberlain,American,Abstract Expressionism,1927/4/16,2011/12/21,84,20th-21st,Aries,United States,Rochester,North America,United States,Manhattan,Sculpture,Abstract||Avant Garde Experimental,,Art Institute of Chicago||Black Mountain College,0,0
83,William-Adolphe Bouguereau,French,Academic,1825/11/30,1905/8/19,79,19th-20th,Sagittarius,France,La Rochelle,Europe,,,Painting,Mythological||Other,,école des Beaux-Arts,0,0
84,Frida Kahlo,Mexican,Magical Realism||Mexicayotl||Surrealism,1907/7/6,1954/7/13,47,20th,Gemini,Mexico,Coyoacán,North America,,,Painting,Portrait,,"Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda""",0,0
85,Mary Frances Pratt,Canadian,Realism,1935/3/15,,,,Pisces,Canada,Fredericton,North America,,,Painting,Narrative||Still Life,,,0,0
86,Mark George Tobey,American,Abstract Expressionism,1890/12/11,1976/4/24,85,19th-20th,Scorpio,United States,Centerville,North America,Switzerland,Basel,Painting,,,Art Institute of Chicago||The Cornish School,0,0
87,Romero Britto,Brazilian,Cubism||Graffiti||Pop Art,1963/10/6,,,,Gemini,Brazil,Recife,South America,,,Painting||Printmaking||Sculpture,,,,0,0
88,Hito Steyerl,German,,1966/1/1,,,,,Germany,Munich,Europe,,,Film||Literature,Narrative,,Academy of Fine Arts Vienna||Japan Institute of the Moving Image||University of Television and Film Munich,0,0
89,Jenny Saville,British,Young British Artists,1970/5/7,,,,Cancer,England,Cambridge,Europe,,,Painting,Nude,,Lilley and Stone School||Glasgow School of Art||University of Cincinnati,0,0
90,Alison Knowles,American,Fluxus,1905/4/16,,,,,,,,,,Digital Art||Performance||Social||Visual,Avant Garde Experimental,,Pratt Institute,0,0
91,Pat Steir,American,Conceptual Art||Minimalism,1905/4/23,,,,,United States,Newark,North America,,,Installation||Painting||Printmaking,Abstract,,Pratt Institute||Boston University College of Fine Arts,0,0
92,Alberto Burri,Italian,Arte Povera||Neo-Dada||Nouveau réalisme||Postminimalism,1915/3/12,1995/2/13,79,20th,Sagittarius,Italy,Città di Castello,Europe,,,Painting||Sculpture,,,,0,0
93,Olafur Eliasson,Icelandic||Danish,,,,,,,Denmark,Copenhagen,Europe,,,Installation||Sculpture,,,Royal Danish Academy of Fine Arts,0,0
94,Richard Dean Tuttle,American,Postminimalism,1941/7/12,,,,Sagittarius,United States,Rahway,North America,,,Decorative||Drawing||Illustration||Installation||Painting||Printmaking||Sculpture,,,Trinity College||Cooper Union,0,0
95,Vasily Vasilyevich Vereshchagin,Russian,Realism,1842/10/26,1904/4/13,61,19th-20th,Scorpio,Russia,Cherepovets,Europe,,,Painting,War,,"Alexander Cadet Corps, Sea Cadet Corps at St Petersburg, St Petersburg Academy, Paris under Jean-Léon Gér?me",0,0
96,László Mednyánszky,Hungarian,,1852/4/23,1919/4/17,66,19th-20th,Taurus,Kingdom of Hungary,Beckó,Europe,Austria,Vienna,Painting,,,Akademie der Bildenden Künste||école des Beaux-Arts,0,0
97,Balcomb Greene,,Abstract Art||Modernism,1904/5/22,1905/6/12,85,20th,Gemini,United States,Millville,North America,,,Painting,Abstract||Figurative||Landscape,,Syracuse University||Columbia University||Académie de la Grande Chaumière||New York University,0,0
98,Wolfgang Tillmans,German,Contemporary photography,1968/8/16,,,,Leo,Germany,Remscheid,Europe,,,Photography,Portrait,,Bournemouth and Poole College of Art and Design,0,0
99,Julie Mehretu,,,,,,,,Ethiopia,Addis Ababa,Africa,,,Drawing||Painting||Printmaking,Abstract,,Kalamazoo College||Cheikh Anta Diop University||Rhode Island School of Design,0,0
100,Konstantin Yegorovich Makovsky,Russian,Academic art||Peredvizhniki||Russian Impressionism,1839/6/20,1915/9/17,76,19th-20th,Gemini,Russia,Moscow,Europe,Russia,Saint Petersburg,Painting,History||Portrait,,"Moscow School of Painting, Sculpture and Architecture||Imperial Academy of Arts",0,0
101,Gerhard Richter,German,,1932/2/9,,,,Virgo,Germany,Dresden,Europe,,,Decorative||Painting||Photography,Abstract||Illustration,,Dresden Academy of Fine Arts,0,0
102,Peter Dreher,German,Die Brücke||Neue Sachlichkeit,1932/8/26,,,,Virgo,Germany,Mannheim,Europe,,,Painting,Architecture||Landscape||Still Life,,"Academy of Fine Arts, Karlsruhe",0,0
103,Alfred Julio Jensen,Danish||German-Pole,Abstract Expressionism,1903/12/11,1905/6/3,77,20th,Scorpio,Guatemala,Guatemala City,North America,,,Painting,Abstract,,San Diego Fine Arts School||Academie Scandinave,0,0
104,Frederic Sackrider Remington,American,,1861/10/4,1909/12/26,48,19th-20th,Aries,United States,Canton,North America,,,Illustration||Literature||Painting||Sculpture,History,,Vermont Episcopal Institute,0,0
105,Simon St?lenhag,Swedish,,1984/1/20,,,,Aquarius,Sweden,,Europe,,,Graphic Design||Music||Others,History||Other||Surrealist,,,0,0
106,Henriette Theodora Markovitch || Dora Maar,French,Surrealism,1907/11/22,1997/7/16,89,20th,Sagittarius,France,Paris,Europe,,,Literature||Painting||Photography,,,Central Union of Decorative Arts || School of Photography || école des Beaux-Arts || Académie Julian,0,0
107,Abidin Dino,Turkish,New realism,1913/3/23,1993/12/7,80,20th,Aries,Turkey,Istanbul,Europe,,,Drawing||Literature||Painting||Sculpture,,,,0,0
108,Jules Chéret,French,Belle époque,1836/5/31,1932/9/23,96,19th-20th,Gemini,France,Paris,Europe,France,Nice,Graphic Design||Painting||Printmaking,Illustration,,école Nationale de Dessin,0,0
109,Ralph Albert Blakelock,American,Romanticism||Tonalism,1847/10/15,1919/8/9,71,19th-20th,Libra,United States,New York City,North America,United States,,Painting,Landscape,,Free Academy of the City of New York,0,0
110,Mierle Laderman Ukeles,,Conceptual Art||Feminist Art,1905/4/22,,,,,United States,Denver,North America,,,Others,,,Barnard College||Pratt Institute||New York University,0,0
111,Liam Gillick,English,Relational Art,1964/1/1,,,,,,,,,,Conceptual,,,Goldsmiths College,0,0
112,Adrian Margaret Smith Piper,American,Conceptual art,1948/9/20,,,,Virgo,United States,New York City,North America,,,Conceptual||Theory,,,"School of Visual Arts, City College of New York, Harvard University, University of Heidelberg",0,0
113,Rachel Whiteread,English,Young British Artists,1963/4/20,,,,Taurus,,Ilford,,,,Sculpture,,,"Cyprus College of Art||Slade School of Art, University College London",0,0
114,Joaquín Torres-García,Uruguayan||Spanish,Abstraction||Cubism||Dada||Geometry||Modern Classicism||Neo plasticisme||Noucentisme||Primitivisme||Surrealisme||Universal Constructivism,1874/7/28,1949/8/8,75,19th-20th,Leo,Uruguay,Montevideo,South America,,,Literature||Painting||Sculpture,,,,0,0
115,Marcel Mari?n,Belgian,Situationism||Surrealism,1920/4/29,1993/9/19,73,20th,Taurus,Belgium,Antwerp,Europe,Belgium,Brussels,Collage||Film||Literature||Photography,Surrealist,,,0,0
116,"Charles Thomas ""Chuck"" Close",American,Hyperrealism||Photorealism,1940/7/5,,,,Taurus,United States,Monroe,North America,,,Painting||Photography,Portrait,,Everett Community College||University of Washington||Yale University||Academy of Fine Arts Vienna,0,0
117,Marina Abramovi?,Serbian,Performance Art,1946/11/30,,,,Sagittarius,Yugoslavia,Belgrade,Europe,,,Performance,,,Academy of Fine Arts in Belgrade||Academy of Fine Arts in Zagreb,0,0
118,Paul Thek,American,,1933/11/2,1988/8/10,55,20th,Aquarius,United States,Brooklyn,North America,United States,New York City,Installation||Painting||Performance||Sculpture,,,Art Students League||Pratt Institute||Cooper Union,0,0
119,Sir John Lavery,Irish,,1856/3/20,1941/1/10,85,19th-20th,Pisces,Ireland,Belfast,Europe,Ireland,Kilmoganny,Painting,Portrait,,Haldane Academy||Académie Julian,0,0
120,Ludwig Johann Passini,Austrian,,1832/7/9,1903/11/6,70,19th-20th,Virgo,Austria,Vienna,Europe,Italy,Venice,Painting||Printmaking,Genre||Narrative||Portrait,,Vienna Academy of Art,0,0
121,Diego Rivera,Mexican,Mexican mural movement,1886/12/8,1957/11/24,71,19th-20th,Leo,Mexico,Guanajuato,North America,,,Painting,Architecture,,Academy of San Carlos,0,0
122,Ilya Kabakov,Russian||American,Conceptual Art,1933/9/30,,,,Libra,Soviet Union,Dnipropetrovsk,Europe,,,Drawing||Installation||Others||Painting,,,Leningrad Academy of Art||V.I. Surikov State Art Institute,0,0
123,Ettore Tito,Italian,,1859/12/17,1941/6/26,81,19th-20th,Sagittarius,Italy,Castellammare di Stabia,Europe,Italy,Venice,Drawing||Painting||Sculpture,Landscape||Mythological||Symbolic,,Accademia di Belle Arti,0,0
124,Norval Morrisseau,Canadian,Indian Group of Seven||Woodlands School,1931/3/14,2007/12/4,76,20th-21st,Pisces,Canada,Beardmore||Fort William||Thunder Bay,North America,,,Painting,,,,0,0
125,George Frederic Watts,English,Symbolism,1817/2/23,1904/7/1,86,19th-20th,Pisces,England,London,Europe,,,Painting||Sculpture,Allegorical||Landscape,,Royal Academy,0,0
126,Henri-Edmond Cross,French,Neo-Impressionism,1856/5/20,1910/5/16,53,19th-20th,Taurus,France,Douai,Europe,,,Painting||Printmaking,Landscape||Portrait||Still Life,,école des Beaux-Arts||écoles Académiques de Dessin et d'Architecture,0,0
127,Damien Steven Hirst,English,Young British Artists,1965/6/7,,,,Cancer,United Kingdom,Bristol,Europe,,,Painting||Professional||Sculpture,,,Jacob Kramer School of Art,0,0
128,Lewis Wickes Hine,American,,1874/9/26,1940/11/3,65,19th-20th,Libra,United States,Oshkosh,North America,,,Photography||Professional,Narrative,,University of Chicago||Columbia University||New York University,0,0
129,Hubertine Heijermans,Swiss,Impressionism,1936/1/8,,,,Leo,Netherlands,Amsterdam,Europe,,,Painting||Printmaking,Figurative,,Barlaeus Gymnasium||Rijksakademie||Villa Schifanoia,0,0
