university_name,year_founded,setting,plaintextuniversity_name,plaintextsetting,suburban,- setting,plaintextyear_founded
Pepperdine University,,suburban,,,,,1937
California Lutheran University,1959,suburban,,,,,
 Farmingdale State College--SUNY,1912,suburban,,,,,
 Pomona College,1887,suburban,,,,,
Chapman University,1861,suburban,,,,,
 William Paterson University of New Jersey,1855,suburban,,,,,
Kean University,1855,suburban,,,,,
College of New Jersey,1855,suburban,,,,,
College of Wooster,1866,suburban,,,,,
Hofstra University,1935,suburban,,,,,
California Polytechnic State University--San Luis Obispo,1901,suburban,,,,,
Harvey Mudd College,1955,suburban,,,,,
Gwynedd-Mercy College,1948,suburban,,,,,
Sonoma State University, 1960,suburban,,,,,
University of Virginia,1819,suburban,,,,,
California Baptist University,1950,suburban,,,,,
 Vanguard University of Southern California,1920,suburban,,,,,
Woodbury University,1884,suburban,,,,,
Gettysburg College,1832,suburban,,,,,
 University of Hartford,1877, suburban,,,,,
,1869,suburban,Tougaloo College,,,,
Mount St. Mary College,1959,suburban,,,,,
 Fairleigh Dickinson University,1942,suburban,,,,,
Northwest University,1934, suburban,,,,,
Rollins College,1885,suburban,,,,,
University of Texas Dallas,1969, suburban,,,,,
College of Our Lady of the Elms,1928,suburban,,,,,
,1965,suburban,University of California--Irvine,,,,
Missouri Southern State University,1937, suburban,,,,,
High Point University,1924, suburban,,,,,
 Southern Polytechnic State University,1948, suburban,,,,,
Florida Southern College, 1885,suburban,,,,,
Wheaton College Norton, 1834,suburban,,,,,
Towson University,1866,suburban,,,,,
Fontbonne University,1923,suburban,,,,,
 Malone University,1892, suburban,,,,,
 George Mason University,1972,suburban,,,,,
Our Lady of Holy Cross College,1916,suburban,,,,,
SUNY College--Cortland,1868,suburban,,,,,
Cabrini College,1957, suburban,,,,,
 Roanoke College,1842,suburban,,,,,
Sacred Heart University,1963,suburban,,,,,
James Madison University, 1908,urban,,,,,
Olivet Nazarene University,1907,suburban,,,,,
University of La Verne, 1891,suburban,,,,,
University of Pittsburgh Johnstown,1927,suburban,,,,,
West Texas A&M University,1910,suburban,,,,,
Framingham State College,1839,suburban,,,,,
Oregon State University,1858,suburban,,,,,
Davidson College, 1837,suburban,,,,,
,1969, suburban,Clayton State University,,,,
St. Anselm College,1889,suburban,,,,,
Simpson College,1860,suburban,,,,,
 Webster University,1915,suburban,,,,,
Westmont College,1937,suburban,,,,,
Stanford University,1885,suburban,,,,,
 College of St. Benedict,1887,suburban,,,,,
Bryn Mawr College,1885,suburban,,,,,
Denison University, 1831,suburban,,,,,
 Thomas More College,1921,suburban,,,,,
 St. Martin's University,1895,suburban,,,,,
Walsh University,1958,suburban,,,,,
University of South Carolina--Aiken,1961,suburban,,,,,
 Brandeis University,1948, suburban,,,,,
Haverford College, 1833,suburban,,,,,
Ohio Wesleyan University,1842,suburban,,,,,
 Catawba College,1851,suburban,,,,,
 Villanova University, 1842,suburban,,,,,
Lewis University,1932, suburban,,,,,
 Elmhurst College,1871,suburban,,,,,
Maryville University of St. Louis,1872,suburban,,,,,
Massachusetts Maritime Academy,1891,suburban,,,,,
Ramapo College of New Jersey,1969,suburban,,,,,
Randolph-Macon College,1830,suburban,,,,,
Kennesaw State University,1963,suburban,,,,,
Whittier College, 1887,suburban,,,,,
University at Buffalo--SUNY,1846, suburban,,,,,
United States Air Force Academy,1954,suburban,,,,,
 Azusa Pacific University,1899, suburban,,,,,
Weber State University,1889, suburban,,,,,
California State Polytechnic University--Pomona, 1938,suburban,,,,,
University of Massachusetts--Amherst,1863,suburban,,,,,
Hilbert College, 1957,suburban,,,,,
St. Norbert College,1898,suburban,,,,,
 University of Central Arkansas,1907,suburban,,,,,
St. Thomas Aquinas College, 1952,suburban,,,,,
Marist College,1929,suburban,,,,,
Notre Dame de Namur University,1851,suburban,,,,,
Quinnipiac University,1929,suburban,,,,,
Bentley University, 1917,suburban,,,,,
Goucher College,1885,suburban,,,,,
 Illinois Wesleyan University,1850,suburban,,,,,
DeSales University, 1964,suburban,,,,,
Western New England College,1919, suburban,,,,,
 College of the Holy Cross,1843,suburban,,,,,
 Bethany University, 1919,suburban,,,,,
Bryant University,1863,suburban,,,,,
Duke University,1838,suburban,,,,,
 University of St. Francis, 1920,suburban,,,,,
Messiah College,1909,suburban,,,,,
 Southern Illinois University--Edwardsville,1957, suburban,,,,,
Hastings College,1882, suburban,,,,,
 Belmont Abbey College, 1876,suburban,,,,,
University of Redlands, 1907,suburban,,,,,
 North Central College, 1861,suburban,,,,,
California Maritime Academy,1929,suburban,,,,,
Philadelphia Biblical University,1913,suburban,,,,,
 Bethel University,1871,suburban,,,,,
University of South Alabama,1963,suburban,,,,,
