workload_id,kind,focus,n_queries,sql_manifest,nl_manifest,dataset,enabled,notes
mix20_join_heavy,mixture,Mixture workload (mix20_join_heavy),20,case study/workloads/mixtures/mix20_join_heavy/query_manifest.json,case study/workloads/mixtures/mix20_join_heavy/query_manifest_nl.json,Player,0,disabled by default; set enabled=1 to include
mix20_join_multiagg,mixture,Mixture workload (mix20_join_multiagg),20,case study/workloads/mixtures/mix20_join_multiagg/query_manifest.json,case study/workloads/mixtures/mix20_join_multiagg/query_manifest_nl.json,Player,0,disabled by default; set enabled=1 to include
mix25_roundrobin,mixture,Mixture workload (mix25_roundrobin),25,case study/workloads/mixtures/mix25_roundrobin/query_manifest.json,case study/workloads/mixtures/mix25_roundrobin/query_manifest_nl.json,Player,0,disabled by default; set enabled=1 to include
art_agg20,baseline,Single-table GROUP BY with one aggregate,20,case study/workloads/art_agg20/query_manifest.json,case study/workloads/art_agg20/query_manifest_nl.json,Art,1,
art_filter20,pure,Selective WHERE predicates with simple aggregates,20,case study/workloads/art_filter20/query_manifest.json,case study/workloads/art_filter20/query_manifest_nl.json,Art,1,art_agg20
art_groupby20,pure,"Diverse GROUP BY keys, including multi-column and banded groupings",20,case study/workloads/art_groupby20/query_manifest.json,case study/workloads/art_groupby20/query_manifest_nl.json,Art,1,art_agg20
art_multiagg20,pure,"Several aggregates, often with HAVING, in the same query",20,case study/workloads/art_multiagg20/query_manifest.json,case study/workloads/art_multiagg20/query_manifest_nl.json,Art,1,art_agg20
cspaper_agg20,baseline,Single-table GROUP BY with one aggregate,20,case study/workloads/cspaper_agg20/query_manifest.json,case study/workloads/cspaper_agg20/query_manifest_nl.json,CSPaper,1,
cspaper_filter20,pure,Selective WHERE predicates with simple aggregates,20,case study/workloads/cspaper_filter20/query_manifest.json,case study/workloads/cspaper_filter20/query_manifest_nl.json,CSPaper,1,cspaper_agg20
cspaper_groupby20,pure,"Diverse GROUP BY keys, including multi-column and family groupings",20,case study/workloads/cspaper_groupby20/query_manifest.json,case study/workloads/cspaper_groupby20/query_manifest_nl.json,CSPaper,1,cspaper_agg20
cspaper_multiagg20,pure,"Several aggregates, often with HAVING, in the same query",20,case study/workloads/cspaper_multiagg20/query_manifest.json,case study/workloads/cspaper_multiagg20/query_manifest_nl.json,CSPaper,1,cspaper_agg20
finan_agg20,baseline,Single-table GROUP BY with one aggregate,20,case study/workloads/finan_agg20/query_manifest.json,case study/workloads/finan_agg20/query_manifest_nl.json,Finan,1,
finan_filter20,pure,Selective WHERE predicates with simple aggregates,20,case study/workloads/finan_filter20/query_manifest.json,case study/workloads/finan_filter20/query_manifest_nl.json,Finan,1,finan_agg20
finan_groupby20,pure,"Diverse GROUP BY keys, including multi-column and banded groupings",20,case study/workloads/finan_groupby20/query_manifest.json,case study/workloads/finan_groupby20/query_manifest_nl.json,Finan,1,finan_agg20
finan_multiagg20,pure,"Several aggregates, often with HAVING, in the same query",20,case study/workloads/finan_multiagg20/query_manifest.json,case study/workloads/finan_multiagg20/query_manifest_nl.json,Finan,1,finan_agg20
legal_agg20,baseline,Single-table GROUP BY with one aggregate,20,case study/workloads/legal_agg20/query_manifest.json,case study/workloads/legal_agg20/query_manifest_nl.json,Legal,1,
legal_filter20,pure,Selective WHERE predicates with simple aggregates,20,case study/workloads/legal_filter20/query_manifest.json,case study/workloads/legal_filter20/query_manifest_nl.json,Legal,1,legal_agg20
legal_groupby20,pure,"Diverse GROUP BY keys, including multi-column and banded groupings",20,case study/workloads/legal_groupby20/query_manifest.json,case study/workloads/legal_groupby20/query_manifest_nl.json,Legal,1,legal_agg20
legal_multiagg20,pure,"Several aggregates, often with HAVING, in the same query",20,case study/workloads/legal_multiagg20/query_manifest.json,case study/workloads/legal_multiagg20/query_manifest_nl.json,Legal,1,legal_agg20
med_agg20,baseline,Single-table GROUP BY with one aggregate,20,case study/workloads/med_agg20/query_manifest.json,case study/workloads/med_agg20/query_manifest_nl.json,Med,1,
med_filterjoin20,pure,Selective WHERE predicates with light joins; aggregation stays simple,20,case study/workloads/med_filterjoin20/query_manifest.json,case study/workloads/med_filterjoin20/query_manifest_nl.json,Med,1,med_agg20
med_groupby20,pure,"Diverse GROUP BY keys, including multi-column and joined keys",20,case study/workloads/med_groupby20/query_manifest.json,case study/workloads/med_groupby20/query_manifest_nl.json,Med,1,med_agg20
med_join20,pure,1–3 table joins; aggregation is light and secondary,20,case study/workloads/med_join20/query_manifest.json,case study/workloads/med_join20/query_manifest_nl.json,Med,1,med_agg20
med_multiagg20,pure,"Several aggregates, often with HAVING, in the same query",20,case study/workloads/med_multiagg20/query_manifest.json,case study/workloads/med_multiagg20/query_manifest_nl.json,Med,1,med_agg20
sec_agg20,baseline,Single-table GROUP BY with one aggregate,20,case study/workloads/sec_agg20/query_manifest.json,case study/workloads/sec_agg20/query_manifest_nl.json,SEC,1,
sec_filterjoin20,pure,Selective WHERE predicates with light joins; aggregation stays simple,20,case study/workloads/sec_filterjoin20/query_manifest.json,case study/workloads/sec_filterjoin20/query_manifest_nl.json,SEC,1,sec_agg20
sec_groupby20,pure,"Diverse GROUP BY keys, including multi-column and joined keys",20,case study/workloads/sec_groupby20/query_manifest.json,case study/workloads/sec_groupby20/query_manifest_nl.json,SEC,1,sec_agg20
sec_join20,pure,1–3 table joins; aggregation is light and secondary,20,case study/workloads/sec_join20/query_manifest.json,case study/workloads/sec_join20/query_manifest_nl.json,SEC,1,sec_agg20
sec_multiagg20,pure,"Several aggregates, often with HAVING, in the same query",20,case study/workloads/sec_multiagg20/query_manifest.json,case study/workloads/sec_multiagg20/query_manifest_nl.json,SEC,1,sec_agg20
art_mix10_smoke,mixture,Art mixture (mix10_smoke),10,case study/workloads/mixtures/art/mix10_smoke/query_manifest.json,case study/workloads/mixtures/art/mix10_smoke/query_manifest_nl.json,Art,0,disabled by default; set enabled=1 to include
art_mix15_spread,mixture,Art mixture (mix15_spread),15,case study/workloads/mixtures/art/mix15_spread/query_manifest.json,case study/workloads/mixtures/art/mix15_spread/query_manifest_nl.json,Art,0,disabled by default; set enabled=1 to include
art_mix20_agg_heavy,mixture,Art mixture (mix20_agg_heavy),20,case study/workloads/mixtures/art/mix20_agg_heavy/query_manifest.json,case study/workloads/mixtures/art/mix20_agg_heavy/query_manifest_nl.json,Art,0,disabled by default; set enabled=1 to include
art_mix20_balanced,mixture,Art mixture (mix20_balanced),20,case study/workloads/mixtures/art/mix20_balanced/query_manifest.json,case study/workloads/mixtures/art/mix20_balanced/query_manifest_nl.json,Art,0,disabled by default; set enabled=1 to include
art_mix20_filter_heavy,mixture,Art mixture (mix20_filter_heavy),20,case study/workloads/mixtures/art/mix20_filter_heavy/query_manifest.json,case study/workloads/mixtures/art/mix20_filter_heavy/query_manifest_nl.json,Art,0,disabled by default; set enabled=1 to include
art_mix20_groupby_filter,mixture,Art mixture (mix20_groupby_filter),20,case study/workloads/mixtures/art/mix20_groupby_filter/query_manifest.json,case study/workloads/mixtures/art/mix20_groupby_filter/query_manifest_nl.json,Art,0,disabled by default; set enabled=1 to include
art_mix20_groupby_heavy,mixture,Art mixture (mix20_groupby_heavy),20,case study/workloads/mixtures/art/mix20_groupby_heavy/query_manifest.json,case study/workloads/mixtures/art/mix20_groupby_heavy/query_manifest_nl.json,Art,0,disabled by default; set enabled=1 to include
cspaper_mix10_smoke,mixture,CSPaper mixture (mix10_smoke),10,case study/workloads/mixtures/cspaper/mix10_smoke/query_manifest.json,case study/workloads/mixtures/cspaper/mix10_smoke/query_manifest_nl.json,CSPaper,0,disabled by default; set enabled=1 to include
cspaper_mix15_spread,mixture,CSPaper mixture (mix15_spread),15,case study/workloads/mixtures/cspaper/mix15_spread/query_manifest.json,case study/workloads/mixtures/cspaper/mix15_spread/query_manifest_nl.json,CSPaper,0,disabled by default; set enabled=1 to include
cspaper_mix20_agg_heavy,mixture,CSPaper mixture (mix20_agg_heavy),20,case study/workloads/mixtures/cspaper/mix20_agg_heavy/query_manifest.json,case study/workloads/mixtures/cspaper/mix20_agg_heavy/query_manifest_nl.json,CSPaper,0,disabled by default; set enabled=1 to include
cspaper_mix20_balanced,mixture,CSPaper mixture (mix20_balanced),20,case study/workloads/mixtures/cspaper/mix20_balanced/query_manifest.json,case study/workloads/mixtures/cspaper/mix20_balanced/query_manifest_nl.json,CSPaper,0,disabled by default; set enabled=1 to include
cspaper_mix20_filter_heavy,mixture,CSPaper mixture (mix20_filter_heavy),20,case study/workloads/mixtures/cspaper/mix20_filter_heavy/query_manifest.json,case study/workloads/mixtures/cspaper/mix20_filter_heavy/query_manifest_nl.json,CSPaper,0,disabled by default; set enabled=1 to include
cspaper_mix20_groupby_filter,mixture,CSPaper mixture (mix20_groupby_filter),20,case study/workloads/mixtures/cspaper/mix20_groupby_filter/query_manifest.json,case study/workloads/mixtures/cspaper/mix20_groupby_filter/query_manifest_nl.json,CSPaper,0,disabled by default; set enabled=1 to include
cspaper_mix20_groupby_heavy,mixture,CSPaper mixture (mix20_groupby_heavy),20,case study/workloads/mixtures/cspaper/mix20_groupby_heavy/query_manifest.json,case study/workloads/mixtures/cspaper/mix20_groupby_heavy/query_manifest_nl.json,CSPaper,0,disabled by default; set enabled=1 to include
finan_mix10_smoke,mixture,Finan mixture (mix10_smoke),10,case study/workloads/mixtures/finan/mix10_smoke/query_manifest.json,case study/workloads/mixtures/finan/mix10_smoke/query_manifest_nl.json,Finan,0,disabled by default; set enabled=1 to include
finan_mix15_spread,mixture,Finan mixture (mix15_spread),15,case study/workloads/mixtures/finan/mix15_spread/query_manifest.json,case study/workloads/mixtures/finan/mix15_spread/query_manifest_nl.json,Finan,0,disabled by default; set enabled=1 to include
finan_mix20_agg_heavy,mixture,Finan mixture (mix20_agg_heavy),20,case study/workloads/mixtures/finan/mix20_agg_heavy/query_manifest.json,case study/workloads/mixtures/finan/mix20_agg_heavy/query_manifest_nl.json,Finan,0,disabled by default; set enabled=1 to include
finan_mix20_balanced,mixture,Finan mixture (mix20_balanced),20,case study/workloads/mixtures/finan/mix20_balanced/query_manifest.json,case study/workloads/mixtures/finan/mix20_balanced/query_manifest_nl.json,Finan,0,disabled by default; set enabled=1 to include
finan_mix20_filter_heavy,mixture,Finan mixture (mix20_filter_heavy),20,case study/workloads/mixtures/finan/mix20_filter_heavy/query_manifest.json,case study/workloads/mixtures/finan/mix20_filter_heavy/query_manifest_nl.json,Finan,0,disabled by default; set enabled=1 to include
finan_mix20_groupby_filter,mixture,Finan mixture (mix20_groupby_filter),20,case study/workloads/mixtures/finan/mix20_groupby_filter/query_manifest.json,case study/workloads/mixtures/finan/mix20_groupby_filter/query_manifest_nl.json,Finan,0,disabled by default; set enabled=1 to include
finan_mix20_groupby_heavy,mixture,Finan mixture (mix20_groupby_heavy),20,case study/workloads/mixtures/finan/mix20_groupby_heavy/query_manifest.json,case study/workloads/mixtures/finan/mix20_groupby_heavy/query_manifest_nl.json,Finan,0,disabled by default; set enabled=1 to include
legal_mix10_smoke,mixture,Legal mixture (mix10_smoke),10,case study/workloads/mixtures/legal/mix10_smoke/query_manifest.json,case study/workloads/mixtures/legal/mix10_smoke/query_manifest_nl.json,Legal,0,disabled by default; set enabled=1 to include
legal_mix15_spread,mixture,Legal mixture (mix15_spread),15,case study/workloads/mixtures/legal/mix15_spread/query_manifest.json,case study/workloads/mixtures/legal/mix15_spread/query_manifest_nl.json,Legal,0,disabled by default; set enabled=1 to include
legal_mix20_agg_heavy,mixture,Legal mixture (mix20_agg_heavy),20,case study/workloads/mixtures/legal/mix20_agg_heavy/query_manifest.json,case study/workloads/mixtures/legal/mix20_agg_heavy/query_manifest_nl.json,Legal,0,disabled by default; set enabled=1 to include
legal_mix20_balanced,mixture,Legal mixture (mix20_balanced),20,case study/workloads/mixtures/legal/mix20_balanced/query_manifest.json,case study/workloads/mixtures/legal/mix20_balanced/query_manifest_nl.json,Legal,0,disabled by default; set enabled=1 to include
legal_mix20_filter_heavy,mixture,Legal mixture (mix20_filter_heavy),20,case study/workloads/mixtures/legal/mix20_filter_heavy/query_manifest.json,case study/workloads/mixtures/legal/mix20_filter_heavy/query_manifest_nl.json,Legal,0,disabled by default; set enabled=1 to include
legal_mix20_groupby_filter,mixture,Legal mixture (mix20_groupby_filter),20,case study/workloads/mixtures/legal/mix20_groupby_filter/query_manifest.json,case study/workloads/mixtures/legal/mix20_groupby_filter/query_manifest_nl.json,Legal,0,disabled by default; set enabled=1 to include
legal_mix20_groupby_heavy,mixture,Legal mixture (mix20_groupby_heavy),20,case study/workloads/mixtures/legal/mix20_groupby_heavy/query_manifest.json,case study/workloads/mixtures/legal/mix20_groupby_heavy/query_manifest_nl.json,Legal,0,disabled by default; set enabled=1 to include
med_mix10_smoke,mixture,Med mixture (mix10_smoke),10,case study/workloads/mixtures/med/mix10_smoke/query_manifest.json,case study/workloads/mixtures/med/mix10_smoke/query_manifest_nl.json,Med,0,disabled by default; set enabled=1 to include
med_mix15_spread,mixture,Med mixture (mix15_spread),15,case study/workloads/mixtures/med/mix15_spread/query_manifest.json,case study/workloads/mixtures/med/mix15_spread/query_manifest_nl.json,Med,0,disabled by default; set enabled=1 to include
med_mix20_agg_heavy,mixture,Med mixture (mix20_agg_heavy),20,case study/workloads/mixtures/med/mix20_agg_heavy/query_manifest.json,case study/workloads/mixtures/med/mix20_agg_heavy/query_manifest_nl.json,Med,0,disabled by default; set enabled=1 to include
med_mix20_balanced,mixture,Med mixture (mix20_balanced),20,case study/workloads/mixtures/med/mix20_balanced/query_manifest.json,case study/workloads/mixtures/med/mix20_balanced/query_manifest_nl.json,Med,0,disabled by default; set enabled=1 to include
med_mix20_filter_heavy,mixture,Med mixture (mix20_filter_heavy),20,case study/workloads/mixtures/med/mix20_filter_heavy/query_manifest.json,case study/workloads/mixtures/med/mix20_filter_heavy/query_manifest_nl.json,Med,0,disabled by default; set enabled=1 to include
med_mix20_groupby_filter,mixture,Med mixture (mix20_groupby_filter),20,case study/workloads/mixtures/med/mix20_groupby_filter/query_manifest.json,case study/workloads/mixtures/med/mix20_groupby_filter/query_manifest_nl.json,Med,0,disabled by default; set enabled=1 to include
med_mix20_groupby_heavy,mixture,Med mixture (mix20_groupby_heavy),20,case study/workloads/mixtures/med/mix20_groupby_heavy/query_manifest.json,case study/workloads/mixtures/med/mix20_groupby_heavy/query_manifest_nl.json,Med,0,disabled by default; set enabled=1 to include
med_mix20_join_heavy,mixture,Med mixture (mix20_join_heavy),20,case study/workloads/mixtures/med/mix20_join_heavy/query_manifest.json,case study/workloads/mixtures/med/mix20_join_heavy/query_manifest_nl.json,Med,0,disabled by default; set enabled=1 to include
med_mix20_join_multiagg,mixture,Med mixture (mix20_join_multiagg),20,case study/workloads/mixtures/med/mix20_join_multiagg/query_manifest.json,case study/workloads/mixtures/med/mix20_join_multiagg/query_manifest_nl.json,Med,0,disabled by default; set enabled=1 to include
sec_mix10_smoke,mixture,SEC mixture (mix10_smoke),10,case study/workloads/mixtures/sec/mix10_smoke/query_manifest.json,case study/workloads/mixtures/sec/mix10_smoke/query_manifest_nl.json,SEC,0,disabled by default; set enabled=1 to include
sec_mix15_spread,mixture,SEC mixture (mix15_spread),15,case study/workloads/mixtures/sec/mix15_spread/query_manifest.json,case study/workloads/mixtures/sec/mix15_spread/query_manifest_nl.json,SEC,0,disabled by default; set enabled=1 to include
sec_mix20_agg_heavy,mixture,SEC mixture (mix20_agg_heavy),20,case study/workloads/mixtures/sec/mix20_agg_heavy/query_manifest.json,case study/workloads/mixtures/sec/mix20_agg_heavy/query_manifest_nl.json,SEC,0,disabled by default; set enabled=1 to include
sec_mix20_balanced,mixture,SEC mixture (mix20_balanced),20,case study/workloads/mixtures/sec/mix20_balanced/query_manifest.json,case study/workloads/mixtures/sec/mix20_balanced/query_manifest_nl.json,SEC,0,disabled by default; set enabled=1 to include
sec_mix20_filter_heavy,mixture,SEC mixture (mix20_filter_heavy),20,case study/workloads/mixtures/sec/mix20_filter_heavy/query_manifest.json,case study/workloads/mixtures/sec/mix20_filter_heavy/query_manifest_nl.json,SEC,0,disabled by default; set enabled=1 to include
sec_mix20_groupby_filter,mixture,SEC mixture (mix20_groupby_filter),20,case study/workloads/mixtures/sec/mix20_groupby_filter/query_manifest.json,case study/workloads/mixtures/sec/mix20_groupby_filter/query_manifest_nl.json,SEC,0,disabled by default; set enabled=1 to include
sec_mix20_groupby_heavy,mixture,SEC mixture (mix20_groupby_heavy),20,case study/workloads/mixtures/sec/mix20_groupby_heavy/query_manifest.json,case study/workloads/mixtures/sec/mix20_groupby_heavy/query_manifest_nl.json,SEC,0,disabled by default; set enabled=1 to include
sec_mix20_join_heavy,mixture,SEC mixture (mix20_join_heavy),20,case study/workloads/mixtures/sec/mix20_join_heavy/query_manifest.json,case study/workloads/mixtures/sec/mix20_join_heavy/query_manifest_nl.json,SEC,0,disabled by default; set enabled=1 to include
sec_mix20_join_multiagg,mixture,SEC mixture (mix20_join_multiagg),20,case study/workloads/mixtures/sec/mix20_join_multiagg/query_manifest.json,case study/workloads/mixtures/sec/mix20_join_multiagg/query_manifest_nl.json,SEC,0,disabled by default; set enabled=1 to include
