id,company_name,principal_activities,revenue,net_profit_or_loss,total_assets,business_risks
Finance_59,"Wheeler Real Estate Investment Trust, Inc.",Real Estate||Retail,76645000.0,-8470000,684536000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_60,BetMakers Technology Group Ltd,Technology||Media,91682000.0,-57879979,223060000.0,Operational Risk||Legal/Compliance Risk||Strategic Risk||Credit Risk||Market Risk
Finance_61,Motability Operations Group plc,Transportation||Finance||Other,6389940000.0,1252640000,16121890000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_62,"Origin Bancorp, Inc.",Finance||Insurance||Real Estate||Other,326604000.0,87715000,9686067000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_63,Jefferies Financial Group Inc.,Finance,5978838000.0,777168000,51057683000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk
Finance_64,"Insperity, Inc.",Other,5938818000.0,179350000,2039261000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_65,archTIS Limited,Technology,3368700.0,-6858000,19532000.0,Market Risk||Credit Risk||Operational Risk
Finance_66,ACRES Commercial Realty Corp.,Finance || Real Estate,75170000.0,10426000,2376652000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_67,Armadale Capital Plc,Mining||Finance,0.0,-279544,9826110.0,Market Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk 
Finance_68,AstraZeneca PLC,Healthcare || Manufacturing,44351000000.0,3293000000,96483000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_69,Commerzbank Aktiengesellschaft,Finance,10926792730.0,1658085550,551516000000.0,Market Risk||Credit Risk||Operational Risk||Other
Finance_70,SThree plc,Technology||Other,2207841928.0,72993833.4,633493066.8,Market Risk||Strategic Risk||Credit Risk||Legal/Compliance Risk||Operational Risk||Environmental Risk
Finance_71,Aptevo Therapeutics Inc.,Healthcare,42796000.0,8027000,34215000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_72,"Sonic Automotive, Inc.",Retail,14001100000.0,88500000,4978300000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_73,"FNCB Bancorp, Inc.",Finance,62025000.0,20445000,1745530000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_74,"Ocugen, Inc.",Healthcare,0.0,-81351000,108632000.0,Market Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_75,Tellurian Inc.,Energy,391926000.0,-49810000,1426683000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_76,Seiko Epson Corporation,Manufacturing||Technology||Retail,9231449000.0,754665000,10355875000.0,Market Risk||Environmental Risk||Strategic Risk||Legal/Compliance Risk
Finance_77,RWE Aktiengesellschaft,Energy,44337071542.0,3139858817,160111000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_78,Datalogic S.p.A.,Manufacturing||Technology||Retail||Transportation||Healthcare,757061500.0,34839779,853473992.0,Market Risk||Operational Risk||Strategic Risk
Finance_79,Odyssey Gold Limited,Mining,11565941.0,-9538268,6549888.0,Market Risk||Operational Risk||Environmental Risk||Strategic Risk||Other
Finance_80,"Ziff Davis, Inc.",Technology||Healthcare||Cybersecurity||Marketing,1390997000.0,69549850,3341000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_81,"MongoDB, Inc.",Technology,1284012000.0,-345404000,2456638000.0,Market Risk
Finance_82,Pintec Technology Holdings Limited,Finance,10812000.0,-28498000,76679000.0,Market Risk
Finance_83,Aeeris Ltd,Technology,2210529.0,-211295,3398960.0,Market Risk
Finance_84,abrdn Japan Investment Trust plc,Finance,2708592.0,-14416530,136955488.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_85,Medallion Financial Corp.,Finance,196621000.0,43840000,2259879000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk
Finance_86,Liberty Broadband Corporation,Telecommunications,975000000.0,1257000000,15142000000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_87,Kruger Products Tissue Inc.,Manufacturing,1237680000.0,-41890000,1661120000.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk
Finance_88,OFX Group Limited,Finance,102500000.0,15870000,262100000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_89,"Blue Apron Holdings, Inc.",Retail,458467000.0,-109733000,171142000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_90,CoreCard Corporation,Technology,69765000.0,13881000,63232000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_91,Crombie Real Estate Investment Trust,Real Estate||Retail,308860935.0,123517580,3002108767.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_92,SIG plc,Manufacturing||Retail||Energy||Other,3172610000.0,21033655,1809030031.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_93,Peako Limited,Mining,1208.0,-716307,3434196.0,Market Risk||Credit Risk
Finance_94,Empire Company Limited,Retail||Real Estate,22202542600.0,548983400,12214549000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_95,"Senti Biosciences, Inc.",Healthcare||Technology,4286000.0,-58210000,180792000.0,Market Risk||Operational Risk||Strategic Risk||Other
Finance_96,Galileo Resources Plc,Mining,451754.0,2093291,19496733.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk||Other
Finance_97,Duni AB (publ),Manufacturing||Retail||Other,725504000.0,20860800,763795200.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_98,Structural Monitoring Systems Plc,Manufacturing||Technology,10185532.0,-2614503,35051000.0,Market Risk||Operational Risk
Finance_99,"Terns Pharmaceuticals, Inc.",Healthcare || Technology,,,,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
