name,college,draft_pick,team
Jaden Edward Dhananjay Ivey,Purdue,5.0,Detroit Pistons
Kyle Terrell Lowry,Villanova Wildcats,24.0,Philadelphia 76ers
Michael Jeffrey Jordan,University of North Carolina,3.0,"Chicago Bulls, Washington Wizards"
Devin Armani Booker,Kentucky Wildcats,13.0,Phoenix Suns
Draymond Jamal Green,Michigan State University,35.0,Golden State Warriors
Zach Collins,Gonzaga Bulldogs,10.0,San Antonio Spurs
Jonathan Malangu Kuminga,,7.0,Golden State Warriors
Lonzo Anderson Ball,UCLA,2.0,Chicago Bulls
Jaime Jaquez Jr.,UCLA,18.0,Miami Heat
Ausar XLNC Thompson,,5.0,Detroit Pistons
Jalen Marquis Brunson,Villanova University,33.0,New York Knicks
Shaquille Rashaun O'Neal,Louisiana State University (LSU),1.0,Boston Celtics
Kobe Bean Bryant,,13.0,Los Angeles Lakers
Christopher Emmanuel Paul,Wake Forest University,4.0,San Antonio Spurs
Harrison Bryce Jordan Barnes,North Carolina Tar Heels,7.0,San Antonio Spurs
"Edrice Femi ""Bam"" Adebayo",University of Kentucky,14.0,Miami Heat
