name,position,college,draft_pick
"Harry Junior ""The Horse"" Gallatin",Frontcourt,Northeast Missouri State Teachers' College,20.0
Jim Brasco,,New York University,1.0
Darnell Hillman,Frontcourt,San Jose State University,8.0
Larry Robinson,Frontcourt,,0.0
Nicholas William Calathes,Backcourt,University of Florida,35.0
Rod Derline,Backcourt,Seattle University,169.0
Kurt Thomas,Frontcourt,Texas Christian University,0.0
Kevin Wayne Durant,Frontcourt,University of Texas at Austin,2.0
Aaron Williams,Frontcourt,Xavier University,0.0
Nathaniel Thomas Huffman,,Central Michigan University,0.0
Fred Boyd,,Oregon State University,5.0
William Bedford,Frontcourt,Memphis State University,6.0
Steve Smith,Backcourt,Michigan State,5.0
Shawn Christopher Respert,,Michigan State,8.0
Rodney Strickland,,DePaul University,19.0
Elmer H. Behnke,,Bradley University,35.0
Lamar Brandon Stevens,,Penn State Nittany Lions,0.0
Ronald Moore,Backcourt,Siena,
Erazem Lorbek,Frontcourt,Michigan State University,2.0
"Marvin ""Mickey"" Rottner",Backcourt,Loyola University in Chicago,0.0
Hamidou Diallo,,University of Kentucky,45.0
"Dewayne ""D. J."" White, Jr.",Frontcourt,Indiana Hoosiers,29.0
Steve Kerr,Frontcourt,University of Arizona,50.0
Gregory Clinton Foster,Frontcourt,UTEP,35.0
Bill Hewitt,Frontcourt,University of Southern California,0.0
Joseph Xavier Forte,Backcourt,University of North Carolina at Chapel Hill,21.0
Dino_Ra?a,Frontcourt,,40.0
Mark Jeffrey Radford,,Oregon State University,53.0
Kostas Papanikolaou,Frontcourt,,48.0
Garry Witts Garrett David Witts,,,0.0
Jabari Dominic Walker,,Colorado,57.0
Devontae Cacok,,UNC Wilmington,0.0
Brandon Goodwin,Backcourt,"UCF Knights, Florida Gulf Coast Eagles",0.0
Dick Rosenthal,Frontcourt,Notre Dame,1.0
Jamal Crawford,,University of Michigan,8.0
Jordan Lee Crawford,,"Indiana University, Xavier University",27.0
Tom Copa,,Marquette,44.0
Kermit Washington,Frontcourt,American University,5.0
Donyell Marshall,,University of Connecticut,4.0
Wayne Lavern Robinson,Frontcourt,University of Minnesota,8.0
Greg Fillmore Gregory Paul Fillmore,Frontcourt,Cheyney University of Pennsylvania,8.0
John Harding Lucas II,Frontcourt,University of Maryland,1.0
Dick Surhoff,,"Long Island, John Marshall College",0.0
Garfield Smith,,,10.0
Leroy Patrick Chollet,Backcourt,Loyola University New Orleans,1.0
Michael Carter-Williams,,Syracuse Orange,11.0
Dennis Schr?der,,,17.0
Jack Parr,,Kansas State University,10.0
"Monti Davis DaMon William ""Monti"" Davis",Frontcourt,Tennessee State University,21.0
Eric Johnson Jones,,,0.0
Sidney Harold Tanenbaum,Backcourt,New York University,0.0
Trayce Jackson-Davis,,Indiana Hoosiers,57.0
Andre Jamal Drummond,Frontcourt,University of Connecticut,9.0
"Chavano Rainer ""Buddy"" Hield",,Oklahoma Sooners,6.0
D'Angelo Russell,Backcourt,Ohio State,2.0
Joel Hans Embiid,,University of Kansas,3.0
Paul Clifton Anthony George,,Fresno State,10.0
Kyrie Andrew Irving,,Duke University,1.0
Jayson Christopher Tatum,,Duke University,3.0
Caleb Martin,Frontcourt,"NC State Wolfpack, Nevada Wolf Pack",0.0
Andrew Christian Wiggins,,Kansas Jayhawks,1.0
Max Berning Fiedler,,Rice Owls,
"Ogugua ""OG"" Anunoby Jr.",,Indiana University,23.0
Jaylen Marselles Brown,Backcourt,"University of California, Berkeley",3.0
Victor Wembanyama,Frontcourt,,1.0
Jrue Randall Holiday,,UCLA,17.0
Austin Tyler Reaves,,"Wichita State Shockers, Oklahoma Sooners",0.0
Kevin Wesley Love,,UCLA,5.0
Giannis Sina Ugo Antetokounmpo,Frontcourt,,15.0
Wardell Stephen Curry II,Backcourt,Davidson,7.0
Alfred Joel Horford Reynoso,Frontcourt,University of Florida,3.0
Tyler Christopher Herro,Backcourt,University of Kentucky,13.0
Duncan McBryde Robinson,,"Williams College, University of Michigan",0.0
Kyle Forman Anderson,,UCLA,30.0
Cade Parker Cunningham,,Oklahoma State,1.0
LeBron Raymone James Sr.,,,1.0
Jimmy Butler III,,Marquette University,30.0
Kevon Grant Looney,Frontcourt,UCLA,30.0
Zachary Thomas LaVine,,UCLA,13.0
Jaden Edward Dhananjay Ivey,,Purdue,5.0
Kyle Terrell Lowry,Backcourt,Villanova Wildcats,24.0
Michael Jeffrey Jordan,Backcourt,University of North Carolina,3.0
Devin Armani Booker,Backcourt,Kentucky Wildcats,13.0
Draymond Jamal Green,Frontcourt,Michigan State University,35.0
Zach Collins,,Gonzaga Bulldogs,10.0
Jonathan Malangu Kuminga,Frontcourt,,7.0
Lonzo Anderson Ball,Backcourt,UCLA,2.0
Jaime Jaquez Jr.,,UCLA,18.0
Ausar XLNC Thompson,,,5.0
Jalen Marquis Brunson,,Villanova University,33.0
Shaquille Rashaun O'Neal,Frontcourt,Louisiana State University (LSU),1.0
Kobe Bean Bryant,Backcourt,,13.0
Christopher Emmanuel Paul,Backcourt,Wake Forest University,4.0
Harrison Bryce Jordan Barnes,,North Carolina Tar Heels,7.0
"Edrice Femi ""Bam"" Adebayo",,University of Kentucky,14.0
