filing_id,company_id,ticker,company_name,form_type,filing_date,report_date,fiscal_year,fiscal_period,fiscal_quarter,sic,sic_description,state_of_incorporation,revenue_usd,revenue_usd_concept_id,revenue_usd_unit_id,revenue_usd_period_start,revenue_usd_period_end,assets_usd,assets_usd_concept_id,assets_usd_unit_id,assets_usd_period_start,assets_usd_period_end,liabilities_usd,liabilities_usd_concept_id,liabilities_usd_unit_id,liabilities_usd_period_start,liabilities_usd_period_end,net_income_usd,net_income_usd_concept_id,net_income_usd_unit_id,net_income_usd_period_start,net_income_usd_period_end,operating_cash_flow_usd,operating_cash_flow_usd_concept_id,operating_cash_flow_usd_unit_id,operating_cash_flow_usd_period_start,operating_cash_flow_usd_period_end,investing_cash_flow_usd,investing_cash_flow_usd_concept_id,investing_cash_flow_usd_unit_id,investing_cash_flow_usd_period_start,investing_cash_flow_usd_period_end,financing_cash_flow_usd,financing_cash_flow_usd_concept_id,financing_cash_flow_usd_unit_id,financing_cash_flow_usd_period_start,financing_cash_flow_usd_period_end,shares_outstanding,shares_outstanding_concept_id,shares_outstanding_unit_id,shares_outstanding_period_start,shares_outstanding_period_end,market_cap_usd,market_cap_usd_concept_id,market_cap_usd_unit_id,market_cap_usd_period_start,market_cap_usd_period_end
000032019324000081,0000320193,AAPL,Apple Inc.,10-Q,2024-08-02,2024-06-29,2024,Q3,3,3571,Electronic Computers,CA,296105000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-10-01,2024-06-29,331612000000,us-gaap:Assets,USD,,2024-06-29,264904000000,us-gaap:Liabilities,USD,,2024-06-29,79000000000,us-gaap:NetIncomeLoss,USD,2023-10-01,2024-06-29,91443000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2023-10-01,2024-06-29,1490000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2023-10-01,2024-06-29,-97035000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2023-10-01,2024-06-29,15204137000,dei:EntityCommonStockSharesOutstanding,shares,,2024-07-19,,,USD,,
000032019324000123,0000320193,AAPL,Apple Inc.,10-K,2024-11-01,2024-09-28,2024,FY,4,3571,Electronic Computers,CA,391035000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-10-01,2024-09-28,364980000000,us-gaap:Assets,USD,,2024-09-28,308030000000,us-gaap:Liabilities,USD,,2024-09-28,93736000000,us-gaap:NetIncomeLoss,USD,2023-10-01,2024-09-28,118254000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2023-10-01,2024-09-28,2935000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2023-10-01,2024-09-28,-121983000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2023-10-01,2024-09-28,15115823000,dei:EntityCommonStockSharesOutstanding,shares,,2024-10-18,,,USD,,
000032019325000008,0000320193,AAPL,Apple Inc.,10-Q,2025-01-31,2024-12-28,2025,Q1,1,3571,Electronic Computers,CA,124300000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-09-29,2024-12-28,344085000000,us-gaap:Assets,USD,,2024-12-28,277327000000,us-gaap:Liabilities,USD,,2024-12-28,36330000000,us-gaap:NetIncomeLoss,USD,2024-09-29,2024-12-28,29935000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2024-09-29,2024-12-28,9792000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2024-09-29,2024-12-28,-39371000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2024-09-29,2024-12-28,15022073000,dei:EntityCommonStockSharesOutstanding,shares,,2025-01-17,,,USD,,
000032019325000057,0000320193,AAPL,Apple Inc.,10-Q,2025-05-02,2025-03-29,2025,Q2,2,3571,Electronic Computers,CA,219659000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-09-29,2025-03-29,331233000000,us-gaap:Assets,USD,,2025-03-29,264437000000,us-gaap:Liabilities,USD,,2025-03-29,61110000000,us-gaap:NetIncomeLoss,USD,2024-09-29,2025-03-29,53887000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2024-09-29,2025-03-29,12709000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2024-09-29,2025-03-29,-68377000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2024-09-29,2025-03-29,14935826000,dei:EntityCommonStockSharesOutstanding,shares,,2025-04-18,,,USD,,
000032019325000073,0000320193,AAPL,Apple Inc.,10-Q,2025-08-01,2025-06-28,2025,Q3,3,3571,Electronic Computers,CA,313695000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-09-29,2025-06-28,331495000000,us-gaap:Assets,USD,,2025-06-28,265665000000,us-gaap:Liabilities,USD,,2025-06-28,84544000000,us-gaap:NetIncomeLoss,USD,2024-09-29,2025-06-28,81754000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2024-09-29,2025-06-28,17782000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2024-09-29,2025-06-28,-93210000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2024-09-29,2025-06-28,14840390000,dei:EntityCommonStockSharesOutstanding,shares,,2025-07-18,,,USD,,
000032019325000079,0000320193,AAPL,Apple Inc.,10-K,2025-10-31,2025-09-27,2025,FY,4,3571,Electronic Computers,CA,416161000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-09-29,2025-09-27,359241000000,us-gaap:Assets,USD,,2025-09-27,285508000000,us-gaap:Liabilities,USD,,2025-09-27,112010000000,us-gaap:NetIncomeLoss,USD,2024-09-29,2025-09-27,111482000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2024-09-29,2025-09-27,15195000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2024-09-29,2025-09-27,-120686000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2024-09-29,2025-09-27,14776353000,dei:EntityCommonStockSharesOutstanding,shares,,2025-10-17,,,USD,,
000156459022002324,0000789019,MSFT,MICROSOFT CORP,10-Q,2022-01-25,2021-12-31,2022,Q2,2,7372,Services-Prepackaged Software,WA,97045000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-07-01,2021-12-31,340389000000,us-gaap:Assets,USD,,2021-12-31,180379000000,us-gaap:Liabilities,USD,,2021-12-31,39270000000,us-gaap:NetIncomeLoss,USD,2021-07-01,2021-12-31,39020000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2021-07-01,2021-12-31,-4411000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2021-07-01,2021-12-31,-28262000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2021-07-01,2021-12-31,7496866428,dei:EntityCommonStockSharesOutstanding,shares,,2022-01-20,,,USD,,
000156459022015675,0000789019,MSFT,MICROSOFT CORP,10-Q,2022-04-26,2022-03-31,2022,Q3,3,7372,Services-Prepackaged Software,WA,146405000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-07-01,2022-03-31,344607000000,us-gaap:Assets,USD,,2022-03-31,181683000000,us-gaap:Liabilities,USD,,2022-03-31,55998000000,us-gaap:NetIncomeLoss,USD,2021-07-01,2022-03-31,64406000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2021-07-01,2022-03-31,-20582000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2021-07-01,2022-03-31,-45607000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2021-07-01,2022-03-31,7479033135,dei:EntityCommonStockSharesOutstanding,shares,,2022-04-21,,,USD,,
000156459022026876,0000789019,MSFT,MICROSOFT CORP,10-K,2022-07-28,2022-06-30,2022,FY,4,7372,Services-Prepackaged Software,WA,198270000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2021-07-01,2022-06-30,364840000000,us-gaap:Assets,USD,,2022-06-30,198298000000,us-gaap:Liabilities,USD,,2022-06-30,72738000000,us-gaap:NetIncomeLoss,USD,2021-07-01,2022-06-30,89035000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2021-07-01,2022-06-30,-30311000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2021-07-01,2022-06-30,-58876000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2021-07-01,2022-06-30,7457891872,dei:EntityCommonStockSharesOutstanding,shares,,2022-07-25,,,USD,,
000156459022035087,0000789019,MSFT,MICROSOFT CORP,10-Q,2022-10-25,2022-09-30,2023,Q1,1,7372,Services-Prepackaged Software,WA,50122000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-07-01,2022-09-30,359784000000,us-gaap:Assets,USD,,2022-09-30,186218000000,us-gaap:Liabilities,USD,,2022-09-30,17556000000,us-gaap:NetIncomeLoss,USD,2022-07-01,2022-09-30,23198000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2022-07-01,2022-09-30,-3132000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2022-07-01,2022-09-30,-10883000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2022-07-01,2022-09-30,7454473144,dei:EntityCommonStockSharesOutstanding,shares,,2022-10-20,,,USD,,
000156459023000733,0000789019,MSFT,MICROSOFT CORP,10-Q,2023-01-24,2022-12-31,2023,Q2,2,7372,Services-Prepackaged Software,WA,102869000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-07-01,2022-12-31,364552000000,us-gaap:Assets,USD,,2022-12-31,181416000000,us-gaap:Liabilities,USD,,2022-12-31,33981000000,us-gaap:NetIncomeLoss,USD,2022-07-01,2022-12-31,34371000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2022-07-01,2022-12-31,-10282000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2022-07-01,2022-12-31,-22232000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2022-07-01,2022-12-31,7443803533,dei:EntityCommonStockSharesOutstanding,shares,,2023-01-19,,,USD,,
000095017023014423,0000789019,MSFT,MICROSOFT CORP,10-Q,2023-04-25,2023-03-31,2023,Q3,3,7372,Services-Prepackaged Software,WA,155726000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-07-01,2023-03-31,380088000000,us-gaap:Assets,USD,,2023-03-31,185405000000,us-gaap:Liabilities,USD,,2023-03-31,52280000000,us-gaap:NetIncomeLoss,USD,2022-07-01,2023-03-31,58812000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2022-07-01,2023-03-31,-13546000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2022-07-01,2023-03-31,-32522000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2022-07-01,2023-03-31,7435487575,dei:EntityCommonStockSharesOutstanding,shares,,2023-04-20,,,USD,,
000095017023035122,0000789019,MSFT,MICROSOFT CORP,10-K,2023-07-27,2023-06-30,2023,FY,4,7372,Services-Prepackaged Software,WA,211915000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2022-07-01,2023-06-30,411976000000,us-gaap:Assets,USD,,2023-06-30,205753000000,us-gaap:Liabilities,USD,,2023-06-30,72361000000,us-gaap:NetIncomeLoss,USD,2022-07-01,2023-06-30,87582000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2022-07-01,2023-06-30,-22680000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2022-07-01,2023-06-30,-43935000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2022-07-01,2023-06-30,7429763722,dei:EntityCommonStockSharesOutstanding,shares,,2023-07-24,,,USD,,
000095017023054855,0000789019,MSFT,MICROSOFT CORP,10-Q,2023-10-24,2023-09-30,2024,Q1,1,7372,Services-Prepackaged Software,WA,56517000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-07-01,2023-09-30,445785000000,us-gaap:Assets,USD,,2023-09-30,225071000000,us-gaap:Liabilities,USD,,2023-09-30,22291000000,us-gaap:NetIncomeLoss,USD,2023-07-01,2023-09-30,30583000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2023-07-01,2023-09-30,503000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2023-07-01,2023-09-30,14761000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2023-07-01,2023-09-30,7432262329,dei:EntityCommonStockSharesOutstanding,shares,,2023-10-19,,,USD,,
000095017024008814,0000789019,MSFT,MICROSOFT CORP,10-Q,2024-01-30,2023-12-31,2024,Q2,2,7372,Services-Prepackaged Software,WA,118537000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-07-01,2023-12-31,470558000000,us-gaap:Assets,USD,,2023-12-31,232290000000,us-gaap:Liabilities,USD,,2023-12-31,44161000000,us-gaap:NetIncomeLoss,USD,2023-07-01,2023-12-31,49436000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2023-07-01,2023-12-31,-71422000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2023-07-01,2023-12-31,4614000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2023-07-01,2023-12-31,7430436229,dei:EntityCommonStockSharesOutstanding,shares,,2024-01-25,,,USD,,
000095017024048288,0000789019,MSFT,MICROSOFT CORP,10-Q,2024-04-25,2024-03-31,2024,Q3,3,7372,Services-Prepackaged Software,WA,180395000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-07-01,2024-03-31,484275000000,us-gaap:Assets,USD,,2024-03-31,231123000000,us-gaap:Liabilities,USD,,2024-03-31,66100000000,us-gaap:NetIncomeLoss,USD,2023-07-01,2024-03-31,81353000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2023-07-01,2024-03-31,-82122000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2023-07-01,2024-03-31,-14194000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2023-07-01,2024-03-31,7432305794,dei:EntityCommonStockSharesOutstanding,shares,,2024-04-22,,,USD,,
000095017024087843,0000789019,MSFT,MICROSOFT CORP,10-K,2024-07-30,2024-06-30,2024,FY,4,7372,Services-Prepackaged Software,WA,245122000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2023-07-01,2024-06-30,512163000000,us-gaap:Assets,USD,,2024-06-30,243686000000,us-gaap:Liabilities,USD,,2024-06-30,88136000000,us-gaap:NetIncomeLoss,USD,2023-07-01,2024-06-30,118548000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2023-07-01,2024-06-30,-96970000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2023-07-01,2024-06-30,-37757000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2023-07-01,2024-06-30,7433038381,dei:EntityCommonStockSharesOutstanding,shares,,2024-07-25,,,USD,,
000095017024118967,0000789019,MSFT,MICROSOFT CORP,10-Q,2024-10-30,2024-09-30,2025,Q1,1,7372,Services-Prepackaged Software,WA,65585000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-07-01,2024-09-30,523013000000,us-gaap:Assets,USD,,2024-09-30,235290000000,us-gaap:Liabilities,USD,,2024-09-30,24667000000,us-gaap:NetIncomeLoss,USD,2024-07-01,2024-09-30,34180000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2024-07-01,2024-09-30,-15201000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2024-07-01,2024-09-30,-16576000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2024-07-01,2024-09-30,7434880776,dei:EntityCommonStockSharesOutstanding,shares,,2024-10-24,,,USD,,
000095017025010491,0000789019,MSFT,MICROSOFT CORP,10-Q,2025-01-29,2024-12-31,2025,Q2,2,7372,Services-Prepackaged Software,WA,135217000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-07-01,2024-12-31,533898000000,us-gaap:Assets,USD,,2024-12-31,231203000000,us-gaap:Liabilities,USD,,2024-12-31,48775000000,us-gaap:NetIncomeLoss,USD,2024-07-01,2024-12-31,56471000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2024-07-01,2024-12-31,-29313000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2024-07-01,2024-12-31,-27819000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2024-07-01,2024-12-31,7433982235,dei:EntityCommonStockSharesOutstanding,shares,,2025-01-23,,,USD,,
000095017025061046,0000789019,MSFT,MICROSOFT CORP,10-Q,2025-04-30,2025-03-31,2025,Q3,3,7372,Services-Prepackaged Software,WA,205283000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-07-01,2025-03-31,562624000000,us-gaap:Assets,USD,,2025-03-31,240733000000,us-gaap:Liabilities,USD,,2025-03-31,74599000000,us-gaap:NetIncomeLoss,USD,2024-07-01,2025-03-31,93515000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2024-07-01,2025-03-31,-42027000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2024-07-01,2025-03-31,-40855000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2024-07-01,2025-03-31,7432543865,dei:EntityCommonStockSharesOutstanding,shares,,2025-04-24,,,USD,,
000095017025100235,0000789019,MSFT,MICROSOFT CORP,10-K,2025-07-30,2025-06-30,2025,FY,4,7372,Services-Prepackaged Software,WA,281724000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2024-07-01,2025-06-30,619003000000,us-gaap:Assets,USD,,2025-06-30,275524000000,us-gaap:Liabilities,USD,,2025-06-30,101832000000,us-gaap:NetIncomeLoss,USD,2024-07-01,2025-06-30,136162000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2024-07-01,2025-06-30,-72599000000,us-gaap:NetCashProvidedByUsedInInvestingActivities,USD,2024-07-01,2025-06-30,-51699000000,us-gaap:NetCashProvidedByUsedInFinancingActivities,USD,2024-07-01,2025-06-30,7433166379,dei:EntityCommonStockSharesOutstanding,shares,,2025-07-24,,,USD,,
