id,name,team,position
nba_32,Trent Tucker  ,Chicago Bulls  ,Backcourt
nba_33,Dwayne Kenneth Schintzius  , Brevard Blue Ducks,Frontcourt
nba_34,Miles Julian Simon  ,Phoenix Suns  ,Backcourt
nba_35,Guy William Rodgers  ,Milwaukee Bucks  ,
nba_36,Vernon Maxwell,Dallas Mavericks,Backcourt
nba_37,Tim Duncan,San Antonio Spurs,Frontcourt
nba_38,Walter Berry , Panteras de Miranda,Frontcourt
nba_39,James Patrick Walsh  ,Philadelphia Warriors  ,Frontcourt
nba_40,Tony Lorenzo Delk  ,New Mexico State,
nba_41,Calvin Ramsey  ,New York Knicks  ,Frontcourt
nba_42,Gene Dyker Eugene Walter Dyker  ,Milwaukee Hawks  ,Frontcourt
nba_43,Derrick Chievous  ,Cleveland Cavaliers  ,Frontcourt
nba_44,Rik Smits  ,Indiana Pacers  ,Frontcourt
nba_45,Anthony Edwards,Minnesota Timberwolves,Backcourt
nba_46,"Harry Junior ""The Horse"" Gallatin  ",Detroit Pistons  ,Frontcourt
nba_47,Jim Brasco  ,Milwaukee Hawks  ,
nba_48,Darnell Hillman  ,Golden State Warriors,Frontcourt
nba_49,Larry Robinson,Senior Consultant to Hockey Operations for the St. Louis Blues,Frontcourt
nba_50,Nicholas William Calathes ,AS Monaco  ,Backcourt
nba_51,Rod Derline  ,Seattle SuperSonics  ,Backcourt
nba_52,Kurt Thomas  , New York Knicks,Frontcourt
nba_53,Kevin Wayne Durant,Phoenix Suns,Frontcourt
nba_54,Aaron Williams  , Los Angeles Clippers,Frontcourt
nba_55,Nathaniel Thomas Huffman  ,Toronto Raptors  ,
nba_56,Fred Boyd  ,New Orleans Jazz  ,
nba_57,William Bedford  , Grand Rapids Hoops,Frontcourt
nba_58,Steve Smith,Charlotte Bobcats,Backcourt
nba_59,Shawn Christopher Respert  ,  ,
nba_60,Rodney Strickland  , Houston Rockets,
nba_61,Elmer H. Behnke  ,Milwaukee Hawks  ,
nba_62,Lamar Brandon Stevens  ,Memphis Grizzlies  ,
nba_63,Ronald Moore  ,Debreceni EAC  ,Backcourt
nba_64,Erazem Lorbek  , Petrol Olimpija,Frontcourt
nba_65,"Marvin ""Mickey"" Rottner  ", Chicago Stags,Backcourt
nba_66,Hamidou Diallo  ,Capital City Go-Go  ,
nba_67,"Dewayne ""D. J."" White, Jr.",Piratas de Quebradillas,Frontcourt
nba_68,Steve Kerr  ,Golden State Warriors  ,Frontcourt
nba_69,Gregory Clinton Foster  ,Indiana Pacers  ,Frontcourt
nba_70,Bill Hewitt  ,Los Angeles Lakers,Frontcourt
nba_71,Joseph Xavier Forte  , Maccabi Tel Aviv,Backcourt
nba_72,Dino_Ra?a, Split,Frontcourt
nba_73,Mark Jeffrey Radford  ,Seattle SuperSonics  ,
nba_74,Kostas Papanikolaou,Olympiacos,Frontcourt
nba_75,Garry Witts Garrett David Witts  ,Washington Bullets  ,
nba_76,Jabari Dominic Walker  ,Portland Trail Blazers  ,
nba_77,Devontae Cacok  ,Virtus Bologna  ,
nba_78,Brandon Goodwin  ,Gigantes de Carolina  ,Backcourt
nba_79,Dick Rosenthal  ,Fort Wayne Pistons  ,Frontcourt
nba_80,Jamal Crawford  , Brooklyn Nets,
nba_81,Jordan Lee Crawford  ,Sichuan Blue Whales  ,
nba_82,Tom Copa  , Libertas Livorno,
nba_83,Kermit Washington  , Golden State Warriors,Frontcourt
nba_84,Donyell Marshall  ,Greensboro Swarm  ,
nba_85,Wayne Lavern Robinson,Philadelphia Eagles,Frontcourt
nba_86,Greg Fillmore Gregory Paul Fillmore  ,New York Knicks  ,Frontcourt
nba_87,John Harding Lucas II  ,Houston Rockets  ,Frontcourt
nba_88,Dick Surhoff  ,Milwaukee Hawks  ,
nba_89,Garfield Smith  ,Boston Celtics  ,
nba_90,Leroy Patrick Chollet  ,Syracuse Nationals,Backcourt
nba_91,Michael Carter-Williams  ,Capitanes de Ciudad de M��xico  ,
nba_92,Dennis Schr?der,Brooklyn Nets,
nba_93,Jack Parr  ,Cincinnati Royals  ,
nba_94,"Monti Davis DaMon William ""Monti"" Davis  ",Dallas Mavericks  ,Frontcourt
nba_95,Eric Johnson Jones  ,Utah Jazz  ,
nba_96,Sidney Harold Tanenbaum,Baltimore Bullets,Backcourt
nba_97,Trayce Jackson-Davis  ,Golden State Warriors  ,
nba_98,Andre Jamal Drummond,Philadelphia 76ers,Frontcourt
nba_99,"Chavano Rainer ""Buddy"" Hield",Golden State Warriors,
nba_100,D'Angelo Russell,Los Angeles Lakers,Backcourt
nba_101,Joel Hans Embiid,Philadelphia 76ers,
nba_102,Paul Clifton Anthony George,Philadelphia 76ers,
nba_103,Kyrie Andrew Irving,Dallas Mavericks,
nba_104,Jayson Christopher Tatum,Boston Celtics,
nba_105,Caleb Martin,Philadelphia 76ers,Frontcourt
nba_106,Andrew Christian Wiggins,Golden State Warriors,
nba_107,Max Berning Fiedler,Philadelphia 76ers,
nba_108,"Ogugua ""OG"" Anunoby Jr.",New York Knicks ,
nba_109,Jaylen Marselles Brown,Boston Celtics,Backcourt
nba_110,Victor Wembanyama,San Antonio Spurs,Frontcourt
nba_111,Jrue Randall Holiday  ,Boston Celtics  ,
nba_112,Austin Tyler Reaves,Los Angeles Lakers,
nba_113,Kevin Wesley Love,Miami Heat,
nba_114,Giannis Sina Ugo Antetokounmpo,Milwaukee Bucks,Frontcourt
nba_115,Wardell Stephen Curry II  ,Golden State Warriors  ,Backcourt
nba_116,Alfred Joel Horford Reynoso,Boston Celtics,Frontcourt
nba_117,Tyler Christopher Herro,Miami Heat,Backcourt
nba_118,Duncan McBryde Robinson,Miami Heat,
nba_119,Kyle Forman Anderson,Golden State Warriors,
nba_120,Cade Parker Cunningham,Detroit Pistons,
nba_121,LeBron Raymone James Sr.,Los Angeles Lakers,
nba_122,Jimmy Butler III  ,Miami Heat  ,
nba_123,Kevon Grant Looney,Golden State Warriors,Frontcourt
nba_124,Zachary Thomas LaVine,Chicago Bulls,
nba_125,Jaden Edward Dhananjay Ivey,Detroit Pistons,
nba_126,Kyle Terrell Lowry,Philadelphia 76ers,Backcourt
nba_127,Michael Jeffrey Jordan,"Chicago Bulls, Washington Wizards",Backcourt
nba_128,Devin Armani Booker,Phoenix Suns,Backcourt
nba_129,Draymond Jamal Green,Golden State Warriors,Frontcourt
nba_130,Zach Collins,San Antonio Spurs,
nba_131,Jonathan Malangu Kuminga,Golden State Warriors,Frontcourt
nba_132,Lonzo Anderson Ball,Chicago Bulls,Backcourt
nba_133,Jaime Jaquez Jr.  ,Miami Heat  ,
nba_134,Ausar XLNC Thompson,Detroit Pistons,
nba_135,Jalen Marquis Brunson,New York Knicks,
nba_136,Shaquille Rashaun O'Neal,Boston Celtics,Frontcourt
nba_137,Kobe Bean Bryant,Los Angeles Lakers,Backcourt
nba_138,Christopher Emmanuel Paul,San Antonio Spurs,Backcourt
nba_139,Harrison Bryce Jordan Barnes,San Antonio Spurs,
nba_140,"Edrice Femi ""Bam"" Adebayo",Miami Heat,
