name,draft_pick,college,team_name
Jaden Ivey,"{""value"": ""fifth overall pick in the 2022 NBA draft"", ""span"": ""He was selected with the fifth overall pick in the 2022 NBA draft by the Detroit Pistons.""}",Purdue Boilermakers,Detroit Pistons
Aaron Jamal Crawford,8th overall,University of Michigan,Phoenix Suns
OG Anunoby,23,Indiana University,New York Knicks
Rod Derline,169,Seattle University,Seattle SuperSonics
Okafor,third overall pick in the 2015 NBA draft,Duke,Philadelphia 76ers
Okafor,third overall pick in the 2015 NBA draft,Duke,Philadelphia 76ers
Timothy Theodore Duncan,first overall pick in the 1997 NBA draft,Wake Forest Demon Deacons,San Antonio Spurs
Nikola Jokić,7th overall,,Denver Nuggets
James,first overall pick of the 2003 NBA draft,,Cavaliers
LeBron James,5th overall pick in 2003 NBA draft,,Cleveland Cavaliers
Davis,first overall pick,,Lakers
Embiid,3rd,,Philadelphia 76ers
Embiid,3rd,,Philadelphia 76ers
JJ Redick,11th overall,Duke,Orlando Magic
Brandon Jennings,2009 NBA draft,,Milwaukee Bucks
Giannis Antetokounmpo,30th overall,,Bucks
Mark Jeffrey Radford,3rd round (53rd overall) of the 1981 NBA draft,Oregon State University,Seattle SuperSonics
Wes Unseld,number two overall,,Bullets
Carmelo Anthony,3rd overall in the 2003 NBA draft,,Denver Nuggets
Jonathan Kuminga,7th pick in the 2021 NBA draft,,Golden State Warriors
Evan Turner,second overall pick,Ohio State University,Philadelphia 76ers
Evan Turner,second overall pick,Ohio State University,Philadelphia 76ers
Antonio McDyess,No. 51 and No. 53,,San Antonio Spurs
Chris Bosh,fourth overall pick,,Toronto Raptors
Drummond,9th overall,University of Connecticut,Detroit Pistons
Ausar Thompson,fifth overall,,Detroit Pistons
Yao Ming,first overall pick in the 2002 NBA draft,,Houston Rockets
Edwards,No. 1 overall pick,,Minnesota Timberwolves
Ja Morant,2nd pick,,Memphis Grizzlies
Harrison Bryce Jordan Barnes,the seventh overall pick,North Carolina Tar Heels,San Antonio Spurs
SplitRađa,40th pick,,KK Split
Dwight Howard,No. 1 overall,,Orlando Magic
Scottie Barnes,"{""value"": ""fourth overall"", ""span"": ""Scottie Barnes, selected fourth overall in the 2021 NBA draft,""}",,Raptors
Max Fiedler,undrafted,Rice,Philadelphia 76ers
Max Fiedler,undrafted,Rice,Philadelphia 76ers
Kyrie Andrew Irving,first overall pick in the 2011 NBA draft,Duke Blue Devils,Dallas Mavericks
Danny Granger,17th overall,,Pacers
Zach Collins,10th overall pick in the 2017 NBA draft,Gonzaga,San Antonio Spurs
Jack Parr,10th round of the 1958 NBA draft,,Cincinnati Royals
Bowie,Blazers' choice of Bowie,,Blazers
Jaylen Marselles Brown,third overall pick,,Boston Celtics
Lorbek,2nd round of the 2005 NBA draft,,Indiana Pacers
Jabari Dominic Walker,57th overall pick,Colorado,Portland Trail Blazers
Kuminga,"{""value"": ""the seventh overall pick in the 2021 NBA draft"", ""span"": ""The Warriors selected Kuminga with the seventh overall pick in the 2021 NBA draft.""}",,Golden State Warriors
Daniel Edward Anderson,2nd pick of the sixth round of the 1974 NBA draft,,Portland Trail Blazers
Derek Harper,11th,,Mavericks
