company_name,principal_activities,revenue,net_profit_or_loss,total_assets,business_risks
EPI (Holdings) Limited,Energy||Finance,5747505.0,-5961135,55271348.0,Market Risk||Credit Risk||Operational Risk||Environmental Risk
Starvest plc,Finance,66785.0,-7337195,8299629.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk
Emera Incorporated,Energy||Utilities||Transportation,7588000000.0,945000000,39742000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
"Bionano Genomics, Inc.",Technology||Healthcare,27802000.0,-132596000,307502000.0,Market Risk||Operational Risk||Strategic Risk||Legal/Compliance Risk
NextNav Inc.,Technology,3926000.0,40116000,123788000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
"ARCA biopharma, Inc.",Healthcare,,-9926000,43085000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Arcadia Minerals Limited,Mining,9071.0,-1692533,8995734.0,Market Risk||Credit Risk||Operational Risk
Elixir Energy Limited,Energy,38926.0,-1981676,44125647.0,Market Risk||Credit Risk||Operational Risk||Environmental Risk
"Rapid7, Inc.",Technology,685083000.0,-124717000,1358991000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
"1-800-FLOWERS.COM, Inc.",Retail,2207885000.0,29610000,1094891000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
"WEIS MARKETS, INC.",Retail,4695943000.0,125196000,1959150000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
"NeoGenomics, Inc.",Healthcare,509728000.0,-144250000,1740034000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Downer EDI Limited,Transportation || Utilities || Telecommunications || Energy || Healthcare,7129223640.0,98611520,4840398360.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk||Other
Aptiv PLC,Technology||Manufacturing,17489000000.0,590000000,21884000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
"Celldex Therapeutics, Inc.",Healthcare||Manufacturing,0.0,-112300000,,Market Risk||Strategic Risk||Operational Risk
"Bridgewater Bancshares, Inc.",Finance,136030000.0,53392000,4345662000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
DiaMedica Therapeutics Inc.,Healthcare,0.0,-13676000,,Market Risk||Strategic Risk||Legal/Compliance Risk
Microsoft Corporation,Technology,198270000000.0,72738000000,364840000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
James Halstead plc,Manufacturing||Retail,396056939.0,54725493,365951672.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk ||Environmental Risk||Strategic Risk
Infinera Corporation,Technology||Manufacturing,1573242000.0,-76043000,1669138000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
"Odyssey Group Holdings, Inc.",Finance,5600200000.0,165500000,19325900000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Ritchie Bros. Auctioneers Incorporated,Finance,1733808000.0,417174000,2863727000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
"Atreca, Inc.",Healthcare,,-97157000,155030000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
"Enact Holdings, Inc.",Finance,1095046000.0,704157000,5709149000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Alcoa Corporation,Mining,12451000000.0,-123000000,14756000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Incyte Corporation,Healthcare,3394635000.0,340660000,3372641000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
"HCA Healthcare, Inc.",Healthcare,60233000000.0,5643000000,52438000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
"MainStreet Bancshares, Inc.",Finance||Real Estate||Technology,83845000.0,26674000,1925751000.0,Credit Risk||Operational Risk||Market Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Verrica Pharmaceuticals Inc.,Healthcare,9032000.0,-24487000,44721000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
"Wheeler Real Estate Investment Trust, Inc.",Real Estate||Retail,76645000.0,-8470000,684536000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
BetMakers Technology Group Ltd,Technology||Media,91682000.0,-57879979,223060000.0,Operational Risk||Legal/Compliance Risk||Strategic Risk||Credit Risk||Market Risk
Motability Operations Group plc,Transportation||Finance||Other,6389940000.0,1252640000,16121890000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
"Origin Bancorp, Inc.",Finance||Insurance||Real Estate||Other,326604000.0,87715000,9686067000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Jefferies Financial Group Inc.,Finance,5978838000.0,777168000,51057683000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk
"Insperity, Inc.",Other,5938818000.0,179350000,2039261000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
archTIS Limited,Technology,3368700.0,-6858000,19532000.0,Market Risk||Credit Risk||Operational Risk
ACRES Commercial Realty Corp.,Finance || Real Estate,75170000.0,10426000,2376652000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Armadale Capital Plc,Mining||Finance,0.0,-279544,9826110.0,Market Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk 
AstraZeneca PLC,Healthcare || Manufacturing,44351000000.0,3293000000,96483000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Commerzbank Aktiengesellschaft,Finance,10926792730.0,1658085550,551516000000.0,Market Risk||Credit Risk||Operational Risk||Other
SThree plc,Technology||Other,2207841928.0,72993833.4,633493066.8,Market Risk||Strategic Risk||Credit Risk||Legal/Compliance Risk||Operational Risk||Environmental Risk
Aptevo Therapeutics Inc.,Healthcare,42796000.0,8027000,34215000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
"Sonic Automotive, Inc.",Retail,14001100000.0,88500000,4978300000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
"FNCB Bancorp, Inc.",Finance,62025000.0,20445000,1745530000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
"Ocugen, Inc.",Healthcare,0.0,-81351000,108632000.0,Market Risk||Legal/Compliance Risk||Strategic Risk||Other
Tellurian Inc.,Energy,391926000.0,-49810000,1426683000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Seiko Epson Corporation,Manufacturing||Technology||Retail,9231449000.0,754665000,10355875000.0,Market Risk||Environmental Risk||Strategic Risk||Legal/Compliance Risk
RWE Aktiengesellschaft,Energy,44337071542.0,3139858817,160111000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Datalogic S.p.A.,Manufacturing||Technology||Retail||Transportation||Healthcare,757061500.0,34839779,853473992.0,Market Risk||Operational Risk||Strategic Risk
Odyssey Gold Limited,Mining,11565941.0,-9538268,6549888.0,Market Risk||Operational Risk||Environmental Risk||Strategic Risk||Other
"Ziff Davis, Inc.",Technology||Healthcare||Cybersecurity||Marketing,1390997000.0,69549850,3341000000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
"MongoDB, Inc.",Technology,1284012000.0,-345404000,2456638000.0,Market Risk
Pintec Technology Holdings Limited,Finance,10812000.0,-28498000,76679000.0,Market Risk
Aeeris Ltd,Technology,2210529.0,-211295,3398960.0,Market Risk
abrdn Japan Investment Trust plc,Finance,2708592.0,-14416530,136955488.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Medallion Financial Corp.,Finance,196621000.0,43840000,2259879000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk
Liberty Broadband Corporation,Telecommunications,975000000.0,1257000000,15142000000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Kruger Products Tissue Inc.,Manufacturing,1237680000.0,-41890000,1661120000.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk
OFX Group Limited,Finance,102500000.0,15870000,262100000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
"Blue Apron Holdings, Inc.",Retail,458467000.0,-109733000,171142000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
CoreCard Corporation,Technology,69765000.0,13881000,63232000.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Crombie Real Estate Investment Trust,Real Estate||Retail,308860935.0,123517580,3002108767.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
SIG plc,Manufacturing||Retail||Energy||Other,3172610000.0,21033655,1809030031.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Peako Limited,Mining,1208.0,-716307,3434196.0,Market Risk||Credit Risk
Empire Company Limited,Retail||Real Estate,22202542600.0,548983400,12214549000.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
"Senti Biosciences, Inc.",Healthcare||Technology,4286000.0,-58210000,180792000.0,Market Risk||Operational Risk||Strategic Risk||Other
Galileo Resources Plc,Mining,451754.0,2093291,19496733.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk||Other
Duni AB (publ),Manufacturing||Retail||Other,725504000.0,20860800,763795200.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Structural Monitoring Systems Plc,Manufacturing||Technology,10185532.0,-2614503,35051000.0,Market Risk||Operational Risk
"Terns Pharmaceuticals, Inc.",Healthcare || Technology,,,,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
