company_name,metric_value,metric_type
Liberty Broadband Corporation,15142000000.0,Total Assets
Kruger Products Tissue Inc.,1661120000.0,Total Assets
OFX Group Limited,262100000.0,Total Assets
"Blue Apron Holdings, Inc.",171142000.0,Total Assets
CoreCard Corporation,63232000.0,Total Assets
Crombie Real Estate Investment Trust,3002108767.0,Total Assets
SIG plc,1809030031.0,Total Assets
Peako Limited,3434196.0,Total Assets
Empire Company Limited,12214549000.0,Total Assets
"Senti Biosciences, Inc.",180792000.0,Total Assets
Galileo Resources Plc,19496733.0,Total Assets
Duni AB (publ),763795200.0,Total Assets
Structural Monitoring Systems Plc,35051000.0,Total Assets
