name,position,nationality,team,college,nba_championships,mvp_awards,olympic_gold_medals
Drew Edward Gordon  ,Frontcourt,American  ,Philadelphia 76ers  ,UCLA  ,0.0,0,0.0
Jarrett Jack  ,,American  ,Detroit Pistons  ,Georgia Tech  ,0.0,0,0.0
Rick Hughes  ,,American  , HTV Basket,Thomas More College  ,0.0,0,0.0
Lavoy Allen  ,,American  ,Philadelphia 76ers  ,Temple University  ,0.0,0,0.0
Ed Dahler Edward Dahler Jr.,,American,Philadelphia Warriors,Duquesne,0.0,0,0.0
Magic Johnson  ,Backcourt,American  ,Los Angeles Lakers,Michigan State  ,5.0,3,1.0
Stanley M. Noszka  ,, , Boston Celtics, ,0.0,0,0.0
Isiah Thomas  ,Backcourt,American  ,Detroit Pistons  ,Indiana Hoosiers  ,2.0,1,0.0
Dan Anderson,,American,Portland Trail Blazers,,0.0,0,0.0
Jahlil Okafor,,Nigerian-American,Capitanes de Arecibo,Duke,1.0,0,0.0
Trent Tucker  ,Backcourt,American  ,Chicago Bulls  ,University of Minnesota  ,1.0,0,0.0
Dwayne Kenneth Schintzius  ,Frontcourt,American  , Brevard Blue Ducks,University of Florida  ,0.0,0,0.0
Miles Julian Simon  ,Backcourt,American  ,Phoenix Suns  ,University of Arizona  ,1.0,0,0.0
Guy William Rodgers  ,,American  ,Milwaukee Bucks  ,Temple University  ,0.0,0,0.0
Vernon Maxwell,Backcourt,American,Dallas Mavericks,University of Florida,2.0,0,0.0
Tim Duncan,Frontcourt,American,San Antonio Spurs,Wake Forest University,5.0,2,0.0
Walter Berry ,Frontcourt,American  , Panteras de Miranda,St. John's University  ,0.0,0,0.0
James Patrick Walsh  ,Frontcourt,American  ,Philadelphia Warriors  ,Stanford University  ,0.0,0,1.0
Tony Lorenzo Delk  ,,American  ,New Mexico State,Kentucky  ,0.0,0,0.0
Calvin Ramsey  ,Frontcourt,American  ,New York Knicks  ,NYU  ,0.0,0,0.0
Gene Dyker Eugene Walter Dyker  ,Frontcourt,American  ,Milwaukee Hawks  ,  ,0.0,0,0.0
Derrick Chievous  ,Frontcourt,American  ,Cleveland Cavaliers  ,University of Missouri  ,0.0,0,0.0
Rik Smits  ,Frontcourt,Dutch  ,Indiana Pacers  ,Marist College  ,0.0,0,0.0
Anthony Edwards,Backcourt,American,Minnesota Timberwolves,Georgia,0.0,0,1.0
"Harry Junior ""The Horse"" Gallatin  ",Frontcourt,American  ,Detroit Pistons  ,Northeast Missouri State Teachers' College  ,0.0,0,0.0
Jim Brasco  ,,American  ,Milwaukee Hawks  ,New York University  ,0.0,0,0.0
Darnell Hillman  ,Frontcourt,American,Golden State Warriors,San Jose State University  ,0.0,0,0.0
Larry Robinson,Frontcourt,Canadian,Senior Consultant to Hockey Operations for the St. Louis Blues,,0.0,0,0.0
Nicholas William Calathes ,Backcourt,Greek-American  ,AS Monaco  ,University of Florida  ,0.0,0,0.0
Rod Derline  ,Backcourt, ,Seattle SuperSonics  ,Seattle University  ,0.0,0,0.0
Kurt Thomas  ,Frontcourt,American  , New York Knicks,Texas Christian University  ,0.0,0,0.0
Kevin Wayne Durant,Frontcourt,American,Phoenix Suns,University of Texas at Austin,2.0,1,4.0
Aaron Williams  ,Frontcourt,American  , Los Angeles Clippers,Xavier University  ,,0,
Nathaniel Thomas Huffman  ,,American  ,Toronto Raptors  ,Central Michigan University  ,0.0,1,0.0
Fred Boyd  ,,American  ,New Orleans Jazz  ,Oregon State University  ,0.0,0,0.0
William Bedford  ,Frontcourt,American  , Grand Rapids Hoops,Memphis State University  ,1.0,0,0.0
Steve Smith,Backcourt,American,Charlotte Bobcats,Michigan State,1.0,0,1.0
Shawn Christopher Respert  ,,American  ,  ,Michigan State  ,0.0,0,0.0
Rodney Strickland  ,,American  , Houston Rockets,DePaul University  ,0.0,0,0.0
Elmer H. Behnke  ,,American  ,Milwaukee Hawks  ,Bradley University  ,0.0,0,0.0
Lamar Brandon Stevens  ,,American  ,Memphis Grizzlies  ,Penn State Nittany Lions  ,0.0,0,0.0
Ronald Moore  ,Backcourt,American  ,Debreceni EAC  ,Siena  ,0.0,0,0.0
Erazem Lorbek  ,Frontcourt,Slovenian  , Petrol Olimpija,Michigan State University  ,0.0,0,0.0
"Marvin ""Mickey"" Rottner  ",Backcourt,American  , Chicago Stags,Loyola University in Chicago  ,0.0,0,0.0
Hamidou Diallo  ,,American  ,Capital City Go-Go  ,University of Kentucky  ,0.0,0,0.0
"Dewayne ""D. J."" White, Jr.",Frontcourt,American,Piratas de Quebradillas,Indiana Hoosiers,0.0,0,0.0
Steve Kerr  ,Frontcourt,American  ,Golden State Warriors  ,University of Arizona  ,9.0,0,1.0
Gregory Clinton Foster  ,Frontcourt,American  ,Indiana Pacers  ,UTEP  ,1.0,0,0.0
Bill Hewitt  ,Frontcourt,American  ,Los Angeles Lakers,University of Southern California  ,0.0,0,0.0
Joseph Xavier Forte  ,Backcourt,American  , Maccabi Tel Aviv,University of North Carolina at Chapel Hill  ,0.0,0,0.0
Dino_Ra?a,Frontcourt,Croatian  , Split, ,0.0,0,0.0
Mark Jeffrey Radford  ,,American  ,Seattle SuperSonics  ,Oregon State University  ,0.0,0,0.0
Kostas Papanikolaou,Frontcourt,Greek,Olympiacos,,0.0,0,0.0
Garry Witts Garrett David Witts  ,,American  ,Washington Bullets  , ,0.0,0,0.0
Jabari Dominic Walker  ,,American  ,Portland Trail Blazers  ,Colorado  ,0.0,0,0.0
Devontae Cacok  ,,American  ,Virtus Bologna  ,UNC Wilmington  ,0.0,0,0.0
Brandon Goodwin  ,Backcourt,American  ,Gigantes de Carolina  ,"UCF Knights, Florida Gulf Coast Eagles  ",0.0,0,0.0
Dick Rosenthal  ,Frontcourt,American  ,Fort Wayne Pistons  ,Notre Dame  ,0.0,0,0.0
Jamal Crawford  ,,American  , Brooklyn Nets,University of Michigan  ,0.0,0,0.0
Jordan Lee Crawford  ,,American  ,Sichuan Blue Whales  ,"Indiana University, Xavier University  ",0.0,0,0.0
Tom Copa  ,,American  , Libertas Livorno,Marquette  ,0.0,0,0.0
Kermit Washington  ,Frontcourt,American  , Golden State Warriors,American University  ,0.0,0,0.0
Donyell Marshall  ,,American  ,Greensboro Swarm  ,University of Connecticut  ,0.0,0,0.0
Wayne Lavern Robinson,Frontcourt,American,Philadelphia Eagles,University of Minnesota,0.0,0,0.0
Greg Fillmore Gregory Paul Fillmore  ,Frontcourt,American  ,New York Knicks  ,Cheyney University of Pennsylvania  ,0.0,0,0.0
John Harding Lucas II  ,Frontcourt,American  ,Houston Rockets  ,University of Maryland  ,0.0,0,0.0
Dick Surhoff  ,,American,Milwaukee Hawks  ,"Long Island, John Marshall College  ",0.0,0,0.0
Garfield Smith  ,,American  ,Boston Celtics  , ,0.0,0,0.0
Leroy Patrick Chollet  ,Backcourt,American  ,Syracuse Nationals,Loyola University New Orleans  ,0.0,0,0.0
Michael Carter-Williams  ,,American  ,Capitanes de Ciudad de M��xico  ,Syracuse Orange  ,0.0,0,0.0
Dennis Schr?der,,German,Brooklyn Nets,,0.0,0,0.0
Jack Parr  ,,American  ,Cincinnati Royals  ,Kansas State University  ,0.0,0,0.0
"Monti Davis DaMon William ""Monti"" Davis  ",Frontcourt,American  ,Dallas Mavericks  ,Tennessee State University  ,0.0,0,0.0
Eric Johnson Jones  ,,American-Spanish  ,Utah Jazz  , ,0.0,0,0.0
Sidney Harold Tanenbaum,Backcourt,American,Baltimore Bullets,New York University,0.0,0,0.0
Trayce Jackson-Davis  ,,American  ,Golden State Warriors  ,Indiana Hoosiers  ,0.0,0,0.0
Andre Jamal Drummond,Frontcourt,American,Philadelphia 76ers,University of Connecticut,0.0,0,0.0
"Chavano Rainer ""Buddy"" Hield",,Bahamian,Golden State Warriors,Oklahoma Sooners,0.0,0,0.0
D'Angelo Russell,Backcourt,American,Los Angeles Lakers,Ohio State,0.0,0,0.0
Joel Hans Embiid,,Cameroonian-American,Philadelphia 76ers,University of Kansas,0.0,1,1.0
Paul Clifton Anthony George,,American,Philadelphia 76ers,Fresno State,0.0,0,1.0
Kyrie Andrew Irving,,American,Dallas Mavericks,Duke University,1.0,0,1.0
Jayson Christopher Tatum,,American,Boston Celtics,Duke University,1.0,1,2.0
Caleb Martin,Frontcourt,American,Philadelphia 76ers,"NC State Wolfpack, Nevada Wolf Pack",0.0,0,0.0
Andrew Christian Wiggins,,Canadian,Golden State Warriors,Kansas Jayhawks,1.0,0,0.0
Max Berning Fiedler,,American,Philadelphia 76ers,Rice Owls,0.0,0,0.0
"Ogugua ""OG"" Anunoby Jr.",,British,New York Knicks ,Indiana University,1.0,0,0.0
Jaylen Marselles Brown,Backcourt,American,Boston Celtics,"University of California, Berkeley",1.0,1,0.0
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,0.0,0,0.0
Jrue Randall Holiday  ,,American  ,Boston Celtics  ,UCLA  ,2.0,1,2.0
Austin Tyler Reaves,,American,Los Angeles Lakers,"Wichita State Shockers, Oklahoma Sooners",0.0,0,0.0
Kevin Wesley Love,,American,Miami Heat,UCLA,1.0,0,1.0
Giannis Sina Ugo Antetokounmpo,Frontcourt,Greek and Nigerian,Milwaukee Bucks,,1.0,2,0.0
Wardell Stephen Curry II  ,Backcourt,American  ,Golden State Warriors  ,Davidson  ,4.0,2,1.0
Alfred Joel Horford Reynoso,Frontcourt,Dominican,Boston Celtics,University of Florida,1.0,0,0.0
Tyler Christopher Herro,Backcourt,American,Miami Heat,University of Kentucky,0.0,0,0.0
Duncan McBryde Robinson,,American,Miami Heat,"Williams College, University of Michigan",0.0,0,0.0
Kyle Forman Anderson,,American-Chinese,Golden State Warriors,UCLA,0.0,0,0.0
Cade Parker Cunningham,,American,Detroit Pistons,Oklahoma State,0.0,0,0.0
LeBron Raymone James Sr.,,American,Los Angeles Lakers,,4.0,4,3.0
Jimmy Butler III  ,,American  ,Miami Heat  ,Marquette University  ,0.0,0,1.0
Kevon Grant Looney,Frontcourt,American,Golden State Warriors,UCLA,3.0,0,0.0
Zachary Thomas LaVine,,American,Chicago Bulls,UCLA,0.0,0,1.0
Jaden Edward Dhananjay Ivey,,American,Detroit Pistons,Purdue,0.0,0,0.0
Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers,Villanova Wildcats,1.0,0,1.0
Michael Jeffrey Jordan,Backcourt,American,"Chicago Bulls, Washington Wizards",University of North Carolina,6.0,5,2.0
Devin Armani Booker,Backcourt,American,Phoenix Suns,Kentucky Wildcats,0.0,0,2.0
Draymond Jamal Green,Frontcourt,American,Golden State Warriors,Michigan State University,4.0,0,2.0
Zach Collins,,American,San Antonio Spurs,Gonzaga Bulldogs,0.0,0,0.0
Jonathan Malangu Kuminga,Frontcourt,Congolese,Golden State Warriors,,1.0,0,0.0
Lonzo Anderson Ball,Backcourt,American,Chicago Bulls,UCLA,0.0,0,0.0
Jaime Jaquez Jr.  ,,Mexican-American  ,Miami Heat  ,UCLA  ,0.0,0,0.0
Ausar XLNC Thompson,,American,Detroit Pistons,,0.0,0,0.0
Jalen Marquis Brunson,,American,New York Knicks,Villanova University,0.0,0,0.0
Shaquille Rashaun O'Neal,Frontcourt,American,Boston Celtics,Louisiana State University (LSU),4.0,1,1.0
Kobe Bean Bryant,Backcourt,American,Los Angeles Lakers,,5.0,1,2.0
Christopher Emmanuel Paul,Backcourt,American,San Antonio Spurs,Wake Forest University,0.0,1,2.0
Harrison Bryce Jordan Barnes,,American,San Antonio Spurs,North Carolina Tar Heels,1.0,0,1.0
"Edrice Femi ""Bam"" Adebayo",,American,Miami Heat,University of Kentucky,0.0,0,2.0
