name,team_name,city_name,state_name
Kevin Durant,Phoenix Suns,Phoenix,Arizona
Duncan,Spurs,San Antonio,Texas
Tim Duncan,San Antonio Spurs,San Antonio,Texas
Stevens,Boston Celtics,Boston,Massachusetts
Paul,New Orleans Hornets,Oklahoma City,Oklahoma
Magic Johnson,Los Angeles Lakers,Los Angeles,California
Smith,Atlanta Hawks,Atlanta,Georgia
Jaquez,Miami Heat,Miami,Florida
Damian Lillard,Trail Blazers,Portland,Oregon
Durant,Warriors,San Francisco,California
Edwards,Minnesota Timberwolves,Minneapolis,Minnesota
Jonas Valanciunas,New Orleans Pelicans,New Orleans,Louisiana
Green,Cavaliers,Cleveland,Ohio
"Earvin ""Magic"" Johnson",Los Angeles Lakers,Los Angeles,California
Drummond,Pistons,Detroit,Michigan
Dwight Howard,Orlando Magic,Orlando,Florida
Jameer Nelson,Orlando Magic,Orlando,Florida
Paul Pierce,Boston Celtics,Boston,Massachusetts
Arsalan Kazemi,76ers,Philadelphia,Pennsylvania
Jackson-Davis,Golden State Warriors,San Francisco,California
Schröder,Atlanta Hawks,Atlanta,Georgia
Jerry West,Los Angeles Lakers,Los Angeles,California
Kevin Garnett,Minnesota Timberwolves,Minneapolis,Minnesota
Charles Barkley,Phoenix Suns,Phoenix,Arizona
Eric Johnson Jones,Utah Jazz,Salt Lake City,Utah
Markieff Morris,Phoenix Suns,Phoenix,Arizona
Kendall Marshall,Phoenix Suns,Phoenix,Arizona
Russell Westbrook,Oklahoma City Thunder,Oklahoma City,Oklahoma
George Mikan,Lakers,Los Angeles,California
Wilt Chamberlain,Los Angeles Lakers,Los Angeles,California
Rick Barry,Golden State Warriors,San Francisco,California
DeMar DeRozan,San Antonio Spurs,San Antonio,Texas
Derrick White,San Antonio Spurs,San Antonio,Texas
Dejounte Murray,San Antonio Spurs,San Antonio,Texas
Kawhi Leonard,San Antonio Spurs,San Antonio,Texas
Derrick Rose,Bulls,Chicago,Illinois
e Mureșan,Bullets,Washington,
Nikola Jokić,Denver Nuggets,Denver,Colorado
Pascal Siakam,Toronto Raptors,Toronto,Ontario
Mark Aguirre,Dallas Mavericks,Dallas,Texas
Sam Perkins,Dallas Mavericks,Dallas,Texas
Robert Parish,Chicago Bulls,Chicago,Illinois
Donovan Mitchell,Utah Jazz,Salt Lake City,Utah
Dirk Nowitzki,Dallas Mavericks,Dallas,Texas
Chris Bosh,Toronto Raptors,Toronto,Ontario
Spencer Haywood,Denver Rockets,Denver,Colorado
LaMarcus Aldridge,San Antonio Spurs,San Antonio,Texas
rge Garbajosa,Toronto Raptors,Toronto,Ontario
Morris Peterson,New Orleans Hornets,Oklahoma City,Oklahoma
Adrian Dantley,Jazz,Salt Lake City,Utah
Stockton,Jazz,Salt Lake City,Utah
Malone,Jazz,Salt Lake City,Utah
Luka Dončić,Dallas Mavericks,Dallas,Texas
Ricky Berry,Kings,Sacramento,California
Pervis Ellison,Kings,Sacramento,California
Wayman Tisdale,Kings,Sacramento,California
Lionel Simmons,Kings,Sacramento,California
Mitch Richmond,Kings,Sacramento,California
David Robinson,San Antonio Spurs,San Antonio,Texas
Scottie Barnes,Raptors,Toronto,Ontario
Michael Porter Jr.,Denver Nuggets,Denver,Colorado
Lauri Markkanen,Jazz,Salt Lake City,Utah
Terdema Ussery,Dallas Mavericks,Dallas,Texas
Chauncey Billups,Pistons,Detroit,Michigan
Patrick Beverley,Bulls,Chicago,Illinois
Coby White,Bulls,Chicago,Illinois
Jevon Carter,Bulls,Chicago,Illinois
Torrey Craig,Bulls,Chicago,Illinois
Manu Ginóbili,San Antonio Spurs,San Antonio,Texas
Wes Unseld,Bullets,Washington,
