name,position,nationality,team_name,ownership,founded_year
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,Apollo Global Management co-founder Josh Harris and an investment group,1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE),1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1963
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1966
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1898
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,Apollo Global Management co-founder Josh Harris and an investment group,1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE),1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1963
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1966
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1898
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,Apollo Global Management co-founder Josh Harris and an investment group,1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE),1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1963
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1966
Paul Clifton Anthony George,Frontcourt,American,Philadelphia 76ers,,1898
Paul Clifton Anthony George,Frontcourt,American,Philadelphia 76ers,,1946
Paul Clifton Anthony George,Frontcourt,American,Philadelphia 76ers,,1946
Paul Clifton Anthony George,Frontcourt,American,Philadelphia 76ers,Apollo Global Management co-founder Josh Harris and an investment group,1946
Paul Clifton Anthony George,Frontcourt,American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE),1946
Paul Clifton Anthony George,Frontcourt,American,Philadelphia 76ers,,1963
Paul Clifton Anthony George,Frontcourt,American,Philadelphia 76ers,,1966
Kyrie Irving,Backcourt,American,Dallas Mavericks,,1980
Kyrie Irving,Backcourt,American,Dallas Mavericks,,1980
Kyrie Irving,Backcourt,American,Dallas Mavericks,,1980
Kyrie Irving,Backcourt,American,Dallas Mavericks,"H. Ross Perot, Jr.",1980
Kyrie Irving,Backcourt,American,Dallas Mavericks,Mark Cuban,1980
Kyrie Irving,Backcourt,American,Dallas Mavericks,Mark Cuban,1980
Kyrie Irving,Backcourt,American,Dallas Mavericks,Mark Cuban,1980
Kyrie Irving,Backcourt,American,Boston Celtics,,1946
Kyrie Irving,Backcourt,American,Boston Celtics,,1946
Kyrie Irving,Backcourt,American,Boston Celtics,,1946
Kyrie Irving,Backcourt,American,Boston Celtics,,1946
Kyrie Irving,Backcourt,American,Brooklyn Nets,,1967
Jayson Christopher Tatum,Frontcourt,American,Boston Celtics,,1946
Jayson Christopher Tatum,Frontcourt,American,Boston Celtics,,1946
Jayson Christopher Tatum,Frontcourt,American,Boston Celtics,,1946
Jayson Christopher Tatum,Frontcourt,American,Boston Celtics,,1946
Jayson Tatum,Frontcourt,American,Boston Celtics,,1946
Jayson Tatum,Frontcourt,American,Boston Celtics,,1946
Jayson Tatum,Frontcourt,American,Boston Celtics,,1946
Jayson Tatum,Frontcourt,American,Boston Celtics,,1946
Caleb Martin,Frontcourt,American,Philadelphia 76ers,,1898
Caleb Martin,Frontcourt,American,Philadelphia 76ers,,1946
Caleb Martin,Frontcourt,American,Philadelphia 76ers,,1946
Caleb Martin,Frontcourt,American,Philadelphia 76ers,Apollo Global Management co-founder Josh Harris and an investment group,1946
Caleb Martin,Frontcourt,American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE),1946
Caleb Martin,Frontcourt,American,Philadelphia 76ers,,1963
Caleb Martin,Frontcourt,American,Philadelphia 76ers,,1966
Andrew Wiggins,Backcourt,Canadian,Golden State Warriors,,1946
Andrew Wiggins,Backcourt,Canadian,Golden State Warriors,,1946
Andrew Wiggins,Backcourt,Canadian,Golden State Warriors,,1946
Andrew Wiggins,Backcourt,Canadian,Golden State Warriors,,1946
Andrew Wiggins,Backcourt,Canadian,Golden State Warriors,,1946
Andrew Wiggins,Backcourt,Canadian,Golden State Warriors,,1946
Max Fiedler,Frontcourt,American,Philadelphia 76ers,,1898
Max Fiedler,Frontcourt,American,Philadelphia 76ers,,1946
Max Fiedler,Frontcourt,American,Philadelphia 76ers,,1946
Max Fiedler,Frontcourt,American,Philadelphia 76ers,Apollo Global Management co-founder Josh Harris and an investment group,1946
Max Fiedler,Frontcourt,American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE),1946
Max Fiedler,Frontcourt,American,Philadelphia 76ers,,1963
Max Fiedler,Frontcourt,American,Philadelphia 76ers,,1966
Ogugua 'OG' Anunoby Jr.,Backcourt,British,New York Knicks,,1946
Ogugua 'OG' Anunoby Jr.,Backcourt,British,New York Knicks,,1946
Ogugua 'OG' Anunoby Jr.,Backcourt,British,New York Knicks,,1946
Ogugua 'OG' Anunoby Jr.,Backcourt,British,New York Knicks,,1946
Ogugua 'OG' Anunoby Jr.,Backcourt,British,New York Knicks,,1946
Ogugua 'OG' Anunoby Jr.,Backcourt,British,New York Knicks,Leon Rose,1946
Jaylen Marselles Brown,Frontcourt,American,Boston Celtics,,1946
Jaylen Marselles Brown,Frontcourt,American,Boston Celtics,,1946
Jaylen Marselles Brown,Frontcourt,American,Boston Celtics,,1946
Jaylen Marselles Brown,Frontcourt,American,Boston Celtics,,1946
Jaylen Brown,Frontcourt,American,Boston Celtics,,1946
Jaylen Brown,Frontcourt,American,Boston Celtics,,1946
Jaylen Brown,Frontcourt,American,Boston Celtics,,1946
Jaylen Brown,Frontcourt,American,Boston Celtics,,1946
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1947
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1967
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1973
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1976
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1976
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1947
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1967
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1973
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1976
Victor Wembanyama,Frontcourt,French,San Antonio Spurs,,1976
Jrue Holiday,Backcourt,American,Boston Celtics,,1946
Jrue Holiday,Backcourt,American,Boston Celtics,,1946
Jrue Holiday,Backcourt,American,Boston Celtics,,1946
Jrue Holiday,Backcourt,American,Boston Celtics,,1946
Jrue Holiday,Backcourt,American,Orlando Magic,,1989
Austin Tyler Reaves,Backcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Austin Tyler Reaves,Backcourt,American,Los Angeles Lakers,,1947
Austin Tyler Reaves,Backcourt,American,Los Angeles Lakers,,1947
Austin Tyler Reaves,Backcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
Austin Tyler Reaves,Backcourt,American,Los Angeles Lakers,Jeanie Buss,1947
Kevin Wesley Love,Frontcourt,American,Miami Heat,,1988
Kevin Wesley Love,Frontcourt,American,Miami Heat,,1988
Kevin Wesley Love,Frontcourt,American,Miami Heat,,1988
Kevin Wesley Love,Frontcourt,American,Miami Heat,,1988
Kevin Love,Frontcourt,American,Minnesota Timberwolves,"Michael Bloomberg, Marc Lore, Alex Rodriguez",1947
Kevin Love,Frontcourt,American,Minnesota Timberwolves,,1989
Kevin Love,Frontcourt,American,Minnesota Timberwolves,Glen Taylor,1989
Kevin Love,Frontcourt,American,Miami Heat,,1988
Kevin Love,Frontcourt,American,Miami Heat,,1988
Kevin Love,Frontcourt,American,Miami Heat,,1988
Kevin Love,Frontcourt,American,Miami Heat,,1988
Giannis Antetokounmpo,Frontcourt,"Greek, Nigerian",Milwaukee Bucks,,1968
Giannis Antetokounmpo,Frontcourt,"Greek, Nigerian",Milwaukee Bucks,,1968
Giannis Antetokounmpo,Frontcourt,,Milwaukee Bucks,,1968
Giannis Antetokounmpo,Frontcourt,,Milwaukee Bucks,,1968
Giannis Antetokounmpo,Frontcourt,Greek,Milwaukee Bucks,,1968
Giannis Antetokounmpo,Frontcourt,Greek,Milwaukee Bucks,,1968
Giannis Antetokounmpo,Frontcourt,Greek,Milwaukee Bucks,,1968
Giannis Antetokounmpo,Frontcourt,Greek,Milwaukee Bucks,,1968
Wardell Stephen Curry II,Backcourt,American,Golden State Warriors,,1946
Wardell Stephen Curry II,Backcourt,American,Golden State Warriors,,1946
Wardell Stephen Curry II,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Stephen Curry,Backcourt,American,Golden State Warriors,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Al Horford,Frontcourt,Dominican Republic,Boston Celtics,,1946
Tyler Christopher Herro,Backcourt,American,Miami Heat,,1988
Tyler Christopher Herro,Backcourt,American,Miami Heat,,1988
Tyler Christopher Herro,Backcourt,American,Miami Heat,,1988
Tyler Christopher Herro,Backcourt,American,Miami Heat,,1988
Duncan McBryde Robinson,Backcourt,American,Miami Heat,,1988
Duncan McBryde Robinson,Backcourt,American,Miami Heat,,1988
Duncan McBryde Robinson,Backcourt,American,Miami Heat,,1988
Duncan McBryde Robinson,Backcourt,American,Miami Heat,,1988
Duncan Robinson,Backcourt,,Miami Heat,,1988
Duncan Robinson,Backcourt,,Miami Heat,,1988
Duncan Robinson,Backcourt,,Miami Heat,,1988
Duncan Robinson,Backcourt,,Miami Heat,,1988
Anthony Marshon Davis Jr.,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Anthony Marshon Davis Jr.,Frontcourt,American,Los Angeles Lakers,,1947
Anthony Marshon Davis Jr.,Frontcourt,American,Los Angeles Lakers,,1947
Anthony Marshon Davis Jr.,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
Anthony Marshon Davis Jr.,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
Anthony Davis,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Anthony Davis,Frontcourt,American,Los Angeles Lakers,,1947
Anthony Davis,Frontcourt,American,Los Angeles Lakers,,1947
Anthony Davis,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
Anthony Davis,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
Kyle Anderson,Backcourt,American-Chinese,Golden State Warriors,,1946
Kyle Anderson,Backcourt,American-Chinese,Golden State Warriors,,1946
Kyle Anderson,Backcourt,American-Chinese,Golden State Warriors,,1946
Kyle Anderson,Frontcourt,American,Golden State Warriors,,1946
Kyle Anderson,Frontcourt,American,Golden State Warriors,,1946
Kyle Anderson,Frontcourt,American,Golden State Warriors,,1946
Cade Cunningham,Backcourt,American,Detroit Pistons,,1898
Cade Cunningham,Backcourt,American,Detroit Pistons,,1937
Cade Cunningham,Backcourt,American,Detroit Pistons,,1941
Cade Cunningham,Backcourt,American,Detroit Pistons,,1957
Cade Cunningham,Frontcourt,American,Detroit Pistons,,1898
Cade Cunningham,Frontcourt,American,Detroit Pistons,,1937
Cade Cunningham,Frontcourt,American,Detroit Pistons,,1941
Cade Cunningham,Frontcourt,American,Detroit Pistons,,1957
LeBron Raymone James Sr.,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
LeBron Raymone James Sr.,Frontcourt,American,Los Angeles Lakers,,1947
LeBron Raymone James Sr.,Frontcourt,American,Los Angeles Lakers,,1947
LeBron Raymone James Sr.,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
LeBron Raymone James Sr.,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
LeBron James,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
Jimmy Butler,Backcourt,American,Miami Heat,,1988
Jimmy Butler,Backcourt,American,Miami Heat,,1988
Jimmy Butler,Backcourt,American,Miami Heat,,1988
Jimmy Butler,Backcourt,American,Miami Heat,,1988
Jimmy Butler,Backcourt,,Miami Heat,,1988
Jimmy Butler,Backcourt,,Miami Heat,,1988
Jimmy Butler,Backcourt,,Miami Heat,,1988
Jimmy Butler,Backcourt,,Miami Heat,,1988
Kevon Looney,Frontcourt,American,Golden State Warriors,,1946
Kevon Looney,Frontcourt,American,Golden State Warriors,,1946
Kevon Looney,Frontcourt,American,Golden State Warriors,,1946
Draymond Green,Backcourt,American,Golden State Warriors,,1946
Draymond Green,Backcourt,American,Golden State Warriors,,1946
Draymond Green,Backcourt,American,Golden State Warriors,,1946
Kevon Looney,Frontcourt,American,Golden State Warriors,,1946
Kevon Looney,Frontcourt,American,Golden State Warriors,,1946
Kevon Looney,Frontcourt,American,Golden State Warriors,,1946
Zach LaVine,Backcourt,American,Chicago Bulls,,1966
Zach LaVine,Backcourt,American,Chicago Bulls,,1966
Zach LaVine,Backcourt,American,Chicago Bulls,,1966
Zach LaVine,Backcourt,American,Chicago Bulls,,1966
Zach LaVine,Backcourt,American,Chicago Bulls,,1966
Zach LaVine,Backcourt,American,Chicago Bulls,,1966
Jaden Edward Dhananjay Ivey,Frontcourt,American,Detroit Pistons,,1898
Jaden Edward Dhananjay Ivey,Frontcourt,American,Detroit Pistons,,1937
Jaden Edward Dhananjay Ivey,Frontcourt,American,Detroit Pistons,,1941
Jaden Edward Dhananjay Ivey,Frontcourt,American,Detroit Pistons,,1957
Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers,,1898
Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers,,1946
Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers,,1946
Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers,Apollo Global Management co-founder Josh Harris and an investment group,1946
Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE),1946
Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers,,1963
Kyle Terrell Lowry,Backcourt,American,Philadelphia 76ers,,1966
Kyle Lowry,Backcourt,,Toronto Raptors,,1995
Kyle Lowry,Backcourt,,Toronto Raptors,,1995
Kyle Lowry,Backcourt,,Toronto Raptors,,1995
Michael Jeffrey Jordan,Frontcourt,American,Washington Wizards,Ted Leonsis through Monumental Sports & Entertainment,1961
Michael Jeffrey Jordan,Frontcourt,American,Washington Wizards,,1963
Michael Jeffrey Jordan,Frontcourt,American,Washington Wizards,Irene Pollin (as of 2009),1967
Michael Jeffrey Jordan,Frontcourt,American,Washington Wizards,,1974
Michael Jeffrey Jordan,Frontcourt,American,Washington Wizards,,1978
Devin Booker,Backcourt,American,Phoenix Suns,,1968
Devin Booker,Backcourt,American,Phoenix Suns,,1968
Devin Booker,Backcourt,American,Phoenix Suns,"Mat Ishbia and Justin Ishbia (as of February 7, 2023)",1968
Devin Booker,Backcourt,American,Phoenix Suns,,1968
Devin Booker,Backcourt,American,Phoenix Suns,,1968
Devin Booker,Backcourt,American,Phoenix Suns,"Mat Ishbia and Justin Ishbia (as of February 7, 2023)",1968
Devin Booker,Backcourt,,Phoenix Suns,,1968
Devin Booker,Backcourt,,Phoenix Suns,,1968
Devin Booker,Backcourt,,Phoenix Suns,"Mat Ishbia and Justin Ishbia (as of February 7, 2023)",1968
Draymond Jamal Green,Frontcourt,American,Golden State Warriors,,1946
Draymond Jamal Green,Frontcourt,American,Golden State Warriors,,1946
Draymond Jamal Green,Frontcourt,American,Golden State Warriors,,1946
Draymond Green,Backcourt,American,Golden State Warriors,,1946
Draymond Green,Backcourt,American,Golden State Warriors,,1946
Draymond Green,Backcourt,American,Golden State Warriors,,1946
Zach Collins,Frontcourt,American,San Antonio Spurs,,1947
Zach Collins,Frontcourt,American,San Antonio Spurs,,1967
Zach Collins,Frontcourt,American,San Antonio Spurs,,1973
Zach Collins,Frontcourt,American,San Antonio Spurs,,1976
Zach Collins,Frontcourt,American,San Antonio Spurs,,1976
Jonathan Malangu Kuminga,Frontcourt,Congolese,Golden State Warriors,,1946
Jonathan Malangu Kuminga,Frontcourt,Congolese,Golden State Warriors,,1946
Jonathan Malangu Kuminga,Frontcourt,Congolese,Golden State Warriors,,1946
Lonzo Anderson Ball,Backcourt,American,Chicago Bulls,,1966
Lonzo Anderson Ball,Backcourt,American,Chicago Bulls,,1966
Lonzo Anderson Ball,Backcourt,American,Chicago Bulls,,1966
Lonzo Ball,Backcourt,American,New Orleans Pelicans,,2002
Lonzo Ball,Backcourt,American,New Orleans Pelicans,Gayle Benson,2002
Jaime Jaquez Jr.,Frontcourt,Mexican-American,Miami Heat,,1988
Jaime Jaquez Jr.,Frontcourt,Mexican-American,Miami Heat,,1988
Jaime Jaquez Jr.,Frontcourt,Mexican-American,Miami Heat,,1988
Jaime Jaquez Jr.,Frontcourt,Mexican-American,Miami Heat,,1988
Jaime Jaquez Jr.,Frontcourt,Mexican-American,Miami Heat,,1988
Jaime Jaquez Jr.,Frontcourt,Mexican-American,Miami Heat,,1988
Jaime Jaquez Jr.,Frontcourt,Mexican-American,Miami Heat,,1988
Jaime Jaquez Jr.,Frontcourt,Mexican-American,Miami Heat,,1988
Ausar XLNC Thompson,Backcourt,American,Detroit Pistons,,1898
Ausar XLNC Thompson,Backcourt,American,Detroit Pistons,,1937
Ausar XLNC Thompson,Backcourt,American,Detroit Pistons,,1941
Ausar XLNC Thompson,Backcourt,American,Detroit Pistons,,1957
Jalen Marquis Brunson,Backcourt,American,New York Knicks,,1946
Jalen Marquis Brunson,Backcourt,American,New York Knicks,,1946
Jalen Marquis Brunson,Backcourt,American,New York Knicks,,1946
Jalen Marquis Brunson,Backcourt,American,New York Knicks,,1946
Jalen Marquis Brunson,Backcourt,American,New York Knicks,,1946
Jalen Marquis Brunson,Backcourt,American,New York Knicks,Leon Rose,1946
Julius Randle Brunson,Backcourt,American,New York Knicks,,1946
Julius Randle Brunson,Backcourt,American,New York Knicks,,1946
Julius Randle Brunson,Backcourt,American,New York Knicks,,1946
Julius Randle Brunson,Backcourt,American,New York Knicks,,1946
Julius Randle Brunson,Backcourt,American,New York Knicks,,1946
Julius Randle Brunson,Backcourt,American,New York Knicks,Leon Rose,1946
Jalen Brunson,Backcourt,,New York Knicks,,1946
Jalen Brunson,Backcourt,,New York Knicks,,1946
Jalen Brunson,Backcourt,,New York Knicks,,1946
Jalen Brunson,Backcourt,,New York Knicks,,1946
Jalen Brunson,Backcourt,,New York Knicks,,1946
Jalen Brunson,Backcourt,,New York Knicks,Leon Rose,1946
Jalen Brunson,Backcourt,American,New York Knicks,,1946
Jalen Brunson,Backcourt,American,New York Knicks,,1946
Jalen Brunson,Backcourt,American,New York Knicks,,1946
Jalen Brunson,Backcourt,American,New York Knicks,,1946
Jalen Brunson,Backcourt,American,New York Knicks,,1946
Jalen Brunson,Backcourt,American,New York Knicks,Leon Rose,1946
Shaquille O'Neal,Frontcourt,American,Miami Heat,,1988
Shaquille O'Neal,Frontcourt,American,Miami Heat,,1988
Shaquille O'Neal,Frontcourt,American,Miami Heat,,1988
Shaquille O'Neal,Frontcourt,American,Miami Heat,,1988
Kobe Bean Bryant,Backcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Kobe Bean Bryant,Backcourt,American,Los Angeles Lakers,,1947
Kobe Bean Bryant,Backcourt,American,Los Angeles Lakers,,1947
Kobe Bean Bryant,Backcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
Kobe Bean Bryant,Backcourt,American,Los Angeles Lakers,Jeanie Buss,1947
Kobe Bryant,Backcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Kobe Bryant,Backcourt,American,Los Angeles Lakers,,1947
Kobe Bryant,Backcourt,American,Los Angeles Lakers,,1947
Kobe Bryant,Backcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
Kobe Bryant,Backcourt,American,Los Angeles Lakers,Jeanie Buss,1947
Kobe Bryant,Frontcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
Kobe Bryant,Frontcourt,American,Los Angeles Lakers,,1947
Kobe Bryant,Frontcourt,American,Los Angeles Lakers,,1947
Kobe Bryant,Frontcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
Kobe Bryant,Frontcourt,American,Los Angeles Lakers,Jeanie Buss,1947
Christopher Emmanuel Paul,Backcourt,American,San Antonio Spurs,,1947
Christopher Emmanuel Paul,Backcourt,American,San Antonio Spurs,,1967
Christopher Emmanuel Paul,Backcourt,American,San Antonio Spurs,,1973
Christopher Emmanuel Paul,Backcourt,American,San Antonio Spurs,,1976
Christopher Emmanuel Paul,Backcourt,American,San Antonio Spurs,,1976
Chris Paul,Backcourt,American,Phoenix Suns,,1968
Chris Paul,Backcourt,American,Phoenix Suns,,1968
Chris Paul,Backcourt,American,Phoenix Suns,"Mat Ishbia and Justin Ishbia (as of February 7, 2023)",1968
Chris Paul,Backcourt,American,Los Angeles Clippers,,1970
Chris Paul,Backcourt,American,Los Angeles Clippers,,1970
Chris Paul,Backcourt,American,Los Angeles Clippers,,1970
Chris Paul,Backcourt,American,Los Angeles Clippers,,1970
Chris Paul,Backcourt,American,Los Angeles Clippers,,1970
Chris Paul,Backcourt,,Houston Rockets,,1967
Chris Paul,Backcourt,,Houston Rockets,Leslie Alexander,1974
Chris Paul,Backcourt,,Oklahoma City Thunder,,1967
Chris Paul,Backcourt,,Oklahoma City Thunder,,1967
Chris Paul,Backcourt,,Phoenix Suns,,1968
Chris Paul,Backcourt,,Phoenix Suns,,1968
