city_name,state_name,team_name,name,college
,,,Anthony Avent,Seton Hall University
,Massachusetts,,Aaron Williams,Xavier University
,,,Anthony Avent,Seton Hall University
,,,Gerald Madkins Jr.,UCLA
,,Oklahoma City Thunder,Paul George,Fresno State
,Massachusetts,,Gerald Madkins Jr.,UCLA
,,,Nikola Radićević,
,,,Anthony Avent,Seton Hall University
,,,Nikola Radićević,
,,,Nikola Radićević,
,Massachusetts,Oklahoma City Thunder,Paul George,Fresno State
,,,Aaron Williams,Xavier University
,Massachusetts,Chicago Bulls,John Doe,University of Illinois
,Massachusetts,,Gerald Madkins Jr.,UCLA
,,,Nikola Radićević,
,Massachusetts,,Aaron Williams,Xavier University
,,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Aaron Williams,Xavier University
,,,Nikola Radićević,
,,,Gerald Madkins Jr.,UCLA
,,,Gerald Madkins Jr.,UCLA
,Massachusetts,,Anthony Avent,Seton Hall University
,,,Nikola Radićević,
,Massachusetts,,Anthony Avent,Seton Hall University
,Massachusetts,,Aaron Williams,Xavier University
,,,Nikola Radićević,
