id,name,team,position,nationality,draft_year
nba_66,Hamidou Diallo  ,Capital City Go-Go  ,,American  ,2018.0
nba_67,"Dewayne ""D. J."" White, Jr.",Piratas de Quebradillas,Frontcourt,American,2008.0
nba_68,Steve Kerr  ,Golden State Warriors  ,Frontcourt,American  ,1988.0
nba_69,Gregory Clinton Foster  ,Indiana Pacers  ,Frontcourt,American  ,1990.0
nba_70,Bill Hewitt  ,Los Angeles Lakers,Frontcourt,American  ,0.0
nba_71,Joseph Xavier Forte  , Maccabi Tel Aviv,Backcourt,American  ,2001.0
nba_73,Mark Jeffrey Radford  ,Seattle SuperSonics  ,,American  ,1981.0
nba_75,Garry Witts Garrett David Witts  ,Washington Bullets  ,,American  ,0.0
nba_76,Jabari Dominic Walker  ,Portland Trail Blazers  ,,American  ,2022.0
nba_77,Devontae Cacok  ,Virtus Bologna  ,,American  ,0.0
nba_78,Brandon Goodwin  ,Gigantes de Carolina  ,Backcourt,American  ,0.0
nba_79,Dick Rosenthal  ,Fort Wayne Pistons  ,Frontcourt,American  ,1954.0
nba_80,Jamal Crawford  , Brooklyn Nets,,American  ,2000.0
nba_81,Jordan Lee Crawford  ,Sichuan Blue Whales  ,,American  ,2010.0
nba_82,Tom Copa  , Libertas Livorno,,American  ,1987.0
nba_83,Kermit Washington  , Golden State Warriors,Frontcourt,American  ,1973.0
nba_84,Donyell Marshall  ,Greensboro Swarm  ,,American  ,1994.0
nba_85,Wayne Lavern Robinson,Philadelphia Eagles,Frontcourt,American,1952.0
nba_86,Greg Fillmore Gregory Paul Fillmore  ,New York Knicks  ,Frontcourt,American  ,1970.0
nba_87,John Harding Lucas II  ,Houston Rockets  ,Frontcourt,American  ,1976.0
nba_88,Dick Surhoff  ,Milwaukee Hawks  ,,American,1952.0
nba_89,Garfield Smith  ,Boston Celtics  ,,American  ,1968.0
nba_90,Leroy Patrick Chollet  ,Syracuse Nationals,Backcourt,American  ,1949.0
nba_91,Michael Carter-Williams  ,Capitanes de Ciudad de M��xico  ,,American  ,2013.0
nba_93,Jack Parr  ,Cincinnati Royals  ,,American  ,1958.0
nba_94,"Monti Davis DaMon William ""Monti"" Davis  ",Dallas Mavericks  ,Frontcourt,American  ,1980.0
nba_96,Sidney Harold Tanenbaum,Baltimore Bullets,Backcourt,American,0.0
nba_97,Trayce Jackson-Davis  ,Golden State Warriors  ,,American  ,2023.0
nba_98,Andre Jamal Drummond,Philadelphia 76ers,Frontcourt,American,2012.0
nba_100,D'Angelo Russell,Los Angeles Lakers,Backcourt,American,2015.0
nba_102,Paul Clifton Anthony George,Philadelphia 76ers,,American,2010.0
nba_103,Kyrie Andrew Irving,Dallas Mavericks,,American,2011.0
nba_104,Jayson Christopher Tatum,Boston Celtics,,American,2017.0
nba_105,Caleb Martin,Philadelphia 76ers,Frontcourt,American,2019.0
nba_107,Max Berning Fiedler,Philadelphia 76ers,,American,
nba_109,Jaylen Marselles Brown,Boston Celtics,Backcourt,American,2016.0
nba_111,Jrue Randall Holiday  ,Boston Celtics  ,,American  ,2009.0
nba_112,Austin Tyler Reaves,Los Angeles Lakers,,American,2021.0
nba_113,Kevin Wesley Love,Miami Heat,,American,2008.0
nba_115,Wardell Stephen Curry II  ,Golden State Warriors  ,Backcourt,American  ,2009.0
nba_117,Tyler Christopher Herro,Miami Heat,Backcourt,American,2019.0
nba_118,Duncan McBryde Robinson,Miami Heat,,American,0.0
nba_120,Cade Parker Cunningham,Detroit Pistons,,American,2021.0
nba_121,LeBron Raymone James Sr.,Los Angeles Lakers,,American,2003.0
nba_122,Jimmy Butler III  ,Miami Heat  ,,American  ,2011.0
nba_123,Kevon Grant Looney,Golden State Warriors,Frontcourt,American,2015.0
nba_124,Zachary Thomas LaVine,Chicago Bulls,,American,2014.0
nba_125,Jaden Edward Dhananjay Ivey,Detroit Pistons,,American,2022.0
nba_126,Kyle Terrell Lowry,Philadelphia 76ers,Backcourt,American,2006.0
nba_127,Michael Jeffrey Jordan,"Chicago Bulls, Washington Wizards",Backcourt,American,1984.0
nba_128,Devin Armani Booker,Phoenix Suns,Backcourt,American,2015.0
nba_129,Draymond Jamal Green,Golden State Warriors,Frontcourt,American,2012.0
nba_130,Zach Collins,San Antonio Spurs,,American,2017.0
nba_132,Lonzo Anderson Ball,Chicago Bulls,Backcourt,American,2017.0
nba_134,Ausar XLNC Thompson,Detroit Pistons,,American,2023.0
nba_135,Jalen Marquis Brunson,New York Knicks,,American,2018.0
nba_136,Shaquille Rashaun O'Neal,Boston Celtics,Frontcourt,American,1992.0
nba_137,Kobe Bean Bryant,Los Angeles Lakers,Backcourt,American,1996.0
nba_138,Christopher Emmanuel Paul,San Antonio Spurs,Backcourt,American,2005.0
nba_139,Harrison Bryce Jordan Barnes,San Antonio Spurs,,American,2012.0
nba_140,"Edrice Femi ""Bam"" Adebayo",Miami Heat,,American,2017.0
