document_id,content,extraction_status,name,team,position,nationality,draft_year,_doc_id,extraction_error
,,,Max Fiedler,Philadelphia 76ers,basketball,American,,108.txt,
,,,OG Anunoby,New York Knicks,Forward,British,2017.0,109.txt,
11.txt,"
Derek Grimm

William Derek Grimm (born August 3, 1974) is an American professional basketball player.
A 6'9"" forward from the University of Missouri, Grimm was never drafted by a National Basketball Association (NBA) team but did play for the Sacramento Kings during the 1997–98 NBA season. He appeared in nine games and scored a total of 14 points. Born in Peoria, Illinois, he was selected by the La Crosse Bobcats in the fifth round (50th overall) of the 1997 CBA Draft. He also played with the C",failed_to_parse,,,,,,,
110.txt,"
Jaylen Brown

This article is about the NBA player. For the WNBA player, see Jaelyn Brown. For the soccer player, see Jalen Brown.
Jaylen Marselles Brown (born October 24, 1996) is an American professional basketball player for the Boston Celtics of the National Basketball Association (NBA). He played one year of college basketball for the California Golden Bears and was named first-team all-conference and Freshman of the Year in the Pac-12 Conference.
Declaring for the 2016 NBA draft after his",failed_to_parse,,,,,,,
111.txt,"
Victor Wembanyama

Victor Wembanyama (/ˌwɛmbənˈjɑːmə/ WEM-bən-YAH-mə; French: [viktɔʁ wɛmbanjama]; born 4 January 2004), nicknamed ""Wemby"" or ""the Alien"", is a French professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA). Considered one of the best basketball prospects of his generation, he was selected first overall by the Spurs in the 2023 NBA draft. With a listed height of 7 feet 4 inches (2.24 metres), Wembanyama is tied with Zach Edey as the ",failed_to_parse,,,,,,,
112.txt,"
Jrue Holiday

Jrue Randall Holiday (/druː/ DROO; born June 12, 1990) is an American professional basketball player for the Boston Celtics of the National Basketball Association (NBA). He played college basketball for one season with the UCLA Bruins before being selected by the Philadelphia 76ers in the first round of the 2009 NBA draft with the 17th overall pick.
Holiday played four seasons with Philadelphia before being traded to the New Orleans Pelicans in 2013. In 2020, he was traded to the ",failed_to_parse,,,,,,,
,,,Austin Reaves,Los Angeles Lakers,Guard,American,,113.txt,
114.txt,"
Kevin Love

This article is about the basketball player. For the NASCAR driver, see Kevin Love (racing driver).
Kevin Wesley Love (born September 7, 1988) is an American professional basketball player for the Miami Heat of the National Basketball Association (NBA). He is a five-time All-Star and a two-time member of the All-NBA Second Team, winning an NBA championship with the Cleveland Cavaliers in 2016. He was also a member of the gold medal-winning United States national team at the 2010 FIB",,,,,,,,"list indices must be integers or slices, not str"
115.txt,"
Giannis Antetokounmpo

Giannis Sina Ugo Antetokounmpo[a] (born Adetokunbo;[b] December 6, 1994) is a Greek and Nigerian professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time.
Born and raised in Athens to Nigerian parents, Antetokounmpo ",failed_to_parse,,,,,,,
116.txt,"
Stephen Curry

For other people named Stephen Curry, see Stephen Curry (disambiguation).
Wardell Stephen Curry II (/ˈstɛfən/ STEF-ən; born March 14, 1988) is an American professional basketball player and point guard for the Golden State Warriors of the National Basketball Association (NBA). Widely regarded as the greatest shooter, and one of the greatest players of all time, Curry is credited with revolutionizing the sport by inspiring teams and players to take more three-point shots. He is a ",,,,,,,,"list indices must be integers or slices, not str"
117.txt,"
Al Horford

In this Spanish name, the first or paternal surname is  Horford and the second or maternal family name is  Reynoso.
Alfred Joel Horford Reynoso OMDSM (born June 3, 1986), nicknamed ""Big Al"", is a Dominican professional basketball player for the Boston Celtics of the National Basketball Association (NBA). He is a five-time NBA All-Star and won the 2024 NBA Finals.
Horford played college basketball for the Florida Gators and was the starting center on their back-to-back National Colle",failed_to_parse,,,,,,,
118.txt,"
Tyler Herro

Tyler Christopher Herro (/ˈhiːroʊ/ HEE-roh; born January 20, 2000) is an American professional basketball player for the Miami Heat of the National Basketball Association (NBA). He played college basketball for one year with the Kentucky Wildcats. After being selected by the Heat in the first round of the 2019 NBA draft with the 13th overall pick, Herro was named to the NBA All-Rookie Second Team in 2020. During his rookie season with the Heat, he reached the NBA Finals. He was nam",failed_to_parse,,,,,,,
119.txt,"
Duncan Robinson

For the British art historian, see Duncan Robinson (art historian).
Duncan McBryde Robinson (born April 22, 1994) is an American professional basketball player for the Miami Heat  of the National Basketball Association (NBA). He played college basketball for the NCAA Division III Williams College Ephs and then the NCAA Division I Michigan Wolverines. He transferred to Michigan after leading Williams College to the 2014 NCAA Division III men's basketball tournament championship ",,,,,,,,"list indices must be integers or slices, not str"
12.txt,"
Anthony Davis

For other people with the same name, see Anthony Davis (disambiguation).
Anthony Marshon Davis Jr. (born March 11, 1993), nicknamed ""AD"", is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). He previously played for the New Orleans Pelicans. He plays the power forward and center positions. Davis is a nine-time NBA All-Star and has been named to four All-NBA First Teams and five NBA All-Defensive Teams. In his first",,,,,,,,"list indices must be integers or slices, not str"
,,,Kyle Anderson,UCLA Bruins,Point Guard/Forward,American,,120.txt,
121.txt,"
Cade Cunningham

Cade Parker Cunningham (born September 25, 2001) is an American professional basketball player for the Detroit Pistons of the National Basketball Association (NBA). He attended Bowie High School in his hometown of Arlington, Texas, before transferring to Montverde Academy in Florida, where he was rated a consensus five-star recruit and among the top players in the 2020 class by major recruiting services. As a senior, he led one of the best high school teams in history and recei",failed_to_parse,,,,,,,
122.txt,"
LeBron James

""LeBron"" redirects here. For his son LeBron James Jr., see Bronny James. For other people with the name, see Lebrón.
LeBron Raymone James Sr. (/ləˈbrɒn/; lə-BRON; born December 30, 1984) is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). Nicknamed ""King James"", he is widely recognized as one of the greatest players in the sport's history and is often compared with Michael Jordan in debates over the greatest basket",,,,,,,,"list indices must be integers or slices, not str"
123.txt,"
Jimmy Butler

For other people with similar names, see Jimmy Butler (disambiguation).
Jimmy Butler III (born September 14, 1989) is an American professional basketball player for the Miami Heat of the National Basketball Association (NBA). Nicknamed ""Jimmy Buckets"", he is a six-time NBA All-Star, a five-time All-NBA Team member, and a five-time NBA All-Defensive Team member. He won a gold medal as a member of the 2016 U.S. Olympic team.
Butler played one year of college basketball for Tyler Jun",failed_to_parse,,,,,,,
124.txt,"
Kevon Looney

Kevon Grant Looney (/kəˈvɒn/ kə-VON; born February 6, 1996) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). As a freshman playing college basketball with the UCLA Bruins, he earned second-team all-conference honors in the Pac-12 in 2015. After the season, Looney decided to forgo his college eligibility and enter the 2015 NBA draft, and was selected in the first round by Golden State with the 30th overall pic",,,,,,,,"list indices must be integers or slices, not str"
125.txt,"
Zach LaVine

Zachary Thomas LaVine (/ləˈviːn/ lə-VEEN; born March 10, 1995) is an American professional basketball player for the Chicago Bulls of the National Basketball Association (NBA). He was selected in the first round of the 2014 NBA draft with the 13th overall pick by the Minnesota Timberwolves. A two-time Slam Dunk Contest champion, he was named an NBA All-Star in 2021 and 2022. He also won a gold medal on the 2020 U.S. Olympic team in Tokyo.
LaVine grew up in the Seattle area, where h",failed_to_parse,,,,,,,
,,,Jaden Ivey,Detroit Pistons,,American,2022.0,126.txt,
127.txt,"
Kyle Lowry

Kyle Terrell Lowry (born March 25, 1986) is an American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). A six-time All-Star, he was named to the All-NBA Third Team in 2016 and won an NBA championship with the Toronto Raptors in 2019, their first and only title in franchise history. He is widely regarded as one of the greatest Raptors players of all time due to his work with turning the franchise around, from the post-Vince Cart",failed_to_parse,,,,,,,
128.txt,"
Michael Jordan

Michael Jeffrey Jordan (born February 17, 1963), also known by his initials MJ, is an American businessman and former professional basketball player. He played 15 seasons in the National Basketball Association (NBA) between 1984 and 2003, winning six NBA championships with the Chicago Bulls. He was integral in popularizing basketball and the NBA around the world in the 1980s and 1990s, becoming a global cultural icon. His profile on the NBA website states, ""By acclamation, Micha",,,,,,,,"list indices must be integers or slices, not str"
129.txt,"
Devin Booker

This article is about the NBA basketball player. For the basketball player in Europe, see Devin Booker (basketball, born 1991).
Devin Armani Booker (born October 30, 1996) is an American professional basketball player for the Phoenix Suns of the National Basketball Association (NBA). He played one season of college basketball for the Kentucky Wildcats, helping lead the team to a 38–1 record and winning SEC Sixth Man of the Year. Booker was selected by the Suns in the first round o",failed_to_parse,,,,,,,
,,,Brandan Keith Wright,"['Charlotte Bobcats', 'Golden State Warriors', 'New Jersey Nets', 'Dallas Mavericks', 'Boston Celtics', 'Phoenix Suns', 'Memphis Grizzlies', 'Houston Rockets']",power forward,American,2007.0,13.txt,
130.txt,"
Draymond Green

""Draymond"" redirects here. For the soccer player, see Draymond Washington. For a similar name, see Daymond.
Draymond Jamal Green (born March 4, 1990) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). Green, who plays primarily at the power forward position, is a four-time NBA champion, a four-time NBA All-Star, a two-time member of the All-NBA Team, and a two-time Olympic gold medalist. Considered one of the",failed_to_parse,,,,,,,
,,,Zach Collins,San Antonio Spurs,Center,American,2017.0,131.txt,
,,,Jonathan Kuminga,Golden State Warriors,Small forward,Congolese,2021.0,132.txt,
133.txt,"
Lonzo Ball

This is the latest accepted revision, reviewed on 30 August 2024.
Lonzo Anderson Ball (born October 27, 1997) is an American professional basketball player for the Chicago Bulls of the National Basketball Association (NBA). A point guard, he played college basketball for one season with the UCLA Bruins, earning consensus first-team All-American honors before the Los Angeles Lakers selected him with the second overall pick of the 2017 NBA draft. He was named to the NBA All-Rookie Sec",failed_to_parse,,,,,,,
134.txt,"
Jaime Jaquez Jr.

Jaime Jaquez Jr. (/ˈhaɪmɛ ˈhɑːkɛz/ HY-meh HAH-kez; born February 18, 2001) is a Mexican-American professional basketball player for the Miami Heat of the National Basketball Association (NBA). He played college basketball for the UCLA Bruins of the Pac-12 Conference. Jaquez was named a consensus second-team All-American and voted the Pac-12 Player of the Year as a senior in 2023. He earned three All-Pac-12 selections, including first-team honors twice. Jaquez was also a two-ti",failed_to_parse,,,,,,,
,,,Ausar Thompson,Detroit Pistons,Wing,American,2023.0,135.txt,
136.txt,"
Jalen Brunson

Jalen Marquis Brunson (born August 31, 1996) is an American professional basketball player for the New York Knicks of the National Basketball Association (NBA). He was drafted with the 33rd overall selection of the 2018 NBA draft by the Dallas Mavericks and played his first four seasons in the NBA with them. He played college basketball for Villanova University, where he was the National Player of the Year as a junior and won two national championships.
Brunson participated in th",failed_to_parse,,,,,,,
137.txt,"
Shaquille O'Neal

""Shaquille"" and ""Shaq"" redirect here. For other uses, see Shaquille (disambiguation) and Shaq (disambiguation).
Shaquille Rashaun O'Neal (/ʃəˈkiːl/ shə-KEEL; born March 6, 1972), known commonly as Shaq (/ʃæk/ SHAK), is an American former professional basketball player who is a sports analyst on the television program Inside the NBA. He is a 7-foot-1-inch (2.16 m) and 325-pound (147 kg) center who played for six teams over his 19-year career in the National Basketball Associati",,,,,,,,"list indices must be integers or slices, not str"
138.txt,"
Kobe Bryant

Kobe Bean Bryant (/ˈkoʊbi/ KOH-bee; August 23, 1978 – January 26, 2020) was an American professional basketball player. A shooting guard, he spent his entire 20-year career with the Los Angeles Lakers in the National Basketball Association (NBA). Regarded as one of the greatest players in the history of basketball, Bryant won five NBA championships and was an 18-time All-Star, 15-time member of the All-NBA Team, 12-time member of the All-Defensive Team, the 2008 NBA Most Valuable P",,,,,,,,"list indices must be integers or slices, not str"
139.txt,"
Chris Paul

This article is about the basketball player. For the militant, see Christopher Paul. For the American football player, see Chris Paul (American football).
Christopher Emmanuel Paul (born May 6, 1985), nicknamed ""CP3"" and ""the Point God"", is an American professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA). Widely regarded as one of the greatest point guards of all time, he has won the NBA Rookie of the Year Award, an NBA All-Star Game ",,,,,,,,"list indices must be integers or slices, not str"
14.txt,"
Askia Jones

Askia Rahman Jones (born December 3, 1971) is an American-Venezuelan retired professional basketball player, a 6'5"" (1.96 m) shooting guard.

Basketball career

A Kansas State University graduate born in Philadelphia, Pennsylvania, Jones left college as the third-leading scorer in its history. He finished his four-year college career averaging 14.8 points a game.
His scoring prowess was demonstrated on March 24, 1994, when he scored sixty-two points in only twenty-eight minutes aga",failed_to_parse,,,,,,,
140.txt,"
Harrison Barnes

Harrison Bryce Jordan Barnes (born May 30, 1992) is an American professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA). He played college basketball for the North Carolina Tar Heels before being selected by the Golden State Warriors in the first round of the 2012 NBA draft with the seventh overall pick. Barnes won an NBA championship with the Warriors in 2015. He also won a gold medal as a member of the 2016 U.S. Olympic team.
Barn",failed_to_parse,,,,,,,
141.txt,"
Bam Adebayo

Edrice Femi ""Bam"" Adebayo (/ˌɑːdəˈbaɪoʊ/ AH-də-BY-oh; born July 18, 1997) is an American professional basketball player for the Miami Heat of the National Basketball Association (NBA). He played college basketball for the Kentucky Wildcats before being selected by the Heat with the 14th overall pick in the 2017 NBA draft. He is a three-time NBA All-Star, a five-time NBA All-Defensive Team honoree, and he helped the Heat reach the NBA Finals in 2020 and 2023. He also won a gold meda",failed_to_parse,,,,,,,
15.txt,"
Carrick Felix

Carrick Felix (born August 17, 1990) is an American former professional basketball player. He played three years of college basketball for Arizona State before being drafted by the Cleveland Cavaliers with the 33rd overall pick in the 2013 NBA draft.

High school career

Born in Las Vegas, Nevada, Felix played high school basketball at Millennium High School in Goodyear, Arizona. During his senior season at Millennium, Felix led his team to a state championship and was named MVP ",failed_to_parse,,,,,,,
16.txt,"
Mychel Thompson

For his father, the Bahamian sports announcer and former longtime NBA player, see Mychal Thompson. For other uses, see Michael Thompson (disambiguation).
Mychel Thompson (born June 1, 1988) is an American former professional basketball player. He played college basketball at Pepperdine University. His father, Mychal Thompson, and brother, Klay Thompson, are also basketball players.

Early life

Thompson was born on June 1, 1988, in Los Angeles, California to Mychal and Julie Th",failed_to_parse,,,,,,,
17.txt,"
Marv Roberts

Marvin Roberts (born January 29, 1950) is an American former basketball player.

College basketball career

Roberts, a native of Brooklyn, New York, was given a scholarship to play at Utah State University after being named to the 1967 All-Brooklyn First Team by the New York Daily News, alongside being named as an All-New York City honorable mention by the New York Post and a ""Sleeper of the Year"" of New York City from High School Basketball Illustrated (HSBI). He played with the ",failed_to_parse,,,,,,,
,,,Kenneth 'Apple' Green,New York Knicks,Basketball,American,1981.0,18.txt,
19.txt,"
Gerald Madkins

Gerald Madkins Jr. (born April 18, 1969) is an American professional basketball executive who is a former assistant general manager for the New York Knicks  of the National Basketball Association (NBA). He is a former professional basketball player.
Born in Merced, California, Madkins attended University of California, Los Angeles (UCLA). He signed with the Cleveland Cavaliers of the NBA and played with them from 1993 to 1994, and was signed by the Miami Heat on January 21, 1998",failed_to_parse,,,,,,,
,,,Jay Vincent,"['Dallas Mavericks', 'Washington Bullets', 'Denver Nuggets', 'San Antonio Spurs', 'Philadelphia 76ers', 'Los Angeles Lakers']",forward,American,1981.0,2.txt,
,,,Donald Robert Anielak,New York Knicks,,American,1954.0,20.txt,
21.txt,"
Phil Jackson

This is the latest accepted revision, reviewed on 15 August 2024.
This article is about the basketball coach. For other people with the same name, see Philip Jackson (disambiguation).
Philip Douglas Jackson (born September 17, 1945) is an American former professional basketball player, coach, and executive. A power forward, Jackson played 12 seasons in the National Basketball Association (NBA), winning championships with the New York Knicks in 1970 and 1973. Regarded as one of the",failed_to_parse,,,,,,,
,,,Anthony Avent,"['Atlanta Hawks', 'Milwaukee Bucks', 'Orlando Magic', 'Vancouver Grizzlies', 'Utah Jazz', 'Los Angeles Clippers', 'Phonola Caserta', 'Panathinaikos', 'PAOK BC']",,American,1991.0,22.txt,
23.txt,"
Drew Gordon

Not to be confused with Drew Gooden.
Drew Edward Gordon (July 12, 1990 – May 30, 2024) was an American professional basketball player who was a power forward for the Philadelphia 76ers of the National Basketball Association (NBA). He spent most of his career playing overseas in Europe, but also played domestically in the NBA G League.
Gordon began his college basketball career with the UCLA Bruins, then transferred during his sophomore year to the New Mexico Lobos. Gordon garnered ",failed_to_parse,,,,,,,
,,,Jarrett Jack,"['Denver Nuggets', 'Portland Trail Blazers', 'Indiana Pacers', 'Toronto Raptors', 'New Orleans Hornets', 'Golden State Warriors', 'Cleveland Cavaliers', 'Brooklyn Nets', 'Atlanta Hawks', 'New Orleans Pelicans', 'Sioux Falls Skyforce', 'NBA G League Ignite']",Point Guard,American,2005.0,24.txt,
25.txt,"
Rick Hughes

Rick Hughes (born August 22, 1973) is an American former professional basketball player. He was the French League Best Scorer, in 2004 and 2011.

College career

Hughes graduated from Walnut Hills High School, in Cincinnati, Ohio, in 1991, and afterwards, he attended Thomas More College. He was a four-year standout while at TMC, during the 1992–1996 seasons. He is the only player in the now defunct conference (AMC), to have been the Rookie of the Year, a four-time Player of the Yea",failed_to_parse,,,,,,,
26.txt,"
Lavoy Allen

Lavoy Allen (born February 4, 1989) is an American former professional basketball player. He was selected in the second round, 50th overall pick in the 2011 NBA draft by the Philadelphia 76ers. Allen is the son of a truck driver, and did not play much basketball until eighth grade. He attended Pennsbury High School, where he was coached by Oliver Aaron. Rivals.com ranked him the 14th best center in his class, and Scout.com named him the 110th overall prospect. Allen committed to Te",failed_to_parse,,,,,,,
28.txt,"
Magic Johnson

For the Red Hot Chili Peppers song, see Mother's Milk (album). For the Nas song, see Magic 2.
""Earvin Johnson"" redirects here. For the NBA center, see Ervin Johnson.
Earvin ""Magic"" Johnson Jr. (born August 14, 1959) is an American businessman and former professional basketball player. Often regarded as the greatest point guard of all time, Johnson spent his entire career with the Los Angeles Lakers in the National Basketball Association (NBA). After winning a national championshi",,,,,,,,"list indices must be integers or slices, not str"
29.txt,"
Stan Noszka

Stanley M. Noszka (September 19, 1920 – November 15, 1991) was a member of the Pennsylvania State Senate, serving from 1967 to 1978. He was also a professional basketball player in the 1940s. Noszka played for the Youngstown Bears in the National Basketball League during 1945–46, and in the Basketball Association of America for the Pittsburgh Ironmen (1946–47) and Boston Celtics (1947–48).

BAA career statistics


Regular season


Playoffs


References


External links


Contents

",failed_to_parse,,,,,,,
3.txt,"
Nikola Radičević

Nikola Radičević (Serbian: Никола Радичевић; born 25 April 1994) is a Serbian professional basketball player for Cedevita Olimpija of the Adriatic League and the Slovenian Basketball League. Standing at 6 ft 5 in (1.96 m), he plays at the point guard position.

Early career

Born in Čačak, Radičević began his playing career with Belgrade-based Partizan's youth system. 

Professional career

In 2012, Radičević moved to Baloncesto Sevilla of the Spanish Liga ACB, signing with th",failed_to_parse,,,,,,,
30.txt,"
Isiah Thomas

For other people with similar names, see Isaiah Thomas (disambiguation).
Isiah Lord Thomas III (/aɪˈzeɪ.ə/ eye-ZAY-ə; born April 30, 1961), also known as ""Zeke"", is an American former professional basketball player and coach who is an analyst for NBA TV.  He played his entire professional career for the Detroit Pistons of the National Basketball Association (NBA). A 12-time NBA All-Star, Thomas was named to the  NBA's 50th and 75th anniversary teams, and inducted into the Naismith",failed_to_parse,,,,,,,
32.txt,"
Jahlil Okafor

Jahlil Obika Okafor (/ˈdʒɑː liːl/; born December 15, 1995) is a Nigerian-American professional basketball player for the Capitanes de Arecibo of the Baloncesto Superior Nacional (BSN). He played his freshman season of college basketball for the 2014–15 Duke national championship team. He was selected with the third overall pick in the 2015 NBA draft by the Philadelphia 76ers.
Okafor had been heavily recruited before high school and was at the top of the recruiting rankings for se",failed_to_parse,,,,,,,
33.txt,"
Trent Tucker

Kelvin Trent Tucker (born December 20, 1959) is an American former professional basketball player who played eleven seasons in the National Basketball Association (NBA).
A 6 ft 5 in (1.96 m) shooting guard, Tucker attended the University of Minnesota from 1978 to 1982, leading them to a Big Ten Conference championship in his senior year. He was then selected by the New York Knicks with the 6th overall pick of the 1982 NBA draft.  On 30 November 1982, in his NBA debut, Tucker outsc",failed_to_parse,,,,,,,
34.txt,"
Dwayne Schintzius

Dwayne Kenneth Schintzius (October 14, 1968 – April 15, 2012) was an American National Basketball Association (NBA) basketball player. He was born in Brandon, Florida and attended the University of Florida, where he helped lead the Florida Gators men's basketball program to its first three NCAA tournament appearances as an all-conference center. Schintzius was selected in the first round of the 1990 NBA draft (24th overall) by the San Antonio Spurs, but chronic back problems ",failed_to_parse,,,,,,,
35.txt,"
Miles Simon

Miles Julian Simon (born November 21, 1975) is an American basketball coach and former player who recently served as an assistant coach for the Phoenix Suns of the NBA.

Early life and college career

Simon was born in Stockholm to an American father and a Norwegian mother. He played guard for the University of Arizona Wildcats men's basketball team, where he formed a formidable backcourt duo with future NBA point guard Mike Bibby. He was named the Most Outstanding Player in the 19",failed_to_parse,,,,,,,
,,,Guy Rodgers,"['Philadelphia Warriors', 'Chicago Bulls', 'Cincinnati Royals', 'Milwaukee Bucks']",Point Guard,American,1958.0,36.txt,
,,,Vernon Maxwell,"['Houston Rockets', 'San Antonio Spurs', 'Denver Nuggets', 'Seattle SuperSonics']",shooting guard,American,1988.0,37.txt,
38.txt,"
Tim Duncan

This is the latest accepted revision, reviewed on 8 August 2024.
For other people named Tim Duncan, see Tim Duncan (disambiguation).
Timothy Theodore Duncan (born April 25, 1976) is an American former professional basketball player. He spent his entire 19-year career with the San Antonio Spurs in the National Basketball Association (NBA). Nicknamed ""the Big Fundamental"", he is widely regarded as the greatest power forward of all time and one of the greatest players in NBA history, a",failed_to_parse,,,,,,,
39.txt,"
Walter Berry (basketball)

Walter Berry (born May 14, 1964) is an American former professional basketball player. After spending three seasons in the National Basketball Association (NBA), he had a very successful career in various leagues around Europe and the EuroLeague. Berry played the power forward position. Berry, who originated from New York City, New York, was nicknamed ""The Truth"", early in his playing career. He was inducted into the Greek Basket League Hall of Fame in 2022.

College ",failed_to_parse,,,,,,,
4.txt,"
Fran Curran

Francis Hugh Curran Sr. (September 9, 1922 – September 18, 2004) was an American professional basketball player. He spent one season in the Basketball Association of America (BAA) and one season in the BAA's later incarnation, the National Basketball Association (NBA). He played with the Rochester Royals during the 1948–49 and 1949–50 seasons. He attended the University of Notre Dame.

BAA/NBA career statistics


Regular season


Playoffs


External links

additional terms may appl",failed_to_parse,,,,,,,
41.txt,"
Tony Delk

Tony Lorenzo Delk (born January 28, 1974) is an American former professional basketball player and college assistant coach. He last served as an assistant coach for the New Mexico State Aggies men's basketball team. During his playing days, he was team leader of the Kentucky Wildcats team that won the 1996 NCAA Championship Game. After college, he played for eight National Basketball Association (NBA) teams over 10 seasons.

High school

Delk attended Haywood Junior High School and H",failed_to_parse,,,,,,,
,,,Calvin Ramsey,"NYU Violets, St. Louis Hawks, New York Knicks, Syracuse Nationals",forward,American,1959.0,42.txt,
44.txt,"
Derrick Chievous

Derrick Joseph Chievous (born July 3, 1967) is a retired American professional basketball player. During his pro club career, he played at the small forward position. Chievous played three seasons in the National Basketball Association, after being selected by the Houston Rockets, in the first round, with the 16th overall pick of the 1988 NBA draft.

College career

Chievous played college basketball at University of Missouri, with the Missouri Tigers, from 1984 to 1988. He le",failed_to_parse,,,,,,,
45.txt,"
Rik Smits

This article is about the basketball player. For the linguist, see Rik Smits (linguist).
Rik Smits (born 23 August 1966), nicknamed ""the Dunking Dutchman"" is a Dutch former professional basketball player who spent his entire career with the Indiana Pacers of the National Basketball Association (NBA). The 7-foot-4-inch (2.24 m) center was drafted by the Pacers out of Marist College with the second overall pick in the 1988 NBA draft. An NBA All-Star in 1998, Smits reached the NBA Final",failed_to_parse,,,,,,,
46.txt,"
Anthony Edwards (basketball)

Anthony Edwards (born August 5, 2001), nicknamed ""Ant-Man"" or simply ""Ant"", is an American professional basketball player for the Minnesota Timberwolves of the National Basketball Association (NBA). A shooting guard, he played college basketball for the Georgia Bulldogs and was selected with the first overall pick by the Timberwolves in the 2020 NBA draft. He was named an All-Star during the 2022–23 and 2023–24 seasons. Edwards also won a gold medal on the 2024 U.S",,,,,,,,"list indices must be integers or slices, not str"
