id,company_name,bussiness_cost,bussiness_profit,bussiness_sales,business_segments_num,business_risks
Finance_17,Playtech plc,1403000000,122600000,1850197860,2.0,Market Risk||Credit Risk||Operational Risk
Finance_18,"RumbleOn, Inc.",1403000000,"180,565,000",1793368000,3.0,Market Risk||Credit Risk||Operational Risk
Finance_19,"Syndax Pharmaceuticals, Inc.",151757000,"151,757,000",0,1.0,Market Risk||Credit Risk||Operational Risk
Finance_20,MGM Resorts International,8751000000,1925000000,10676000000,3.0,Market Risk||Operational Risk||Legal/Compliance Risk
Finance_21,AA Limited,,,,2.0,Market Risk||Operational Risk||Other
Finance_22,Benjamin Hornigold Ltd,1067765,-1239019,-171254,1.0,Credit Risk||Market Risk
Finance_23,"BCB Bancorp, Inc.",55505000,45579000,118615000,1.0,Market Risk||Operational Risk||Credit Risk||Strategic Risk
Finance_24,Kelly Partners Group Holdings Limited,51014567,13328745,67435877,2.0,Credit Risk||Market Risk
Finance_25,Nordic American Tankers Limited,297473000,41867000,339340000,1.0,Credit Risk||Market Risk||Legal/Compliance Risk||Environmental Risk||Operational Risk
Finance_26,Franklin Covey Co.,239167,23674000,262841000,3.0,Market Risk||Strategic Risk||Other
Finance_27,Integra LifeSciences Holdings Corporation,1318746000,238920000,1557666000,2.0,Market Risk||Operational Risk||Credit Risk||Strategic Risk
Finance_28,Mosaic Brands Limited,210064400,-11268600,399953400,,Market Risk||Credit Risk
Finance_29,Albany International Corp.,853759000,237793000,1034887000,2.0,Market Risk||Operational Risk||Strategic Risk||Legal/Compliance Risk
Finance_30,EPI (Holdings) Limited,1894971,-2613138,5747546,4.0,Market Risk||Credit Risk||Operational Risk||Environmental Risk
Finance_31,Starvest plc,305944,,,1.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk
Finance_32,Emera Incorporated,5959000000,1080000000,7170000,5.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_33,"Bionano Genomics, Inc.",21857000,,270802000,1.0,Market Risk||Operational Risk||Strategic Risk||Legal/Compliance Risk
Finance_34,NextNav Inc.,,,3499000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_35,"ARCA biopharma, Inc.","Research and development: $4,749,000; General and administrative: $5,847,000",,,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_36,Arcadia Minerals Limited,0,-1692533,9071,2.0,Market Risk||Credit Risk||Operational Risk
Finance_37,Elixir Energy Limited,2443658,1981676,38926,3.0,Market Risk||Credit Risk||Operational Risk||Environmental Risk
Finance_38,"Rapid7, Inc.",214349000,470734000,689371000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_39,"1-800-FLOWERS.COM, Inc.",2165784000,91179000,2211605000,3.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_40,"WEIS MARKETS, INC.",4538891000,125196000,4695943000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_41,"NeoGenomics, Inc.",321832000,509728000,"Clinical Services: $418,754,000; Pharma Services: $90,974,000",2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_42,Downer EDI Limited,6732377148,318930416,6961973312,3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk||Other
Finance_43,Aptiv PLC,16226000000,1583000000,17530000000,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_44,"Celldex Therapeutics, Inc.",,-112300000,,,Market Risk||Strategic Risk||Operational Risk
Finance_45,"Bridgewater Bancshares, Inc.",98317000,37713000,136030000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_46,DiaMedica Therapeutics Inc.,0,0,0,1.0,Market Risk||Strategic Risk||Legal/Compliance Risk
Finance_47,Microsoft Corporation,62650000000,83383000000,"198,270,000,000",3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_48,James Halstead plc,242029519,70914629,396056939,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk ||Environmental Risk||Strategic Risk
Finance_49,Infinera Corporation,1037466000,535776000,1573242000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_50,"Odyssey Group Holdings, Inc.",5442600000,165500000,5666300000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_51,Ritchie Bros. Auctioneers Incorporated,776701000,355493000,1733808000,3.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_52,"Atreca, Inc.",70761000,,,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_53,"Enact Holdings, Inc.",196824000,704157000,1095046000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_54,Alcoa Corporation,13136000000,261000000,14920000000,3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_55,Incyte Corporation,2795073000,,2746897000,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_56,"HCA Healthcare, Inc.",51653000000,8580000000,60233000000,3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_57,"MainStreet Bancshares, Inc.",39057000,26674000,83845000,2.0,Credit Risk||Operational Risk||Market Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_58,Verrica Pharmaceuticals Inc.,30328000,-24487000,9032000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_59,"Wheeler Real Estate Investment Trust, Inc.",25731000,48812000,76645000,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_60,BetMakers Technology Group Ltd,25384000,6309772,91682000,3.0,Operational Risk||Legal/Compliance Risk||Strategic Risk||Credit Risk||Market Risk
Finance_61,Motability Operations Group plc,4604330000,1784810000,6389940000,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_62,"Origin Bancorp, Inc.",200419000,87715000,326604000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_63,Jefferies Financial Group Inc.,,,5983843000,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk
Finance_64,"Insperity, Inc.",4927585000,1011233000,5938818000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_65,archTIS Limited,993000,2375000,3368700,1.0,Market Risk||Credit Risk||Operational Risk
Finance_66,ACRES Commercial Realty Corp.,50335000,92003000,142338000,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_67,Armadale Capital Plc,419316,-419316,0,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk 
Finance_68,AstraZeneca PLC,41108000000,3757000000,42998000000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_69,Commerzbank Aktiengesellschaft,,,10927947660,3.0,Market Risk||Credit Risk||Operational Risk||Other
Finance_70,SThree plc,1627931361,525804201.3,2020363781,4.0,Market Risk||Strategic Risk||Credit Risk||Legal/Compliance Risk||Operational Risk||Environmental Risk
Finance_71,Aptevo Therapeutics Inc.,31755000,-28641000,3114000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_72,"Sonic Automotive, Inc.",11684100000,2317000000,14001100000,3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_73,"FNCB Bancorp, Inc.",42206000,24589000,68757000,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_74,"Ocugen, Inc.",84868000,-84868000,0,1.0,Market Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_75,Tellurian Inc.,169549000,-17773000,391926000,3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_76,Seiko Epson Corporation,5809649000,732987000,9248220000,3.0,Market Risk||Environmental Risk||Strategic Risk||Legal/Compliance Risk
Finance_77,RWE Aktiengesellschaft,39086333348,52827449592,44337071542,5.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_78,Datalogic S.p.A.,439587678,56777993,757061500,2.0,Market Risk||Operational Risk||Strategic Risk
Finance_79,Odyssey Gold Limited,5373674,6182266,11565941,1.0,Market Risk||Operational Risk||Environmental Risk||Strategic Risk||Other
Finance_80,"Ziff Davis, Inc.",195554000,194700000,139179800,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_81,"MongoDB, Inc.",950203000,-345404000,1284012000,1.0,Market Risk
Finance_82,Pintec Technology Holdings Limited,908900,1723000,10812000,3.0,Market Risk
Finance_83,Aeeris Ltd,993529,1217000,2210529,1.0,Market Risk
Finance_84,abrdn Japan Investment Trust plc,,,2708592,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
Finance_85,Medallion Financial Corp.,,,,4.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk
Finance_86,Liberty Broadband Corporation,611000000,327000000,975000000,2.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_87,Kruger Products Tissue Inc.,1148070000,91870000,1237850000,2.0,Market Risk||Credit Risk||Operational Risk||Strategic Risk
Finance_88,OFX Group Limited,67300000,28900000,102500000,3.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_89,"Blue Apron Holdings, Inc.",304574000,153893000,458467000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_90,CoreCard Corporation,32664000,37101000,69765000,1.0,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk
Finance_91,Crombie Real Estate Investment Trust,101407285,207457070,246926156,1.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_92,SIG plc,3615481700,142350300,3724313900,8.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_93,Peako Limited,717516,-716307,1208,1.0,Market Risk||Credit Risk
Finance_94,Empire Company Limited,16564237500,5638305200,22202542600,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_95,"Senti Biosciences, Inc.",74915000,-70629000,4286000,1.0,Market Risk||Operational Risk||Strategic Risk||Other
Finance_96,Galileo Resources Plc,1022264,4829331,451754,4.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk||Other
Finance_97,Duni AB (publ),682929600,42574400,416614240,2.0,Market Risk||Credit Risk||Operational Risk||Legal/Compliance Risk||Environmental Risk||Strategic Risk
Finance_98,Structural Monitoring Systems Plc,,,,1.0,Market Risk||Operational Risk
Finance_99,"Terns Pharmaceuticals, Inc.",,,,,Market Risk||Operational Risk||Legal/Compliance Risk||Strategic Risk||Other
