name,position,nationality,team_name,ownership,founded_year
Maurice E. Harkless Okafor,Frontcourt,American,Brooklyn Nets,,1967
Vernon Maxwell,Backcourt,American,Houston Rockets,,1967
Timothy Theodore Duncan,Frontcourt,American,San Antonio Spurs,,1967
Tim Duncan,Frontcourt,American,San Antonio Spurs,,1967
Calvin Ramsey,Frontcourt,American,New York Knicks,,1946
Rik Smits,Frontcourt,Dutch,Indiana Pacers,,1967
Anthony Edwards,Backcourt,American,Minnesota Timberwolves,Glen Taylor,1989
Harry Junior 'The Horse' Gallatin,Frontcourt,American,New York Knicks,,1946
Darnell Hillman,Frontcourt,American,Indiana Pacers,,1967
Kurt Vincent Thomas,Frontcourt,American,New York Knicks,,1946
Kevin Durant,Frontcourt,American,Phoenix Suns,,1968
William Bedford,Frontcourt,American,Detroit Pistons,,1941
Steven Delano Smith,Backcourt,American,San Antonio Spurs,,1967
Lamar Brandon Stevens,Frontcourt,American,Memphis Grizzlies,,1995
Stephen Douglas Kerr,Backcourt,American,Golden State Warriors,,1946
Jabari Dominic Walker,Frontcourt,American,Portland Trail Blazers,,1970
Demerick Montae 'Erick' Strickland,Frontcourt,American,Milwaukee Bucks,,1968
Gregory Paul Fillmore,Frontcourt,American,New York Knicks,,1946
Garfield Smith,Frontcourt,American,Boston Celtics,,1946
Dennis Schröder,Backcourt,German,Brooklyn Nets,,1967
DaMon William Davis,Frontcourt,American,Philadelphia 76ers,,1946
Trayce Jackson-Davis,Frontcourt,American,Golden State Warriors,,1946
Andre Drummond,Frontcourt,American,Philadelphia 76ers,,1946
