id,Name,Style,Object,Color,Tone,Composition,Image_Genre
35.0,Afewerk Tekle,Expressionism,Person In Elaborate Attire,Red,Neutral,Centralized Figure,Portrait
36.0,Richard Ernst Artschwager,Conceptual Art,Exclamation Mark Shape,Yellow,Bright,Minimalist,Still Life
37.0,Dorothea Margaret Tanning,Surrealism,"Figures, Sunflower, Doors",Muted Tones,Dark,Linear Perspective,Interior Scene
38.0,Maurice Bernard Sendak,Naïve Art (Primitivism),Monsters,Yellow,Neutral,Balanced,Fantasy
39.0,Vilen Isaakovych Barskyi,,"Flowers, Faces",Purple,Dark,Centralized,Still Life
40.0,Richard Smith,Hard Edge Painting,Geometric Forms,"Green, Red, Black",Neutral,"Symmetrical, Structured",Geometric
41.0,Jean-Paul Riopelle,Abstract Expressionism,,"Red, Blue, White",Bright,"Non-Representational, Fragmented",
42.0,Albert Ràfols-Casamada,Art Informel,"Lines, Shapes",Blue,Bright,"Dynamic, Diagonal Lines",
43.0,David Alexander Colville,Contemporary Realism,,,,,
44.0,Paolo Salvati,Figurative Expressionism,"Trees, River",Red,Bright,Asymmetrical,Landscape
45.0,Sir Terry Frost,Abstract Expressionism,Boats,Green,Neutral,Geometric Arrangement,Still Life
46.0,Solomon Sol LeWitt,Conceptual Art,"Building, Garden",Blue And Green,Bright,Symmetrical,Landscape
47.0,Morris Graves,Abstract Expressionism,Organic Forms,Earth Tones,Dark,Asymmetrical,Still Life
48.0,George ?tef?nescu-Ramnic,Expressionism,Figure With A Hand Raised,Earthy Tones With Bright Blue And Red,Mixed (Bright And Dark Elements),"Centralized, Symmetrical",Portrait
49.0,Manuel álvarez Bravo,,Human Figure,Monochrome,Neutral,Vertical Emphasis,Nude
50.0,Jeremy Henderson,Lyrical Abstraction,"Trees, Sky",Blue,Dark,Balanced,Landscape
51.0,Hans Ruedi Giger,Fantastic Realism,Mechanical Structure,Gray,Dark,Symmetrical,Sci-Fi
52.0,Tetsuya Ishida,Surrealism,"Building, Human Figure",Blue,Neutral,Balanced,Landscape
53.0,Anton Heyboer,Abstract Expressionism,Human Figures,Black,Dark,Asymmetrical,Figurative
54.0,Fred Sandback,Minimalism,Thin Vertical Lines,Neutral,Light,Open Space,Installation
55.0,Kenneth Price,Post-Minimalism,Nose,Beige,Neutral,Centralized,Sculpture
56.0,Nancy Holt,Environmental (Land) Art,"Landfill, Bridge, Cityscape",Earth Tones,Neutral,Aerial View,Landscape
57.0,Ken Danby,Photorealism,"Popcorn Machine, Person",Brown,Warm,Balanced,Genre Scene
58.0,Conrad Marca-Relli,Surrealism,"Buildings, Figure",Yellow,Neutral,Geometric,Architectural
59.0,Mirdidingkingathi Juwarnda Sally Gabori,Native Art,,"Black, White",Neutral,Non-Representational,
60.0,Marjorie Virginia Strider,Pop Art,,,,,
61.0,Alexander Skunder Boghossian,Surrealism,Stylized Figures,Blue-Green,Neutral,Geometric Arrangement,Figurative
62.0,Arman,Nouveau Réalisme,,Red,Bright,"Dense, Layered",
63.0,Balthasar Klossowski de Rola,Metaphysical art,"People, Buildings, Street","Muted Tones, Earthy Colors",Neutral,"Balanced, With A Focus On The Central Figures And Activity",Genre Painting
64.0,Tove Marika Jansson,Abstract Expressionism,Waves,Blue,Dark,Dynamic,Landscape
65.0,J?rg Immendorff,Neo-Expressionism,"People, Chairs, Abstract Shapes",Dark Blue,Dark,"Dynamic, Layered",Portrait
66.0,Richard William Hamilton,Pop Art,Two People In A Car,Muted,Dark,Balanced,Portrait
67.0,Judith Scott,Outsider art,"Mixed Media Objects (Pencils, Strings, Beads)",Multicolored,Neutral,Horizontal Arrangement,Still Life
68.0,Vivian Dorothy Maier,Street Photography,"Newspaper, Shadow",Black And White,Neutral,"Geometric, Centered",Street Photography
69.0,Margareta Wechsler Medi Dinu,Impressionism,Woman,Earth Tones,Neutral,Central Focus,Portrait
70.0,Piero Dorazio,Color Field Painting,Spirals,"Blue, Red, Yellow, Green",Bright,Repetitive Pattern,Abstract
71.0,James Rosenquist,Pop Art,,"Red, Yellow, White",Bright,"Dynamic, Swirling Forms",
72.0,Abdul Mati Klarwein,Magic Realism,"River, Landmass",Dark Green,Dark,Asymmetrical,Landscape
73.0,Gregoire Johannes Boonzaier,Post-Impressionism,Human Figure,"Green, Red, Brown",Neutral,Centralized Composition,Portrait
74.0,Georges Mathieu,Tachisme,"Geometric Shapes, Lines",Red,Bright,"Dynamic, Asymmetrical",Abstract
75.0,Clifford Possum Tjapaltjarri,Native Art,Stars,"Dark (With White, Red, And Yellow Accents)",Dark,Centralized With A Focus On A Large Star And Smaller Surrounding Stars,Abstract
76.0,Walter Joseph De Maria,Conceptual Art,"Telephone, Shoes, Sign",Brown,Neutral,Central Placement,Still Life
77.0,David Robert Jones,Neo-Expressionism,Human Face,Earth Tones,Dark,Central Focus,Portrait
78.0,Hedda Sterne,Abstract Expressionism,"Geometric Shapes, Mechanical Structures",Orange,Bright,"Asymmetrical, Complex",
79.0,Andrew Newell Wyeth,Contemporary Realism,Seated Figure With Leaves Or Antlers,Brown,Neutral,Central Placement With Surrounding Elements,Portrait
80.0,Bernhard Bernd Becher||Hilla Becher,Conceptual Art,Buildings,Black And White,Neutral,Grid Layout,Architectural
81.0,Karl Benjamin,Hard Edge Painting,Geometric Shapes,Yellow,Bright,Asymmetrical,Landscape
82.0,John Angus Chamberlain,Abstract Expressionism,,,,,
83.0,William-Adolphe Bouguereau,Academicism,Child,Muted Tones,Soft,Centralized,Portrait
84.0,Frida Kahlo,,Woman On A Bed,Earth Tones,Dark,Centralized,Portrait
85.0,Mary Frances Pratt,Photorealism,"Eggs, Plastic Bag",Blue,Neutral,Centered,Still Life
86.0,Mark George Tobey,Abstract Expressionism,Geometric Shapes,Grey,Neutral,Minimalistic,Still Life
87.0,Romero Britto,Neo-Pop Art,Human Figure,Bright Primary Colors,Vibrant,"Bold Outlines, Flat Colors",Portrait
88.0,Hito Steyerl,Conceptual Art,,,,,
89.0,Jenny Saville,Neo-Expressionism,Human Figures,Neutral Tones,Dark,Overlapping Forms,Figurative
90.0,Alison Knowles,Neo-Dada,,,,,
91.0,Pat Steir,Post-Painterly Abstraction,,,,,
92.0,Alberto Burri,Spatialism,Abstract Forms,Red,Dark,Central Focus,
93.0,Olafur Eliasson,Light and Space,Light Projection,Dark With Hints Of Warm Tones,Dark,Central Focus,Installation
94.0,Richard Dean Tuttle,Minimalism,Shapes,"Green, Purple",Neutral,Minimalist,Abstract
95.0,Vasily Vasilyevich Vereshchagin,Realism,"Mosque, People, Camels",Blue,Neutral,Centralized,Architectural
96.0,László Mednyánszky,Impressionism,"Mountains, Fields, Sky",Green,Bright,Horizontal,Landscape
97.0,Balcomb Greene,Abstract Art,Geometric Shapes,Beige,Neutral,Collage,Still Life
98.0,Wolfgang Tillmans,,Two People,Neutral,Soft,Symmetrical,Portrait
99.0,Julie Mehretu,,,White,Neutral,Dynamic,
100.0,Konstantin Yegorovich Makovsky,Romanticism,"People, Tables, Food",Dark Red,Dark,Central Focus With Depth,Historical
101.0,Gerhard Richter,Pop Art,Lips,Brown,Neutral,Asymmetrical,Still Life
102.0,Peter Dreher,Contemporary Realism,Glass,Neutral,Bright,Centered,Still Life
103.0,Alfred Julio Jensen,Abstract Expressionism,Geometric Shapes,Multicolored,Bright,Patterned,
104.0,Frederic Sackrider Remington,Impressionism,Soldiers,Green,Bright,Dynamic With A Focus On Movement,Historical
105.0,Simon St?lenhag,Digital Art,"Two People, Lake, Mechanical Structure",Pastel Blues And Greens,Soft,Balanced,Landscape
106.0,Henriette Theodora Markovitch || Dora Maar,Surrealism,,,,,
107.0,Abidin Dino,Expressionism,Hand,Black And White,Neutral,Centralized,Study
108.0,Jules Chéret,Art Nouveau (Modern),"Dancer, Man With Umbrella",Beige,Bright,Dynamic,Poster
109.0,Ralph Albert Blakelock,Tonalism,"Trees, Houses",Green,Neutral,Horizontal,Landscape
110.0,Mierle Laderman Ukeles,Conceptual Art,Billboard,Black,Neutral,Text-Centered,
111.0,Liam Gillick,Conceptual Art,"Art Installation, Paintings","Yellow, Red, Gray",Neutral,Geometric Arrangement,Interior
112.0,Adrian Margaret Smith Piper,Feminist Art,Person,Red,Bright,Centralized,Portrait
113.0,Rachel Whiteread,Post-Minimalism,,,,,
114.0,Joaquín Torres-García,Abstract Art,"Geometric Shapes, Symbols","Red, Black",Neutral,Grid-Like Arrangement,
115.0,Marcel Mari?n,Pop Art,Banana,Blue,Bright,Central Focus,Still Life
116.0,Charles Thomas Chuck Close,Photorealism,Human Figure,Monochrome,Neutral,Central,Portrait
117.0,Marina Abramovi?,,Two People,Monochrome,Neutral,Symmetrical,Portrait
118.0,Paul Thek,Pop Art,"Text, Abstract Forms",Multicolored,Bright,Dynamic,
119.0,Sir John Lavery,Impressionism,People In A Boat,Green,Bright,Asymmetrical,Genre
120.0,Ludwig Johann Passini,Academicism,Woman Fetching Water,Earth Tones,Bright,Balanced,Genre Painting
121.0,Diego Rivera,Muralism,,,,,
122.0,Ilya Kabakov,Conceptual Art,"Books, Partitions","Green, Brown",Neutral,Circular Arrangement,Conceptual
123.0,Ettore Tito,Realism,People Sitting Outdoors,Earth Tones,Neutral,"Informal, Dynamic",Genre Painting
124.0,Norval Morrisseau,Naïve Art (Primitivism),Person Riding An Animal,Red And Blue,Bright,Central Figure,Portrait
125.0,George Frederic Watts,Symbolism,Seated Figure With Two Smaller Figures,Gold,Dark,Centralized,Portrait
126.0,Henri-Edmond Cross,Pointillism,"Sea, Beach",Blue,Bright,Horizontal Layers,Seascape
127.0,Damien Steven Hirst,Neo-Pop Art,Fragmented Forms,Red,Bright,Dynamic,
128.0,Lewis Wickes Hine,Social Realism,"People, Trees, Buildings",Sepia,Neutral,Horizontal Alignment,Landscape
129.0,Hubertine Heijermans,Realism,Buildings,Warm Earth Tones,Bright,Balanced,Landscape
130.0,Lygia Clark,Neo-Concretism,Paper Constructions,Gray,Neutral,Grid Layout,Still Life
131.0,Barbara Chase-Riboud,Fiber art,Abstract Form With Red Rope,"Red, Brown",Neutral,Vertical Emphasis,Sculpture
132.0,Arthur Lismer,Art Nouveau (Modern),"Ship, Airplane",Blue,Bright,Dynamic,Seascape
133.0,Pierre Emmanuel Damoye,Impressionism,"Trees, River, Sky",Green,Bright,Balanced,Landscape
134.0,Rebecca Horn,Conceptual Art,Mechanical Form,Black,Neutral,Asymmetrical,Sculpture
135.0,Ignacy Aleksander Gierymski,Realism,Woman With Baskets,Earth Tones,Neutral,Central Composition,Portrait
136.0,James Browning Wyeth,Contemporary Realism,"House, Trees",Earth Tones,Neutral,Central,Landscape
137.0,Arne Quinze,Contemporary,Hanging Sculptures,Multicolor,Bright,Dynamic Balance,Installation
138.0,Sheila Hicks,Minimalism,Hanging Fibers,Gray,Neutral,Vertical Arrangement,Installation
139.0,Rirkrit Tiravanija,Conceptual Art,,,,,
140.0,Edward Mitchell Bannister,Tonalism,"Boat, Trees, Lake",Green,Natural,Horizontal Balance,Landscape
141.0,Alice Neel,Expressionism,Seated Figure,Earth Tones,Neutral,Centralized,Portrait
142.0,Mikalojus Konstantinas ?iurlionis,Symbolism,"Boat, Pillar","Blue, Orange",Neutral,Vertical Balance,Seascape
143.0,Donald K. Sultan,Neo-Expressionism,Flowers,Blue,Neutral,Asymmetrical,Still Life
144.0,Delesio Antonio Berni,Pop Art,"Two Figures, Table, Crystal Ball",Dark,Neutral,Balanced,Genre Painting
145.0,Charles Garabed Atamian,Realism,Person And Ocean,Blue,Neutral,Central Composition,Seascape
146.0,?tefan Luchian,Art Nouveau (Modern),Two Women With Flowers,Red,Warm,Dynamic And Flowing,Portrait
147.0,Julio Le Parc,Kinetic Art,Geometric Shapes,Silver,Neutral,Vertical,Sculpture
148.0,Diane Arbus,,Human Figure,Monochrome,Dark,Central Focus,Portrait
149.0,Edvard Munch,Expressionism,"Woman, Forest",Earth Tones,Dark,Centered,Portrait
150.0,Odd Nerdrum,Neo-baroque,"Human Figure, Landscape",Dark Earth Tones,Dark,Asymmetrical,Portrait
151.0,Billy Childish,Expressionism,Person With Hat,Pastel Shades,Neutral,Central Focus,Portrait
152.0,Gyula Kosice,Kinetic Art,Lights And Reflections,Black And White,Dark,Geometric Symmetry,Abstract
153.0,Susan Rothenberg,Neo-Expressionism,Bird-Like Shapes,Red,Warm,Asymmetrical,Abstract
154.0,Joy St Clair Hester,Expressionism,,,,,
155.0,Lee Ufan,Minimalism,,,,,
156.0,Alfio Giuffrida,Conceptual Art,Gardening Tools And Appliances,Green,Bright,Geometric Arrangement,Still Life
157.0,Ervand Kochar Kocharyan,Cubism,Human Figure,Red,Bright,Centralized,Figurative
158.0,John Milton Cage Jr.,Neo-Dada,Glass Panels With Text,Brown,Neutral,"Layered, Transparent Planes",Still Life
159.0,Mathias Goeritz || Werner Mathias Goeritz Brunner,Abstract Expressionism,"Sculpture, Mountains",Brown,Neutral,Diagonal,Landscape
160.0,Nathan Oliveira,Neo-Expressionism,Human Face,Dark Blue,Dark,Central Focus,Portrait
161.0,Oskar Kokoschka,Expressionism,Figure In Blue Dress,Blue,Dark,Centralized,Portrait
162.0,Brice Marden,Color Field Painting,Vertical Color Blocks,"Gray, Red, Yellow-Orange",Neutral,Triptych,Non-Representational
163.0,Abbas Kiarostami,,Trees,Neutral Tones,Calm,Linear,Landscape
164.0,Chen Yifei,Kitsch,Nude Female Figure,Warm Tones (Browns And Reds),Warm,"Vertical, Centered Figure",Portrait
165.0,Howard Arkley,Pop Art,House,"Yellow, Red, Blue",Bright,"Centralized, Geometric",Landscape
166.0,Donald Judd,Minimalism,Rectangles And Lines,"Black, Yellow, Purple, Orange, White",Bright,"Grid-Based, Symmetrical",Geometric
167.0,Robert L. Williams,Lowbrow Art,"Cars, Road",Blue,Bright,"Dynamic, Diagonal",Action
168.0,Jonathan Eastman Johnson,Realism,Human Figure,Brown,Dark,Vertical,Portrait
169.0,Al Held,Abstract Expressionism,Shapes,Yellow,Bright,Dynamic Arrangement,Abstract
170.0,Niki de Saint Phalle,Nouveau Réalisme,Lines And Textures,Dark Tones With Multicolor Drips,Dark,Vertical Lines,Abstract
171.0,Bahia Shehab,Street art,,,,,
172.0,Ludwig Mies van der Rohe,Constructivism,,,,,
173.0,Lawrence Weiner,Conceptual Art,Text,Black And White,Neutral,Text-Centric,Text-Based
174.0,Noma Bar,Neo-Pop Art,Mouse And Elephant,Blue,Bright,Simple,Animal
175.0,John Register,American Realism,Person In A Diner,Blue,Neutral,Balanced,Interior
176.0,Luigi Serafini,Surrealism,Fruits And Vegetables,Natural Hues,Bright,Symmetrical,Still Life
177.0,Bahman Mohassess,Expressionism,Faceless Figure,Red,Dark,Central Focus,Portrait
178.0,Brett Whiteley,Fauvism,"Mirrors, Person",Blue,Dark,Asymmetrical,Interior
179.0,Ethel Léontine Gabain,Neo-Romanticism,Person In Historical Attire,Multicolored,Bright,Balanced,Portrait
180.0,Clyfford Still,Abstract Expressionism,,Black,Dark,Minimalist,
181.0,Barbara Kruger,Conceptual Art,Gloves,Black And White,Neutral,Central Focus With Text Elements,Still Life
182.0,Pierre Molinier,Surrealism,Seated Figure,Black And White,Dark,Centralized Composition,Portrait
183.0,Adolf Richard Fleischmann,Concretism,Geometric Shapes,"Blue, Black, White, Brown, Red",Dark,Vertical And Horizontal Lines Within An Oval Frame,Geometric
184.0,Grace Thurston Arnold Albee,Regionalism,"Buildings, Street",Monochrome,Dark,Vertical Orientation,Cityscape
185.0,Joan Mitchell,Abstract Expressionism,Undefined Forms,Red,Neutral,Dynamic,Abstract
186.0,Gotthard Graubner,Color Field Painting,,Yellow,Bright,Central Textural Focus,
187.0,Nam June Paik,Neo-Dada,Robot-Like Figure,Green,Bright,Assemblage,Sculpture
188.0,Jacob M?cznik,Post-Impressionism,"Person Seated, Sculpture",Earth Tones,Neutral,Balanced With Central Focus,Portrait
189.0,Emil Schumacher,Tachisme,"Shapes, Lines","Red, Black",Neutral,Asymmetrical,
190.0,Wilhelm Sasnal,Pop Art,Person With A Cigarette,Dark,Neutral,Side Profile Focus,Portrait
191.0,Paul Delvaux,Surrealism,Skeletons,Earth Tones,Neutral,Symmetrical,Figurative
192.0,Antonio López García,Surrealism,"Bust, Dress, Flowers, Jewelry",Pastel,Neutral,Balanced,Still Life
193.0,Philip Pearlstein,Contemporary Realism,,,,,
194.0,Francesca Stern Woodman,,Nude Figure,Black And White,Neutral,Central Figure With Background Context,Portrait
195.0,Mark Lancaster,Minimalism,Grid Pattern,Green,Neutral,Grid Layout,Geometric
196.0,Luchita Hurtado,Surrealism,"Feathers, Sky, Rock Formations",Blue,Neutral,Vertical Symmetry,Landscape
197.0,Nobuo Sekine,Post-Minimalism,Interlocking Shapes,"Black, Green, Yellow",Neutral,Symmetrical,Abstract
198.0,Grace Cossington Smith,Post-Impressionism,"Hills, Fields, Trees","Earth Tones (Browns, Greens, Yellows)",Neutral,Curvilinear Composition With Layered Elements,Landscape
199.0,Hélio Oiticica,Minimalism,Boxes,Yellow,Neutral,Geometric,Still Life
200.0,Jacqueline Jackie Winsor,Post-Minimalism,"Wooden Poles, Swirled Forms",Brown,Neutral,Geometric,Sculpture
201.0,Vladimir Grigoryevich Tretchikoff,Kitsch,Person With A Turban And Necklace,Blue And Yellow,Bright,Centralized Figure,Portrait
202.0,Jimmie Durham,Neo-Dada,Various Shapes And Patterns,Multicolored,Bright,Collage,Mixed Media
203.0,Tr?n V?n C?n,Post-Impressionism,Woman Washing Hair,Earth Tones,Neutral,Vertical Orientation,Portrait
204.0,Billy Apple,Pop Art,Union Jack (Flag),Red,Neutral,Geometric,Political
205.0,George Milwa Mnyaluza Pemba,Social Realism,Young Man,Earth Tones,Neutral,Centralized Figure,Portrait
206.0,Callum Innes,Minimalism,Geometric Shapes,"Purple, Black, White",Neutral,"Balanced, Grid-Like",Geometric
207.0,Jeanne Hébuterne,Expressionism,Figure With A Hat,Brown,Dark,Central Focus,Portrait
208.0,Charuvi Agrawal,Kinetic Art,Elephant,Gold,Neutral,"Three-Dimensional, Suspended Elements",Sculpture
209.0,Nikos Hadjikyriakos-Ghikas,Cubism,,,,,
210.0,Kishio Suga,Minimalism,Rectangles,Black And Beige,Neutral,"Minimalist, Balanced",Still Life
211.0,Elmer Nelson Bischoff,Expressionism,A Person In A Landscape,Green,Soft,Balanced,Portrait
212.0,Francis Bacon,Expressionism,Human Figures,Red,Dark,Triptych Arrangement,Triptych
213.0,Pierre Soulages,Minimalism,,"Blue, Black",Dark,"Geometric, Linear",
214.0,Ashley Bickerton,Neo-Pop Art,Human Figures And Plants,Bright And Vivid,Dynamic,Complex With A Central Focus,Figurative
215.0,Joseph Kosuth,Conceptual Art,"Clocks, Text Panels",Neutral,Minimalist,Linear Arrangement,Still Life
216.0,Mary Blair,,"House, Girl, Rabbit",Pink,Bright,Centralized,Fantasy
217.0,Martha Rosler,Feminist Art,Clothing Items,Neutral,Bright,Arranged Display,Installation
218.0,Walter Frederick Osborne,Impressionism,Children In A Garden,Green,Bright,Balanced,Portrait
219.0,On Kawara,Conceptual Art,Two People Sitting At A Table,Neutral,Minimalistic,"Linear, Enclosed",Installation
220.0,Hirohiko Araki,,"Two Large Figures, Horses With Riders",Earth Tones,Warm,Dynamic,Fantasy
221.0,Tea Jorjadze,Post-Minimalism,Geometric Shapes,Yellow,Neutral,Balanced,Abstract
222.0,Richard Paul Lohse,Concretism,Geometric Shapes,"Multicolor (Including Red, Blue, Green, Yellow)",Bright,Geometric Arrangement,Abstract
223.0,Paul Jenkins,Abstract Expressionism,Abstract Forms,Blue,Bright,Dynamic,
224.0,Shadi Ghadirian,Contemporary,Person Seated,Blue,Neutral,Central Composition,Portrait
225.0,Albert Namatjira,Modernism,"Trees, Mountain, Rocks",Green,Neutral,Balanced,Landscape
226.0,Gy?rgy Kepes,Constructivism,Circles And Lines,Black And White,Neutral,Symmetrical,Still Life
227.0,Benny Andrews,Expressionism,"People, Church",Earth Tones,Neutral,Balanced,Genre Painting
228.0,Ralph Fasanella,Outsider art,,,,,
229.0,Helene Schjerfbeck,Expressionism,Woman On A Chair,Pastel,Soft,Balanced,Portrait
230.0,Robert Indiana,Pop Art,Letters,"Red, Blue, White",Bright,Grid Layout,Text Art
231.0,Yayoi Kusama,Conceptual Art,,,,,
232.0,Malcolm Morley,Photorealism,Horses,Green,Bright,Balanced,Animal
233.0,Jennifer Losch Bartlett,,"Human Figure, Water, Plants",Blue,Bright,"Layered, Grid",Figurative
234.0,Konrad Zuse,Kitsch,Lines And Shapes,Blue,Bright,Dynamic,Abstract
235.0,Ron Gorchov,Color Field Painting,Stacked Colored Blocks,Multicolored,Bright,Symmetrical,Sculpture
236.0,Vito Acconci,Conceptual Art,Human Figure Performing Motion,Black And White,Neutral,Grid Layout,Study / Motion Analysis
237.0,Wifredo Lam,Surrealism,Abstracted Figures,Blue,Neutral,Asymmetrical,Figurative
238.0,Erich Heckel,Expressionism,"Sun, Trees, Hills",Yellow,Bright,Dynamic,Landscape
239.0,Robert Mangold,Minimalism,Shapes,Purple,Dark,Symmetrical,Abstract
240.0,Gerhard von Graevenitz,Op Art,Squares,Black And White,Neutral,Grid-Like Arrangement,Geometric
241.0,Richard Prince,Conceptual Art,Human Figures,"Mixed (Black And White, Color)",Neutral,Grid Layout,Portrait
242.0,Mel Bochner,Conceptual Art,Dots,Black And White,Neutral,Geometric Arrangement,Abstract
243.0,Fred Williams,Expressionism,"Trees, Rocks",Green,Neutral,Vertical Emphasis,Landscape
244.0,Otto Muehl,Expressionism,Human Figure,Red,Bright,Central Figure,Portrait
245.0,Nabil Kanso,Neo-Expressionism,People,"Dark Blue, Red, Yellow",Dark,"Centralized Figures, Dynamic",Figurative
246.0,José Sobral de Almada Negreiros,Art Deco,Reclining Nude Figure With A Mirror,Light Blue,Soft,Asymmetrical,Portrait
247.0,Betty Roodish Goodwin,Neo-Expressionism,Human Figure,Muted Earthy Tones,Soft,Asymmetrical,Figurative
248.0,Pauline Boty,Feminist Art,"Cannon, Portraits, Abstract Shapes",Dark Tones With Splashes Of Red And Yellow,Dark,"Collage-Like, Layered",Mixed Media
249.0,Richard Diebenkorn,Abstract Expressionism,,Earth Tones,Neutral,Asymmetrical,Abstract
250.0,Endre Rozsda,Surrealism,Human Figure,Black And White,Neutral,Minimalist,Portrait
251.0,Anthony Alfred Caro,Abstract Art,Metal Forms,Brown,Neutral,Linear,Sculpture
252.0,William Balthazar Rose,Cubism,"Trees, Mountains",Green,Neutral,Geometric,Landscape
253.0,Alexander Georg Rudolf Bauer,Abstract Art,Shapes And Lines,Multicolored With Emphasis On Red And Blue,Dark,Dynamic And Asymmetrical,Abstract
254.0,Eduardo Luigi Paolozzi,Pop Art,"Woman, Airplane, Coca-Cola Bottle Cap",Red,Bright,Collage,Advertisement
255.0,Joan Brown,Pop Art,"Mug, Christmas Tree",Bright Multicolor,Vibrant,Centralized,Still Life
256.0,Yves Tanguy,Surrealism,"Abstract Shapes, Nature Elements",Dark Blues And Blacks,Dark,Asymmetrical,Abstract
257.0,John Steuart Curry,Regionalism,,,,,
258.0,Aydin Aghdashloo,Neo-Expressionism,Window,Grey,Neutral,Central Focus,Still Life
259.0,Albert Bitran,Lyrical Abstraction,Figures And Shapes,Earth Tones With Splashes Of Red And Purple,Neutral,Dynamic And Layered,
260.0,Lasar Segall,Expressionism,Two People,Earth Tones And Blue,Neutral,Balanced,Portrait
261.0,Edna Andrade,Op Art,Lines And Geometric Shapes,Black On White With Some Color Accents,Neutral,"Symmetrical, Linear",Geometric
262.0,Valerie Jaudon,P&D (Pattern and Decoration),Geometric Shapes,Gray,Neutral,Symmetrical,Pattern
263.0,Tess Jaray,Op Art,Geometric Shapes,Blue,Dark,Symmetrical,Geometric
264.0,Luke Chueh,Lowbrow Art,White Bear And Human Figure,Red And White,Neutral,Centered,Figurative
265.0,Jessica Stockholder,Post-Minimalism,"Fabric, Architectural Elements",Pink,Bright,Spatial,Abstract
