generic_name,brand_name,disease_name,indication,active_ingredients,pharmaceutical_form,manufacturer,administration_route,recommended_usage,single_dose,dosage_frequency,mechanism_of_action,side_effects,activation_conditions,prescription_status,unsuitable_population,storage_conditions,"ID"
Esketamine,,treatment-resistant depression,treatment-resistant depression,Esketamine,spray,,nasal,,initial dose 28 mg/kg || maintenance dose 56 mg/kg || maintenance dose 84 mg/kg,,NMDA receptor antagonist,dissociation || fatigue || poor memory || severe headaches || nausea || elevated heart rate || elevated blood pressure,,,individuals with cardiovascular diseases,,345009
Roflumilast,Daliresp,Chronic Obstructive Pulmonary Disease||Bronchitis,Wheezing||Shortness of breath,Roflumilast,tablet,,oral,take with or without food||at fixed time,adults 500mcg||adults 250mcg,once a day||once daily,"PDE4 inhibitor that blocks the action of PDE4, reducing inflammation and relaxing smooth muscle in the airways",Acute renal failure||Acute pancreatitis,,prescription_only,pregnant women (unless clearly needed)||breastfeeding women,,644068
hydrocodone,Biocodone,severe pain,severe pain,hydrocodone,,,,,,,binds to opiate receptors and blocks pain signals,drowsiness||respiratory depression||hypoxia||coma||permanent brain damage,,prescription_only,,,281136
Famotidine,,Gastroesophageal Reflux Disease||Esophagitis||Zollinger-Ellison Syndrome||Multiple Endocrine Adenomas,symptoms of GERD||esophagitis due to GERD including erosive or ulcerative disease||pathological hypersecretory conditions,Famotidine,tablet,"Preferred Pharmaceuticals, Inc.",oral,,adults 20 mg||pediatric patients 0.5 mg/kg/dose or 1 mg/kg/dose,twice a day,competitive inhibitor of histamine H-receptors||inhibition of gastric secretion,agitation,,,patients with moderate or severe renal insufficiency,,301529
Clonidine,KAPVAY,Attention Deficit Hyperactivity Disorder||High Blood Pressure,attention deficit hyperactivity disorder||high blood pressure,clonidine hydrochloride,tablet,,oral,take with or without food,children and adolescents 0.1 mg,twice a day,centrally acting alpha2-adrenergic agonist,,,prescription_only,,,640907
peppermint oil,IBgard,Irritable Bowel Syndrome,abdominal pain||cramping||gas||bloating||diarrhea||constipation||bowel urgency,peppermint oil,capsule,,oral,swallowed with water||before meals||after meals,adults 2 capsules,once or thrice daily,delivers peppermint oil to the small intestine to relax muscles and reduce hypersensitivity,heartburn||burning around the anus||nausea||vomiting||allergic reactions,,over_the_counter,children,,523790
bendamustine,Bendeka||Treanda,Chronic lymphocytic leukemia||Non-Hodgkin lymphoma,chronic lymphocytic leukemia||indolent B-cell non-Hodgkin lymphoma,bendamustine,injection,,intravenous,other,,days 1 and 2 of a 28-day cycle||days 1 and 2 of a 21-day cycle,forms interstrand DNA crosslinks and covalent bonds,black tarry stools||bleeding gums||blood in the urine or stools||diarrhea||constipation||cough||difficulty breathing||headache||loss of appetite||low red and white blood cells||low platelets||mouth ulcers||mouth irritation||nausea||rash||tiredness||swelling of the eyelids||swelling of face||swelling of lips||swelling of hands||swelling of feet||weight loss||infections||kidney damage||liver damage||other cancers||tissue damage||infusion reactions||fever||chills||pruritus||severe allergic reactions||myelosuppression||pneumonia||sepsis||septic shock||hepatitis||tumor lysis syndrome||Stevens-Johnson syndrome||toxic epidermal necrolysis||liver injury||myelodysplastic syndrome||acute myeloid leukemia||fatigue,no special condition,prescription_only,"people with moderate to severe kidney disease||people with AST or ALT values of 2.5 to 10 times the upper limit of normal||people with total bilirubin levels of 1.5 to 3 times the upper limit of normal||pregnant women||people allergic to Bendeka or polyethylene glycol 400, propylene glycol, or monothioglycerol",refrigerate,387113
norethindrone acetate and ethinyl estradiol,Lo Loestrin FE,Pregnancy prevention,prevention of pregnancy,norethindrone acetate||ethinyl estradiol,tablet,,oral,at fixed time,adults 1 mg norethindrone acetate and 10 mcg ethinyl estradiol per tablet,once daily,,swelling of the ankles or feet||cholecystitis||nausea||vomiting||headache||bleeding irregularities||dysmenorrhea||weight fluctuation||breast tenderness||acne||abdominal pain||anxiety||depression||deep vein thrombosis||ovarian vein thrombosis,,,women with current or past breast cancer||pregnant women||nursing infants,,673273
Metformin,,Post transplantation diabetes mellitus||Impaired glucose tolerance||Diabetes Mellitus,impaired glucose tolerance||prevention of diabetes mellitus||management of post transplantation diabetes mellitus,Metformin,tablet,,oral,other,adults 500 mg,twice a day,enhancing glucose metabolism||limiting unwanted weight gain||cardiovascular protection||improving metabolic profile||anti-neoplastic activity,gastrointestinal symptoms||indigestion||abdominal pain||metallic taste,,,diabetes mellitus at the time of transplant||history of antidiabetic therapy||unable to consent||steroid pulse therapy in the 2 weeks prior to OGTT||pregnancy||breast feeding||estimated glomerular filtration rate (eGFR) ≤30 mL/min/1.73 m2||current substance abuse (including alcohol)||any major illness or comorbidity that may result in death within 12 months,,538200
Bupivacaine,,pain||soft tissue anesthesia||pulpal anesthesia,surgical anesthesia||lengthy restorative procedures||postoperative pain management,Bupivacaine,injection,,injection,,,,"Binds to sodium channels in neurons, blocking nerve impulse conduction",self-inflicted injury from biting anesthetized tissue,,,pediatric patients||patients with cognitive impairment or mental disabilities||patients with neuromuscular diseases such as Parkinson's disease or multiple sclerosis,,149861
Diphenhydramine,,Common cold||Flu||Allergies||Sinusitis||Bronchitis,Watery eyes||Itchy eyes||Itchy nose||Itchy throat||Runny nose||Sneezing||Cough,Diphenhydramine||Dextromethorphan||Acetaminophen,solution||suspension||tablet||capsule,,oral,take with or without food||drink plenty of fluids,,every 4 to 6 hours as needed,"Antihistamines help relieve watery eyes, itchy eyes/nose/throat, runny nose, and sneezing.",Drowsiness||Dizziness||Blurred vision||Upset stomach||Nausea||Constipation||Dry mouth||Dry nose||Dry throat||Mental changes||Mood changes||Confusion||Hallucinations||Trouble urinating||Fast heartbeat||Irregular heartbeat||Seizure||Rash||Itching||Swelling||Severe dizziness||Trouble breathing,,,children under 6 years||children under 12 years (for some forms)||patients with breathing problems||patients with diabetes||patients with glaucoma||patients with heart problems||patients with high blood pressure||patients with kidney problems||patients with liver disease||patients with seizures||patients with stomach/intestinal problems||patients with overactive thyroid||patients with urination problems||elderly||pregnant women||nursing women,store at room temperature||keep tightly closed||protect from light||do not freeze liquid forms,475875
Patisiran,,Hereditary Transthyretin-mediated Amyloidosis||hATTR amyloidosis||polyneuropathy,polyneuropathy symptoms||quality of life impairment||day-to-day task impairment,Patisiran,injection,Alnylam Pharmaceuticals,intravenous,,,,targets and silences specific messenger RNA||blocks the production of transthyretin in the liver,,,prescription_only,,,549640
Furosemide,Lasix,Hypertension||Heart Diseases||Kidney Failure||Liver Failure,high blood pressure||fluid retention,Furosemide,tablet,,oral,other,,once or twice a day,"increases excretion of water and salt by the kidneys, reduces blood volume, lowers blood pressure, helps with water retention",dizziness||jaundice||dehydration symptoms||high sugar blood levels||skin allergic reactions||hearing problems,,prescription_only,,,222927
Milnacipran,Savella,Fibromyalgia,chronic pain||fatigue||morning stiffness||disordered sleep,Milnacipran,tablet,"Forest Pharmaceuticals, Inc.",oral,,adults 12.5 mg (Day 1)||adults 12.5 mg twice daily (for 2 days)||adults 25 mg twice daily (for 4 days)||adults 50 mg twice daily (for 7 days)||adults 100 mg twice daily (for 7 days),twice daily,serotonin and norepinephrine reuptake inhibition,nausea||constipation||hot flushing||dizziness||palpitations||hyperhidrosis||hypertension||vomiting||tachycardia||migraine||dry mouth||headache,,prescription_only,patients with severe psychiatric illness,,183210
6-mercaptopurine,,rheumatoid arthritis||renal transplant rejection||inflammatory bowel disease,rheumatoid arthritis||prevention of graft rejection||inflammatory bowel disease,6-mercaptopurine,,,,,,,"Metabolized by TPMT into 6-methylmercaptopurine, by xanthine oxidase into 6-thiouracil, and by hypoxanthine guanine phosphoribosyl-transferase into 6-thioguanine",myelosuppression||hepatotoxicity||megaloblastosis,requires co-administration with other drugs,,,,129818
Minocycline,Arestin,Periodontal disease,periodontal infection||chronic bacterial infection of the gums,Minocycline,powder,,other,,,,sustained-release of minocycline to fight infection,,,,tetracycline allergy||pregnant women||nursing women,,8716
Nortriptyline,Pamelor,Depression,depression symptoms,Nortriptyline,tablet||liquid,,oral,take as prescribed,adults 25 mg || elderly 30-50 mg || adolescents 30-50 mg,3-4 times per day||once daily,,anxiety||blurred vision||confusion||dry mouth||hallucinations||heart attack||heartbeat irregularities||high blood pressure||insomnia||loss of muscle coordination||low blood pressure||numbness or tingling in the hands and feet||sensitivity to sunlight||skin rash||stroke||tremors||weight changes,,,allergy to Pamelor or similar medicines||currently taking or recently taken MAO inhibitors||recent heart attack,,18529
methylphenidate HCl,Concerta,Attention Deficit Hyperactivity Disorder,inattentive ADHD||impulsivity||hyperactive behavior||behavior problems||difficulty paying attention||difficulty staying focused||difficulty organizing tasks||difficulty listening,methylphenidate HCl,capsule,Janssen Pharmaceuticals,oral,swallowed with water||take with or without food||at fixed time,children and adolescents up to 54mg daily||adults up to 72mg daily,once daily,changing the amounts of certain natural substances in the brain,decreased appetite||dry mouth||sleep disruption||dizziness||stomach ache||increased sweating||headache||nausea||anxiety||weight loss||irritability||slowing of growth in children||seizures||priapism||eyesight changes||blurred vision,,prescription_only,"children under 6||patients with allergy or hypersensitivity to methylphenidate HCI||patients with anxiety||patients with glaucoma||patients with tics or history of Tourette’s syndrome||patients taking monoamine oxidase inhibitors (MAOIs)||patients with heart or mental problems||patients with seizures||patients with abnormal brain wave tests||patients with circulation problems||patients with esophagus, stomach or intestine problems||pregnant women||nursing mothers",store at room temperature||store in a secure place out of the reach of children,461870
Tiotropium Bromide,Spiriva,Asthma,severe asthma||chronic symptoms||moist cough||bronchial secretions||fixed airway obstruction,Tiotropium Bromide,spray||other,,inhalation,,children Spiriva Respimat 2.5 ug 1 puff once daily||children Spiriva Respimat 2.5 ug 2 puffs once daily||children Spiriva Handihaler 18 ug 1 puff once daily,once daily,long-acting muscarinic antagonist interfering with muscarinic M3 post-synaptic receptors,xerostomia||constipation||insomnia||headaches,,prescription_only,,,511131
Docosanol,Abreva,Herpes labialis||Herpes simplex,cold sores||fever blisters,Docosanol,cream,Avanir Pharmaceuticals,topical,other,,,inhibits fusion of host cell with viral envelope,,,over_the_counter,,,501370
Pramipexole dihydrochloride,,Parkinson's disease || Restless legs syndrome,Parkinson's disease symptoms || restless legs syndrome,Pramipexole dihydrochloride,,,oral,take with or without food || at fixed time,,once daily || three times daily,dopamine agonist; mimics the effects of dopamine in the brain to allow the patient increased control over his muscle movements,nausea || constipation || diarrhea || weight loss || loss of appetite || dizziness || insomnia || swelling of the extremities || difficult or frequent urination || confusion || abnormal muscle movements || abnormal dreams or thoughts || joint pain || hallucinations || severe changes in mood || memory problems || compulsive behaviors (such as gambling) || increased tremors || chest pain || unusually fast or slow heartbeat || dark or red urine || vision changes || shortness of breath || muscle stiffness,requires specific timing,,pregnant or breastfeeding women,,44177
Indomethacin,Indocin,osteoarthritis||rheumatoid arthritis||gout||ankylosing spondylitis||tendinitis||bursitis,pain||inflammation||stiffness,Indomethacin,,,,,adults 25 milligrams,2 or 3 times a day,,drowsiness||less alert||confusion||psychosis||liver inflammation,,,patients with kidney disease||patients with liver disease||older adults,,306155
Levetiracetam,Keppra,Epilepsy||Alcohol Dependence,Partial-onset seizures||Myoclonic seizures||Primary generalized seizures||Alcohol withdrawal symptoms,Levetiracetam,tablet||solution,,oral,take with or without food,adults 250 mg || adults 500 mg || adults 750 mg || adults 1000 mg,,"Inhibits calcium release in neurons, modulates neuronal firing",Sleepiness||Headaches||Loss of appetite||Reduced energy||Motor coordination issues||Dizziness||Mood swings||Aggressiveness||Hostility||Extreme changes in emotional state||Depression||Agitation||Apathy||Hallucinations||Delusions||Suicidal thoughts||Drowsiness||Infection||Weakness||Diarrhea||Constipation||Heartburn||Dysphagia||Double vision||Vomiting||Decreased appetite||Bruising||Tingling and numbness||Muscle weakness||Confusion||Problems with walking or movement||Skin reactions||Signs of infection||Tremors||Insomnia,,prescription_only,,,410185
Letrozole,Fempro,breast cancer,breast tumors that require estrogen for growth,Letrozole,tablet,Cipla,,,,,preventing the aromatase enzyme from converting androstenedione and testosterone into estrogen,blood clots||flu-like symptoms||angina||heart attack||stroke,,,,,123886
Gemfibrozil,Lopid,Hypertriglyceridemia||Primary dyslipidemia||Cardiovascular disease,Elevated triglycerides||High cholesterol||Primary dyslipidemia,Gemfibrozil,tablet,,oral,before meals||swallowed with water||at fixed time,adults 600 mg,twice a day,Reduces triglyceride production by the liver; inhibits synthesis and increases clearance of apolipoprotein B,,before meals,prescription_only,Allergy to Lopid||Gallbladder disease||Liver disease||Taking Repaglinide||Pregnant women||Nursing women,,308324
Paracetamol,Tylenol Child,Fever||Pain,fever||pain,Paracetamol,tablet||drops||oral suspension||powder,,oral,swallowed with water||chewable||dissolve in water,adults 1-2 tablets 500mg||adults 1 tablet 750mg||children 1 drop/kg (not exceeding 35 drops)||children see weight-based mL dosing,every 4-6 hours||3 to 4 times a day,"blocks prostaglandin action, reducing pain sensation; acts at the temperature regulating center in the CNS, causing body temperature to drop",bronchospasm||anaphylaxis||skin hypersensitivity reactions||skin rash||angioedema||Stevens Johnson syndrome||toxic epidermal necrolysis||thrombocytopenia||urticaria||itchy rash||fixed drug rash||constipation||drowsiness||dizziness||excessive sweating||nausea||redness||increased transaminases||anemia||agranulocytosis||pancytopenia,,over_the_counter,people with liver complications||people with kidney problems||pregnant women (except with medical recommendation)||children under 12 (without medical advice)||people allergic to any components,,371025
Tolterodine,Detrol,Overactive Bladder||Urinary Incontinence,leaking of urine||feelings of needing to urinate right away||frequent trips to the bathroom,Tolterodine,tablet,Pfizer,oral,swallowed with water,adults 1 mg || adults 2 mg,,relaxing the muscles in the bladder,dry mouth||blurred vision||constipation||dizziness||drowsiness||dyspepsia||headache||joint pain||stomach pain||confusion||hallucinations||painful or difficult urination||recurrent urinary tract infection||severe stomach pain||severe constipation||visual changes,,prescription_only,allergic to Tolterodine or Fesoterodine fumarate||untreated or uncontrolled narrow-angle glaucoma||blockage of the urinary tract||blockage of the stomach||blockage of the intestines,store at room temperature||protect from moisture||protect from heat||protect from light||keep in the container it came with||keep away from children,654970
Benzodiazepines,,Generalized Anxiety Disorder||Panic Disorder,anxiety||panic attacks,,tablet,,oral,,geriatric patients 0.25 mg || patients with hepatic impairment 0.25 mg,2 or 3 times daily,CNS depressant||interacts at gamma-aminobutyric acid (GABAA) sites,sedation||respiratory depression||coma||death||withdrawal reactions||seizures||hallucinations||depersonalization||taste alterations||diplopia||elevated bilirubin||elevated hepatic enzymes||jaundice||fatigue||tiredness||dysarthria||mania||hypomania||paranoia||delirium||suicidal thoughts||difficulty breathing,,prescription_only,pediatric patients||pregnant women||breastfeeding women||patients receiving strong CYP3A inhibitors,,236378
,Synvisc,Osteoarthritis,pain||stiffness||discomfort,hylan,injection,Sanofi Genzyme,other,other,,,joint lubrication and pain reduction,Irritation of treated joint||Pain in treated joint||Swelling of treated joint||Heat sensation in treated joint||Fluid buildup in treated joint||Headache||Dizziness||Pounding or fast heartbeat||Difficulty swallowing||Difficulty breathing||Difficulty talking||Hives||Rashes on skin,,,patients who are hypersensitive to animal—specifically avian-based—proteins,,486037
Lansoprazole,,Stomach ulcer||Gastroesophageal reflux disease||Acid reflux,Stomach ulcers||Gastroesophageal reflux disease||Acidity related disorders||Acid reflux||Heartburn||Problems with esophagus,Lansoprazole,capsule,,oral,swallowed with water||take with or without food||at fixed time,15 mg,,Lower the amount of acid produced in your stomach,Irregular heartbeat||Decreased appetite||Severe stomach ache||Nausea||Vomiting||Flu||Muscle or joint pain||Diarrhea||Allergic skin reaction||Bleeding||Headache||Flatulence,,prescription_only,Patients with liver or kidney problem,,331215
diphenhydramine||acrivastine||cetirizine||loratadine||fexofenadine||chlorpheniramine,Benadryl,Allergic rhinitis||Urticaria||Allergic skin reaction||Hay fever||Asthma||Bronchial asthma,Sneezing||Runny nose||Itching||Watery eyes||Nasal congestion||Cough||Rash||Hives,diphenhydramine||acrivastine||cetirizine||loratadine||fexofenadine||chlorpheniramine,tablet||capsule||drop,,oral,take with or without food||swallowed with water,adults 25-50 mg,every 4-6 hours,block histamine receptors||prevent actions of histamine,drowsiness||dizziness||dry mouth||dry throat||confusion||blurred vision||headache||constipation||trouble sleeping,,over_the_counter,children under 6 years||children under 12 years||patients with glaucoma||patients with bronchitis||patients with emphysema||patients with high blood pressure||patients with kidney disease||asthmatics||pregnant women||breastfeeding mothers,store at room temperature,604026
,Adderall,ADHD||attention deficit disorder||narcolepsy||depression||obesity,problems concentrating||weight-loss,amphetamines,,,,,,,helps the body release adrenaline||increases the heart rate||helps redirect blood flow to the muscles||can cause the body to create dopamine rapidly,rise in body temperature||increases in blood pressure||increases in heart rate||decrease in appetite||decrease in sleep||dry mouth||headaches||insomnia||fatigue||depression||problems sleeping||sleeping too much||hostile||paranoid||serious cardiovascular issues||strokes||crankiness||extreme hunger||nightmares||panic attacks||tiredness,,prescription_only,,,230411
,,,,,,,,,,,,,,,,,357001
Levofloxacin,Vivex,Pneumonia||Chronic bronchitis||Prostatitis||Sinusitis||Skin and soft tissue infections,Lung infection||Airway infection||Chronic bronchitis (acute cases)||Pneumonia||Chronic bacterial infection of the prostate||Sinusitis||Skin and soft tissue infections,Levofloxacin hemihydrate,tablet,,oral,swallowed with water||take with or without food,adults sinusitis 500 mg||adults acute exacerbation of chronic bronchitis 250-500 mg||adults skin and soft tissue infections 250-500 mg||adults creatinine clearance 250 mg/24h||adults creatinine clearance 500 mg/24h||adults creatinine clearance 500 mg/12h||adults 50-20 mL/min 125-500 mg/24h||adults 19-10 mL/min 125-500 mg/24h||adults 10 mL/min 125-250 mg/24-48h,once daily||twice daily,kills many types of bacteria,watery stools||fatigue||elevated liver enzymes||reduced white blood cells||increase in certain blood cells||dizziness||headache||drowsiness||vertigo||vomiting||stomach pain||indigestion||impaired renal function||rash||itching||loss of appetite||fungal infections||weakness||liver dysfunction||sleep problems||nervousness||rapid heartbeat||low blood platelets||bronchospasm||inflammation of the intestines||itchy skin rash||tendon pain||low blood pressure||impaired mental status||depression||confusion||anxiety||drastic reduction in white blood cells||nerve damage||disturbance or loss of taste||decreased or loss of smell||visual impairment||hearing impairment||acute renal failure||photosensitivity||lower blood sugar||muscle weakness||psychotic reactions||impaired cardiac function||tinnitus||severe skin reactions with blisters||sweating||muscle damage||pain||disability associated with hypersensitivity||jaundice,no special condition,prescription_only,children||adolescents||pregnant women||breast-feeding women||patients with epilepsy||patients with history of tendon problems with quinolones||patients with glucose-6-phosphate dehydrogenase deficiency||patients with kidney disease,,249015
Ibuprofen,Motrin,Common cold||Flu||Sore throat||Headache||Toothache,fever||pain from teething||pain from cold and cough||pain from immunization||pain from scrapes and sprains||minor aches and pains,Ibuprofen,suspension,,oral,take with food,infants 40 mg per 1 mL,,,"stomach bleeding||allergic reaction (severe itching, hives, swelling of eyes and mouth, skin blisters/rash, difficulty breathing, shock)",take with food,,"children taking ibuprofen or ASA||children allergic to ibuprofen, ASA, salicylates, NSAIDs, or any inactive ingredients||children right before or after heart surgery",store at room temperature,40334
aclidinium,Duaklir Genuair,Chronic Obstructive Pulmonary Disease,breathing difficulties||wheezing||cough||shortness of breath,aclidinium bromide||formoterol fumarate dihydrate,powder,,inhalation,other,adults 400 mcg,twice a day,,headache||dizziness||blurred vision||inflammation or irritation of the nose and throat||muscle pain||cramps||spasms||shaking/tremor||rash||skin itching||distorted sense of taste||decreased levels of potassium||increased blood sugar||muscle weakness||twitching||irregular heartbeat||palpitations||paradoxical bronchospasm||glaucoma||serious allergic reactions,no special condition,prescription_only,patients with asthma||patients allergic to aclidinium bromide||patients allergic to formoterol fumarate||patients allergic to any of the other ingredients,protect from light||use within 60 days of opening,245092
Amlodipine,Norvasc,Coronary artery disease||Hypertension||Angina||Myocardial infarction,High blood pressure||Chest pain||Cardiovascular events,Amlodipine,tablet||suspension,,oral,take with or without food||at fixed time,adults 5 mg||adults 10 mg||children over 6 years 2.5 mg||children over 6 years 5 mg,once daily,Dilates blood vessels and reduces peripheral vascular resistance,Dizziness||Edema||Palpitation||Drowsiness||Nausea||Headache||Fainting||Irregular heartbeat||Rapid heartbeat||Chest pain,no special condition,prescription_only,children under 6 years||breastfeeding women,store at room temperature||keep tightly closed||keep in a dry place||protect from light,356866
Penicillin V,"Penicillin V Potassium Tablets, USP",upper respiratory tract infection||scarlet fever||erysipelas||otitis media||rheumatic fever||chorea||bacterial endocarditis,infection||recurrence prevention||prophylaxis,Penicillin V Potassium,tablet,,oral,take with or without food,125 to 250 mg || 250 to 500 mg,every 6 to 8 hours || every 6 hours,,Clostridium difficile associated diarrhea,no special condition,prescription_only,individuals with histories of significant allergies and/or asthma,"keep tightly closed||store in a tight, light-resistant container||child-resistant closure",135927
Adapalene,,Acne,mild to moderate acne||acne lesions in adult women,Adapalene||Benzoyl Peroxide,gel,"Galderma Laboratories, L.P.",topical,applied once daily at night,,once daily,synthetic retinoid analogue,cutaneous irritation||dryness||erythema||scaling||stinging/burning,,,,,503688
