age,birth_date,college,draft_pick,name,nationality,position,team
,1997-07-09,Penn State Nittany Lions,,Lamar Brandon Stevens,American,,Memphis Grizzlies
,1988-07-14,Plymouth-Whitemarsh High School,,Ronald Moore,American,,Debreceni EAC
,,Union Olimpija,,Erazem Lorbek,Slovenian,power forward||center,"FC Barcelona||Fortitudo Bologna||Lottomatica Roma||CSKA Moscow||Skipper Bologna (2003-2004)||Climamio Bologna (2004-2006)||Unicaja Málaga (loan to Benetton Treviso, voided in 2007)||Petrol Olimpija (Slovenia)"
,1919-03-23,Loyola University in Chicago,,Marvin 'Mickey' Rottner,American,guard,Sheboygan Red Skins||Chicago Stags
,,,,Hamidou Diallo,American,,Capital City Go-Go
,1986-08-31,,,"Dewayne 'D. J.' White, Jr.",,,Oklahoma City Blue||Tulsa 66ers||Oklahoma City Thunder||Charlotte Bobcats||Boston Celtics||Brooklyn Nets||Chicago Bulls||Sichuan Blue Whales||Laboral Kutxa Vitoria||Fujian Sturgeons||Cleveland Cavaliers||Auxilium CUS Torino||Tofaş
,1965-09-27,Arizona Wildcats,,Stephen Douglas Kerr,American,,Phoenix Suns||Cleveland Cavaliers||Orlando Magic||Chicago Bulls||San Antonio Spurs||Portland Trail Blazers||Golden State Warriors
,1968-10-03,"UCLA, UTEP",,Gregory Clinton Foster,American,center–power forward,"Indiana Pacers, Washington Bullets, Atlanta Hawks, Milwaukee Bucks, Chicago Bulls, Minnesota Timberwolves, Utah Jazz, Seattle SuperSonics, Los Angeles Lakers, Toronto Raptors"
,1944-08-08,,,William Severlyn Hewitt,American,forward,Los Angeles Lakers||Detroit Pistons||Buffalo Braves||Chicago Bulls
,1981-03-23,North Carolina,,Joseph Xavier Forte,American,,Boston Celtics||Seattle SuperSonics||Asheville Altitude||Team Certified||Apollon Patras||Montepaschi Siena||UNICS Kazan||Fortitudo Bologna||Snaidero Udine||Nuova Pallacanestro Pavia||Petrochimi Bandar Imam BC
,,,,Dino Rađa,Croatian,,"{'team': 'Panathinaikos', 'year': 1998}||{'team': 'Split', 'year': None}||{'team': 'Jugoplastika', 'year': None}||{'team': 'Boston Celtics', 'year': 1989}||{'team': 'Yugoslavian national team', 'year': [1988, 1987]}||{'team': 'Croatian national team', 'year': [1992, 1993, 1994, 1995]}||{'team': 'Zadar', 'year': None}||{'team': 'Olympiacos', 'year': None}"
,1959-07-05,Oregon State University,,Mark Jeffrey Radford,American,,Seattle SuperSonics
,,,,Konstantinos Papanikolaou,Greek,small forward,Olympiacos||FC Barcelona||Houston Rockets||Denver Nuggets
,1959-07-03,,,Garrett David Witts,American,,Washington Bullets
,"July 30, 2002",Colorado Buffaloes,,Jabari Dominic Walker,,,Portland Trail Blazers
,1996-10-08,UNC Wilmington,,Devontae Cacok,American,,Virtus Bologna
,,"UCF Knights, Florida Gulf Coast Eagles",,Brandon Goodwin,American,point guard,"Memphis Hustle, Denver Nuggets"
,"January 20, 1933",Notre Dame,,Richard Anthony Rosenthal,American,NBA forward,Fort Wayne Pistons||Notre Dame men's basketball team
,1980-03-20,Rainier Beach High School,,Aaron Jamal Crawford,,,Oklahoma City Thunder||Chicago Bulls||New York Knicks||Golden State Warriors||Atlanta Hawks||Los Angeles Clippers||Portland Trail Blazers||Minnesota Timberwolves||Phoenix Suns||Brooklyn Nets
,1988-10-23,Indiana University||Xavier University,,Jordan Lee Crawford,American,,Sichuan Blue Whales||Indiana University||Xavier University||New Jersey Nets||Atlanta Hawks||Washington Wizards||Boston Celtics||Golden State Warriors||Miami Heat||Chicago Bulls||Fort Wayne Mad Ants||Dallas Mavericks||Tianjin Ronggang||Grand Rapids Drive||New Orleans Pelicans||Ironi Nahariya||Brose Bamberg||Lokomotiv Kuban||Galatasaray||Long Island Nets
,1964-10-30,Marquette Warriors,44.0,Thomas James Copa,American,,
,1951-09-17,,,Kermit Alan Washington,,,
,,,,Donyell Lamar Marshall,,,
,,University of Minnesota,,Wayne Lavern Robinson,,linebacker,Philadelphia Eagles||Winnipeg Blue Bombers||British Columbia Lions||University of Iowa||Houston Oilers||Green Bay Packers||Atlanta Falcons
,"March 7, 1947",Cheyney University of Pennsylvania,,Gregory Paul Fillmore,,center,New York Knicks
,,,,John Harding Lucas II,American,,
,1929-11-16,Long Island||John Marshall College,,Richard Clifford Surhoff Jr.,American,,New York Knicks||Milwaukee Hawks
,1945-11-18,,,Garfield Smith,American,,Boston Celtics
,,,,Leroy Chollet,American,,
,1991-10-10,Syracuse Orange,,Michael Carter-Williams,American,,Philadelphia 76ers||Milwaukee Bucks||Chicago Bulls||Charlotte Hornets||Houston Rockets||Orlando Magic||Capitanes de Ciudad de México
,1993-09-15,,,Dennis Schröder,German,Point Guard,Brooklyn Nets||Oklahoma City Thunder||Atlanta Hawks||Los Angeles Lakers||Boston Celtics||Houston Rockets||Toronto Raptors
,,Kansas State University,,Jack Parr,,,Cincinnati Royals
,,Tennessee State University,,Monti Davis,American,,Philadelphia 76ers||Dallas Mavericks
,1966-02-07,,,Eric Johnson Jones,American-Spanish,,Utah Jazz
,1925-10-08,New York University,,Sidney Harold Tanenbaum,American,guard/forward,New York Knicks||Baltimore Bullets
,,Indiana,,Trayce Jackson-Davis,American,Power Forward/Center,Golden State Warriors
,,,,Andre Drummond,American,Center,Philadelphia 76ers||Cleveland Cavaliers||Los Angeles Lakers||Brooklyn Nets||Chicago Bulls
,,Sunrise Christian Academy,6.0,Buddy Hield,Bahamian,Guard,Golden State Warriors
,1996-02-23,Ohio State Buckeyes,,D'Angelo Russell,American,Point Guard,Los Angeles Lakers||Brooklyn Nets||Minnesota Timberwolves||Golden State Warriors||Los Angeles Lakers
,1994-03-16,"Montverde Academy, The Rock School",,Joel Embiid,Cameroonian-American,Center,Philadelphia 76ers
,,,,Paul George,American,,Philadelphia 76ers
,,Duke,,Kyrie Irving,American,Point Guard,"Cleveland Cavaliers (2011-2019), Boston Celtics (2017-present)"
,,,,Jayson Christopher Tatum,American,Small Forward,Boston Celtics
,,,,Caleb Martin,American,small forward,Philadelphia 76ers
,1995-02-23,Kansas,,Andrew Christian Wiggins,Canadian,,Golden State Warriors
,2001-02-26,Rice,,Max Fiedler,American,,Philadelphia 76ers
,1997-07-17,,,OG Anunoby Jr.,British,,Toronto Raptors||New York Knicks
,1996-10-24,"University of California, Berkeley",,Jaylen Marselles Brown,,Shooting Guard||Small Forward,Boston Celtics
,,,,Victor Wembanyama,French,Center,San Antonio Spurs
,,UCLA,17.0,Jrue Holiday,American,Point Guard,Boston Celtics
,1998-05-29,Wichita State||Oklahoma,,Austin Reaves,American,,Los Angeles Lakers
,1988-09-07,UCLA,,Kevin Love,American,,Miami Heat||Cleveland Cavaliers||Minnesota Timberwolves
,1994-12-06,,,Giannis Antetokounmpo,Greek and Nigerian,forward (sometimes described as a point forward),Milwaukee Bucks
,,,,Stephen Curry,,,
,,,,Al Horford,Dominican Republic,Basketball Player,"{'Boston Celtics': [{'year': 2016, 'role': 'Free Agent'}, {'year': 2016, 'role': 'Debut'}, {'year': 2017, 'role': 'Regular Season'}, {'year': 2018, 'role': 'Regular Season'}, {'year': 2019, 'role': 'Regular Season'}, {'year': 2021, 'role': 'Trade'}], 'Atlanta Hawks': [{'year': 2007, 'role': 'Drafted'}, {'year': 2008, 'role': 'Season 1'}, {'year': 2009, 'role': 'Season 2'}, {'year': 2010, 'role': 'Season 3'}, {'year': 2011, 'role': 'Season 4'}, {'year': 2012, 'role': 'Season 5'}, {'year': 2013, 'role': 'Season 6'}, {'year': 2014, 'role': 'Season 7'}, {'year': 2015, 'role': 'Season 8'}, {'year': 2016, 'role': 'Season 9'}], 'Philadelphia 76ers': [{'year': 2019, 'role': 'Free Agent'}, {'year': 2019, 'role': 'Debut'}], 'Oklahoma City Thunder': [{'year': 2020, 'role': 'Trade'}]}"
,2000-01-20,Kentucky,,Tyler Christopher Herro,American,point guard||shooting guard,Miami Heat
,,,,,,,
,1993-09-20,UCLA Bruins,,Kyle Anderson (basketball),American-Chinese,,San Antonio Spurs
,1998-09-25,Bowie High School||Montverde Academy,,Cade Cunningham,American,Point Guard,Detroit Pistons
,1984-12-30,St. Vincent–St. Mary High School,,LeBron James,American,shooting guard,Los Angeles Lakers
,1989-09-14,"Tyler Junior College, Marquette University",,Jimmy Butler,American,,Miami Heat
,,,,Kevon Looney,American,Center,Golden State Warriors
,1995-03-10,UCLA,,Zach LaVine,American,Point Guard,Chicago Bulls
,,,,Jaden Edward Dhananjay Ivey,American,,
,1986-03-25,Villanova,,Kyle Lowry,American,Point Guard,Memphis Grizzlies||Houston Rockets||Toronto Raptors||Miami Heat||Charlotte Hornets||Philadelphia 76ers
,1963-02-17,University of North Carolina at Chapel Hill,3.0,Michael Jeffrey Jordan,,,Chicago Bulls
,,,,Devin Booker,,,Phoenix Suns
,,Michigan State,,Draymond Jamal Green,American,Power Forward,Golden State Warriors
,1997-11-19,Gonzaga Bulldogs,,Zach Collins,American,center,San Antonio Spurs
,2002-10-06,,,Jonathan Kuminga,Congolese,,Golden State Warriors
,,UCLA,,Lonzo Anderson Ball,American,Point Guard,Chicago Bulls
,1999-02-18,UCLA Bruins,18.0,Jaime Jaquez Jr.,Mexican-American (dual citizen),,Miami Heat
,,,,Ausar XLNC Thompson,American,,Detroit Pistons
,1996-08-31,Villanova University,,Jalen Marquis Brunson,American,,New York Knicks
,,,,Shaquille O'Neal,,,
,,,,Kobe Bryant,,,Los Angeles Lakers
,1985-05-06,Wake Forest University,,Chris Paul,American,Point Guard,San Antonio Spurs||New Orleans Hornets||Los Angeles Clippers||Houston Rockets||Oklahoma City Thunder
,1992-05-30,North Carolina Tar Heels,,Harrison Bryce Jordan Barnes,American,,San Antonio Spurs||Golden State Warriors||Dallas Mavericks||Sacramento Kings||Chicago Bulls||San Antonio Spurs
,1997-07-18,"Northside High School (Pinetown), High Point Christian Academy",,Bam Adebayo,Nigerian-American,,Miami Heat
