pdf_filename,paper_name,author,institute,topic,uses_knowledge_graph,reasoning_depth,baseline,retrieval_method,generator_model,uses_reranker,data_modality,evaluation_dataset,evaluation_metric,application_domain,use_agent,agent_framework,performance_on_hotpotqa,performance_on_NQ,multi_turn_retrieval,baseline_amount
2404.00610v1_RQ-RAG-Learning-to-Refine-Queries-for-Retrieval-Augmented-Generation.pdf,learning to Refine Query for Retrieval Augmented Generation (RQ-RAG),Chi-Min Chan; Chunpu Xu; Ruibin Yuan; Hongyin Luo; Wei xue; Yike Guo; Jie Fu,Hong Kong University of Science and Technology; Hong Kong Polytechnic University; Massachusetts Institute of Technology,Retrieval-Augmented Generation,No,multi-hop,Llama2-7B; Llama2-7B-Chat; Llama2-7B (SFT on Single Hop QA); Llama2-7B (SFT on No Augmented Set); SAIL-7B; Self-RAG-7B; Chain-of-Thought; Chain-of-Note; GPT-3.5-TURBO; GPT-4,Dense Retrieval,Llama2-7B; Llama2-7B-Chat; ChatGPT; GPT-4,No,Text,Arc-Challenge; PopQA; OpenbookQA; HotpotQA; 2WikiMultiHopQA; Musique,Accuracy; match score; F1 score,General,Yes,ToT,F1: 62.6,,Yes,10
2404.07221v2_Improving-Retrieval-for-RAG-based-Question-Answering-Models-on-Financial-Documents.pdf,Improving Retrieval for RAG based Question Answering Models on Financial Documents,Spurthi Setty; Harsh Thakkar; Alyssa Lee; Eden Chung; Natan Vidra,,Retrieval-Augmented Generation,No,single-hop,base RAG; Fake RAG,Dense Retrieval,GPT-4o,Yes,Text; Table,FinanceBench,page-level accuracy; paragraph-level accuracy; Context Relevance; BLEU; Rouge-L Score; cosine similarity; LLM evaluation; Answer faithfulness,Finance,No,,,,No,2
2404.12309v2_iRAG-Advancing-RAG-for-Videos-with-an-Incremental-Approach.pdf,iRAG: Advancing RAG for Videos with an Incremental Approach,Md Adnan Arefeen; Biplob Debnath; Md Yusuf Sarwar Uddin; Srimat Chakradhar,University Of Missouri-Kansas City; NEC Laboratories America,Retrieval-Augmented Generation,No,single-hop,traditional RAG system,Dense Retrieval,gpt-3.5-turbo,Yes,Image; Text,VQA-v2; MSR-VTT; StreetAware; Tokyo MODI,recall@k; Preprocessing Time; Query processing time,Government; Medical; General,No,,,,Yes,1
2404.15939v3_Telco-RAG-Navigating-the-Challenges-of-Retrieval-Augmented-Language-Models-for-Telecommunications.pdf,Telco-RAG: Navigating the Challenges of Retrieval Augmented Language Models for Telecommunications,Andrei-Laurentiu Bornea; Fadhel Ayed; Antonio De Domenico; Nicola Piovesan; Ali Maatouk,"Paris Research Center, Huawei Technologies, Boulogne-Billancourt, France; Yale University, New Haven, Connecticut, USA",Retrieval-Augmented Generation,No,single-hop,Benchmark RAG; GPT 3.5 without RAG; GPT 3.5; GPT 4,Dense Retrieval,GPT-3.5,No,Text,TeleQnA,Accuracy,Other,No,,,,Yes,4
2405.00449v1_RAG-based-Explainable-Prediction-of-Road-Users-Behaviors-for-Automated-Driving-using-Knowledge-Graph.pdf,RAG-based Explainable Prediction of Road Users Behaviors for Automated Driving using Knowledge Graphs and Large Language Models,"Mohamed Manzour Hussien; Angie Nataly Melo; Augusto Luis Ballardini; Carlota Salinas Maldonado; Ruben´ Izquierdo; Miguel Angel Sotelo ´ Fellow, IEEE","Computer Engineering Department, University of Alcala, Alcal ´ a de Henares, Madrid, Spain",Retrieval-Augmented Generation,Yes,single-hop,C3D; PCPA; Decision Tree; Fuzzy logic; eP2P; Ours Black Box;,Graph-based Retrieval,GPT-4,No,Text; Image,JAAD; PSI; HighD,F1-score; Precision; Recall; Accuracy; MRR,Other,No,,,,No,6
2405.01310v1_Overcoming-LLM-Challenges-using-RAG-Driven-Precision-in-Coffee-Leaf-Disease-Remediation.pdf,Overcoming LLM Challenges using RAG-Driven Precision in Coffee Leaf Disease Remediation,Dr. Selva Kumar S; Afifah Khan Mohammed Ajmal Khan; Imadh Ajaz Banday; Manikantha Gada; Vibha Venkatesh Shanbhag,"Department of Computer Science and Engineering B. M. S. College of Engineering Bangalore, India",Retrieval-Augmented Generation,No,single-hop,YoloV8,Dense Retrieval,GPT-3.5,No,Image; Text,Coffee Leaf Diseases YOLO,,Other,No,,,,Yes,1
2405.02816v1_Stochastic-RAG-End-to-End-Retrieval-Augmented-Generation-through-Expected-Utility-Maximization.pdf,Stochastic RAG: End-to-End Retrieval-Augmented Generation through Expected Utility Maximization,Hamed Zamani; Michael Bendersky,University of Massachusetts Amherst; Google,Retrieval-Augmented Generation,No,multi-hop,"RAG; DPR + FiD; KGI; Re2G; Hindsight; SEAL + FiD; Re3val; GripRank; PLATO; FiD-Light (T5-Base, k = 64); FiD-Light (T5-XL, k = 8)",Dense Retrieval,T5-Base; T5-XL,Yes,Text,Natural Questions (NQ); TriviaQA; HotpotQA; FEVER; T-REx; zsRE; Wizard of Wikipedia (WoW),KILT-EM; KILT-AC; KILT-F1; R-Precision,General,No,,KILT-EM: 27.3 (T5-Base); KILT-EM: 31.1 (T5-XL),"STOCHASTIC RAG with FiD-Light (T5-Base, k = 64) KILT-EM: 46.2; STOCHASTIC RAG with FiD-Light (T5-XL, k = 8) KILT-EM: 53.0",No,11
2405.03085v1_Compressing-Long-Context-for-Enhancing-RAG-with-AMR-based-Concept-Distillation.pdf,Compressing Long Context for Enhancing RAG with AMR-based Concept Distillation,Kaize Shi; Xueyao Sun; Qing Li; Guandong Xu,University of Technology Sydney; The Hong Kong Polytechnic University; The Education University of Hong Kong,Retrieval-Augmented Generation,No,single-hop,GPT-Neo-1.3B; GPT-Neo-2.7B; OPT-1.3b; OPT-2.7b; bloom-560m; bloom-1b1; bloom-1b7; bloom-3b; LLaMA-2-7b-chat-hf; LLaMA-2-13b-chat-hf,Dense Retrieval,GPT-Neo-1.3B; GPT-Neo-2.7B; OPT-1.3b; OPT-2.7b; bloom-560m; bloom-1b1; bloom-1b7; bloom-3b; LLaMA-2-7b-chat-hf; LLaMA-2-13b-chat-hf,No,Text,PopQA; EntityQuestions,Accuracy; Integration,General,No,,,,No,10
2405.12035v1_KG-RAG-Bridging-the-Gap-Between-Knowledge-and-Creativity.pdf,KG-RAG: Bridging the Gap Between Knowledge and Creativity,Diego Sanmartín,"IE University, Spain",Retrieval-Augmented Generation,Yes,multi-hop,Human; MHQA-GRN; Embedding-RAG,Hybrid Retrieval,GPT-4 Turbo 1106-Preview,Yes,Text,ComplexWebQuestions,EM; F1 Score; Accuracy; Hallucination,General,Yes,Other,,,Yes,3
2405.12363v2_Question-Based-Retrieval-using-Atomic-Units-for-Enterprise-RAG.pdf,Question-Based Retrieval using Atomic Units for Enterprise RAG,Vatsal Raina; Mark Gales,"ALTA Institute, University of Cambridge",Retrieval-Augmented Generation,No,single-hop,Standard RAG; HyDE,Dense Retrieval,ChatGPT 3.5 Turbo,No,Text,SQuAD; BiPaR,R@1; R@2; R@5,General,No,,,,No,2
2405.13084v2_The-2nd-FutureDial-Challenge-Dialog-Systems-with-Retrieval-Augmented-Generation-FutureDial-RAG.pdf,THE 2ND FUTUREDIAL CHALLENGE: DIALOG SYSTEMS WITH RETRIEVAL AUGMENTED GENERATION (FUTUREDIAL-RAG),Yucheng Cai; Si Chen; Yuxuan Wu; Yi Huang; Junlan Feng; Zhijian Ou,"Speech Processing and Machine Intelligence (SPMI) Lab, Tsinghua University, Beijing, China; China Mobile Research Institute, Beijing, China",Retrieval-Augmented Generation,No,multi-hop,,Dense Retrieval,GPT-based,No,Text,MobileCS2,recall@1; recall@5; recall@20; BLEU-4; BERTScore; Inform Rate,Other,No,,,,No,0
2405.15556v1_Certifiably-Robust-RAG-against-Retrieval-Corruption.pdf,Certifiably Robust RAG against Retrieval Corruption,Chong Xiang; Tong Wu; Zexuan Zhong; David Wagner; Danqi Chen; Prateek Mittal,"Princeton University; University of California, Berkeley",Retrieval-Augmented Generation,No,single-hop,Mistral-I7B;Llama2-C7B;GPT3.5,Web Search,Mistral-7B-Instruct; Llama2-7B-Chat; GPT-3.5-turbo,No,Text,RealtimeQA-MC; RealtimeQA; Natural Questions; Bio,accuracy (acc); certifiable accuracy (cacc); LLM-as-a-judge (llmj); certifiable LLM-judge score (cllmj); robust accuracy (racc); attack success rate (asr),General,No,,,"Mistral-I7B (Keyword): acc: 61.0, cacc: 45.0; Mistral-I7B (Decodingc): acc: 54.0, cacc: 47.0; Mistral-I7B (Decodingr): acc: 62.0, cacc: 34.0; Llama2-C7B (Keyword): acc: 58.0, cacc: 51.0; Llama2-C7B (Decodingr): acc: 49.0, cacc: 27.0; GPT3.5 (Keyword): acc: 54.2, cacc: 37.0",No,3
2405.18414v1_Dont-Forget-to-Connect-Improving-RAG-with-Graph-based-Reranking.pdf,Don’t Forget to Connect! Improving RAG with Graph-based Reranking,Jialin Dong; Bahare Fatemi; Bryan Perozzi; Lin F. Yang; Anton Tsitsulin,UCLA; Google Research,Retrieval-Augmented Generation,No,multi-hop,w/o reranker; BART; BART-GST; RGCN-S; MLP; GCN; PaLM 2 XS; PaLM 2 L,Dense Retrieval,PaLM 2；BART,Yes,Text,Natural Questions; TriviaQA,MRR; MHits@10; MTRR; TMHits@10,General,No,,,"G-RAG-RL (Ember, HPs-T): MRR_dev: 28.9; MRR_test: 27.7; MH_dev: 51.1; MH_test: 50.0",No,8
2405.19207v1_A-Multi-Source-Retrieval-Question-Answering-Framework-Based-on-RAG.pdf,A Multi-Source Retrieval Question Answering Framework Based on RAG,Ridong Wu; Shuhong Chen; Xiangbiao Su; Yuankai Zhu;Yifei Liao; Jianming Wu,"School of Computer Science and Network Engineering, Guangzhou University, Guangzhou, China",Retrieval-Augmented Generation,No,multi-hop,No-RAG; SR-RAG; FL-RAG; FLARE; FS-RAG,Web Search; Other,LLaMa2-7B-Chat,No,Text,2WikiMultiHopQA; HotpotQA; StrategyQA,F1; EM; Accuracy,General,No,,EM: 0.303; F1: 0.3066,,No,5
2406.05794v3_RE-RAG-Improving-Open-Domain-QA-Performance-and-Interpretability-with-Relevance-Estimator-in-Retriev.pdf,RE-RAG: Improving Open-Domain QA Performance and Interpretability with Relevance Estimator in Retrieval-Augmented Generation,Kiseung Kim; Jay-Yoon Lee,"Graduate School of Data Science, Seoul National University",Retrieval-Augmented Generation,No,single-hop,RAG; FiD; FiD-KD; ReAtt; R2-D2; Self-RAG; RA-DIT; REPLUG LSR; MonoT5,Dense Retrieval,T5; Flan-T5; Llama2; Llama3; ChatGPT,Yes,Text,Natural Questions; TriviaQA,EM; Acc; F1; Recall@k; Recall; Precision,General,No,,,"RE-RAGbase: EM: 49.9, Acc: 53.1, F1: 56.9; RE-RAGFlan-base: EM: 51.9, Acc: 55.2, F1: 58.9; RE-RAGlarge: EM: 54.0, Acc: 56.7, F1: 61.0; RE-RAGFlan-large: EM: 55.4, Acc: 58.3, F1: 62.5; Llama27b + RE: EM: 45.7, Acc: 48.4, F1: 54.3; Llama213b + RE: EM: 46.6, Acc: 49.8, F1: 55.6; Llama3gb +RE: EM: 49.6, Acc: 54.5, F1: 59.0; Llama270b + RE: EM: 48.0, Acc: 52.0, F1: 57.6; Llama370b + RE: EM: 50.8, Acc: 54.8, F1: 60.1; ChatGPT+RE: EM: 49.3, Acc: 55.2, F1: 59.6",No,9
2406.05870v4_Machine-Against-the-RAG-Jamming-Retrieval-Augmented-Generation-with-Blocker-Documents.pdf,Machine Against the RAG: Jamming Retrieval-Augmented Generation with Blocker Documents,Avital Shafran; Roei Schuster; Vitaly Shmatikov,The Hebrew University; Wild Moose; Cornell Tech,Retrieval-Augmented Generation,No,single-hop,Instruction Injection; Oracle Generated;Black-Box Optimized.,Dense Retrieval,Llama-2-7B; Llama-2-13B; Llama-3.1-8B; Vicuna-7B; Vicuna-13B; Mistral-7B; Llama-3.1-70B; Llama-3.1-405B; GPT-4o-mini; GPT-4o; Gemini-1.5-Pro; Gemini-1.5-Flash; Claude-3.5-Haiku; Claude-3.5-Sonnet,No,Text,Natural Questions; MS-MARCO,Jamming Rate; Retrieval Accuracy; ROCAUC,General; Legal,No,,,"Metric: Percentage of jammed queries (BBO method). NQ dataset, GTR embedding: R1 target (Llama-2-7b: 60%; Llama-2-13b: 53%; Llama-3.1: 69%; Vicuna-7b: 44%; Vicuna-13b: 37%; Mistral: 44%); R2 target (Llama-2-7b: 72%; Llama-2-13b: 55%; Llama-3.1: 67%; Vicuna-7b: 45%; Vicuna-13b: 40%; Mistral: 33%); R3 target (Llama-2-7b: 72%; Llama-2-13b: 55%; Llama-3.1: 59%; Vicuna-7b: 46%; Vicuna-13b: 34%; Mistral: 32%). NQ dataset, Contriever embedding: R1 target (Llama-2-7b: 61%; Llama-2-13b: 60%; Llama-3.1: 67%; Vicuna-7b: 45%; Vicuna-13b: 50%; Mistral: 34%); R2 target (Llama-2-7b: 68%; Llama-2-13b: 56%; Llama-3.1: 73%; Vicuna-7b: 51%; Vicuna-13b: 42%; Mistral: 45%); R3 target (Llama-2-7b: 67%; Llama-2-13b: 52%; Llama-3.1: 63%; Vicuna-7b: 50%; Vicuna-13b: 46%; Mistral: 35%).",No,3
2406.06577v1_RAG-based-Crowdsourcing-Task-Decomposition-via-Masked-Contrastive-Learning-with-Prompts.pdf,RAG-based Crowdsourcing Task Decomposition via Masked Contrastive Learning with Prompts,Jing Yang; Xiao Wang; Yu Zhao; Yuhang Liu; Fei-Yue Wang,"The State Key Laboratory for Management and Control of Complex Systems, Institute of Automation, Chinese Academy of Sciences; School of Artificial Intelligence, University of Chinese Academy of Sciences; School of Artificial Intelligence, Anhui University; Qingdao Academy of Intelligent Industries; National Key Laboratory of Information Systems Engineering, National University of Defense Technology; Macau University of Science and Technology; Beijing Engineering Research Center of Intelligent Systems and Technology, Chinese Academy of Sciences",Retrieval-Augmented Generation,No,single-hop,SCCL; SS-VQ-VAE; BERT-MCL-Base; BERT-MCL-Large,Dense Retrieval,BERT-Base; BERT-Large,No,Text,ACE 2005; FewEvent,F1-Seen; F1-Unseen; NMI; FM; P; R; F1,General,No,,,,No,4
2406.07348v3_DR-RAG-Applying-Dynamic-Document-Relevance-to-Retrieval-Augmented-Generation-for-Question-Answering.pdf,DR-RAG: Applying Dynamic Document Relevance to RetrievalAugmented Generation for Question-Answering,Zijian Hei; Weiling Liu; Wenjie Ou; Juyi Qiao; Junming Jiao; Guowen Song; Ting Tian; Yi Lin,"Li Auto Inc.; Sun Yat-sen University; Northeastern University, China; Sichuan University",Retrieval-Augmented Generation,No,multi-hop,Single-step Approach; Adaptive Retrieval; Self-RAG; Adaptive-RAG; Multi-step Approach,Dense Retrieval; Sparse Retrieval,gpt-3.5-turbo; Llama3-8B; gpt-4-turbo,No,Text,HotpotQA; 2Wiki; MuSiQue,EM; F1; Acc,General,No,,EM: 48.58; F1: 62.87; Acc: 55.68,,Yes,5
2406.11147v3_Vul-RAG-Enhancing-LLM-based-Vulnerability-Detection-via-Knowledge-level-RAG.pdf,Vul-RAG: Enhancing LLM-based Vulnerability Detection via Knowledge-level RAG,Xueying Du; Geng Zheng; Jiayi Feng; Mingwei Liu; Kaixin Wang; Yi Zou; Yujia Wang; Wentai Deng; Bihuan Chen; Xin Peng; Tao Ma; Yiling Lou,"Fudan University, China; Alibaba Group, China; Sun Yat-sen University, China",Retrieval-Augmented Generation,No,single-hop,Code-based RAG; LLMAO,Sparse Retrieval,GPT-4o; Claude Sonnet 3.5; Qwen2.5-Coder-32B-Instruct; DeepSeek-V2-Instruct; DeepSeek-R1; GPT-3.5-turbo0125,Yes,Code,PairVul; Linux Kernel,pairwise accuracy; Balanced Recall; Balanced Precision,General,No,,,,No,2
2406.11424v1_Evaluating-the-Efficacy-of-Open-Source-LLMs-in-Enterprise-Specific-RAG-Systems-A-Comparative-Study-o.pdf,Evaluating the Efficacy of Open-Source LLMs in Enterprise-Specific RAG Systems: A Comparative Study of Performance and Scalability,Gautam B; Anupam Purwar,Indian Institute of Technology Madras; Independent,Retrieval-Augmented Generation,No,single-hop,Llama3-8B;Mistral8x7B;GPT-3.5,Hybrid Retrieval,Llama3-8B; Mistral8x7B,No,Text,i-venture.org website data,ROUGE; Contextual Precision; Contextual Recall; Contextual Relevancy; Answer Relevancy; Unigram Precision; Unigram Recall; Cosine similarity; Cosine similarity with ground truth answer(CSGA); Time,General; Academic,No,,,,No,3
2406.11497v3_CrAM-Credibility-Aware-Attention-Modification-in-LLMs-for-Combating-Misinformation-in-RAG.pdf,CrAM: Credibility-Aware Attention Modification in LLMs for Combating Misinformation in RAG,Boyi Deng; Wenjie Wang; Fengbin Zhu; Qifan Wang; Fuli Feng,University of Science and Technology of China; National University of Singapore; Meta AI,Retrieval-Augmented Generation,No,single-hop,Naive RAG; Prompt Based; Exclusion; CAG,Dense Retrieval,Llama2-13B; Llama3-8B; Qwen1.5-7B,Yes,Text,Natural Questions; TriviaQA,EM; F1 score,General,No,,,"Ideal Setting (4√+1x): Qwen1.5-7B (EM: 29.10, F1 score: 41.02); Llama2-13B (EM: 33.60, F1 score: 44.62); Llama3-8B (EM: 36.90, F1 score: 48.45). GPT Setting (4√+1x): Qwen1.5-7B (EM: 23.10, F1 score: 34.84); Llama2-13B (EM: 25.10, F1 score: 35.56); Llama3-8B (EM: 30.70, F1 score: 41.71).",No,4
2406.14773v2_Mitigating-the-Privacy-Issues-in-Retrieval-Augmented-Generation-RAG-via-Pure-Synthetic-Data.pdf,Mitigating the Privacy Issues in Retrieval-Augmented Generation (RAG) via Pure Synthetic Data,Shenglai Zeng; Jiankun Zhang; Pengfei He; Jie Ren; Tianqi Zheng; Hanqing Lu; Han Xu; Hui Liu; Yue Xing; Jiliang Tang,Michigan State University; Amazon.com; Jilin University,Retrieval-Augmented Generation,No,single-hop,ZeroGen; AttrPrompt; 0-shot; Origin,Dense Retrieval,Llama3-8b-chat; GPT-3.5-turbo,No,Text,HealthcareMagic-101; Wiki-PII; Natural Questions; Trivia QA; Web Questions; CuratedTrec,BLEU-1; ROUGE-L; Target info; Repeat prompts; ROUGE prompt; Repeat context; ROUGE context; EM; Correctness,Medical; General,Yes,Multi-Agent Collaboration,,BLEU-1: 0.0177; ROUGE-L: 0.0322; EM: 0.38; Correctness: 0.40,No,4
2406.14972v1_A-Tale-of-Trust-and-Accuracy-Base-vs-Instruct-LLMs-in-RAG-Systems.pdf,A Tale of Trust and Accuracy: Base vs. Instruct LLMs in RAG Systems,Florin Cuconasu; Giovanni Trappolini; Nicola Tonellotto; Fabrizio Silvestri,Sapienza University of Rome; University of Pisa,Retrieval-Augmented Generation,No,single-hop,Llama 2 7B-Chat; Llama 3 8B-Instruct; Falcon 7B-Instruct; Mistral 7B-Instruct,Dense Retrieval,Llama 2 7B; Llama 2 7B-Chat; Llama 3 8B; Llama 3 8B-Instruct; Falcon 7B; Falcon 7B-Instruct; Mistral 7B; Mistral 7B-Instruct,No,Text,Natural Questions (NQ-open); TriviaQA-unfiltered,Accuracy; rejection rate,General,No,,,Task Instruction I (Accuracy): Llama 2 7B: 31.46; Llama 3 8B: 31.08; Mistral 7B: 28.87; Falcon 7B: 22.64. Task Instruction II (Accuracy): Llama 2 7B: 35.79; Llama 3 8B: 40.22; Mistral 7B: 40.15; Falcon 7B: 26.72,No,4
2406.16167v1_FS-RAG-A-Frame-Semantics-Based-Approach-for-Improved-Factual-Accuracy-in-Large-Language-Models.pdf,FS-RAG: A Frame Semantics Based Approach for Improved Factual Accuracy in Large Language Models,Harish Tayyar Madabushi,The University of Bath,Retrieval-Augmented Generation,No,multi-hop,RAKE Search; GPT-4 Search,Other,GPT-4,No,Text,Entailment Bank,Recall@k,Education,No,,,,No,2
2407.00978v2_Hybrid-RAG-empowered-Multi-modal-LLM-for-Secure-Data-Management-in-Internet-of-Medical-Things-A-Diff.pdf,Hybrid RAG-empowered Multi-modal LLM for Secure Data Management in Internet of Medical Things: A Diffusion-based Contract Approach,Cheng Su; Jinbo Wen; Jiawen Kang; Yonghua Wang; Yuanjia Su; Hudan Pan; Zishao Zhong; M. Shamim Hossain,Guangdong University of Technology; Nanjing University of Aeronautics and Astronautics; Guangzhou University of Traditional Chinese Medicine; King Saud University,Retrieval-Augmented Generation,No,single-hop,GPT4-o; LLaVA-Med; DRL-PPO; greedy scheme; random scheme,Dense Retrieval,LLaVA-Med; GPT4-o,Yes,Text; Image, healthcare data cases,Responsive Artificial Intelligence (RAI); Semantic Similarity (SS); relative LLM score,Medical,Yes,Other,,,No,5
